CLUSTER_APTA_FAV_UNFAV,RAIL_FLAG,Year,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,TSD_POP_EMP_PCT,JTW_HOME_PCT,YEARS_SINCE_TNC_NEW_YORK_BUS,YEARS_SINCE_TNC_BUS_HI_FAV,YEARS_SINCE_TNC_BUS_MID_FAV,YEARS_SINCE_TNC_BUS_LOW_FAV,YEARS_SINCE_TNC_BUS_HI_UNFAV,YEARS_SINCE_TNC_BUS_MID_UNFAV,YEARS_SINCE_TNC_BUS_LOW_UNFAV,YEARS_SINCE_TNC_NEW_YORK_RAIL,YEARS_SINCE_TNC_RAIL_HI,YEARS_SINCE_TNC_RAIL_MID,BIKE_SHARE,scooter_flag_BUS,scooter_flag_RAIL,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_EMP_PCT_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_NEW_YORK_BUS_FAC,YEARS_SINCE_TNC_BUS_HI_FAV_FAC,YEARS_SINCE_TNC_BUS_MID_FAV_FAC,YEARS_SINCE_TNC_BUS_LOW_FAV_FAC,YEARS_SINCE_TNC_BUS_HI_UNFAV_FAC,YEARS_SINCE_TNC_BUS_MID_UNFAV_FAC,YEARS_SINCE_TNC_BUS_LOW_UNFAV_FAC,YEARS_SINCE_TNC_NEW_YORK_RAIL_FAC,YEARS_SINCE_TNC_RAIL_HI_FAC,YEARS_SINCE_TNC_RAIL_MID_FAC,BIKE_SHARE_FAC,scooter_flag_BUS_FAC,scooter_flag_RAIL_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
10,0,2002,1201007994.0000014,0.0,1201007994.0000014,0.0,1099863528.8866653,0.0,253905652.10000002,0.979563485,25697520.38999998,1.9740000000000002,42439.07499999996,31.709999999999997,0.5000266149251159,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1201007994.0000014,1201007994.0000014
10,0,2003,1201007994.0000014,1201007994.0000014,1127691152.9999998,-73316841.00000167,1024029072.569187,-75834456.3174783,232535029.09999964,1.1512130359999997,26042245.26999999,2.2467999999999995,41148.63500000003,31.36,0.4994966456494778,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70868307.94435425,-40859410.06852693,4287599.820853841,19893297.788453244,9004533.142992312,-4145936.3915986456,-13700.414940006873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-82701924.06712043,-82808262.90342458,9491421.903422907,0.0,-73316841.00000167
10,0,2004,1201007994.0000014,1127691152.9999998,1109237034.0000017,-18454118.999998093,1075695753.9505274,51666681.381340384,243107287.39999998,1.20597552,26563773.749999993,2.5669,39531.590000000004,31.0,0.49415983310371747,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35222809.51022489,-11738137.852844726,5995682.834601436,20024060.71023777,10989373.684579901,-4003869.598874483,-129534.89715810936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56360384.39076669,56896880.23449229,-75350999.23449038,0.0,-18454118.999998093
10,0,2005,1201007994.0000014,1109237034.0000017,1185413968.9999993,76176934.99999762,1154845942.4993014,79150188.548774,254087771.4,1.1702642379999997,27081157.49999996,3.0314999999999994,38116.91999999998,30.68,0.49018125488386655,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34420852.868954726,7561255.063700504,5736965.958403105,25717095.561371904,9821360.557372114,-3501445.4018513085,-94988.99063564667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79661095.61731538,81618171.36857533,-5441236.368577719,0.0,76176934.99999762
10,0,2006,1201007994.0000014,1185413968.9999993,1159540668.9999998,-25873299.999999523,933775818.3469739,-221070124.15232754,252268420.80000016,2.8162655389999998,27655014.75000005,3.3499999999999996,36028.75000000002,30.18,0.4929711633644897,3.7000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5878037.841334915,-248202785.2722354,6666123.457558153,16993124.337155204,16266302.7792824,-5841537.223884189,71188.95945626573,-1381458.7198222526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-221307079.52382475,-226921707.61027,201048407.61027047,0.0,-25873299.999999523
10,0,2007,1201007994.0000014,1159540668.9999998,1100711966.9999993,-58828702.00000048,1184735665.2568371,250959846.90986323,256261700.60000035,1.230985498,27714120.0,3.4605999999999995,36660.58,30.400000000000002,0.48830547590354056,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12666261.137407724,290333199.19186616,662228.9188800638,5462498.397299719,-4866026.82160306,2523132.866868762,-116444.620133459,676244.3550372247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307341093.42562306,311635986.99004954,-370464688.99005,0.0,-58828702.00000048
10,0,2008,1201007994.0000014,1100711966.9999993,1112567173.9999998,11855207.000000477,1221212992.3490765,36477327.09223938,260943220.70000005,1.242132803,27956797.669999957,3.9194999999999998,36716.94000000002,30.420000000000005,0.4869838849421918,3.7000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13871109.174009537,-2281199.114224037,2569354.0101022334,20362424.91094344,-408942.27585922764,217523.39270491753,-31311.521955345695,-641561.2853404353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33657397.29038108,33890285.9363965,-22035078.936396025,0.0,11855207.000000477
10,0,2009,1201007994.0000014,1112567173.9999998,1079011273.9999983,-33555900.00000143,1162664287.825913,-58548704.52316356,261208990.79999962,1.298489488,27734538.00000004,2.8430999999999997,35494.290000000015,30.61,0.4847560720404118,3.8999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,783731.6394889487,-11437108.919677796,-2372344.877752247,-50255009.73072857,9151790.252683554,2090484.3136216563,-53349.966489005536,-1296564.4611113083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53388371.74996476,-53339890.04440386,19783990.044402428,0.0,-33555900.00000143
10,0,2010,1201007994.0000014,1079011273.9999983,1055804062.9999982,-23207211.00000012,1098379124.4105515,-64285163.415361404,234440206.99999973,1.3328625240000003,27553600.74999996,3.2889999999999997,35213.00000000002,30.93,0.49441012262664735,3.8999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-77757535.26301263,-6646340.526830564,-1887049.06799442,22401556.386849582,2078724.3189824617,3416819.629259482,224243.71722769976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58169580.805518396,-59659883.5987411,36452672.59874098,0.0,-23207211.00000012
10,0,2011,1201007994.0000014,1055804062.9999982,1024067732.9999994,-31736329.999998808,1111768992.1417716,13389867.731220007,228510747.49999994,1.410313236,27682634.670000013,4.0656,34147.68000000002,31.299999999999997,0.49182096061092534,3.8999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18544880.71721534,-14256368.702263149,1320003.1441282113,33407981.59342815,7875156.170855357,3866682.1892001987,-58839.647364790544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13609734.030768637,12870853.459857373,-44607183.45985618,0.0,-31736329.999998808
10,0,2012,1201007994.0000014,1024067732.9999994,1032661299.000001,8593566.00000155,1116852199.9145103,5083207.772738695,227959423.99999982,1.369100306,27909105.42000003,4.109300000000001,33963.31,31.51,0.4784986741314156,4.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1709776.6240944604,7377982.772823954,2233808.062419369,1647948.9906373713,1341983.7713650402,2126953.3748553307,-293619.42927369784,-1193428.9087506582,-6802150.958693613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4729701.0512886355,4682221.84373764,3911344.1562639093,0.0,8593566.00000155
10,0,2013,1201007994.0000014,1032661299.000001,1031511812.0000011,-1149486.9999998808,1062883750.7007881,-53968449.21372211,232024741.20000002,1.631481463,28818049.080000035,3.9420000000000006,33700.32,29.93,0.47824852127743284,4.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12704507.848505232,-44176291.24951097,8888800.986840202,-6415508.512283857,1943624.5838965885,-15995175.106722884,-5560.34579838666,-601897.2539323402,-6859231.883442863,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,629172.970717551,0.0,0.0,-49887557.96173174,-49900182.740674034,48750695.74067415,0.0,-1149486.9999998808
10,0,2014,1201007994.0000014,1031511812.0000011,1020949725.9999985,-10562086.000002623,1055231820.7137437,-7651929.987044454,232003465.0999997,1.627628074,29110612.08000001,3.7523999999999997,33580.79999999999,30.2,0.47765666406466095,4.2,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-65431.556936798,629385.7553565488,2790167.0071929726,-7526095.483469522,886887.5658222486,2755349.782259258,-13140.987155641393,0.0,-6851596.661819241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7394474.5787501745,-7426076.615649871,-3136009.384352752,0.0,-10562086.000002623
10,0,2015,1201007994.0000014,1020949725.9999985,997331165.7000012,-23618560.29999721,992748995.9052765,-62482824.80846715,232760764.6000004,1.681151878,29378317.829999972,2.7030000000000003,34173.339999999975,30.169999999999998,0.4761334707878422,4.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2304138.1074399385,-8533545.02435282,2502434.9766387036,-46587098.762034595,-4310610.719016951,-302566.34962392173,-33472.78582101998,595418.0887676139,-6781440.263862777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61146742.73186583,-60452899.17883878,36834338.87884157,0.0,-23618560.29999721
10,0,2016,1201007994.0000014,997331165.7000012,999255569.6999992,1924403.9999979734,956984390.8951602,-35764605.01011634,232107589.3,1.687565261,29437697.49999995,2.4255,35302.049999999996,29.879999999999995,0.476654671743657,4.5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1936852.6343111626,-991333.6504699575,538689.6923551438,-14436875.976464916,-7808785.958492495,-2853479.3794744057,11188.880544955582,-2323186.763393803,-6624559.026996789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36425194.81670343,-35929681.473022476,37854085.47302045,0.0,1924403.9999979734
10,0,2017,1201007994.0000014,999255569.6999992,942661585.6000004,-56593984.09999883,952866855.9933095,-4117534.9018507004,230935447.4000001,1.7337943710000001,29668394.669999976,2.6928000000000005,35945.81999999998,30.000000000000004,0.4760526680590649,4.5,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-3493455.788151137,-7068598.772277978,2088247.1066843385,14153803.940481229,-4358719.744704255,1185426.6200045338,-12948.29306085462,0.0,-6637341.469106504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4143586.400130627,-4299411.488059705,-52294572.611939125,0.0,-56593984.09999883
10,0,2018,1201007994.0000014,942661585.6000004,935808062.5999997,-6853523.000000715,926834661.7398465,-26032194.25346303,230662401.5,1.7232403280000002,29807700.83999996,2.9199999999999995,36801.50000000002,30.010000000000005,0.4762733241438135,4.6,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-771132.8935281609,1518964.7339275149,1181670.1161999775,10594728.433216093,-5349287.335647133,93140.08698288426,4477.260419979389,-549439.9957755611,-6261428.0301835155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-26107404.889073055,0.0,-25645712.51346098,-25753387.63990863,18899864.639907915,0.0,-6853523.000000715
10,1,2002,2028458449.0000012,0.0,2028458449.0000012,0.0,2098568692.4015448,0.0,474570591.5000003,1.761002458,25697520.38999998,1.9740000000000002,42439.07499999996,31.71,0.5000266149251159,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2028458449.0000012,2028458449.0000012
10,1,2003,2028458449.0000012,2028458449.0000012,1999850729.9999993,-28607719.000001907,2185044152.9775968,86475460.57605195,503552796.7000007,1.9292153140000003,26042245.26999999,2.2467999999999995,41148.63500000003,31.36,0.49949664564947777,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84907279.56776862,-49325095.63802191,7241598.828643478,33599050.2803106,15208326.1930422,-7002334.492833393,-23139.4983036747,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,84605685.24060592,83586436.44679669,-112194155.4467986,0.0,-28607719.000001907
10,1,2004,2028458449.0000012,1999850729.9999993,2115153451.9999995,115302722.00000024,2314412587.7603087,129368434.78271198,521860484.00000006,1.9019918869999999,26563773.749999993,2.5669,39531.590000000004,31.0,0.49415983310371747,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50018748.34237383,7787692.92890934,10632761.161358643,35510726.78224099,19488586.85898541,-7100473.847677637,-229717.558706537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116108324.66748405,118403812.74978144,-3101090.7497812063,0.0,115302722.00000024
