CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_NEW_YORK,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_HI_OPEX_FAV_EXT,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_MID_OPEX_FAV_EXT,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_LOW_OPEX_FAV_EXT,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_HI_OPEX_UNFAV_EXT,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_MID_OPEX_UNFAV_EXT,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_LOW_OPEX_UNFAV_EXT,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_NEW_YORK,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_HI_OPEX,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_MID_OPEX,BIKE_SHARE,scooter_flag_BUS,scooter_flag_RAIL,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_NEW_YORK_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_HI_OPEX_FAV_EXT_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_MID_OPEX_FAV_EXT_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_LOW_OPEX_FAV_EXT_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_HI_OPEX_UNFAV_EXT_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_MID_OPEX_UNFAV_EXT_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_LOW_OPEX_UNFAV_EXT_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_NEW_YORK_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_HI_OPEX_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_MID_OPEX_FAC,BIKE_SHARE_FAC,scooter_flag_BUS_FAC,scooter_flag_RAIL_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
2.0,0,2015,1460,834611626.858,939315735.8610001,913699509.7710003,-25616226.089999966,887782301.8492858,-46793283.202355094,11782498.879741047,1.0041721750520232,2653957.9319366883,2.681113093838233,30303.426476594,7.898586925825586,4.435976716500871,0.0,0.0,0.5712412845098265,0.0,0.0,0.5921678437394784,0.0,0.0,0.0,0.0,0.4943164397806705,0.0,0.0,20395272.97117735,-1390626.6057271499,3609654.0508983056,-34847773.45011699,-9279321.180620894,-2066191.0013180359,-479971.36944292876,0.0,0.0,-10302585.760076582,0.0,0.0,-12127641.560604488,0.0,0.0,0.0,0.0,-303654.1901564401,0.0,0.0,-46792838.095987864,-46907589.95198238,21291363.86198242,0.0,-25616226.089999966
2.0,0,2016,1460,834611626.858,913699509.7710003,871357912.7650001,-42341597.00600023,855286817.9817173,-32495483.867568687,12159503.968070898,1.0184609177989752,2686779.4918045425,2.3755801696424443,31096.219498515795,7.72797644756597,4.946688751150995,0.0,0.0,1.0917269929793645,0.0,0.0,1.1277730891691062,0.0,0.0,0.0,0.0,0.6363086873439349,0.0,0.0,19561543.95423097,-2538391.3153963597,3362429.213171027,-12508688.504172195,-5685600.848782298,-1289504.6968527485,-1588044.8819752436,0.0,0.0,-15358241.039950728,0.0,0.0,-17217995.30864483,0.0,0.0,0.0,0.0,-196057.0135529699,0.0,0.0,-33458550.441925358,-33642423.60983544,-8699173.396164788,0.0,-42341597.00600023
2.0,0,2017,1460,834611626.858,871357912.7650001,831552342.074,-39805570.690999985,833394918.815551,-21891899.16616589,12281198.999156006,1.0133404209314982,2723302.8351998106,2.587111128318453,31229.150299464894,7.44784620037302,5.171365051111893,0.0,0.0,1.7092737796502282,0.0,0.0,1.7663172563974088,0.0,0.0,0.0,0.0,0.7309116146626478,0.0,0.0,6001895.563035476,1914848.4375662196,3409228.1253029867,8573636.754726378,-1110185.9817073524,-2692767.8557571406,-674526.0347671327,0.0,0.0,-17380750.60361136,0.0,0.0,-19434714.655313052,0.0,0.0,0.0,0.0,-141493.2124234231,0.0,0.0,-21534829.462948397,-22123382.74526685,-17682187.945733137,0.0,-39805570.690999985
2.0,0,2018,1460,834611626.858,831552342.074,809531783.5980002,-22020558.475999832,860574124.0679345,27179205.252383076,12605880.28948464,1.00855792694148,2755043.821763279,2.8661268906981574,31624.666416307315,7.199429887816254,5.467550284745095,0.0,0.0,1.3192247034763993,0.0,0.0,1.4100479939241575,0.0,0.0,0.0,0.0,0.8247575865068983,0.4107976167163236,0.0,11105939.605296865,2570677.1422643405,2959898.9490413195,9959115.526448034,-2646053.1233912017,-2185871.7664231197,-837366.987594129,0.0,0.0,10585343.382028501,0.0,0.0,10623913.665293073,0.0,0.0,0.0,0.0,-135347.37906561352,-15144938.232770454,0.0,26855310.781127617,26689712.78070206,-48710271.256701894,0.0,-22020558.475999832
2.0,1,2002,177,47452824.65639998,0.0,47452824.65639998,0.0,42999349.05392849,0.0,2968147.6581054074,1.2154478741037484,2770542.6833559438,1.9581685986983146,35531.351161575556,7.675141660306437,3.5465972047693852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3149083138507031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47452824.65639998,47452824.65639998
2.0,1,2003,177,47452824.65639998,47452824.65639998,47755010.070099965,302185.41369997925,46400531.26375452,3401182.2098260275,3075048.9974624915,0.9466322646901045,2814945.361398362,2.2252878842732264,34839.27799774473,7.718809353788715,3.5465972047693852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3149083138507031,0.0,0.0,853831.2610588848,2263923.720304655,256505.35361954625,661497.1883740169,233952.4066404868,22306.343735899845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4292016.273733489,4481652.6132993745,-4179467.1995993946,0.0,302185.41369997925
2.0,1,2004,199,48097598.65639998,47755010.070099965,53869702.55789999,5469918.4878000235,49556154.611485526,2786662.0459972117,2932927.638124809,0.9451620031242602,2834174.95883072,2.5351971551250343,33792.657754273074,7.760880473536916,3.535248117052813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3106867997039099,0.0,0.0,1052411.2805078363,683577.9344835485,278053.4725627496,704154.537952666,336904.4286163575,23637.756749559318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3078739.4108727165,3150875.6914292458,2319042.796370778,644773.9999999995,6114692.487800023
2.0,1,2005,199,48097598.65639998,53869702.55789999,61106761.72639997,7237059.168499976,54523410.100960635,4967255.489475108,3081301.51183402,0.9084037346465131,2886878.1872530584,2.990385455788874,32948.83510415257,7.775963179025527,3.535248117052813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3106867997039099,0.0,0.0,2859160.5768941347,406205.3789032438,356673.81740172685,1056274.1247053712,326368.5131239568,9145.241628928678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5013827.652657362,5146443.819333147,2090615.34916683,0.0,7237059.168499976
2.0,1,2006,199,48097598.65639998,61106761.72639997,67460493.81599995,6353732.089599991,59209028.3011191,4685618.200158466,3340081.7579764007,0.8913179790826883,2953629.6232219003,3.276391418979004,31637.036304327637,7.867588385492911,3.5924046189155976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3106867997039099,0.0,0.0,3036774.66553618,302444.98549491155,462858.87040568434,683227.4752212131,622382.5163974927,69735.15025355546,-15810.939376384933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5161612.723932652,5279178.282727311,1074553.8068726812,0.0,6353732.089599991
2.0,1,2007,267,49915575.14539998,67460493.81599995,73228318.37140007,3949848.06640012,64626603.5216123,2746655.1660978524,3697437.6534001767,1.0340992575368084,2913069.512762634,3.4746087310801883,31981.14454023015,7.653426524723514,3.9465082867934047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29937126751462667,0.0,0.0,4082496.799380917,-996544.2741625303,141497.98631591836,515243.6871590149,-262408.35934278776,-186451.97727119923,-79758.87173144806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3214074.990347885,3244242.797601855,705605.2687982648,1817976.4890000005,5767824.55540012
