CLUSTER_APTA_FAV_UNFAV,RAIL_FLAG,Year,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_NEW_YORK,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_HI_OPEX_FAV,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_MID_OPEX_FAV,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_LOW_OPEX_FAV,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_HI_OPEX_UNFAV,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_MID_OPEX_UNFAV,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_LOW_OPEX_UNFAV,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_NEW_YORK,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_HI_OPEX,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_MID_OPEX,BIKE_SHARE,scooter_flag_BUS,scooter_flag_RAIL,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_NEW_YORK_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_HI_OPEX_FAV_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_MID_OPEX_FAV_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_LOW_OPEX_FAV_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_HI_OPEX_UNFAV_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_MID_OPEX_UNFAV_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_LOW_OPEX_UNFAV_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_NEW_YORK_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_HI_OPEX_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_MID_OPEX_FAC,BIKE_SHARE_FAC,scooter_flag_BUS_FAC,scooter_flag_RAIL_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
10,0,2002,1201007994.0000014,0.0,1201007994.0000014,0.0,1097955665.7477484,0.0,253905652.10000002,0.979563485,25697520.38999998,1.9740000000000002,42439.07499999996,31.709999999999997,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1201007994.0000014,1201007994.0000014
10,0,2003,1201007994.0000014,1201007994.0000014,1127691152.9999998,-73316841.00000167,1020038204.7708355,-77917460.97691286,232535029.09999964,1.1512130359999997,26042245.26999999,2.2467999999999995,41148.63500000003,31.36,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72550616.67765698,-39630831.82558241,4756766.262748569,17106916.53079584,9512515.680297084,-4472509.032439547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85277759.06183745,-85230666.79721026,11913825.797208592,0.0,-73316841.00000167
10,0,2004,1201007994.0000014,1127691152.9999998,1109237034.0000017,-18454118.999998093,1071057420.498515,51019215.72767949,243107287.39999998,1.20597552,26563773.749999993,2.5669,39531.590000000004,31.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36099204.88478304,-11381018.596202208,6652387.258623394,17217952.341231294,11610058.183529431,-4319234.91524448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55879349.15672046,56403689.528499864,-74857808.52849796,0.0,-18454118.9999981
10,0,2005,1201007994.0000014,1109237034.0000017,1185413968.9999993,76176934.99999762,1147853411.81331,76795991.3147949,254087771.4,1.1702642379999997,27081157.49999996,3.0314999999999994,38116.91999999998,30.68,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35277208.302932404,7329279.718431558,6365283.087713495,22104954.233169664,10375817.047815934,-3777296.044213591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77675246.34584945,79533511.46147184,-3356576.461474225,0.0,76176934.99999762
10,0,2006,1201007994.0000014,1185413968.9999993,1159540668.9999998,-25873299.999999523,934166731.4665735,-213686680.34673643,252268420.80000016,2.8162655389999998,27655014.75000005,3.3499999999999996,36028.75000000002,30.18,3.7000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6021645.287243021,-241445509.35841504,7396384.359620902,14615200.796768086,17186936.134869386,-6301303.2513664365,-812033.2594637005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-215381969.8652298,-220679028.5809226,194805728.58092308,0.0,-25873299.999999523
10,0,2007,1201007994.0000014,1159540668.9999998,1100711966.9999993,-58828702.00000048,1176537020.991662,242370289.52508855,256261700.60000035,1.230985498,27714120.0,3.4605999999999995,36660.58,30.400000000000002,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12978232.07334704,280460146.4002161,734572.5386683561,4701231.552304166,-5138852.440464047,2722483.130364283,397358.91603581986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,296855172.1704717,300843733.98786676,-359672435.98786724,0.0,-58828702.00000048
10,0,2008,1201007994.0000014,1100711966.9999993,1112567173.9999998,11855207.000000477,1210749154.697234,34212133.70557189,260943220.70000005,1.242132803,27956797.669999957,3.9194999999999998,36716.94000000002,30.420000000000005,3.7000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14213045.497914147,-2211513.1861491636,2850311.1076497617,17508006.217112545,-431917.1025397738,234691.3964166942,-377069.8981743112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31785554.0322299,32007241.858472668,-20152034.85847219,0.0,11855207.000000477
10,0,2009,1201007994.0000014,1112567173.9999998,1079011273.9999983,-33555900.00000143,1161572667.8728633,-49176486.82437062,261208990.79999962,1.298489488,27734538.00000004,2.8430999999999997,35494.290000000015,30.61,3.8999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,802934.8979806836,-11089126.08268401,-2631117.413262605,-43403792.61311298,9668276.99713028,2255625.0381957237,-762131.6875805589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45159330.86333346,-45188670.80036893,11632770.800367497,0.0,-33555900.00000143
10,0,2010,1201007994.0000014,1079011273.9999983,1055804062.9999982,-23207211.00000012,1092374780.2090273,-69197887.663836,234440206.99999973,1.3328625240000003,27553600.74999996,3.2889999999999997,35213.00000000002,30.93,3.8999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-79590075.47679792,-6443712.305586914,-2092929.9943468987,19258301.85642277,2195651.0235274844,3686923.0755331046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62985841.82124838,-64279491.926231116,41072280.926231,0.0,-23207211.00000012
10,0,2011,1201007994.0000014,1055804062.9999982,1024067732.9999994,-31736329.999998808,1101880391.6269097,9505611.417882442,228510747.49999994,1.410313236,27682634.670000013,4.0656,34147.68000000002,31.299999999999997,3.8999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18994999.35171454,-13823294.354211565,1464258.007022584,28699031.202375963,8319416.965312554,4172429.204556065,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9836841.673341062,9187380.86792805,-40923710.86792686,0.0,-31736329.999998808
