CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,JTW_HOME_PCT,YEARS_SINCE_TNC_NEW_YORK_BUS,YEARS_SINCE_TNC_BUS_HI_FAV,YEARS_SINCE_TNC_BUS_MID_FAV,YEARS_SINCE_TNC_BUS_LOW_FAV,YEARS_SINCE_TNC_BUS_HI_UNFAV,YEARS_SINCE_TNC_BUS_MID_UNFAV,YEARS_SINCE_TNC_BUS_LOW_UNFAV,YEARS_SINCE_TNC_NEW_YORK_RAIL,YEARS_SINCE_TNC_RAIL_HI_FAV,YEARS_SINCE_TNC_RAIL_MID_FAV,YEARS_SINCE_TNC_RAIL_HI_UNFAV,YEARS_SINCE_TNC_RAIL_MID_UNFAV,BIKE_SHARE,scooter_flag_BUS,scooter_flag_RAIL,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_NEW_YORK_BUS_FAC,YEARS_SINCE_TNC_BUS_HI_FAV_FAC,YEARS_SINCE_TNC_BUS_MID_FAV_FAC,YEARS_SINCE_TNC_BUS_LOW_FAV_FAC,YEARS_SINCE_TNC_BUS_HI_UNFAV_FAC,YEARS_SINCE_TNC_BUS_MID_UNFAV_FAC,YEARS_SINCE_TNC_BUS_LOW_UNFAV_FAC,YEARS_SINCE_TNC_NEW_YORK_RAIL_FAC,YEARS_SINCE_TNC_RAIL_HI_FAV_FAC,YEARS_SINCE_TNC_RAIL_MID_FAV_FAC,YEARS_SINCE_TNC_RAIL_HI_UNFAV_FAC,YEARS_SINCE_TNC_RAIL_MID_UNFAV_FAC,BIKE_SHARE_FAC,scooter_flag_BUS_FAC,scooter_flag_RAIL_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
1.0,0,2002,170,2217749581.3899984,0.0,2217749581.3899984,0.0,2017222484.714267,0.0,69431799.7197327,0.9102786426790755,9573567.147229096,1.9989229721513273,39381.46996217698,9.917688031220283,3.943894077151392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2217749581.3899984,2217749581.3899984
1.0,0,2003,170,2217749581.3899984,2217749581.3899984,2150502599.5,-67246981.8899984,2075238688.4231193,58016203.708852604,69475683.98892178,0.9054507006567448,9715711.205998616,2.3077092528111955,38481.401176415784,9.826644161827897,3.943894077151392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2214963.4888551803,4256483.248290954,10437250.696750948,40104536.27579018,12739838.353205772,-2125832.5873910366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63197312.49779165,64341606.451356046,-131588588.34135446,0.0,-67246981.8899984
1.0,0,2004,180,2396974804.189998,2150502599.5,2410970009.3499994,81242187.04999955,2363046423.6427712,109598967.50928025,71765534.36699252,0.8811162919632667,9734314.785986489,2.6074594940671103,38183.5899208982,9.786967610316058,3.9555663395189544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35537687.743125506,10440525.034686014,12391988.753793726,36210567.19646683,17382712.031468,-2027563.3368481258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109935917.42269197,112525378.33926627,-31283191.28926673,179225222.7999998,260467409.84999937
1.0,0,2005,190,2522641887.5899982,2410970009.3499994,2568753504.359998,32116411.60999866,2573079871.81801,43168601.88154788,70767074.62729827,0.9087090062317907,9670224.813841425,3.062916995899679,37264.378429144956,9.582088125114511,3.9826876644101383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-27839372.82976474,-7856259.670932749,14300306.276750334,52840125.35639662,16784569.084127177,-3023165.897938232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45206202.31863842,44764042.8624928,-12647631.252494132,125667083.39999999,157783495.00999865
1.0,0,2006,190,2522641887.5899982,2568753504.359998,2599108816.4200006,30355312.06000215,2646307077.8524866,73227206.03447706,70624705.95700414,0.8882597678785299,9915449.72534454,3.3556920653529003,35771.54082544715,9.461948548694796,4.301551787507873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6554537.503968375,11253637.89329591,19375066.442784052,33211136.19357546,27189212.712823123,-3372270.596885944,-4859570.874241766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76242674.26738247,76832579.20949139,-46477267.14948924,0.0,30355312.06000215
1.0,0,2007,190,2522641887.5899982,2599108816.4200006,2608864140.5399995,9755324.119999122,2663357704.5848355,17050626.732348427,71582714.22176692,0.9208602306780258,9964969.767975949,3.5310062794088344,36276.70610707583,9.294565236313069,4.427488539822927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29711303.351933025,-19352702.330091882,5338879.572357331,18963788.63859777,-9384919.7820131,-4479603.569741729,-2093975.547349935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18702770.333691478,18427960.672896836,-8672636.552897712,0.0,9755324.119999122
1.0,0,2008,190,2522641887.5899982,2608864140.5399995,2692308348.7999997,83444208.26,2741735983.8155127,78378279.23067705,71889164.48625225,0.9010416257843538,9988399.399665158,3.955455444520034,36238.9188156954,9.45546218646883,4.5087477275865275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07104663713136958,0.0,0.0,14165244.875541765,10309850.268112347,3530325.9000302367,43488075.39850891,886310.6640092665,4437964.460528841,-1270634.2487415033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-382449.70865263464,0.0,0.0,75164687.60933723,75968070.11002982,7476138.149970191,0.0,83444208.26
1.0,0,2009,190,2522641887.5899982,2692308348.7999997,2564111221.5099993,-128197127.29000038,2586477277.2158346,-155258706.5996778,70967398.2597386,0.9931869138552726,9910892.794405615,2.910136204717093,34545.63545432737,9.567124689695598,4.719340665911408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07104663713136958,0.0,0.0,-18881227.94501422,-51769933.00514271,-3336811.196498401,-115284232.4724597,34915492.722469546,3155090.955099226,-3418007.8847707794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-154619628.82631704,-153436393.22210607,25239265.932105698,0.0,-128197127.29000038
1.0,0,2010,190,2522641887.5899982,2564111221.5099993,2477369488.950001,-86741732.55999818,2563710720.2073493,-22766557.008485384,67087317.12761723,1.0111597906938308,9893600.102716183,3.361963555301827,33716.16047364013,9.777768115564363,4.947970199308635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12768546404250905,0.0,0.0,-82490314.74538857,-9222242.760708848,384308.74327183794,52362211.041228384,16607716.232724886,5882316.053869828,-3534631.5764093483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-326136.05235972087,0.0,0.0,-20336773.06377154,-21679709.919912506,-65062022.64008567,0.0,-86741732.55999818
1.0,0,2011,190,2522641887.5899982,2477369488.950001,2507911504.070001,30542015.120000165,2593256115.8086314,29545395.601282313,64589050.40171328,1.0324809729209732,9986664.100329852,4.092877324962317,33057.75489723392,10.06543443684577,4.895036823332479,0.0,0.12496612787206522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16867203693208302,0.0,0.0,-55182809.68974557,-10127094.312249139,7054248.223592685,71970293.09305651,12934516.576519584,7647616.696780759,836833.4238485912,0.0,-3541546.61983128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-225804.17500405008,0.0,0.0,31366253.216968097,29719173.833725836,822841.2862743279,0.0,30542015.120000165
