CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,TSD_POP_PCT_LEHD,JTW_HOME_PCT,PER_CAPITA_TNC_TRIPS_HI_OPEX_RAIL,PER_CAPITA_TNC_TRIPS_MIDLOW_RAIL,PER_CAPITA_TNC_TRIPS_NEW_YORK_RAIL,BIKE_SHARE,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_LEHD_FAC,JTW_HOME_PCT_FAC,PER_CAPITA_TNC_TRIPS_HI_OPEX_RAIL_FAC,PER_CAPITA_TNC_TRIPS_MIDLOW_RAIL_FAC,PER_CAPITA_TNC_TRIPS_NEW_YORK_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
1.0,0,2012,190,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,2013,190,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,2014,190,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,2015,190,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,2016,190,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,2017,190,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,2018,190,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1,2002,150,1069915403.6549995,0.0,1069915403.6549995,0.0,930805148.6757183,0.0,50740292.21743832,1.7132453925100735,8927514.051883135,1.949940969517053,43176.306881082004,11.157892424809805,46.68933719728087,3.9475414957497903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1069915403.6549995,1069915403.6549995
1.0,1,2003,150,1069915403.6549995,1069915403.6549995,1280048422.5410004,-8072855.01399936,1211530144.6250079,77305130.8036507,55154282.01802548,1.7044660506167681,9071937.991237985,2.226216353111717,42308.368744748106,10.988696350111722,46.018538277730094,3.9475414957497903,0.0,0.0,0.0,0.0,0.0,41925980.24400573,1281932.7069643838,11345306.136854433,17029944.79875141,16160450.720048131,-3345385.23256479,2602545.608751204,0.0,0.0,0.0,0.0,0.0,0.0,87000774.9828105,89307026.85435766,-97379881.86835702,0.0,-8072855.01399936
1.0,1,2004,160,1077611290.6549995,1280048422.5410004,1353575032.9800003,65830723.439000234,1305762588.478591,86055953.40459892,55263206.73393591,1.706383294131811,9242271.362888057,2.5518910683608502,41030.5670729212,10.794680348457629,45.80710310552683,3.940060355705126,0.0,0.0,0.0,0.0,0.0,14478725.582918491,11098772.461387709,17032335.520290494,21993995.14768429,29819438.60534158,-2196521.726027827,338447.58466725296,0.0,0.0,0.0,0.0,0.0,0.0,92565193.176262,95944103.09863752,-30113379.65963728,7695887.0000000065,73526610.43900023
1.0,1,2005,180,1119130613.6549995,1353575032.9800003,1433053203.5989985,37958847.618998334,1407030114.4024718,62145168.336833425,54028360.39416022,1.6956620198145838,9248942.389695173,3.021953290452779,39892.89094194201,10.446193998783242,45.91197169635511,3.9587157425717208,0.0,0.0,0.0,0.0,0.0,-2431991.196028671,-8193263.767680684,18543131.62129335,29717422.93495712,28986203.51850391,-2504252.8966497006,496521.6496447241,0.0,0.0,0.0,0.0,0.0,0.0,64613771.864040054,65598191.819504835,-27639344.200506505,41519322.99999996,79478170.61899829
1.0,1,2006,180,1119130613.6549995,1433053203.5989985,1493228483.3160005,60175279.71700171,1507893039.0680208,100862924.66554905,56052606.43692524,1.7718228541615237,9504547.658474248,3.3087203668259746,38228.97028969822,10.313201742091476,45.866114362554256,4.261813319039653,0.0,0.0,0.0,0.0,0.0,30711769.395101245,-20782439.139110144,25121299.06593079,18013412.904997334,47761777.064421445,-1757438.9640277284,263826.24041298265,3749858.8328866917,0.0,0.0,0.0,0.0,0.0,103082065.40061261,105273078.84217167,-45097799.12516993,0.0,60175279.71700171
1.0,1,2007,180,1119130613.6549995,1493228483.3160005,1522929524.6890004,29701041.372999795,1565052896.825248,57159857.75722713,60015922.49143932,1.7149081592791167,9569650.128342526,3.4804285654891243,38847.13296548714,10.089734222864166,44.56015657319768,4.4118228256806304,0.0,0.0,0.0,0.0,0.0,44653098.02682816,6517576.839535286,7151426.56753351,9903555.47511373,-14029505.239976797,-4170880.1542155505,5822558.999180841,3141712.33661766,0.0,0.0,0.0,0.0,0.0,58989542.85061683,58584050.14077839,-28883008.767778587,0.0,29701041.372999795
1.0,1,2008,180,1119130613.6549995,1522929524.6890004,1598394722.8410003,75465198.15200022,1598115168.827511,33062272.002263233,61335958.596289076,1.7542765156421594,9612313.064560339,3.9133297615681544,38780.348703267206,10.262226642961638,45.468121143022486,4.533894267311853,0.0,0.0,0.0,0.22085217702407886,0.0,23441084.76953571,-22040377.48607398,5999742.938175805,25290155.354023844,1087434.7158995192,4081600.4549638545,-3924541.0105290944,1257741.9476945016,0.0,0.0,0.0,-2196172.4818846122,0.0,32996669.201805547,32685644.26176565,42779553.89023456,0.0,75465198.15200022
1.0,1,2009,190,1130478954.6549995,1598394722.8410003,1579728635.7830002,-30014428.058000095,1559967189.7567618,-54210293.681446366,60409172.31291053,1.8584606115959221,9526119.875993827,2.856067915950392,36999.02384942472,10.413560182811203,44.88449725670649,4.703335866860919,0.0,0.0,0.0,0.21863514697222222,0.0,6033539.4357701065,-48458346.07610794,-1946756.600897313,-67772682.04421517,50749797.841780186,3946498.9650935526,2327827.483417898,2761224.961395262,0.0,0.0,0.0,0.0,0.0,-52358896.0337634,-54497482.80580537,24483054.747805264,11348341.000000006,-18666087.058000095
1.0,1,2010,190,1130478954.6549995,1579728635.7830002,1584263531.962,4534896.178999625,1592752476.9871078,32785287.23034638,60255839.483777255,1.8734898923527579,9530398.648130978,3.3077109386909633,36063.126095495856,10.568447594625088,57.070263312360616,4.960240170430224,0.0,0.0,0.0,0.23484507391030698,0.0,27209085.35718633,-1344917.8611412356,2696379.1383267506,31807752.3098054,27642029.336770937,8208742.1489164075,-53643529.92616796,3618342.1726991823,0.0,0.0,0.0,-229416.96211870533,0.0,45964465.71427712,46589222.96952645,-42054326.79052683,0.0,4534896.178999625
1.0,1,2011,190,1130478954.6549995,1584263531.962,1649966415.230001,65702883.268000945,1677812615.000998,85060138.01389036,60471383.923604265,1.920381012867714,9620539.333064929,4.04736307401896,35547.95889618894,10.935145595557673,56.943289037731546,4.861583701425425,0.0,0.0,0.0,0.23484507391030698,0.0,3843838.293883665,-6175346.909408089,9961794.69098853,45855630.97599677,19254716.235321734,8818002.636073653,1246861.5144113072,-601636.1096537894,0.0,0.0,0.0,-1833722.325767781,0.0,80370139.00184602,81870240.46332595,-16167357.195325004,0.0,65702883.268000945
