CLUSTER_APTA_FAV_UNFAV,RAIL_FLAG,Year,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,TSD_POP_EMP_PCT,JTW_HOME_PCT,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_NEW_YORK,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_HI_OPEX_FAV,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_MID_OPEX_FAV,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_LOW_OPEX_FAV,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_HI_OPEX_UNFAV,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_MID_OPEX_UNFAV,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_LOW_OPEX_UNFAV,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_NEW_YORK,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_HI_OPEX,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_MID_OPEX,BIKE_SHARE,scooter_flag_BUS,scooter_flag_RAIL,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_EMP_PCT_FAC,JTW_HOME_PCT_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_NEW_YORK_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_HI_OPEX_FAV_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_MID_OPEX_FAV_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_LOW_OPEX_FAV_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_HI_OPEX_UNFAV_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_MID_OPEX_UNFAV_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_LOW_OPEX_UNFAV_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_NEW_YORK_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_HI_OPEX_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_MID_OPEX_FAC,BIKE_SHARE_FAC,scooter_flag_BUS_FAC,scooter_flag_RAIL_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
10,0,2002,1201007994.0000014,0.0,1201007994.0000014,0.0,1099336846.8724763,0.0,253905652.10000002,0.979563485,25697520.38999998,1.9740000000000002,42439.07499999996,31.709999999999997,0.5000266149251159,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1201007994.0000014,1201007994.0000014
10,0,2003,1201007994.0000014,1201007994.0000014,1127691152.9999998,-73316841.00000167,1021331870.3055642,-78004976.56691217,232535029.09999964,1.1512130359999997,26042245.26999999,2.2467999999999995,41148.63500000003,31.36,0.4994966456494778,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-71957018.23736472,-40423985.1884901,4654331.1716761375,17643492.532093067,9064366.403587418,-4239614.098910517,-14669.367615712206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-85273096.78502443,-85219194.36719446,11902353.36719279,0.0,-73316841.00000167
10,0,2004,1201007994.0000014,1127691152.9999998,1109237034.0000017,-18454118.999998093,1071846914.1635551,50515043.85799098,243107287.39999998,1.20597552,26563773.749999993,2.5669,39531.590000000004,31.0,0.49415983310371747,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35789746.482546724,-11611539.746564442,6508995.56528981,17758291.62040177,11062477.626835987,-4094332.7248131013,-138695.65859835388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55274943.16509839,55775570.80933977,-74229689.80933785,0.0,-18454118.999998085
10,0,2005,1201007994.0000014,1109237034.0000017,1185413968.9999993,76176934.99999762,1148711631.463387,76864717.29983187,254087771.4,1.1702642379999997,27081157.49999996,3.0314999999999994,38116.91999999998,30.68,0.49018125488386655,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34974826.5491778,7479006.232749475,6228090.615712338,22800294.030928567,9886665.62329183,-3580572.7903076904,-101706.75644047128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77686603.50511186,79546052.62212278,-3369117.6221251637,0.0,76176934.99999762
10,0,2006,1201007994.0000014,1185413968.9999993,1159540668.9999998,-25873299.999999523,930487582.2116492,-218224049.25173783,252268420.80000016,2.8162655389999998,27655014.75000005,3.3499999999999996,36028.75000000002,30.18,0.4929711633644897,3.7000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5970951.326176899,-245812648.84218192,7236929.501998509,15073176.165383149,16374723.998023309,-5973427.094907137,76223.94357908468,-828716.3272500257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-219824689.98153195,-225196497.77133727,199323197.77133775,0.0,-25873299.999999523
10,0,2007,1201007994.0000014,1159540668.9999998,1100711966.9999993,-58828702.00000048,1177088088.6019113,246600506.39026213,256261700.60000035,1.230985498,27714120.0,3.4605999999999995,36660.58,30.400000000000002,0.48830547590354056,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12868091.357596463,286825137.575717,718779.4680129173,4847925.9868257735,-4898171.176334321,2580307.639162545,-124679.6954636066,405526.86197779106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,303222918.01749456,307304816.98192334,-366133518.9819238,0.0,-58828702.00000048
10,0,2008,1201007994.0000014,1100711966.9999993,1112567173.9999998,11855207.000000477,1211626837.415903,34538748.813991785,260943220.70000005,1.242132803,27956797.669999957,3.9194999999999998,36716.94000000002,30.420000000000005,0.4869838849421918,3.7000000000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14092323.975114543,-2256493.538167988,2788971.783502968,18057625.53054278,-411648.91613261454,222447.54615342926,-33525.98818481593,-384818.08165867213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32074882.31116963,32297679.768319506,-20442472.76831903,0.0,11855207.000000477
10,0,2009,1201007994.0000014,1112567173.9999998,1079011273.9999983,-33555900.00000143,1160120681.7032614,-51506155.712641716,261208990.79999962,1.298489488,27734538.00000004,2.8430999999999997,35494.290000000015,30.61,0.4847560720404118,3.8999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,796155.7716734518,-11313749.498228291,-2574632.25244138,-44727784.1606216,9212624.100547219,2137847.9935871665,-57123.03333518737,-777789.5371302316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47304450.61594885,-47295137.690275125,13739237.690273695,0.0,-33555900.00000143
10,0,2010,1201007994.0000014,1079011273.9999983,1055804062.9999982,-23207211.00000012,1092173460.9935615,-67947220.70969987,234440206.99999973,1.3328625240000003,27553600.74999996,3.2889999999999997,35213.00000000002,30.93,0.49441012262664735,3.8999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-78943539.84076393,-6574506.164968988,-2047989.3366077482,19863461.20565602,2092498.5476159842,3494284.656820586,240105.06531548174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61875685.866932586,-63196715.94432034,39989504.944320224,0.0,-23207211.00000012
10,0,2011,1201007994.0000014,1055804062.9999982,1024067732.9999994,-31736329.999998808,1101739479.19287,9566018.199308395,228510747.49999994,1.410313236,27682634.670000013,4.0656,34147.68000000002,31.299999999999997,0.49182096061092534,3.8999999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18836121.85617073,-14102849.40312987,1432765.3442477586,29605088.412553918,7927483.948199744,3954368.4887516215,-63000.94329201414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9917733.99116043,9247469.602835618,-40983799.602834426,0.0,-31736329.999998808
