CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,TSD_POP_EMP_PCT,JTW_HOME_PCT,PER_CAPITA_TNC_TRIPS_HINY_BUS,PER_CAPITA_TNC_TRIPS_MID_OPEX_BUS,PER_CAPITA_TNC_TRIPS_LOW_OPEX_BUS,PER_CAPITA_TNC_TRIPS_HINY_RAIL,PER_CAPITA_TNC_TRIPS_MIDLOW_RAIL,BIKE_SHARE,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_EMP_PCT_FAC,JTW_HOME_PCT_FAC,PER_CAPITA_TNC_TRIPS_HINY_BUS_FAC,PER_CAPITA_TNC_TRIPS_MID_OPEX_BUS_FAC,PER_CAPITA_TNC_TRIPS_LOW_OPEX_BUS_FAC,PER_CAPITA_TNC_TRIPS_HINY_RAIL_FAC,PER_CAPITA_TNC_TRIPS_MIDLOW_RAIL_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
1.0,0,2002,180,2067895160.7899988,0.0,2067895160.7899988,0.0,1807433383.5891593,0.0,72621594.58936529,0.9257852427478948,9853400.513620235,1.9978760312339712,39168.6524228141,9.891235780095023,0.6031742875623738,3.9553254151744777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2067895160.7899988,2067895160.7899988
1.0,0,2003,180,2067895160.7899988,2067895160.7899988,2107511663.5000002,-71367838.58999853,1990769631.903705,71346479.16466606,72761018.99291119,0.9202342005331232,9993603.669420617,2.306545748185467,38278.9936186953,9.78976636648368,0.6008177949846305,3.9553254151744777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4087665.2877228837,7786366.054005502,8817133.30655133,44434196.22027196,17664728.101215575,-1496303.4361067615,-1903867.7660858326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79389917.76757467,81120741.13488744,-152488579.724886,0.0,-71367838.58999853
1.0,0,2004,180,2067895160.7899988,2107511663.5000002,2410970009.3499994,249169221.8499993,2284357443.305638,246960426.78241584,75185690.31458898,0.8988627424262527,10176473.573655365,2.6186899441822,37076.97899793944,9.690848213470082,0.5982636239085546,3.9553254151744777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55778847.41148855,17063585.860790122,11303699.672519071,42256765.90663873,25853296.480139103,-1237617.0841306264,-1807984.1585686621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149210594.0888763,153092670.30881864,96076551.54118066,0.0,249169221.8499993
1.0,0,2005,190,2193562244.1899986,2410970009.3499994,2568753504.359998,32116411.60999866,2502249488.8451915,52286350.02409835,74442134.24016514,0.9234788283321796,10047591.368048906,3.0711520208882934,36205.34764991274,9.481229100935948,0.5903465601142085,3.986529301300082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-32452235.303370424,-13132540.75363804,13724078.616590828,62829914.96863285,25033693.157543786,-2046455.737476692,-1914774.6807945324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52041680.267487764,51298921.022927426,-19182509.412928768,125667083.39999999,157783495.00999865
1.0,0,2006,190,2193562244.1899986,2568753504.359998,2599108816.4200006,30355312.06000215,2604643957.194868,102394468.34967701,74268722.59987088,0.8950782304808966,10294146.94417497,3.3643053307840884,34682.936523503304,9.370401930051875,0.5890836929148567,4.342135710957284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7559420.3020711485,20046775.3901741,18593786.419577777,39456118.86840186,40592792.88662903,-2284358.4327526386,-1498861.9838981195,114782.08678006235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107461614.93284094,108678692.00960295,-78323379.9496008,0.0,30355312.06000215
1.0,0,2007,190,2193562244.1899986,2599108816.4200006,2608864140.5399995,9755324.119999122,2604491730.4685106,-152226.72635779157,74926024.88055754,0.9294079584406322,10340276.478127552,3.544732843906518,35198.67162775615,9.171382163185443,0.5839674031115747,4.430405507426404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35077228.56541617,-32491564.54539394,5123985.981067579,22518707.12643472,-13951329.849500218,-3035129.979462105,-5250274.103400843,49434.0389281325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8041057.234089503,7350698.886115792,2404625.2338833343,0.0,9755324.119999122
1.0,0,2008,190,2193562244.1899986,2608864140.5399995,2692308348.7999997,83444208.26,2701048004.3770494,96556273.90853946,75105587.1062302,0.9144656587943939,10355784.210147355,3.963848698850466,35229.84130507602,9.386512994240867,0.5879480003701787,4.512245327326427,0.0,0.0,0.0,0.0,0.0,8.77754896219498e-05,0.0,16774687.71815628,17844765.809236743,3388243.734367751,51683998.75578778,1338363.709220984,2998138.6370489877,3381391.4743880765,30019.107056301982,0.0,0.0,0.0,0.0,0.0,-1755669.457509024,0.0,95683939.48775387,97201284.70216061,-13757076.442160595,0.0,83444208.26
1.0,0,2009,190,2193562244.1899986,2692308348.7999997,2564111221.5099993,-128197127.29000038,2510852267.4964867,-190195736.8805637,74157529.42655672,1.0099300810385816,10260279.09816204,2.9230575678923776,33443.89836376854,9.462162537158799,0.5896342897239206,4.744659037700648,0.0,0.0,0.0,0.0,0.0,8.77754896219498e-05,0.0,-22042533.633399565,-87341452.16638257,-3203184.7924891817,-136241677.81454977,52158407.0173235,2130476.3400249993,2342297.5885296958,80646.76681151707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-192117020.69413137,-190719209.91458774,62522082.624587364,0.0,-128197127.29000038
1.0,0,2010,190,2193562244.1899986,2564111221.5099993,2477369488.950001,-86741732.55999818,2507862073.243882,-2990194.252603695,69775840.93253073,1.0267474090301953,10228948.181007974,3.374099005375026,32563.699246829754,9.659570798555047,0.5881301524110273,4.95533970583854,0.0,0.0,0.0,0.0,0.0,0.06522359627995478,0.0,-96363551.21802665,-15344355.420776978,368369.7662052782,62251798.08212774,24771521.505790576,3973007.6695233644,35462592.89760913,83388.24807626042,0.0,0.0,0.0,0.0,0.0,-1497156.6016816767,0.0,13705614.928847034,12698988.849310681,-99440721.40930888,0.0,-86741732.55999818
1.0,0,2011,190,2193562244.1899986,2477369488.950001,2507911504.070001,30542015.120000165,2534074229.6548038,26212156.41092098,66814678.36430586,1.0425301600003827,10320640.95190944,4.100715665788653,31885.135038494594,9.931657286290795,0.5846689925011354,4.909063390818137,0.0,0.0,0.0,0.0,0.0,0.06522359627995478,0.0,-64590609.10835314,-17088872.848557092,6770462.41146096,85631477.14879926,19291647.647974532,5167709.043597517,-3620135.7557399813,-19657.314792839203,0.0,0.0,0.0,0.0,0.0,-1036574.1807707932,0.0,30505447.04361841,28125693.247421216,2416321.872578945,0.0,30542015.120000165
