CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,TSD_POP_EMP_PCT,JTW_HOME_PCT,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_HI_OPEX,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_MID_OPEX,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_LOW_OPEX,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_NEW_YORK,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_HI_OPEX,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_MID_OPEX,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_NEW_YORK,BIKE_SHARE,scooter_flag_BUS,scooter_flag_RAIL,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_EMP_PCT_FAC,JTW_HOME_PCT_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_HI_OPEX_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_MID_OPEX_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_LOW_OPEX_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_BUS_NEW_YORK_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_HI_OPEX_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_MID_OPEX_FAC,TNC_TRIPS_PER_CAPITA_CLUSTER_RAIL_NEW_YORK_FAC,BIKE_SHARE_FAC,scooter_flag_BUS_FAC,scooter_flag_RAIL_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
1,0,2002,10,71964305.67,0,71964305.67,0,56149615,0,25886177.45,1.002368736,6335904.656,1.862,42909.71563,5.44,0.220555603,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71964305.67,71964305.67
1,0,2003,10,71964305.67,71964305.67,68501783.1,-3462522.57,58161933.39,2012318.387,25837373.14,1.010998912,6629834.125,2.0961,41181.94313,5.63,0.220106384,4.5,0,0,0,0,0,0,0,0,0,0,-95381.78753,-127048.6892,954705.0198,959894.7985,718229.4468,140926.3563,-875.5134666,0,0,0,0,0,0,0,0,0,0,0,2550449.631,2579093.294,-6041615.864,0,-3462522.57
1,0,2004,10,71964305.67,68501783.1,67114504.1,-1387279,57100066.82,-1061866.571,23420319.17,0.988609671,6939086.58,2.4605,39133.5875,5.82,0.209622747,4.5,0,0,0,0,0,0,0,0,0,0,-4569054.158,315829.617,913675.7871,1296690.998,849716.7954,134145.763,-19446.53515,0,0,0,0,0,0,0,0,0,0,0,-1078441.733,-1250641.945,-136637.0548,0,-1387279
1,0,2005,10,71964305.67,67114504.1,69837673.21,2723169.11,57382648.52,282581.7034,21620079.24,0.930633988,7265994.58,2.967,37373.88,5.94,0.218451551,4.5,0,0,0,0,0,0,0,0,0,0,-3668540.11,820841.6163,903962.0647,1562949.715,750305.3419,82977.92308,16049.45259,0,0,0,0,0,0,0,0,0,0,0,468546.0033,332142.0087,2391027.101,0,2723169.11
1,0,2006,10,71964305.67,69837673.21,69240562.11,-597111.1,62770061.6,5387413.075,22785634.13,0.899591978,7664023.25,3.2375,34728.75,6.28,0.215577589,4.9,0,0,0,0,0,0,0,0,0,0,2625353.008,466656.136,1090896.686,780705.7268,1249767.432,244920.816,-5435.555659,-111863.407,0,0,0,0,0,0,0,0,0,0,6341000.842,6556762.427,-7153873.527,0,-597111.1
1,0,2007,10,71964305.67,69240562.11,64691415.81,-4549146.3,67103230.8,4333169.206,25440587.71,0.952599743,7881288.58,3.3759,35747.03,5.76,0.208158123,5,0,0,0,0,0,0,0,0,0,0,5576590.712,-778559.3674,564822.5998,376049.4082,-481829.8651,-369741.6519,-13911.68237,-27743.41409,0,0,0,0,0,0,0,0,0,0,4845676.739,4779843.51,-9328989.81,0,-4549146.3
1,0,2008,10,71964305.67,64691415.81,71757985.49,7066569.68,73752713.88,6649483.08,27272419.03,0.835612233,7965841.25,3.861,35571.51,5.86,0.208227324,5.7,0,0,0,0,0,0,0,0,0,0,3239738.441,1663179.602,200940.7191,1156413.946,76987.67478,66644.89045,121.2410047,-181226.6275,0,0,0,0,0,0,0,0,0,0,6222799.886,6410488.284,656081.3961,0,7066569.68
1,0,2009,10,71964305.67,71757985.49,70318537.05,-1439448.44,71115395.4,-2637318.479,27195548.75,0.889321332,7920306.75,2.7612,32861.79,6.11,0.215364047,5.6,0,0,0,0,0,0,0,0,0,0,-142207.8056,-845248.7423,-119453.3989,-3035942.2,1387104.2,184954.9392,13870.78785,28763.62418,0,0,0,0,0,0,0,0,0,0,-2528158.596,-2565989.117,1126540.677,0,-1439448.44
1,0,2010,10,71964305.67,70318537.05,65614328.05,-4704209,70704066.11,-411329.2961,25658991.48,0.848970423,7720609.58,3.2085,30866,6.14,0.21688099,5.8,0,0,0,0,0,0,0,0,0,0,-2816302.969,626497.9484,-519947.3827,1344345.483,1072702.519,21724.74833,2888.937368,-56339.38812,0,0,0,0,0,0,0,0,0,0,-324430.1035,-406720.2915,-4297488.709,0,-4704209
1,0,2011,10,71964305.67,65614328.05,61716472.41,-3897855.64,66022950.86,-4681115.243,22097194.65,0.865249536,7844849.67,3.9536,30030.56,6.17,0.212369356,5.5,0,0,0,0,0,0,0,0,0,0,-6541906.914,-235889.2041,305128.2561,1827537.466,436493.8498,20271.39391,-8016.709545,78934.59409,0,0,0,0,0,0,0,0,0,0,-4117447.267,-4344138.154,446282.5137,0,-3897855.64
