GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
310M400US10180,10180,"Abilene, TX Metro Area",165252,165246,165583,166616,167447,167472,168355,169704,170018,170516,171451
310M400US10420,10420,"Akron, OH Metro Area",703200,703203,703035,703123,702080,703625,704921,704448,703690,704367,704845
310M400US10500,10500,"Albany, GA Metro Area",157308,157493,157589,157853,157349,156019,155248,153604,152353,151293,153009
310M400US10540,10540,"Albany, OR Metro Area",116672,116676,116887,118155,118273,118416,119063,120244,122730,124977,127335
310M400US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",870716,870714,871080,872701,874674,877095,878184,879131,879790,882130,883169
310M400US10740,10740,"Albuquerque, NM Metro Area",887077,887064,889574,897983,902017,905150,904852,906548,909833,912897,915927
310M400US10780,10780,"Alexandria, LA Metro Area",153922,153918,154092,154378,154384,154617,154560,154102,154160,153604,153044
310M400US10900,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",821173,821267,821914,824863,826139,825783,828581,830361,833144,838081,842913
310M400US11020,11020,"Altoona, PA Metro Area",127089,127116,127043,126959,126540,125835,125276,124585,123680,123175,122492
310M400US11100,11100,"Amarillo, TX Metro Area",251933,251937,252677,255972,257821,258938,260874,261804,263327,264955,265947
310M400US11180,11180,"Ames, IA Metro Area",89542,89542,89654,91125,91999,93871,95797,96605,96845,97260,98105
310M400US11260,11260,"Anchorage, AK Metro Area",380821,380821,383045,387870,391903,397032,398031,398681,401373,400647,399148
310M400US11460,11460,"Ann Arbor, MI Metro Area",344791,345104,345658,349676,352262,356015,360035,363109,366488,369208,370963
