CBSA Code,Year,POP_CENSUSTRACT,WAC_TOTAL,WAC_RETAIL
10180,2002,3954.0,5699,266
10180,2003,3961.5,5544,268
10180,2004,3969.0,5796,303
10180,2005,3976.5,5505,250
10180,2006,3984.0,5469,276
10180,2007,3991.5,5735,273
10180,2008,3999.0,5883,335
10180,2009,4006.5,5831,312
10180,2010,4014.0,5731,314
10180,2011,4021.5,5344,301
10180,2012,4029.0,4982,324
10180,2013,4036.5,4982,307
10180,2014,4044.0,4905,305
10180,2015,4051.5,4847,352
10420,2002,103306.99999999999,44212,4369
10420,2003,102378.50000000001,43670,4385
10420,2004,101450.0,42373,4251
10420,2005,100521.5,41364,4110
10420,2006,99593.0,43378,3771
10420,2007,98664.5,41173,3626
10420,2008,97736.0,41542,3830
10420,2009,96807.49999999999,40430,3743
10420,2010,95879.0,42831,3601
10420,2011,94950.50000000001,42304,3743
10420,2012,94022.0,38523,3513
10420,2013,93093.5,38283,3405
10420,2014,92164.99999999999,38733,3343
10420,2015,91236.5,43931,3628
10540,2002,7483.0,7337,1542
10540,2003,7552.5,7233,1375
10540,2004,7622.0,7284,1385
10540,2005,7691.5,7595,1364
10540,2006,7761.0,7538,1332
10540,2007,7830.5,8297,1410
10540,2008,7900.0,8235,1464
10540,2009,7969.5,8031,1286
10540,2010,8039.0,7921,1275
10540,2011,8108.5,8309,1507
10540,2012,8178.0,7737,1598
10540,2013,8247.5,7157,1615
10540,2014,8317.0,7494,1530
10540,2015,8386.5,7792,1567
10580,2002,174373.40000000002,147100,10117
10580,2003,174900.59999999998,154718,11405
10580,2004,175427.80000000002,145713,11227
10580,2005,175955.0,148261,11304
10580,2006,176482.2,148827,11686
10580,2007,177009.40000000002,148199,11019
10580,2008,177536.59999999998,149899,11438
10580,2009,178063.8,146765,10821
10580,2010,178591.0,149340,10199
10580,2011,179118.2,163596,10329
10580,2012,179645.4,162655,10817
10580,2013,180172.6,161424,9819
10580,2014,180699.8,154180,9893
10580,2015,181227.0,160858,9741
10740,2002,183970.6,153430,21884
10740,2003,184765.9,154318,22049
10740,2004,185561.19999999998,158476,22117
10740,2005,186356.5,153324,21973
10740,2006,187151.80000000002,157537,19516
10740,2007,187947.1,172633,20588
10740,2008,188742.4,172271,19579
10740,2009,189537.69999999998,166385,16957
10740,2010,190333.0,173322,17580
10740,2011,191128.30000000002,175363,18443
10740,2012,191923.6,156487,18077
10740,2013,192718.9,156578,17045
10740,2014,193514.19999999998,154315,17401
10740,2015,194309.5,154996,17812
10900,2002,165803.60000000003,73084,7787
10900,2003,167050.39999999997,74725,8151
10900,2004,168297.19999999998,76663,8338
10900,2005,169544.0,78370,8501
10900,2006,170790.80000000002,78549,7531
10900,2007,172037.60000000003,75887,6927
10900,2008,173284.39999999997,77547,7314
10900,2009,174531.19999999998,70231,6574
10900,2010,175778.0,73330,6718
10900,2011,177024.80000000002,75114,7045
10900,2012,178271.60000000003,73175,7357
10900,2013,179518.39999999997,72286,7186
10900,2014,180765.19999999998,71374,7315
10900,2015,182012.0,72647,7176
11020,2002,31573.0,17976,1988
11020,2003,31336.5,17912,1942
11020,2004,31099.999999999996,18150,2048
11020,2005,30863.5,18802,1966
11020,2006,30627.000000000004,18300,1917
11020,2007,30390.5,18855,2085
11020,2008,30154.0,17959,2012
11020,2009,29917.499999999996,18617,2666
11020,2010,29681.0,17534,2640
11020,2011,29444.500000000004,16608,1955
11020,2012,29208.0,13976,1089
11020,2013,28971.5,14249,1134
11020,2014,28734.999999999996,13275,995
11020,2015,28498.5,10382,975
11100,2002,25672.4,17318,3595
11100,2003,25692.6,26050,3841
11100,2004,25712.8,25866,3736
11100,2005,25733.0,25985,3656
11100,2006,25753.2,27822,3535
11100,2007,25773.4,24004,3450
11100,2008,25793.6,24769,3675
11100,2009,25813.8,24055,3273
11100,2010,25834.0,22200,3123
11100,2011,25854.2,22461,2975
11100,2012,25874.4,19478,2992
11100,2013,25894.6,19179,3137
11100,2014,25914.8,18949,3126
11100,2015,25935.0,14723,2948
11180,2002,17173.2,10570,1004
11180,2003,17229.8,10997,929
11180,2004,17286.4,11082,932
11180,2005,17343.0,10967,900
11180,2006,17399.6,10984,910
11180,2007,17456.2,10809,865
11180,2008,17512.8,10900,888
11180,2009,17569.4,10874,847
11180,2010,17626.0,11763,801
11180,2011,17682.6,10296,754
11180,2012,17739.2,10606,705
11180,2013,17795.8,10585,686
11180,2014,17852.4,10828,658
11180,2015,17909.0,10857,698
11260,2002,107248.4,72515,8957
11260,2003,108138.1,73670,9247
11260,2004,109027.79999999997,75243,9381
11260,2005,109917.5,78319,9634
11260,2006,110807.20000000001,80153,9319
11260,2007,111696.9,95232,9134
11260,2008,112586.6,94601,9008
11260,2009,113476.29999999999,95680,8522
11260,2010,114366.0,99315,8343
11260,2011,115255.70000000003,105215,9198
11260,2012,116145.4,106830,9159
11260,2013,117035.1,107875,9212
11260,2014,117924.79999999997,107376,9517
11260,2015,118814.5,109782,9997
11460,2002,83483.20000000001,44489,8068
11460,2003,83325.29999999999,46874,6870
11460,2004,83167.39999999998,43493,6992
11460,2005,83009.5,47010,7037
11460,2006,82851.6,44356,6262
11460,2007,82693.70000000001,46395,7222
11460,2008,82535.79999999999,44165,7208
11460,2009,82377.9,48373,6748
11460,2010,82220.0,105712,6820
11460,2011,82062.1,107695,5663
11460,2012,81904.20000000001,101242,4957
11460,2013,81746.29999999999,101072,5171
11460,2014,81588.4,110012,5058
11460,2015,81430.5,106922,5037
11540,2002,16709.0,32948,3185
11540,2003,16602.0,32994,3526
11540,2004,16495.0,36421,4032
11540,2005,16388.0,36098,3913
11540,2006,16281.0,36375,3827
11540,2007,16174.0,37644,4044
11540,2008,16067.0,38647,4678
11540,2009,15960.0,22986,1481
11540,2010,15853.0,35037,4113
11540,2011,15746.0,36725,4516
11540,2012,15639.0,17995,482
11540,2013,15532.0,18484,495
11540,2014,15425.0,18449,508
11540,2015,15318.0,20504,532
11700,2002,4285.6,16138,2086
11700,2003,4365.9,17489,3091
11700,2004,4446.2,17555,3161
11700,2005,4526.5,17337,2625
11700,2006,4606.8,18005,2783
11700,2007,4687.1,18786,2800
11700,2008,4767.4,18150,3019
11700,2009,4847.7,17630,2814
11700,2010,4928.0,17614,2814
11700,2011,5008.3,19467,2424
11700,2012,5088.6,17483,2439
11700,2013,5168.9,19950,2526
11700,2014,5249.2,21069,2621
11700,2015,5329.5,22825,2311
12020,2002,13499.8,14175,905
12020,2003,13557.2,14632,923
12020,2004,13614.599999999999,14982,931
12020,2005,13672.0,15344,910
12020,2006,13729.400000000001,15741,989
12020,2007,13786.8,28923,961
12020,2008,13844.2,29378,1047
12020,2009,13901.599999999999,28444,960
12020,2010,13959.0,28804,901
12020,2011,14016.400000000001,28335,882
12020,2012,14073.8,30755,858
12020,2013,14131.2,31004,926
12020,2014,14188.599999999999,30311,1021
12020,2015,14246.0,28262,1083
12060,2002,186213.19999999998,319110,15673
12060,2003,187663.80000000002,316797,14762
12060,2004,189114.39999999997,313161,13520
12060,2005,190565.0,322669,14125
12060,2006,192015.60000000003,330444,14433
12060,2007,193466.19999999998,321524,15225
12060,2008,194916.80000000002,300778,13835
12060,2009,196367.39999999997,293446,13160
12060,2010,197818.0,311947,13235
12060,2011,199268.60000000003,301256,14304
12060,2012,200719.19999999998,305842,13794
12060,2013,202169.80000000002,306235,13698
12060,2014,203620.39999999997,311449,14097
12060,2015,205071.0,331620,15066
12100,2002,41701.6,49184,2352
12100,2003,41691.4,57061,2633
12100,2004,41681.200000000004,57071,2888
12100,2005,41671.0,57100,2953
12100,2006,41660.799999999996,60654,2934
12100,2007,41650.6,59805,2966
12100,2008,41640.4,58385,3216
12100,2009,41630.200000000004,51121,2179
12100,2010,41620.0,52781,3236
12100,2011,41609.799999999996,53504,3170
12100,2012,41599.6,55946,2087
12100,2013,41589.4,53501,2077
12100,2014,41579.2,52088,2282
12100,2015,41569.0,41540,2095
12220,2002,3323.6,531,70
12220,2003,3376.9,530,92
12220,2004,3430.2,522,81
12220,2005,3483.5,497,106
12220,2006,3536.8,537,69
12220,2007,3590.1,653,77
12220,2008,3643.4,564,94
12220,2009,3696.7,535,61
12220,2010,3750.0,610,62
12220,2011,3803.3,690,80
12220,2012,3856.6,684,58
12220,2013,3909.9,708,48
12220,2014,3963.2,756,59
12220,2015,4016.5,756,48
12260,2002,8079.8,9277,294
12260,2003,8000.7,11941,285
