CBSA_ID,cbsa_name,year,month,popestimate
10020,"Abbeville, LA",2010,6.5,58098
10100,"Aberdeen, SD",2010,6.5,40717
10140,"Aberdeen, WA",2010,6.5,72843
10180,"Abilene, TX",2010,6.5,165583
10220,"Ada, OK",2010,6.5,37599
10300,"Adrian, MI",2010,6.5,99635
10420,"Akron, OH",2010,6.5,703035
10460,"Alamogordo, NM",2010,6.5,64399
10500,"Albany, GA",2010,6.5,157589
10540,"Albany-Lebanon, OR",2010,6.5,116887
10580,"Albany-Schenectady-Troy, NY",2010,6.5,871080
10620,"Albemarle, NC",2010,6.5,60576
10660,"Albert Lea, MN",2010,6.5,31204
10700,"Albertville, AL",2010,6.5,93124
10740,"Albuquerque, NM",2010,6.5,889574
10760,"Alexander City, AL",2010,6.5,53258
10780,"Alexandria, LA",2010,6.5,154092
10820,"Alexandria, MN",2010,6.5,35987
10860,"Alice, TX",2010,6.5,40885
10880,"Allegan, MI",2010,6.5,111528
10900,"Allentown-Bethlehem-Easton, PA-NJ",2010,6.5,821914
10940,"Alma, MI",2010,6.5,42431
10980,"Alpena, MI",2010,6.5,29517
11020,"Altoona, PA",2010,6.5,127043
11060,"Altus, OK",2010,6.5,26483
11100,"Amarillo, TX",2010,6.5,250627
11140,"Americus, GA",2010,6.5,37700
11180,"Ames, IA",2010,6.5,89654
11220,"Amsterdam, NY",2010,6.5,50300
11260,"Anchorage, AK",2010,6.5,383045
11300,"Anderson, IN",2010,6.5,131619
11340,"Anderson, SC",2010,6.5,187109
11380,"Andrews, TX",2010,6.5,14849
11420,"Angola, IN",2010,6.5,34136
11460,"Ann Arbor, MI",2010,6.5,345658
11500,"Anniston-Oxford, AL",2010,6.5,118477
11540,"Appleton, WI",2010,6.5,225944
11580,"Arcadia, FL",2010,6.5,34933
11620,"Ardmore, OK",2010,6.5,57220
11660,"Arkadelphia, AR",2010,6.5,22927
11700,"Asheville, NC",2010,6.5,425338
11740,"Ashland, OH",2010,6.5,53323
11780,"Ashtabula, OH",2010,6.5,101402
11820,"Astoria, OR",2010,6.5,37086
11860,"Atchison, KS",2010,6.5,16857
11900,"Athens, OH",2010,6.5,65175
11940,"Athens, TN",2010,6.5,52169
11980,"Athens, TX",2010,6.5,78622
12020,"Athens-Clarke County, GA",2010,6.5,193435
12060,"Atlanta-Sandy Springs-Marietta, GA",2010,6.5,5284809
12100,"Atlantic City-Hammonton, NJ",2010,6.5,274649
12140,"Auburn, IN",2010,6.5,42309
12180,"Auburn, NY",2010,6.5,79901
12220,"Auburn-Opelika, AL",2010,6.5,140806
12260,"Augusta-Richmond County, GA-SC",2010,6.5,558522
12300,"Augusta-Waterville, ME",2010,6.5,122076
12380,"Austin, MN",2010,6.5,39206
12420,"Austin-Round Rock-San Marcos, TX",2010,6.5,1727528
12460,"Bainbridge, GA",2010,6.5,27814
12540,"Bakersfield-Delano, CA",2010,6.5,841072
12580,"Baltimore-Towson, MD",2010,6.5,2715726
12620,"Bangor, ME",2010,6.5,153860
12660,"Baraboo, WI",2010,6.5,62061
12700,"Barnstable Town, MA",2010,6.5,215893
12740,"Barre, VT",2010,6.5,59569
12780,"Bartlesville, OK",2010,6.5,51065
12820,"Bastrop, LA",2010,6.5,27872
12860,"Batavia, NY",2010,6.5,59940
12900,"Batesville, AR",2010,6.5,36810
12940,"Baton Rouge, LA",2010,6.5,804298
12980,"Battle Creek, MI",2010,6.5,135952
13020,"Bay City, MI",2010,6.5,107681
13060,"Bay City, TX",2010,6.5,36708
13100,"Beatrice, NE",2010,6.5,22269
13140,"Beaumont-Port Arthur, TX",2010,6.5,389259
13180,"Beaver Dam, WI",2010,6.5,88738
13220,"Beckley, WV",2010,6.5,78916
13260,"Bedford, IN",2010,6.5,46102
13300,"Beeville, TX",2010,6.5,31863
13340,"Bellefontaine, OH",2010,6.5,45746
13380,"Bellingham, WA",2010,6.5,201547
13420,"Bemidji, MN",2010,6.5,44572
13460,"Bend, OR",2010,6.5,157743
13500,"Bennettsville, SC",2010,6.5,28917
13540,"Bennington, VT",2010,6.5,37083
13620,"Berlin, NH-VT",2010,6.5,39287
13660,"Big Rapids, MI",2010,6.5,42852
13700,"Big Spring, TX",2010,6.5,34992
13740,"Billings, MT",2010,6.5,158451
13780,"Binghamton, NY",2010,6.5,251489
13820,"Birmingham-Hoover, AL",2010,6.5,1128714
13860,"Bishop, CA",2010,6.5,18512
13900,"Bismarck, ND",2010,6.5,109270
13940,"Blackfoot, ID",2010,6.5,45767
13980,"Blacksburg-Christiansburg-Radford, VA",2010,6.5,163135
14020,"Bloomington, IN",2010,6.5,193335
14060,"Bloomington-Normal, IL",2010,6.5,169810
14100,"Bloomsburg-Berwick, PA",2010,6.5,85662
14140,"Bluefield, WV-VA",2010,6.5,107464
14180,"Blytheville, AR",2010,6.5,46394
14220,"Bogalusa, LA",2010,6.5,47088
14260,"Boise City-Nampa, ID",2010,6.5,617869
14300,"Bonham, TX",2010,6.5,33919
