,Id,Id2,Geography,JTW_DA,JTW_CARPOOL,JTW_TRANSIT,MEAN_TT,Year
0,3100000US10180,10180,"Abilene, TX Metro Area",53169,7865,264,16.7,2005
358,3100000US10180,10180,"Abilene, TX Metro Area",55425,9243,233,17.4,2006
717,3100000US10180,10180,"Abilene, TX Metro Area",55960,7030,251,16.3,2007
1078,3100000US10180,10180,"Abilene, TX Metro Area",62316,7358,170,17.9,2008
1439,3100000US10180,10180,"Abilene, TX Metro Area",59145,9390,225,16.8,2009
1805,310M100US10180,10180,"Abilene, TX Metro Area",56558,8876,506,17.5,2010
2171,310M100US10180,10180,"Abilene, TX Metro Area",54213,6098,473,15.7,2011
2537,310M100US10180,10180,"Abilene, TX Metro Area",55646,8075,855,17.8,2012
2903,310M200US10180,10180,"Abilene, TX Metro Area",60020,10914,282,16.9,2013
3284,310M200US10180,10180,"Abilene, TX Metro Area",61113,7561,309,17.0,2014
3665,310M200US10180,10180,"Abilene, TX Metro Area",64055,7888,235,15.6,2015
4046,310M300US10180,10180,"Abilene, TX Metro Area",58181,7763,860,19.1,2016
4428,310M300US10180,10180,"Abilene, TX Metro Area",62710,6675,0,18.3,2017
1,3100000US10420,10420,"Akron, OH Metro Area",286375,22594,2492,22.4,2005
359,3100000US10420,10420,"Akron, OH Metro Area",291970,24769,4492,22.2,2006
718,3100000US10420,10420,"Akron, OH Metro Area",287237,23483,4350,23.1,2007
1079,3100000US10420,10420,"Akron, OH Metro Area",292377,25902,5436,22.9,2008
1440,3100000US10420,10420,"Akron, OH Metro Area",282744,19361,4581,23.2,2009
1806,310M100US10420,10420,"Akron, OH Metro Area",280287,18056,4649,22.6,2010
2172,310M100US10420,10420,"Akron, OH Metro Area",276444,23293,4336,23.3,2011
2538,310M100US10420,10420,"Akron, OH Metro Area",280282,23756,4285,23.1,2012
2904,310M200US10420,10420,"Akron, OH Metro Area",286548,21490,5807,23.1,2013
3285,310M200US10420,10420,"Akron, OH Metro Area",292974,23208,5845,22.9,2014
3666,310M200US10420,10420,"Akron, OH Metro Area",287795,24669,6526,24.3,2015
4047,310M300US10420,10420,"Akron, OH Metro Area",288064,21086,3831,22.9,2016
4429,310M300US10420,10420,"Akron, OH Metro Area",293201,25442,3859,23.2,2017
2,3100000US10500,10500,"Albany, GA Metro Area",N,N,N,N,2005
360,3100000US10500,10500,"Albany, GA Metro Area",53586,8571,779,19.7,2006
719,3100000US10500,10500,"Albany, GA Metro Area",52600,9104,460,N,2007
1080,3100000US10500,10500,"Albany, GA Metro Area",53192,9252,305,18.6,2008
1441,3100000US10500,10500,"Albany, GA Metro Area",50072,9207,519,20.5,2009
1807,310M100US10500,10500,"Albany, GA Metro Area",46102,9310,655,19.1,2010
2173,310M100US10500,10500,"Albany, GA Metro Area",45870,8565,569,20.9,2011
2539,310M100US10500,10500,"Albany, GA Metro Area",46710,7444,571,20.7,2012
2905,310M200US10500,10500,"Albany, GA Metro Area",47391,6098,535,N,2013
3286,310M200US10500,10500,"Albany, GA Metro Area",48470,5306,721,N,2014
3667,310M200US10500,10500,"Albany, GA Metro Area",48719,7330,1171,20.8,2015
4048,310M300US10500,10500,"Albany, GA Metro Area",51327,7148,235,N,2016
4430,310M300US10500,10500,"Albany, GA Metro Area",48520,7078,533,22.3,2017
2906,310M200US10540,10540,"Albany, OR Metro Area",37369,5419,108,N,2013
3287,310M200US10540,10540,"Albany, OR Metro Area",36173,5048,538,23.9,2014
3668,310M200US10540,10540,"Albany, OR Metro Area",37646,5563,174,21.8,2015
4049,310M300US10540,10540,"Albany, OR Metro Area",41754,4820,10,N,2016
4431,310M300US10540,10540,"Albany, OR Metro Area",42130,7246,80,23.1,2017
3,3100000US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",329898,34858,8590,22.3,2005
361,3100000US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",335600,38041,11046,21.6,2006
720,3100000US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",329857,36762,12458,21.7,2007
1081,3100000US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",341642,38987,14678,22.7,2008
1442,3100000US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",333590,35430,11958,22.0,2009
1808,310M100US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",344175,33446,13135,22.2,2010
2174,310M100US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",349584,32136,13604,22.3,2011
2540,310M100US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",336050,34284,13626,22.5,2012
2907,310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",340435,32726,14419,22.4,2013
3288,310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",347801,33264,15236,22.5,2014
3669,310M200US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",347296,36565,16292,23.5,2015
4050,310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",352503,33018,17665,23.4,2016
4432,310M300US10580,10580,"Albany-Schenectady-Troy, NY Metro Area",354331,32297,14957,23.4,2017
