,UZA Name,RailBus,UZA,Year,UPT,VRM,VRH,FARE_TOTAL,FARE_per_UPT
59,"Abilene, TX",DemandResponse,282,2007,109977.0,622056.0,45796.0,98383.0,0.8945779572092346
60,"Abilene, TX",DemandResponse,282,2008,102963.0,612502.0,46768.0,109095.0,1.0595553742606567
61,"Abilene, TX",DemandResponse,282,2009,105199.0,616961.0,48456.0,101458.0,0.9644388254641204
62,"Abilene, TX",DemandResponse,282,2010,103985.0,607648.0,46344.0,50000.0,0.4808385824878588
63,"Abilene, TX",DemandResponse,282,2011,103130.0,619030.0,46557.0,426089.0,4.131571802579269
64,"Abilene, TX",DemandResponse,282,2012,0.0,0.0,0.0,296153.0,inf
65,"Abilene, TX",DemandResponse,282,2013,0.0,0.0,0.0,323930.0,inf
66,"Abilene, TX",DemandResponse,282,2014,0.0,0.0,0.0,363579.0,inf
67,"Abilene, TX",DemandResponse,282,2015,0.0,0.0,0.0,108234.0,inf
68,"Abilene, TX",DemandResponse,282,2016,0.0,0.0,0.0,234140.0,inf
69,"Abilene, TX",DemandResponse,282,2017,0.0,0.0,0.0,233051.0,inf
70,"Abilene, TX",DemandResponse,282,2018,0.0,0.0,0.0,263710.75,inf
75,"Akron, OH",Bus,71,2005,6661882.0,4489876.0,311696.0,3022880.0,0.4537576618739269
76,"Akron, OH",Bus,71,2006,6725155.0,4425375.0,311883.0,3163036.0,0.4703290853519361
77,"Akron, OH",Bus,71,2007,6501325.0,5064172.0,315947.0,3445013.0,0.5298939831495887
78,"Akron, OH",Bus,71,2008,6802292.0,4290843.0,288260.0,3602006.0,0.5295282825259486
79,"Akron, OH",Bus,71,2009,6160246.0,3801301.0,306371.0,3387490.0,0.5498952476897838
80,"Akron, OH",Bus,71,2010,6221965.0,3845627.0,332255.0,3597828.0,0.5782462614302716
81,"Akron, OH",Bus,71,2011,6490476.0,4340328.0,337963.0,3802014.0,0.5857835388344399
82,"Akron, OH",Bus,71,2012,6642544.0,4279372.0,338682.0,6462990.0,0.9729690913601776
83,"Akron, OH",Bus,71,2013,6620226.0,4615848.0,368945.0,6704933.0,1.0127951825209593
84,"Akron, OH",Bus,71,2014,6625481.0,4797023.0,374779.0,6894955.0,1.040672367787335
85,"Akron, OH",Bus,71,2015,6485294.0,5053384.0,380876.0,6280588.0,0.9684353554364691
86,"Akron, OH",Bus,71,2016,6093879.0,4869437.0,379424.0,5877868.0,0.9645527914157797
87,"Akron, OH",Bus,71,2017,6049974.0,4919521.0,382651.0,5939656.0,0.9817655414717484
88,"Akron, OH",Bus,71,2018,6012502.0,4915667.0,380562.0,5885317.0,0.9788465766830514
93,"Akron, OH",DemandResponse,71,2005,378549.0,2847963.0,204583.0,715048.0,1.8889179472142312
94,"Akron, OH",DemandResponse,71,2006,341832.0,2623285.0,192204.0,538410.0,1.5750719651758758
95,"Akron, OH",DemandResponse,71,2007,352310.0,2422268.0,191584.0,496131.0,1.4082228719025858
96,"Akron, OH",DemandResponse,71,2008,358061.0,2874359.0,172612.0,564614.0,1.5768653944439635
97,"Akron, OH",DemandResponse,71,2009,359383.0,2045235.0,144957.0,675282.0,1.8790037369602903
98,"Akron, OH",DemandResponse,71,2010,354084.0,2000358.0,147641.0,726251.0,2.0510698026456997
99,"Akron, OH",DemandResponse,71,2011,360705.0,2064078.0,153794.0,731863.0,2.0289793598647092
100,"Akron, OH",DemandResponse,71,2012,362069.0,2426295.0,155624.0,830578.0,2.2939771148593224
101,"Akron, OH",DemandResponse,71,2013,355064.0,2735750.0,151769.0,1308485.0,3.68520886375414
102,"Akron, OH",DemandResponse,71,2014,360121.0,2538449.0,160224.0,976095.0,2.7104639829390678
103,"Akron, OH",DemandResponse,71,2015,376174.0,2331535.0,161059.0,1003679.0,2.66812432544514
104,"Akron, OH",DemandResponse,71,2016,374273.0,2405252.0,160994.0,1015560.0,2.71342041771648
105,"Akron, OH",DemandResponse,71,2017,355707.0,2453314.0,162572.0,887477.0,2.4949663627648597
106,"Akron, OH",DemandResponse,71,2018,353481.0,2614496.0,164346.0,794385.0,2.2473202237178236
111,"Albany, GA",Bus,309,2005,653876.0,535683.0,31970.0,344119.0,0.5262756241244517
112,"Albany, GA",Bus,309,2006,762810.0,534219.0,31784.0,366673.0,0.48068719602522253
113,"Albany, GA",Bus,309,2007,767414.0,534985.0,32038.0,377696.0,0.49216720049412704
114,"Albany, GA",Bus,309,2008,880864.0,532993.0,31573.0,373954.0,0.4245309151015367
115,"Albany, GA",Bus,309,2009,871177.0,529568.0,31522.0,431925.0,0.495794769604799
116,"Albany, GA",Bus,309,2010,900406.0,530982.0,31846.0,420551.0,0.4670681892390766
117,"Albany, GA",Bus,309,2011,985863.0,574538.0,33486.0,471112.0,0.47786761446570164
118,"Albany, GA",Bus,309,2012,1017648.0,523493.0,31940.0,523278.0,0.5142033394651195
119,"Albany, GA",Bus,309,2013,1017015.0,541805.0,33101.0,525669.0,0.5168743823837406
120,"Albany, GA",Bus,309,2014,883094.0,588650.0,35168.0,535879.0,0.6068198855387988
121,"Albany, GA",Bus,309,2015,695011.0,595478.0,34802.0,542312.0,0.7802926860150415
122,"Albany, GA",Bus,309,2016,655363.0,597007.0,34354.0,488610.0,0.7455562794970115
123,"Albany, GA",Bus,309,2017,723013.0,602405.0,34690.0,466615.0,0.6453756709768704
124,"Albany, GA",Bus,309,2018,739896.0,659043.0,37646.0,436693.25,0.5902089618000368
129,"Albany, GA",DemandResponse,309,2005,25628.0,139346.0,9780.0,33568.0,1.3098173872327141
130,"Albany, GA",DemandResponse,309,2006,23487.0,139336.0,9467.0,30922.0,1.3165580959679823
131,"Albany, GA",DemandResponse,309,2007,21348.0,122290.0,9103.0,38589.0,1.8076166385609893
132,"Albany, GA",DemandResponse,309,2008,19959.0,112535.0,8411.0,35037.0,1.7554486697730347
133,"Albany, GA",DemandResponse,309,2009,16018.0,105186.0,7465.0,40983.0,2.5585591209888876
134,"Albany, GA",DemandResponse,309,2010,12154.0,98898.0,6983.0,36663.0,3.0165377653447423
135,"Albany, GA",DemandResponse,309,2011,10360.0,99328.0,7176.0,32731.0,3.1593629343629344
136,"Albany, GA",DemandResponse,309,2012,10393.0,96534.0,6790.0,22636.0,2.1780044260559994
137,"Albany, GA",DemandResponse,309,2013,13066.0,88631.0,6379.0,34021.0,2.6037808051431197
138,"Albany, GA",DemandResponse,309,2014,14805.0,100201.0,7226.0,41248.0,2.7860857818304625
139,"Albany, GA",DemandResponse,309,2015,14593.0,94185.0,7443.0,39173.0,2.6843692181182757
140,"Albany, GA",DemandResponse,309,2016,13816.0,97446.0,8335.0,33843.0,2.4495512449334105
141,"Albany, GA",DemandResponse,309,2017,13111.0,93840.0,8333.0,26419.0,2.0150255510639923
142,"Albany, GA",DemandResponse,309,2018,15704.0,105311.0,7923.0,19518.5,1.2428998981151298
147,"Albany-Schenectady, NY",Bus,67,2005,12370522.0,7487717.0,599744.0,9434072.0,0.7626252150070951
148,"Albany-Schenectady, NY",Bus,67,2006,12736051.0,6780087.0,606475.0,9359450.0,0.7348784956969786
149,"Albany-Schenectady, NY",Bus,67,2007,13180680.0,7014552.0,609179.0,10167637.0,0.7714045861063313
150,"Albany-Schenectady, NY",Bus,67,2008,15046646.0,7507807.0,629686.0,10896882.0,0.7242067102529028
151,"Albany-Schenectady, NY",Bus,67,2009,13890238.0,7094183.0,607876.0,12685805.0,0.9132892467357291
152,"Albany-Schenectady, NY",Bus,67,2010,13558883.0,7123007.0,598543.0,14913757.0,1.0999251929528413
153,"Albany-Schenectady, NY",Bus,67,2011,14176006.0,7551431.0,607185.0,14177425.0,1.0001000987160982
154,"Albany-Schenectady, NY",Bus,67,2012,15213240.0,7450813.0,609756.0,14987224.0,0.9851434671378352
155,"Albany-Schenectady, NY",Bus,67,2013,16052777.0,7437216.0,615481.0,15785176.0,0.9833299247849765
156,"Albany-Schenectady, NY",Bus,67,2014,16608585.0,7711321.0,641816.0,15500819.0,0.9333016027554425
157,"Albany-Schenectady, NY",Bus,67,2015,16592640.0,7845161.0,663452.0,16093361.0,0.9699096105261128
158,"Albany-Schenectady, NY",Bus,67,2016,16515295.0,7980016.0,679558.0,17855542.0,1.0811518655888375
159,"Albany-Schenectady, NY",Bus,67,2017,16356553.0,8214968.0,689746.0,18354163.0,1.12212903293255
160,"Albany-Schenectady, NY",Bus,67,2018,15395053.0,8389544.0,681735.0,19168674.0,1.2451190651958133
165,"Albany-Schenectady, NY",DemandResponse,67,2005,170248.0,1083089.0,81694.0,0.0,0.0
166,"Albany-Schenectady, NY",DemandResponse,67,2006,158641.0,1285238.0,104434.0,39348.0,0.24803171941679641
167,"Albany-Schenectady, NY",DemandResponse,67,2007,186200.0,1557678.0,126526.0,116034.0,0.6231686358754028
168,"Albany-Schenectady, NY",DemandResponse,67,2008,213856.0,1385584.0,102966.0,506892.0,2.3702491396079606
169,"Albany-Schenectady, NY",DemandResponse,67,2009,222822.0,1279052.0,83313.0,441827.0,1.9828697345863515
170,"Albany-Schenectady, NY",DemandResponse,67,2010,249813.0,1411465.0,85694.0,500915.0,2.0051598595749622
171,"Albany-Schenectady, NY",DemandResponse,67,2011,276265.0,1656309.0,97344.0,827929.0,2.9968653285794438
172,"Albany-Schenectady, NY",DemandResponse,67,2012,285354.0,1597438.0,95700.0,989244.0,3.466725540907084
173,"Albany-Schenectady, NY",DemandResponse,67,2013,306426.0,2333513.0,104724.0,1063708.0,3.47133728861128
174,"Albany-Schenectady, NY",DemandResponse,67,2014,299109.0,2704225.0,115709.0,1159839.0,3.877646610432986
175,"Albany-Schenectady, NY",DemandResponse,67,2015,305443.0,2810743.0,123659.0,1301426.0,4.260781880743707
176,"Albany-Schenectady, NY",DemandResponse,67,2016,326783.0,2880021.0,163912.0,662018.0,2.025864258544661
177,"Albany-Schenectady, NY",DemandResponse,67,2017,321948.0,2846798.0,164989.0,680468.0,2.113595984444693
178,"Albany-Schenectady, NY",DemandResponse,67,2018,340622.0,2982032.0,167621.0,534453.5,1.5690516173353453
183,"Albuquerque, NM",Bus,56,2005,7758914.0,4782626.0,287189.0,3024632.0,0.3898267205951761
184,"Albuquerque, NM",Bus,56,2006,9072409.0,4634851.0,282951.0,3499539.0,0.38573426308271597
185,"Albuquerque, NM",Bus,56,2007,9791599.0,4901212.0,302922.0,3766172.0,0.38463298997436474
186,"Albuquerque, NM",Bus,56,2008,10942102.0,5041793.0,312621.0,3645357.0,0.333149608731485
187,"Albuquerque, NM",Bus,56,2009,10639235.0,5144295.0,316912.0,4294880.0,0.4036831595504752
188,"Albuquerque, NM",Bus,56,2010,11527241.0,5102876.0,377604.0,3460174.0,0.3001736495315748
189,"Albuquerque, NM",Bus,56,2011,12375668.0,5329846.0,392829.0,4029381.0,0.3255889702277081
190,"Albuquerque, NM",Bus,56,2012,13029416.0,5428339.0,396364.0,4212025.0,0.32327043667958716
191,"Albuquerque, NM",Bus,56,2013,13037741.0,5732072.0,414531.0,4222610.0,0.32387589230373576
192,"Albuquerque, NM",Bus,56,2014,12960527.0,5730469.0,414859.0,4046527.0,0.3122193256493351
193,"Albuquerque, NM",Bus,56,2015,11866102.0,5780422.0,418161.0,3797960.0,0.3200680391926515
194,"Albuquerque, NM",Bus,56,2016,10968033.0,5779759.0,417453.0,3743024.0,0.34126666103211034
195,"Albuquerque, NM",Bus,56,2017,9744600.0,5684500.0,417979.0,3254264.0,0.3339556267060731
196,"Albuquerque, NM",Bus,56,2018,9638741.0,5697345.0,418795.0,2873960.0,0.29816757188516635
201,"Albuquerque, NM",DemandResponse,56,2005,174394.0,1707821.0,95773.0,330744.0,1.8965331376079453
202,"Albuquerque, NM",DemandResponse,56,2006,188558.0,1773214.0,99690.0,335676.0,1.7802267737247957
203,"Albuquerque, NM",DemandResponse,56,2007,193678.0,1843549.0,100571.0,394574.0,2.037268042833982
204,"Albuquerque, NM",DemandResponse,56,2008,195116.0,1838983.0,102713.0,385760.0,1.9770803009491789
205,"Albuquerque, NM",DemandResponse,56,2009,200428.0,1915246.0,106333.0,372041.0,1.8562326621030993
206,"Albuquerque, NM",DemandResponse,56,2010,238337.0,1950858.0,109601.0,388598.0,1.6304560349421198
207,"Albuquerque, NM",DemandResponse,56,2011,253217.0,2020180.0,118050.0,416904.0,1.6464297420789284
208,"Albuquerque, NM",DemandResponse,56,2012,283731.0,2025435.0,124017.0,393307.0,1.3861967849829593
209,"Albuquerque, NM",DemandResponse,56,2013,327932.0,2271699.0,144568.0,393634.0,1.2003525121061684
210,"Albuquerque, NM",DemandResponse,56,2014,340093.0,2416649.0,145155.0,393503.0,1.1570452787913894
211,"Albuquerque, NM",DemandResponse,56,2015,335404.0,2447763.0,144279.0,400288.0,1.1934502868182848
212,"Albuquerque, NM",DemandResponse,56,2016,346403.0,2546766.0,150481.0,420395.0,1.2136009214700796
213,"Albuquerque, NM",DemandResponse,56,2017,342957.0,2655744.0,157429.0,467675.0,1.3636549188382217
214,"Albuquerque, NM",DemandResponse,56,2018,335477.0,2586821.0,151904.0,508161.75,1.5147439317747566
219,"Albuquerque, NM",Rail,56,2005,0.0,0.0,0.0,0.0,
220,"Albuquerque, NM",Rail,56,2006,0.0,0.0,0.0,0.0,
221,"Albuquerque, NM",Rail,56,2007,0.0,0.0,0.0,0.0,
222,"Albuquerque, NM",Rail,56,2008,0.0,0.0,0.0,0.0,
223,"Albuquerque, NM",Rail,56,2009,1351087.0,813885.0,20107.0,2669729.0,1.975986002381786
224,"Albuquerque, NM",Rail,56,2010,1165687.0,1415143.0,37249.0,2846221.0,2.4416683037556393
225,"Albuquerque, NM",Rail,56,2011,1242174.0,1370680.0,36676.0,2856263.0,2.2994065243677615
226,"Albuquerque, NM",Rail,56,2012,1129303.0,1424748.0,36870.0,2616485.0,2.3169025496257425
227,"Albuquerque, NM",Rail,56,2013,1082588.0,1388562.0,36503.0,3002928.0,2.77384194171744
228,"Albuquerque, NM",Rail,56,2014,1063217.0,1385927.0,36278.0,2841371.0,2.6724281120410978
229,"Albuquerque, NM",Rail,56,2015,931324.0,1397970.0,36463.0,2587198.0,2.777978447887094
230,"Albuquerque, NM",Rail,56,2016,851409.0,1400234.0,36549.0,2300780.0,2.702320506360633
231,"Albuquerque, NM",Rail,56,2017,811421.0,1350224.0,35799.0,2153005.0,2.653375991008367
232,"Albuquerque, NM",Rail,56,2018,771602.0,1337514.0,35650.0,1970569.25,2.5538674731273376
237,"Alexandria, LA",Bus,346,2005,564826.0,403138.0,24838.0,278575.0,0.49320498702255205
238,"Alexandria, LA",Bus,346,2006,286798.0,185105.0,12738.0,317996.0,1.1087803959581308
239,"Alexandria, LA",Bus,346,2007,703757.0,492386.0,30713.0,352317.0,0.5006230843885034
240,"Alexandria, LA",Bus,346,2008,721983.0,498199.0,29722.0,366425.0,0.5075258004689861
241,"Alexandria, LA",Bus,346,2009,777416.0,588633.0,35229.0,335519.0,0.431582318861459
242,"Alexandria, LA",Bus,346,2010,714922.0,572080.0,34494.0,367090.0,0.5134686021691877
243,"Alexandria, LA",Bus,346,2011,656467.0,765611.0,34046.0,367150.0,0.5592817308410019
244,"Alexandria, LA",Bus,346,2012,0.0,0.0,0.0,441783.0,inf
245,"Alexandria, LA",Bus,346,2013,0.0,0.0,0.0,434767.0,inf
246,"Alexandria, LA",Bus,346,2014,0.0,0.0,0.0,434899.0,inf
247,"Alexandria, LA",Bus,346,2015,0.0,0.0,0.0,440237.0,inf
248,"Alexandria, LA",Bus,346,2016,0.0,0.0,0.0,440564.0,inf
249,"Alexandria, LA",Bus,346,2017,0.0,0.0,0.0,398178.0,inf
250,"Alexandria, LA",Bus,346,2018,0.0,0.0,0.0,366470.25,inf
255,"Alexandria, LA",DemandResponse,346,2005,14544.0,99901.0,7209.0,6478.0,0.4454070407040704
256,"Alexandria, LA",DemandResponse,346,2006,6492.0,32313.0,2815.0,6062.0,0.9337646333949476
257,"Alexandria, LA",DemandResponse,346,2007,12648.0,106519.0,7031.0,5671.0,0.44837128399746995
258,"Alexandria, LA",DemandResponse,346,2008,12953.0,110853.0,7194.0,6147.0,0.47456187755732265
259,"Alexandria, LA",DemandResponse,346,2009,13355.0,119855.0,8082.0,6152.0,0.46065144140771247
260,"Alexandria, LA",DemandResponse,346,2010,13005.0,105221.0,7559.0,7147.0,0.5495578623606305
261,"Alexandria, LA",DemandResponse,346,2011,13253.0,105103.0,7223.0,7281.0,0.5493850448954953
262,"Alexandria, LA",DemandResponse,346,2012,0.0,0.0,0.0,9126.0,inf
263,"Alexandria, LA",DemandResponse,346,2013,0.0,0.0,0.0,10021.0,inf
264,"Alexandria, LA",DemandResponse,346,2014,0.0,0.0,0.0,10555.0,inf
265,"Alexandria, LA",DemandResponse,346,2015,0.0,0.0,0.0,11229.0,inf
266,"Alexandria, LA",DemandResponse,346,2016,0.0,0.0,0.0,12942.0,inf
267,"Alexandria, LA",DemandResponse,346,2017,0.0,0.0,0.0,12841.0,inf
268,"Alexandria, LA",DemandResponse,346,2018,0.0,0.0,0.0,13193.5,inf
273,"Allentown, PA-NJ",Bus,61,2005,4932680.0,2770177.0,206788.0,2796598.0,0.5669530559452468
274,"Allentown, PA-NJ",Bus,61,2006,5282545.0,2742347.0,204938.0,2959675.0,0.56027445104585
275,"Allentown, PA-NJ",Bus,61,2007,4972842.0,2632454.0,202399.0,3207490.0,0.645001389547466
276,"Allentown, PA-NJ",Bus,61,2008,4180084.0,1988003.0,154364.0,4779427.0,1.143380611490104
277,"Allentown, PA-NJ",Bus,61,2009,5432467.0,2673386.0,211847.0,3646595.0,0.6712594848712381
278,"Allentown, PA-NJ",Bus,61,2010,5066051.0,2651352.0,223231.0,3782378.0,0.7466126969507413
279,"Allentown, PA-NJ",Bus,61,2011,5567851.0,2610265.0,227742.0,4357409.0,0.782601581831123
280,"Allentown, PA-NJ",Bus,61,2012,4797241.0,2677113.0,206965.0,4279031.0,0.8919774928964378
281,"Allentown, PA-NJ",Bus,61,2013,5058668.0,2620583.0,213773.0,4345632.0,0.85904668976102
282,"Allentown, PA-NJ",Bus,61,2014,5041068.0,2752139.0,229707.0,4591781.0,0.9108746400564325
283,"Allentown, PA-NJ",Bus,61,2015,4910329.0,2796201.0,224067.0,4763068.0,0.9700099524899451
284,"Allentown, PA-NJ",Bus,61,2016,4779100.0,2869509.0,228014.0,4843106.0,1.0133928982444393
285,"Allentown, PA-NJ",Bus,61,2017,4576543.0,2897013.0,226494.0,4502765.0,0.9838790982625969
286,"Allentown, PA-NJ",Bus,61,2018,4412242.0,3008404.0,237400.0,4267518.75,0.9671996118979874
291,"Allentown, PA-NJ",DemandResponse,61,2005,478215.0,3939961.0,199576.0,543490.0,1.1364971822297503
292,"Allentown, PA-NJ",DemandResponse,61,2006,494384.0,4276511.0,197713.0,530698.0,1.0734530243697207
293,"Allentown, PA-NJ",DemandResponse,61,2007,456765.0,3372602.0,179200.0,493202.0,1.0797718739395532
294,"Allentown, PA-NJ",DemandResponse,61,2008,338013.0,2580091.0,142945.0,528166.0,1.56256120326733
295,"Allentown, PA-NJ",DemandResponse,61,2009,440354.0,4752568.0,187649.0,532891.0,1.2101422946084286
296,"Allentown, PA-NJ",DemandResponse,61,2010,435933.0,4582819.0,193385.0,736972.0,1.6905625405738955
297,"Allentown, PA-NJ",DemandResponse,61,2011,431700.0,4304828.0,216895.0,657350.0,1.5227009497336113
298,"Allentown, PA-NJ",DemandResponse,61,2012,420164.0,4313539.0,252217.0,847791.0,2.0177621119372438
299,"Allentown, PA-NJ",DemandResponse,61,2013,427369.0,4525723.0,262908.0,829161.0,1.9401524209757843
300,"Allentown, PA-NJ",DemandResponse,61,2014,414241.0,4114537.0,228219.0,780097.0,1.8831960139146053
301,"Allentown, PA-NJ",DemandResponse,61,2015,420507.0,3461129.0,192975.0,657311.0,1.5631392580860723
302,"Allentown, PA-NJ",DemandResponse,61,2016,442779.0,2676993.0,186338.0,913399.0,2.062877869094966
303,"Allentown, PA-NJ",DemandResponse,61,2017,446976.0,2745088.0,174192.0,1172903.0,2.6240849620561284
304,"Allentown, PA-NJ",DemandResponse,61,2018,370972.0,2443115.0,158582.0,1431553.0,3.858924662777784
309,"Altoona, PA",Bus,359,2005,663431.0,552387.0,40839.0,542257.0,0.8173525204580431
310,"Altoona, PA",Bus,359,2006,695030.0,548711.0,41298.0,555215.0,0.7988360214666993
311,"Altoona, PA",Bus,359,2007,607695.0,486916.0,37941.0,564640.0,0.9291503138910144
312,"Altoona, PA",Bus,359,2008,586804.0,457362.0,37153.0,649497.0,1.1068380583636104
313,"Altoona, PA",Bus,359,2009,593547.0,482784.0,37901.0,656317.0,1.1057540514904465
314,"Altoona, PA",Bus,359,2010,712712.0,511897.0,40111.0,648620.0,0.9100730729944213
315,"Altoona, PA",Bus,359,2011,689116.0,525806.0,41311.0,711785.0,1.032895767911353
316,"Altoona, PA",Bus,359,2012,687954.0,533346.0,42178.0,796748.0,1.1581413873602013
317,"Altoona, PA",Bus,359,2013,659876.0,527185.0,40850.0,748315.0,1.134023665052222
318,"Altoona, PA",Bus,359,2014,609471.0,511054.0,40776.0,707688.0,1.161151227868102
319,"Altoona, PA",Bus,359,2015,579580.0,492421.0,39185.0,694684.0,1.1985989854722385
320,"Altoona, PA",Bus,359,2016,576620.0,496453.0,39483.0,695284.0,1.2057923762616627
321,"Altoona, PA",Bus,359,2017,546149.0,480928.0,37087.0,684311.0,1.2529749207633814
322,"Altoona, PA",Bus,359,2018,544498.0,503331.0,39683.0,676231.25,1.2419352320853336
327,"Altoona, PA",DemandResponse,359,2005,9079.0,25226.0,2447.0,21791.0,2.400154202004626
328,"Altoona, PA",DemandResponse,359,2006,9848.0,28715.0,2380.0,22973.0,2.332757920389927
329,"Altoona, PA",DemandResponse,359,2007,10983.0,32101.0,2705.0,25446.0,2.316853318765365
330,"Altoona, PA",DemandResponse,359,2008,12399.0,37321.0,3132.0,31109.0,2.5089926606984436
331,"Altoona, PA",DemandResponse,359,2009,11861.0,40596.0,3187.0,33036.0,2.785262625411011
332,"Altoona, PA",DemandResponse,359,2010,12107.0,50417.0,3642.0,33189.0,2.7413066820847445
333,"Altoona, PA",DemandResponse,359,2011,11974.0,50332.0,3612.0,34850.0,2.910472690830132
334,"Altoona, PA",DemandResponse,359,2012,12417.0,53572.0,3830.0,36270.0,2.9209954095192074
335,"Altoona, PA",DemandResponse,359,2013,12444.0,53706.0,3821.0,37826.0,3.0396978463516553
336,"Altoona, PA",DemandResponse,359,2014,13007.0,52600.0,3911.0,37358.0,2.8721457676635658
337,"Altoona, PA",DemandResponse,359,2015,13670.0,48255.0,4874.0,40522.0,2.964301389904901
338,"Altoona, PA",DemandResponse,359,2016,12919.0,46302.0,4391.0,40571.0,3.140413344686121
