,UZA Name,RailBus,UZA,Year,UPT,VRM,VRH,FARE_TOTAL,FARE_per_UPT
3,"Aberdeen-Bel Air South-Bel Air North, MD",Bus,169,2005,228826.0,489981.0,23899.0,150133.0,0.6561011423527047
4,"Aberdeen-Bel Air South-Bel Air North, MD",Bus,169,2006,256269.0,334643.0,22849.0,184686.0,0.720672418435316
5,"Aberdeen-Bel Air South-Bel Air North, MD",Bus,169,2007,265020.0,473779.0,23660.0,191340.0,0.7219832465474304
6,"Aberdeen-Bel Air South-Bel Air North, MD",Bus,169,2008,280426.0,485409.0,24423.0,196460.0,0.7005769793100497
7,"Aberdeen-Bel Air South-Bel Air North, MD",Bus,169,2009,269500.0,460045.0,23443.0,197662.0,0.7334397031539889
8,"Aberdeen-Bel Air South-Bel Air North, MD",Bus,169,2010,266295.0,424015.0,21901.0,186192.0,0.699194502337633
9,"Aberdeen-Bel Air South-Bel Air North, MD",Bus,169,2011,300385.0,428706.0,22268.0,199971.0,0.6657156648967159
10,"Aberdeen-Bel Air South-Bel Air North, MD",Bus,169,2012,315363.0,476417.0,24818.0,225977.0,0.7165615497062116
11,"Aberdeen-Bel Air South-Bel Air North, MD",Bus,169,2013,326295.0,480513.0,25662.0,243076.0,0.7449577836007294
12,"Aberdeen-Bel Air South-Bel Air North, MD",Bus,169,2014,145634.0,227378.0,12412.0,217294.0,1.4920554266174109
13,"Aberdeen-Bel Air South-Bel Air North, MD",Bus,169,2015,0.0,0.0,0.0,244500.0,inf
14,"Aberdeen-Bel Air South-Bel Air North, MD",Bus,169,2016,0.0,0.0,0.0,234177.0,inf
15,"Aberdeen-Bel Air South-Bel Air North, MD",Bus,169,2017,0.0,0.0,0.0,221995.0,inf
16,"Aberdeen-Bel Air South-Bel Air North, MD",Bus,169,2018,0.0,0.0,0.0,210277.75,inf
21,"Aberdeen-Bel Air South-Bel Air North, MD",DemandResponse,169,2005,37648.0,323633.0,18804.0,43964.0,1.167764555886103
22,"Aberdeen-Bel Air South-Bel Air North, MD",DemandResponse,169,2006,40522.0,334643.0,19632.0,49186.0,1.213809782340457
23,"Aberdeen-Bel Air South-Bel Air North, MD",DemandResponse,169,2007,32527.0,288596.0,17392.0,58143.0,1.7875303593937344
24,"Aberdeen-Bel Air South-Bel Air North, MD",DemandResponse,169,2008,30050.0,271139.0,17247.0,52809.0,1.757371048252912
25,"Aberdeen-Bel Air South-Bel Air North, MD",DemandResponse,169,2009,25155.0,238386.0,15531.0,50503.0,2.007672430928245
26,"Aberdeen-Bel Air South-Bel Air North, MD",DemandResponse,169,2010,26642.0,244168.0,14871.0,40897.0,1.5350574281210119
27,"Aberdeen-Bel Air South-Bel Air North, MD",DemandResponse,169,2011,37877.0,294630.0,17712.0,55929.0,1.476595295297938
28,"Aberdeen-Bel Air South-Bel Air North, MD",DemandResponse,169,2012,49934.0,318266.0,19724.0,67304.0,1.347859174109825
29,"Aberdeen-Bel Air South-Bel Air North, MD",DemandResponse,169,2013,43591.0,297458.0,18471.0,65182.0,1.4953086646326077
30,"Aberdeen-Bel Air South-Bel Air North, MD",DemandResponse,169,2014,19249.0,136439.0,8494.0,75007.0,3.896669956880877
31,"Aberdeen-Bel Air South-Bel Air North, MD",DemandResponse,169,2015,0.0,0.0,0.0,62384.0,inf
32,"Aberdeen-Bel Air South-Bel Air North, MD",DemandResponse,169,2016,0.0,0.0,0.0,69744.0,inf
33,"Aberdeen-Bel Air South-Bel Air North, MD",DemandResponse,169,2017,0.0,0.0,0.0,76400.0,inf
34,"Aberdeen-Bel Air South-Bel Air North, MD",DemandResponse,169,2018,0.0,0.0,0.0,83232.0,inf
39,"Abilene, TX",Bus,282,2005,507165.0,444176.0,31147.0,213965.0,0.4218843965967683
40,"Abilene, TX",Bus,282,2006,493638.0,441300.0,30750.0,201795.0,0.40879146256973736
41,"Abilene, TX",Bus,282,2007,490254.0,424839.0,30435.0,217336.0,0.4433130581290515
42,"Abilene, TX",Bus,282,2008,473528.0,421757.0,31794.0,254879.0,0.5382553935564528
43,"Abilene, TX",Bus,282,2009,478743.0,418714.0,30445.0,248600.0,0.5192765220588081
44,"Abilene, TX",Bus,282,2010,456753.0,406871.0,39190.0,295374.0,0.6466821235985314
45,"Abilene, TX",Bus,282,2011,472931.0,396021.0,29999.0,375006.0,0.7929401963499961
46,"Abilene, TX",Bus,282,2012,0.0,0.0,0.0,368226.0,inf
47,"Abilene, TX",Bus,282,2013,0.0,0.0,0.0,390511.0,inf
48,"Abilene, TX",Bus,282,2014,0.0,0.0,0.0,408104.0,inf
49,"Abilene, TX",Bus,282,2015,0.0,0.0,0.0,294009.0,inf
50,"Abilene, TX",Bus,282,2016,0.0,0.0,0.0,166398.0,inf
51,"Abilene, TX",Bus,282,2017,0.0,0.0,0.0,191017.0,inf
52,"Abilene, TX",Bus,282,2018,0.0,0.0,0.0,177578.5,inf
57,"Abilene, TX",DemandResponse,282,2005,111675.0,639292.0,46130.0,201802.0,1.8070472352809492
58,"Abilene, TX",DemandResponse,282,2006,110152.0,624658.0,44144.0,93789.0,0.8514507226378095
