,CBSA Title,CBSA Code,Area_acre,Year,POP_CENSUSTRACT,CBSA
80,"Davenport-Moline-Rock Island, IA-IL",19340.0,5676.8,2005,47567.0,"Davenport-Moline-Rock Island, IA-IL Metro Area"
81,"Dayton-Kettering, OH",19430.0,10534.4,2005,77419.0,"Dayton-Kettering, OH Metro Area"
82,"Decatur, AL",19460.0,627.2,2005,4771.0,"Decatur, AL Metro Area"
83,"Decatur, IL",19500.0,2700.8,2005,22053.0,"Decatur, IL Metro Area"
84,"Deltona-Daytona Beach-Ormond Beach, FL",19660.0,2419.2,2005,9669.0,"Deltona-Daytona Beach-Ormond Beach, FL Metro Area"
85,"Denver-Aurora-Lakewood, CO",19740.0,113683.19999999998,2005,1179691.0,"Denver-Aurora-Lakewood, CO Metro Area"
86,"Des Moines-West Des Moines, IA",19780.0,10336.0,2005,81233.0,"Des Moines-West Des Moines, IA Metro Area"
87,"Detroit-Warren-Dearborn, MI",19820.0,126572.80000000008,2005,1113055.0,"Detroit-Warren-Dearborn, MI Metro Area"
88,"Dothan, AL",20020.0,652.8,2005,2811.0,"Dothan, AL Metro Area"
89,"Dover, DE",20100.0,576.0,2005,1918.0,"Dover, DE Metro Area"
90,"Dubuque, IA",20220.0,2611.2000000000007,2005,23185.0,"Dubuque, IA Metro Area"
91,"Duluth, MN-WI",20260.0,2598.4,2005,24062.0,"Duluth, MN-WI Metro Area"
92,"Durham-Chapel Hill, NC",20500.0,6188.8,2005,58373.0,"Durham-Chapel Hill, NC Metro Area"
93,"East Stroudsburg, PA",20700.0,832.0,2005,3801.0,"East Stroudsburg, PA Metro Area"
94,"Eau Claire, WI",20740.0,1619.2,2005,12410.0,"Eau Claire, WI Metro Area"
95,"El Centro, CA",20940.0,3129.6,2005,40166.0,"El Centro, CA Metro Area"
96,"El Paso, TX",21340.0,43193.6,2005,387855.0,"El Paso, TX Metro Area"
97,"Elkhart-Goshen, IN",21140.0,1945.6,2005,12356.0,"Elkhart-Goshen, IN Metro Area"
98,"Elmira, NY",21300.0,1888.0,2005,13326.0,"Elmira, NY Metro Area"
99,"Erie, PA",21500.0,7136.000000000001,2005,81239.0,"Erie, PA Metro Area"
100,"Eugene-Springfield, OR",21660.0,7673.600000000001,2005,63687.0,"Eugene-Springfield, OR Metro Area"
101,"Evansville, IN-KY",21780.0,4985.5999999999985,2005,34616.0,"Evansville, IN-KY Metro Area"
102,"Fairbanks, AK",21820.0,384.0,2005,1304.0,"Fairbanks, AK Metro Area"
103,"Fargo, ND-MN",22020.0,5939.200000000002,2005,53152.0,"Fargo, ND-MN Metro Area"
104,"Farmington, NM",22140.0,1580.8000000000006,2005,3748.0,"Farmington, NM Metro Area"
105,"Fayetteville, NC",22180.0,1299.2,2005,4994.0,"Fayetteville, NC Metro Area"
106,"Fayetteville-Springdale-Rogers, AR",22220.0,3289.6,2005,12584.0,"Fayetteville-Springdale-Rogers, AR Metro Area"
107,"Flagstaff, AZ",22380.0,1369.6000000000004,2005,13369.0,"Flagstaff, AZ Metro Area"
108,"Flint, MI",22420.0,3539.2,2005,16027.0,"Flint, MI Metro Area"
109,"Florence, SC",22500.0,614.4,2005,2854.0,"Florence, SC Metro Area"
110,"Fond du Lac, WI",22540.0,1228.8000000000004,2005,12114.0,"Fond du Lac, WI Metro Area"
111,"Fort Collins, CO",22660.0,5465.6,2005,51799.0,"Fort Collins, CO Metro Area"
112,"Fort Smith, AR-OK",22900.0,1401.6,2005,6783.0,"Fort Smith, AR-OK Metro Area"
113,"Fort Wayne, IN",23060.0,5920.0,2005,40000.0,"Fort Wayne, IN Metro Area"
114,"Fresno, CA",23420.0,36076.8,2005,376390.0,"Fresno, CA Metro Area"
115,"Gadsden, AL",23460.0,608.0,2005,2239.0,"Gadsden, AL Metro Area"
116,"Gainesville, FL",23540.0,5740.799999999998,2005,43077.0,"Gainesville, FL Metro Area"
117,"Gainesville, GA",23580.0,2195.2,2005,8321.0,"Gainesville, GA Metro Area"
118,"Gettysburg, PA",23900.0,1068.8,2005,7385.0,"Gettysburg, PA Metro Area"
119,"Glens Falls, NY",24020.0,2508.8,2005,14535.0,"Glens Falls, NY Metro Area"
120,"Grand Forks, ND-MN",24220.0,2227.2000000000007,2005,20226.0,"Grand Forks, ND-MN Metro Area"
121,"Grand Island, NE",24260.0,1689.6,2005,12324.0,"Grand Island, NE Metro Area"
122,"Grand Junction, CO",24300.0,2451.2,2005,15334.0,"Grand Junction, CO Metro Area"
123,"Grand Rapids-Kentwood, MI",24340.0,18720.000000000004,2005,148740.0,"Grand Rapids-Kentwood, MI Metro Area"
124,"Great Falls, MT",24500.0,1568.0,2005,11731.0,"Great Falls, MT Metro Area"
125,"Greeley, CO",24540.0,2310.4,2005,21802.0,"Greeley, CO Metro Area"
126,"Green Bay, WI",24580.0,6476.799999999998,2005,34724.0,"Green Bay, WI Metro Area"
127,"Greensboro-High Point, NC",24660.0,3564.8,2005,29040.0,"Greensboro-High Point, NC Metro Area"
128,"Greenville, NC",24780.0,1452.8000000000004,2005,11186.0,"Greenville, NC Metro Area"
129,"Greenville-Anderson, SC",24860.0,5088.0,2005,24645.0,"Greenville-Anderson, SC Metro Area"
130,"Gulfport-Biloxi, MS",25060.0,729.5999999999997,2005,6767.0,"Gulfport-Biloxi, MS Metro Area"
131,"Hagerstown-Martinsburg, MD-WV",25180.0,3244.8,2005,27195.0,"Hagerstown-Martinsburg, MD-WV Metro Area"
132,"Hanford-Corcoran, CA",25260.0,2752.0,2005,48773.0,"Hanford-Corcoran, CA Metro Area"
133,"Harrisburg-Carlisle, PA",25420.0,6931.200000000002,2005,68026.0,"Harrisburg-Carlisle, PA Metro Area"
134,"Harrisonburg, VA",25500.0,2048.0,2005,16047.0,"Harrisonburg, VA Metro Area"
135,"Hartford-East Hartford-Middletown, CT",25540.0,20979.199999999993,2005,261075.0,"Hartford-East Hartford-Middletown, CT Metro Area"
136,"Hot Springs, AR",26300.0,614.4,2005,3404.0,"Hot Springs, AR Metro Area"
137,"Houma-Thibodaux, LA",26380.0,1023.9999999999997,2005,4561.0,"Houma-Thibodaux, LA Metro Area"
138,"Houston-The Woodlands-Sugar Land, TX",26420.0,184691.19999999992,2005,1987957.0,"Houston-The Woodlands-Sugar Land, TX Metro Area"
139,"Huntington-Ashland, WV-KY-OH",26580.0,3008.0,2005,22153.0,"Huntington-Ashland, WV-KY-OH Metro Area"
140,"Huntsville, AL",26620.0,1651.1999999999996,2005,6520.0,"Huntsville, AL Metro Area"
141,"Idaho Falls, ID",26820.0,2054.4,2005,19644.0,"Idaho Falls, ID Metro Area"
142,"Indianapolis-Carmel-Anderson, IN",26900.0,27372.80000000001,2005,184072.0,"Indianapolis-Carmel-Anderson, IN Metro Area"
143,"Iowa City, IA",26980.0,4953.5999999999985,2005,28578.0,"Iowa City, IA Metro Area"
144,"Ithaca, NY",27060.0,1318.4,2005,13742.0,"Ithaca, NY Metro Area"
145,"Jackson, MI",27100.0,3532.8,2005,40779.0,"Jackson, MI Metro Area"
146,"Jackson, MS",27140.0,5766.4,2005,18297.0,"Jackson, MS Metro Area"
147,"Jacksonville, FL",27260.0,17964.8,2005,93169.0,"Jacksonville, FL Metro Area"
