,UZA Name,UZA,RailBus,Year,FARE_TOTAL
0,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2002,114842.0
869,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2003,130156.0
1738,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2004,138171.0
2607,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2005,150133.0
3476,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2006,184686.0
4345,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2007,191340.0
5214,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2008,196460.0
6083,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2009,197662.0
6952,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2010,186192.0
7821,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2011,199971.0
8690,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2012,225977.0
9559,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2013,243076.0
10428,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2014,217294.0
11297,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2015,244500.0
12166,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2016,234177.0
13035,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2017,221995.0
13904,"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,2018,210277.75
1,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2002,40948.0
870,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2003,44036.0
1739,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2004,45456.0
2608,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2005,43964.0
3477,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2006,49186.0
4346,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2007,58143.0
5215,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2008,52809.0
6084,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2009,50503.0
6953,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2010,40897.0
7822,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2011,55929.0
8691,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2012,67304.0
9560,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2013,65182.0
10429,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2014,75007.0
11298,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2015,62384.0
12167,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2016,69744.0
13036,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2017,76400.0
13905,"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,2018,83232.0
2,"Abilene, TX",282,Bus,2002,162609.0
871,"Abilene, TX",282,Bus,2003,173563.0
1740,"Abilene, TX",282,Bus,2004,185046.0
2609,"Abilene, TX",282,Bus,2005,213965.0
3478,"Abilene, TX",282,Bus,2006,201795.0
4347,"Abilene, TX",282,Bus,2007,217336.0
5216,"Abilene, TX",282,Bus,2008,254879.0
6085,"Abilene, TX",282,Bus,2009,248600.0
6954,"Abilene, TX",282,Bus,2010,295374.0
7823,"Abilene, TX",282,Bus,2011,375006.0
8692,"Abilene, TX",282,Bus,2012,368226.0
9561,"Abilene, TX",282,Bus,2013,390511.0
10430,"Abilene, TX",282,Bus,2014,408104.0
11299,"Abilene, TX",282,Bus,2015,294009.0
12168,"Abilene, TX",282,Bus,2016,166398.0
13037,"Abilene, TX",282,Bus,2017,191017.0
13906,"Abilene, TX",282,Bus,2018,177578.5
3,"Abilene, TX",282,DemandResponse,2002,350322.0
872,"Abilene, TX",282,DemandResponse,2003,319947.0
1741,"Abilene, TX",282,DemandResponse,2004,398825.0
2610,"Abilene, TX",282,DemandResponse,2005,201802.0
3479,"Abilene, TX",282,DemandResponse,2006,93789.0
4348,"Abilene, TX",282,DemandResponse,2007,98383.0
5217,"Abilene, TX",282,DemandResponse,2008,109095.0
6086,"Abilene, TX",282,DemandResponse,2009,101458.0
6955,"Abilene, TX",282,DemandResponse,2010,50000.0
7824,"Abilene, TX",282,DemandResponse,2011,426089.0
8693,"Abilene, TX",282,DemandResponse,2012,296153.0
9562,"Abilene, TX",282,DemandResponse,2013,323930.0
10431,"Abilene, TX",282,DemandResponse,2014,363579.0
11300,"Abilene, TX",282,DemandResponse,2015,108234.0
12169,"Abilene, TX",282,DemandResponse,2016,234140.0
13038,"Abilene, TX",282,DemandResponse,2017,233051.0
13907,"Abilene, TX",282,DemandResponse,2018,263710.75
4,"Akron, OH",71,Bus,2002,660887.0
873,"Akron, OH",71,Bus,2003,2568502.0
1742,"Akron, OH",71,Bus,2004,2524882.0
2611,"Akron, OH",71,Bus,2005,3022880.0
3480,"Akron, OH",71,Bus,2006,3163036.0
4349,"Akron, OH",71,Bus,2007,3445013.0
5218,"Akron, OH",71,Bus,2008,3602006.0
6087,"Akron, OH",71,Bus,2009,3387490.0
6956,"Akron, OH",71,Bus,2010,3597828.0
7825,"Akron, OH",71,Bus,2011,3802014.0
8694,"Akron, OH",71,Bus,2012,6462990.0
9563,"Akron, OH",71,Bus,2013,6704933.0
10432,"Akron, OH",71,Bus,2014,6894955.0
11301,"Akron, OH",71,Bus,2015,6280588.0
12170,"Akron, OH",71,Bus,2016,5877868.0
13039,"Akron, OH",71,Bus,2017,5939656.0
13908,"Akron, OH",71,Bus,2018,5885317.0
5,"Akron, OH",71,DemandResponse,2002,2903563.0
874,"Akron, OH",71,DemandResponse,2003,936899.0
1743,"Akron, OH",71,DemandResponse,2004,735790.0
2612,"Akron, OH",71,DemandResponse,2005,715048.0
3481,"Akron, OH",71,DemandResponse,2006,538410.0
4350,"Akron, OH",71,DemandResponse,2007,496131.0
5219,"Akron, OH",71,DemandResponse,2008,564614.0
6088,"Akron, OH",71,DemandResponse,2009,675282.0
6957,"Akron, OH",71,DemandResponse,2010,726251.0
7826,"Akron, OH",71,DemandResponse,2011,731863.0
8695,"Akron, OH",71,DemandResponse,2012,830578.0
9564,"Akron, OH",71,DemandResponse,2013,1308485.0
10433,"Akron, OH",71,DemandResponse,2014,976095.0
11302,"Akron, OH",71,DemandResponse,2015,1003679.0
12171,"Akron, OH",71,DemandResponse,2016,1015560.0
13040,"Akron, OH",71,DemandResponse,2017,887477.0
13909,"Akron, OH",71,DemandResponse,2018,794385.0
6,"Albany, GA",309,Bus,2002,303082.0
875,"Albany, GA",309,Bus,2003,287297.0
1744,"Albany, GA",309,Bus,2004,346703.0
2613,"Albany, GA",309,Bus,2005,344119.0
3482,"Albany, GA",309,Bus,2006,366673.0
4351,"Albany, GA",309,Bus,2007,377696.0
5220,"Albany, GA",309,Bus,2008,373954.0
6089,"Albany, GA",309,Bus,2009,431925.0
6958,"Albany, GA",309,Bus,2010,420551.0
7827,"Albany, GA",309,Bus,2011,471112.0
8696,"Albany, GA",309,Bus,2012,523278.0
9565,"Albany, GA",309,Bus,2013,525669.0
10434,"Albany, GA",309,Bus,2014,535879.0
11303,"Albany, GA",309,Bus,2015,542312.0
12172,"Albany, GA",309,Bus,2016,488610.0
13041,"Albany, GA",309,Bus,2017,466615.0
13910,"Albany, GA",309,Bus,2018,436693.25
7,"Albany, GA",309,DemandResponse,2002,41952.0
876,"Albany, GA",309,DemandResponse,2003,44789.0
1745,"Albany, GA",309,DemandResponse,2004,43372.0
2614,"Albany, GA",309,DemandResponse,2005,33568.0
3483,"Albany, GA",309,DemandResponse,2006,30922.0
4352,"Albany, GA",309,DemandResponse,2007,38589.0
5221,"Albany, GA",309,DemandResponse,2008,35037.0
6090,"Albany, GA",309,DemandResponse,2009,40983.0
6959,"Albany, GA",309,DemandResponse,2010,36663.0
7828,"Albany, GA",309,DemandResponse,2011,32731.0
8697,"Albany, GA",309,DemandResponse,2012,22636.0
9566,"Albany, GA",309,DemandResponse,2013,34021.0
10435,"Albany, GA",309,DemandResponse,2014,41248.0
11304,"Albany, GA",309,DemandResponse,2015,39173.0
12173,"Albany, GA",309,DemandResponse,2016,33843.0
13042,"Albany, GA",309,DemandResponse,2017,26419.0
13911,"Albany, GA",309,DemandResponse,2018,19518.5
8,"Albany-Schenectady, NY",67,Bus,2002,9323334.0
877,"Albany-Schenectady, NY",67,Bus,2003,8782740.0
1746,"Albany-Schenectady, NY",67,Bus,2004,9215554.0
2615,"Albany-Schenectady, NY",67,Bus,2005,9434072.0
3484,"Albany-Schenectady, NY",67,Bus,2006,9359450.0
4353,"Albany-Schenectady, NY",67,Bus,2007,10167637.0
5222,"Albany-Schenectady, NY",67,Bus,2008,10896882.0
6091,"Albany-Schenectady, NY",67,Bus,2009,12685805.0
6960,"Albany-Schenectady, NY",67,Bus,2010,14913757.0
7829,"Albany-Schenectady, NY",67,Bus,2011,14177425.0
8698,"Albany-Schenectady, NY",67,Bus,2012,14987224.0
9567,"Albany-Schenectady, NY",67,Bus,2013,15785176.0
10436,"Albany-Schenectady, NY",67,Bus,2014,15500819.0
11305,"Albany-Schenectady, NY",67,Bus,2015,16093361.0
12174,"Albany-Schenectady, NY",67,Bus,2016,17855542.0
13043,"Albany-Schenectady, NY",67,Bus,2017,18354163.0
13912,"Albany-Schenectady, NY",67,Bus,2018,19168674.0
9,"Albany-Schenectady, NY",67,DemandResponse,2002,0.0
878,"Albany-Schenectady, NY",67,DemandResponse,2003,0.0
1747,"Albany-Schenectady, NY",67,DemandResponse,2004,0.0
2616,"Albany-Schenectady, NY",67,DemandResponse,2005,0.0
3485,"Albany-Schenectady, NY",67,DemandResponse,2006,39348.0
4354,"Albany-Schenectady, NY",67,DemandResponse,2007,116034.0
5223,"Albany-Schenectady, NY",67,DemandResponse,2008,506892.0
6092,"Albany-Schenectady, NY",67,DemandResponse,2009,441827.0
6961,"Albany-Schenectady, NY",67,DemandResponse,2010,500915.0
7830,"Albany-Schenectady, NY",67,DemandResponse,2011,827929.0
8699,"Albany-Schenectady, NY",67,DemandResponse,2012,989244.0
9568,"Albany-Schenectady, NY",67,DemandResponse,2013,1063708.0
10437,"Albany-Schenectady, NY",67,DemandResponse,2014,1159839.0
11306,"Albany-Schenectady, NY",67,DemandResponse,2015,1301426.0
12175,"Albany-Schenectady, NY",67,DemandResponse,2016,662018.0
13044,"Albany-Schenectady, NY",67,DemandResponse,2017,680468.0
13913,"Albany-Schenectady, NY",67,DemandResponse,2018,534453.5
10,"Albuquerque, NM",56,Bus,2002,2485844.0
879,"Albuquerque, NM",56,Bus,2003,2880009.0
1748,"Albuquerque, NM",56,Bus,2004,2847866.0
2617,"Albuquerque, NM",56,Bus,2005,3024632.0
3486,"Albuquerque, NM",56,Bus,2006,3499539.0
4355,"Albuquerque, NM",56,Bus,2007,3766172.0
5224,"Albuquerque, NM",56,Bus,2008,3645357.0
6093,"Albuquerque, NM",56,Bus,2009,4294880.0
6962,"Albuquerque, NM",56,Bus,2010,3460174.0
7831,"Albuquerque, NM",56,Bus,2011,4029381.0
8700,"Albuquerque, NM",56,Bus,2012,4212025.0
9569,"Albuquerque, NM",56,Bus,2013,4222610.0
10438,"Albuquerque, NM",56,Bus,2014,4046527.0
11307,"Albuquerque, NM",56,Bus,2015,3797960.0
12176,"Albuquerque, NM",56,Bus,2016,3743024.0
13045,"Albuquerque, NM",56,Bus,2017,3254264.0
13914,"Albuquerque, NM",56,Bus,2018,2873960.0
11,"Albuquerque, NM",56,DemandResponse,2002,368490.0
880,"Albuquerque, NM",56,DemandResponse,2003,313313.0
1749,"Albuquerque, NM",56,DemandResponse,2004,312135.0
2618,"Albuquerque, NM",56,DemandResponse,2005,330744.0
3487,"Albuquerque, NM",56,DemandResponse,2006,335676.0
4356,"Albuquerque, NM",56,DemandResponse,2007,394574.0
5225,"Albuquerque, NM",56,DemandResponse,2008,385760.0
6094,"Albuquerque, NM",56,DemandResponse,2009,372041.0
6963,"Albuquerque, NM",56,DemandResponse,2010,388598.0
7832,"Albuquerque, NM",56,DemandResponse,2011,416904.0
8701,"Albuquerque, NM",56,DemandResponse,2012,393307.0
9570,"Albuquerque, NM",56,DemandResponse,2013,393634.0
10439,"Albuquerque, NM",56,DemandResponse,2014,393503.0
11308,"Albuquerque, NM",56,DemandResponse,2015,400288.0
12177,"Albuquerque, NM",56,DemandResponse,2016,420395.0
13046,"Albuquerque, NM",56,DemandResponse,2017,467675.0
13915,"Albuquerque, NM",56,DemandResponse,2018,508161.75
12,"Albuquerque, NM",56,Rail,2002,0.0
881,"Albuquerque, NM",56,Rail,2003,0.0
1750,"Albuquerque, NM",56,Rail,2004,0.0
2619,"Albuquerque, NM",56,Rail,2005,0.0
3488,"Albuquerque, NM",56,Rail,2006,0.0
4357,"Albuquerque, NM",56,Rail,2007,0.0
5226,"Albuquerque, NM",56,Rail,2008,0.0
6095,"Albuquerque, NM",56,Rail,2009,2669729.0
6964,"Albuquerque, NM",56,Rail,2010,2846221.0
7833,"Albuquerque, NM",56,Rail,2011,2856263.0
8702,"Albuquerque, NM",56,Rail,2012,2616485.0
9571,"Albuquerque, NM",56,Rail,2013,3002928.0
10440,"Albuquerque, NM",56,Rail,2014,2841371.0
11309,"Albuquerque, NM",56,Rail,2015,2587198.0
12178,"Albuquerque, NM",56,Rail,2016,2300780.0
13047,"Albuquerque, NM",56,Rail,2017,2153005.0
13916,"Albuquerque, NM",56,Rail,2018,1970569.25
13,"Alexandria, LA",346,Bus,2002,222738.0
882,"Alexandria, LA",346,Bus,2003,222841.0
1751,"Alexandria, LA",346,Bus,2004,176353.0
2620,"Alexandria, LA",346,Bus,2005,278575.0
3489,"Alexandria, LA",346,Bus,2006,317996.0
4358,"Alexandria, LA",346,Bus,2007,352317.0
5227,"Alexandria, LA",346,Bus,2008,366425.0
6096,"Alexandria, LA",346,Bus,2009,335519.0
6965,"Alexandria, LA",346,Bus,2010,367090.0
7834,"Alexandria, LA",346,Bus,2011,367150.0
8703,"Alexandria, LA",346,Bus,2012,441783.0
9572,"Alexandria, LA",346,Bus,2013,434767.0
10441,"Alexandria, LA",346,Bus,2014,434899.0
11310,"Alexandria, LA",346,Bus,2015,440237.0
12179,"Alexandria, LA",346,Bus,2016,440564.0
13048,"Alexandria, LA",346,Bus,2017,398178.0
13917,"Alexandria, LA",346,Bus,2018,366470.25
14,"Alexandria, LA",346,DemandResponse,2002,1691.0
883,"Alexandria, LA",346,DemandResponse,2003,1930.0
1752,"Alexandria, LA",346,DemandResponse,2004,5812.0
2621,"Alexandria, LA",346,DemandResponse,2005,6478.0
3490,"Alexandria, LA",346,DemandResponse,2006,6062.0
4359,"Alexandria, LA",346,DemandResponse,2007,5671.0
5228,"Alexandria, LA",346,DemandResponse,2008,6147.0
6097,"Alexandria, LA",346,DemandResponse,2009,6152.0
6966,"Alexandria, LA",346,DemandResponse,2010,7147.0
7835,"Alexandria, LA",346,DemandResponse,2011,7281.0
8704,"Alexandria, LA",346,DemandResponse,2012,9126.0
9573,"Alexandria, LA",346,DemandResponse,2013,10021.0
10442,"Alexandria, LA",346,DemandResponse,2014,10555.0
11311,"Alexandria, LA",346,DemandResponse,2015,11229.0
12180,"Alexandria, LA",346,DemandResponse,2016,12942.0
13049,"Alexandria, LA",346,DemandResponse,2017,12841.0
13918,"Alexandria, LA",346,DemandResponse,2018,13193.5
15,"Allentown, PA-NJ",61,Bus,2002,2469329.0
884,"Allentown, PA-NJ",61,Bus,2003,2603056.0
1753,"Allentown, PA-NJ",61,Bus,2004,2691227.0
2622,"Allentown, PA-NJ",61,Bus,2005,2796598.0
3491,"Allentown, PA-NJ",61,Bus,2006,2959675.0
4360,"Allentown, PA-NJ",61,Bus,2007,3207490.0
5229,"Allentown, PA-NJ",61,Bus,2008,4779427.0
6098,"Allentown, PA-NJ",61,Bus,2009,3646595.0
6967,"Allentown, PA-NJ",61,Bus,2010,3782378.0
7836,"Allentown, PA-NJ",61,Bus,2011,4357409.0
8705,"Allentown, PA-NJ",61,Bus,2012,4279031.0
9574,"Allentown, PA-NJ",61,Bus,2013,4345632.0
10443,"Allentown, PA-NJ",61,Bus,2014,4591781.0
11312,"Allentown, PA-NJ",61,Bus,2015,4763068.0
12181,"Allentown, PA-NJ",61,Bus,2016,4843106.0
13050,"Allentown, PA-NJ",61,Bus,2017,4502765.0
13919,"Allentown, PA-NJ",61,Bus,2018,4267518.75
16,"Allentown, PA-NJ",61,DemandResponse,2002,508825.0
885,"Allentown, PA-NJ",61,DemandResponse,2003,501843.0
1754,"Allentown, PA-NJ",61,DemandResponse,2004,495583.0
2623,"Allentown, PA-NJ",61,DemandResponse,2005,543490.0
3492,"Allentown, PA-NJ",61,DemandResponse,2006,530698.0
4361,"Allentown, PA-NJ",61,DemandResponse,2007,493202.0
5230,"Allentown, PA-NJ",61,DemandResponse,2008,528166.0
6099,"Allentown, PA-NJ",61,DemandResponse,2009,532891.0
6968,"Allentown, PA-NJ",61,DemandResponse,2010,736972.0
7837,"Allentown, PA-NJ",61,DemandResponse,2011,657350.0
8706,"Allentown, PA-NJ",61,DemandResponse,2012,847791.0
9575,"Allentown, PA-NJ",61,DemandResponse,2013,829161.0
10444,"Allentown, PA-NJ",61,DemandResponse,2014,780097.0
11313,"Allentown, PA-NJ",61,DemandResponse,2015,657311.0
12182,"Allentown, PA-NJ",61,DemandResponse,2016,913399.0
13051,"Allentown, PA-NJ",61,DemandResponse,2017,1172903.0
13920,"Allentown, PA-NJ",61,DemandResponse,2018,1431553.0
17,"Altoona, PA",359,Bus,2002,516107.0
886,"Altoona, PA",359,Bus,2003,530665.0
1755,"Altoona, PA",359,Bus,2004,543095.0
2624,"Altoona, PA",359,Bus,2005,542257.0
3493,"Altoona, PA",359,Bus,2006,555215.0
4362,"Altoona, PA",359,Bus,2007,564640.0
5231,"Altoona, PA",359,Bus,2008,649497.0
6100,"Altoona, PA",359,Bus,2009,656317.0
6969,"Altoona, PA",359,Bus,2010,648620.0
7838,"Altoona, PA",359,Bus,2011,711785.0
8707,"Altoona, PA",359,Bus,2012,796748.0
9576,"Altoona, PA",359,Bus,2013,748315.0
10445,"Altoona, PA",359,Bus,2014,707688.0
11314,"Altoona, PA",359,Bus,2015,694684.0
12183,"Altoona, PA",359,Bus,2016,695284.0
13052,"Altoona, PA",359,Bus,2017,684311.0
13921,"Altoona, PA",359,Bus,2018,676231.25
18,"Altoona, PA",359,DemandResponse,2002,21120.0
887,"Altoona, PA",359,DemandResponse,2003,19925.0
1756,"Altoona, PA",359,DemandResponse,2004,20560.0
2625,"Altoona, PA",359,DemandResponse,2005,21791.0
3494,"Altoona, PA",359,DemandResponse,2006,22973.0
4363,"Altoona, PA",359,DemandResponse,2007,25446.0
5232,"Altoona, PA",359,DemandResponse,2008,31109.0
6101,"Altoona, PA",359,DemandResponse,2009,33036.0
6970,"Altoona, PA",359,DemandResponse,2010,33189.0
7839,"Altoona, PA",359,DemandResponse,2011,34850.0
8708,"Altoona, PA",359,DemandResponse,2012,36270.0
9577,"Altoona, PA",359,DemandResponse,2013,37826.0
10446,"Altoona, PA",359,DemandResponse,2014,37358.0
11315,"Altoona, PA",359,DemandResponse,2015,40522.0
12184,"Altoona, PA",359,DemandResponse,2016,40571.0
13053,"Altoona, PA",359,DemandResponse,2017,38682.0
13922,"Altoona, PA",359,DemandResponse,2018,37277.5
19,"Amarillo, TX",182,Bus,2002,39801.0
888,"Amarillo, TX",182,Bus,2003,142126.0
1757,"Amarillo, TX",182,Bus,2004,134535.0
2626,"Amarillo, TX",182,Bus,2005,137747.0
3495,"Amarillo, TX",182,Bus,2006,143286.0
4364,"Amarillo, TX",182,Bus,2007,143565.0
5233,"Amarillo, TX",182,Bus,2008,137138.0
6102,"Amarillo, TX",182,Bus,2009,127417.0
6971,"Amarillo, TX",182,Bus,2010,139295.0
7840,"Amarillo, TX",182,Bus,2011,147844.0
8709,"Amarillo, TX",182,Bus,2012,156046.0
9578,"Amarillo, TX",182,Bus,2013,149462.0
10447,"Amarillo, TX",182,Bus,2014,149997.0
11316,"Amarillo, TX",182,Bus,2015,127456.0
12185,"Amarillo, TX",182,Bus,2016,118206.0
13054,"Amarillo, TX",182,Bus,2017,113174.0
13923,"Amarillo, TX",182,Bus,2018,107087.5
20,"Amarillo, TX",182,DemandResponse,2002,129905.0
889,"Amarillo, TX",182,DemandResponse,2003,37239.0
1758,"Amarillo, TX",182,DemandResponse,2004,40511.0
2627,"Amarillo, TX",182,DemandResponse,2005,45003.0
3496,"Amarillo, TX",182,DemandResponse,2006,52953.0
4365,"Amarillo, TX",182,DemandResponse,2007,41569.0
5234,"Amarillo, TX",182,DemandResponse,2008,43368.0
6103,"Amarillo, TX",182,DemandResponse,2009,38659.0
6972,"Amarillo, TX",182,DemandResponse,2010,45279.0
7841,"Amarillo, TX",182,DemandResponse,2011,57523.0
8710,"Amarillo, TX",182,DemandResponse,2012,57804.0
9579,"Amarillo, TX",182,DemandResponse,2013,58029.0
10448,"Amarillo, TX",182,DemandResponse,2014,61572.0
11317,"Amarillo, TX",182,DemandResponse,2015,67269.0
12186,"Amarillo, TX",182,DemandResponse,2016,70205.0
13055,"Amarillo, TX",182,DemandResponse,2017,72373.0
13924,"Amarillo, TX",182,DemandResponse,2018,74733.0
21,"Ames, IA",445,Bus,2002,662124.0
890,"Ames, IA",445,Bus,2003,162393.0
1759,"Ames, IA",445,Bus,2004,185118.0
2628,"Ames, IA",445,Bus,2005,200539.0
3497,"Ames, IA",445,Bus,2006,220154.0
4366,"Ames, IA",445,Bus,2007,255530.0
5235,"Ames, IA",445,Bus,2008,283227.0
6104,"Ames, IA",445,Bus,2009,274937.0
6973,"Ames, IA",445,Bus,2010,307692.0
7842,"Ames, IA",445,Bus,2011,306813.0
8711,"Ames, IA",445,Bus,2012,3693392.0
9580,"Ames, IA",445,Bus,2013,4019718.0
10449,"Ames, IA",445,Bus,2014,4384130.0
11318,"Ames, IA",445,Bus,2015,4404193.0
12187,"Ames, IA",445,Bus,2016,4048652.0
13056,"Ames, IA",445,Bus,2017,4985477.0
13925,"Ames, IA",445,Bus,2018,5599210.5
22,"Ames, IA",445,DemandResponse,2002,15352.0
891,"Ames, IA",445,DemandResponse,2003,18202.0
1760,"Ames, IA",445,DemandResponse,2004,4985.0
2629,"Ames, IA",445,DemandResponse,2005,11150.0
3498,"Ames, IA",445,DemandResponse,2006,9926.0
4367,"Ames, IA",445,DemandResponse,2007,10357.0
5236,"Ames, IA",445,DemandResponse,2008,11634.0
6105,"Ames, IA",445,DemandResponse,2009,9623.0
6974,"Ames, IA",445,DemandResponse,2010,9899.0
7843,"Ames, IA",445,DemandResponse,2011,8903.0
8712,"Ames, IA",445,DemandResponse,2012,8945.0
9581,"Ames, IA",445,DemandResponse,2013,4185.0
10450,"Ames, IA",445,DemandResponse,2014,11100.0
11319,"Ames, IA",445,DemandResponse,2015,14986.0
12188,"Ames, IA",445,DemandResponse,2016,11496.0
13057,"Ames, IA",445,DemandResponse,2017,14069.0
13926,"Ames, IA",445,DemandResponse,2018,15126.25
23,"Anchorage, AK",149,Bus,2002,2173942.0
892,"Anchorage, AK",149,Bus,2003,2248025.0
1761,"Anchorage, AK",149,Bus,2004,2663894.0
2630,"Anchorage, AK",149,Bus,2005,2867604.0
3499,"Anchorage, AK",149,Bus,2006,3461154.0
4368,"Anchorage, AK",149,Bus,2007,3331361.0
5237,"Anchorage, AK",149,Bus,2008,3770857.0
6106,"Anchorage, AK",149,Bus,2009,3762970.0
6975,"Anchorage, AK",149,Bus,2010,3774194.0
7844,"Anchorage, AK",149,Bus,2011,4115324.0
8713,"Anchorage, AK",149,Bus,2012,4353774.0
9582,"Anchorage, AK",149,Bus,2013,4265961.0
10451,"Anchorage, AK",149,Bus,2014,4243486.0
11320,"Anchorage, AK",149,Bus,2015,4191141.0
12189,"Anchorage, AK",149,Bus,2016,3904205.0
13058,"Anchorage, AK",149,Bus,2017,3235222.0
13927,"Anchorage, AK",149,Bus,2018,2661750.75
24,"Anchorage, AK",149,DemandResponse,2002,887015.0
893,"Anchorage, AK",149,DemandResponse,2003,1056675.0
1762,"Anchorage, AK",149,DemandResponse,2004,989280.0
2631,"Anchorage, AK",149,DemandResponse,2005,1130682.0
3500,"Anchorage, AK",149,DemandResponse,2006,1412618.0
4369,"Anchorage, AK",149,DemandResponse,2007,2276045.0
5238,"Anchorage, AK",149,DemandResponse,2008,1505974.0
6107,"Anchorage, AK",149,DemandResponse,2009,2191854.0
6976,"Anchorage, AK",149,DemandResponse,2010,2262841.0
7845,"Anchorage, AK",149,DemandResponse,2011,3279501.0
8714,"Anchorage, AK",149,DemandResponse,2012,3343678.0
9583,"Anchorage, AK",149,DemandResponse,2013,2524081.0
10452,"Anchorage, AK",149,DemandResponse,2014,3648943.0
11321,"Anchorage, AK",149,DemandResponse,2015,3571196.0
12190,"Anchorage, AK",149,DemandResponse,2016,2100660.0
13059,"Anchorage, AK",149,DemandResponse,2017,1687190.0
13928,"Anchorage, AK",149,DemandResponse,2018,1009453.5
25,"Anchorage, AK",149,Other,2002,725212.0
894,"Anchorage, AK",149,Other,2003,814088.0
1763,"Anchorage, AK",149,Other,2004,927822.0
2632,"Anchorage, AK",149,Other,2005,1231778.0
3501,"Anchorage, AK",149,Other,2006,1343905.0
4370,"Anchorage, AK",149,Other,2007,1481165.0
5239,"Anchorage, AK",149,Other,2008,1551649.0
6108,"Anchorage, AK",149,Other,2009,1394379.0
6977,"Anchorage, AK",149,Other,2010,1279438.0
7846,"Anchorage, AK",149,Other,2011,1445703.0
8715,"Anchorage, AK",149,Other,2012,14500525.0
9584,"Anchorage, AK",149,Other,2013,15470981.0
10453,"Anchorage, AK",149,Other,2014,16453864.0
11322,"Anchorage, AK",149,Other,2015,19932525.0
12191,"Anchorage, AK",149,Other,2016,21161796.0
13060,"Anchorage, AK",149,Other,2017,23264241.0
13929,"Anchorage, AK",149,Other,2018,25148392.5
26,"Anderson, IN",330,Bus,2002,77874.0
895,"Anderson, IN",330,Bus,2003,0.0
1764,"Anderson, IN",330,Bus,2004,91384.0
2633,"Anderson, IN",330,Bus,2005,104733.0
3502,"Anderson, IN",330,Bus,2006,110318.0
4371,"Anderson, IN",330,Bus,2007,99209.0
5240,"Anderson, IN",330,Bus,2008,114392.0
6109,"Anderson, IN",330,Bus,2009,110768.0
6978,"Anderson, IN",330,Bus,2010,106616.0
7847,"Anderson, IN",330,Bus,2011,125955.0
8716,"Anderson, IN",330,Bus,2012,129319.0
9585,"Anderson, IN",330,Bus,2013,124627.0
10454,"Anderson, IN",330,Bus,2014,149342.0
11323,"Anderson, IN",330,Bus,2015,145524.0
12192,"Anderson, IN",330,Bus,2016,117266.0
13061,"Anderson, IN",330,Bus,2017,108663.0
13930,"Anderson, IN",330,Bus,2018,95146.25
27,"Anderson, IN",330,DemandResponse,2002,35453.0
896,"Anderson, IN",330,DemandResponse,2003,0.0
1765,"Anderson, IN",330,DemandResponse,2004,30461.0
2634,"Anderson, IN",330,DemandResponse,2005,50360.0
3503,"Anderson, IN",330,DemandResponse,2006,59536.0
4372,"Anderson, IN",330,DemandResponse,2007,48541.0
5241,"Anderson, IN",330,DemandResponse,2008,55605.0
6110,"Anderson, IN",330,DemandResponse,2009,50251.0
6979,"Anderson, IN",330,DemandResponse,2010,49917.0
7848,"Anderson, IN",330,DemandResponse,2011,52457.0
8717,"Anderson, IN",330,DemandResponse,2012,51983.0
9586,"Anderson, IN",330,DemandResponse,2013,47255.0
10455,"Anderson, IN",330,DemandResponse,2014,39983.0
