UA,UANAME,CBSA,MNAME,UAPOP,MPOP,metro_micro
98209,"Zimmerman, MN Urban Cluster",33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",8110,3279833,FALSE
98182,"Zephyrhills, FL Urbanized Area",45300,"Tampa-St. Petersburg-Clearwater, FL Metro Area",66609,2783243,FALSE
97993,"Yulee, FL Urban Cluster",27260,"Jacksonville, FL Metro Area",7534,1345596,FALSE
97966,"Yucca Valley, CA Urban Cluster",40140,"Riverside-San Bernardino-Ontario, CA Metro Area",23805,4224851,FALSE
97939,"Yuba City, CA Urbanized Area",49700,"Yuba City, CA Metro Area",116719,166892,FALSE
97885,"Yountville, CA Urban Cluster",34900,"Napa, CA Metro Area",2933,136484,FALSE
97812,"Yorkville, GA Urban Cluster",12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",3289,5268860,FALSE
97777,"York, SC Urban Cluster",16740,"Charlotte-Gastonia-Rock Hill, NC-SC Metro Area",7931,1758038,FALSE
97750,"York, PA Urbanized Area",49620,"York-Hanover, PA Metro Area",232045,434972,FALSE
97615,"Yellow Springs, OH Urban Cluster",19380,"Dayton, OH Metro Area",3589,841502,FALSE
97507,"Yakima, WA Urbanized Area",49420,"Yakima, WA Metro Area",129534,243231,FALSE
97480,"Yadkinville, NC Urban Cluster",49180,"Winston-Salem, NC Metro Area",3530,477717,FALSE
97359,"Wrightstown, WI Urban Cluster",24580,"Green Bay, WI Metro Area",2524,306241,FALSE
97352,"Wright City, MO Urban Cluster",41180,"St. Louis, MO-IL Metro Area",2938,2812896,FALSE
97331,"World Golf Village, FL Urban Cluster",27260,"Jacksonville, FL Metro Area",6622,1345596,FALSE
97200,"Woodville, FL Urban Cluster",45220,"Tallahassee, FL Metro Area",5427,367413,FALSE
97183,"Woodstown, NJ Urban Cluster",37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",4195,5965343,FALSE
97129,"Woodstock, IL Urban Cluster",16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",25308,9461105,FALSE
97102,"Woodruff, SC Urban Cluster",43900,"Spartanburg, SC Metro Area",4298,284307,FALSE
96994,"Woodland, CA Urbanized Area",40900,"Sacramento--Arden-Arcade--Roseville, CA Metro Area",55513,2149127,FALSE
97048,"Woodland Park, CO Urban Cluster",17820,"Colorado Springs, CO Metro Area",10528,645613,FALSE
96967,"Woodlake, CA Urban Cluster",47300,"Visalia-Porterville, CA Metro Area",7465,442179,FALSE
96940,"Woodcreek, TX Urban Cluster",12420,"Austin-Round Rock-San Marcos, TX Metro Area",5032,1716289,FALSE
96926,"Woodbury, TN Urban Cluster",34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",2604,1589934,FALSE
96913,"Woodburn, OR Urban Cluster",41420,"Salem, OR Metro Area",32943,390738,FALSE
96886,"Wonder Lake, IL Urban Cluster",16980,"Chicago-Joliet-Naperville, IL-IN-WI Metro Area",4533,9461105,FALSE
