,Trs_Id,mode_cd,service_cd,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,MODE
0,1,LR,DO,0.0,0.0,0.0,0.0,,,1,3,4,,,,,,,,,Rail
1,1,MB,DO,251.0,136.0,98.0,84.0,5374.0,4892.0,4998,4822,6762,7707,8052.0,7019.0,6423.0,6765.0,7328.0,8821.0,8905.0,Bus
2,1,TB,DO,114.0,81.0,57.0,67.0,609.0,321.0,275,252,1631,2146,1937.0,1838.0,2026.0,1997.0,2021.0,1818.0,1717.0,Bus
3,1,VP,DO,0.0,0.0,0.0,0.0,0.0,0.0,0,                ,                ,0,,0.0,0.0,0.0,0.0,0.0,0.0,DemandResponse
4,2,DR,DO,5.0,1.0,3.0,6.0,2.0,3.0,5,8,9,5,4.0,5.0,4.0,8.0,6.0,6.0,9.0,DemandResponse
5,2,MB,DO,623.0,665.0,517.0,505.0,377.0,410.0,367,347,223,197,224.0,179.0,258.0,199.0,145.0,317.0,341.0,Bus
6,2,VP,DO,0.0,3.0,1.0,1.0,0.0,0.0,3,3,2,2,2.0,3.0,2.0,1.0,3.0,1.0,1.0,DemandResponse
7,3,DR,DO,115.0,86.0,38.0,30.0,10.0,3.0,15,17,19,62,66.0,8.0,9.0,30.0,29.0,31.0,20.0,DemandResponse
8,3,MB,DO,228.0,231.0,137.0,83.0,240.0,307.0,933,900,1060,1336,1872.0,492.0,467.0,1099.0,761.0,603.0,446.0,Bus
9,3,VP,DO,15.0,25.0,2.0,2.0,1.0,3.0,7,3,2,7,9.0,0.0,6.0,1.0,1.0,0.0,0.0,DemandResponse
10,5,DR,DO,6.0,4.0,7.0,5.0,6.0,4.0,12,9,7,19,4.0,11.0,21.0,10.0,5.0,2.0,1.0,DemandResponse
11,5,MB,DO,58.0,50.0,29.0,16.0,22.0,50.0,63,98,80,132,50.0,23.0,24.0,32.0,43.0,32.0,39.0,Bus
12,6,MB,DO,9.0,10.0,9.0,9.0,11.0,3.0,3,3,3,4,51.0,120.0,169.0,61.0,58.0,49.0,84.0,Bus
13,6,VP,DO,,3.0,1.0,1.0,2.0,1.0,1,5,11,4,7.0,7.0,23.0,23.0,19.0,16.0,12.0,DemandResponse
14,7,MB,DO,648.0,485.0,505.0,461.0,490.0,309.0,282,351,454,339,331.0,147.0,176.0,204.0,224.0,194.0,212.0,Bus
15,8,LR,DO,55.0,114.0,113.0,100.0,84.0,76.0,48,54,64,116,75.0,80.0,56.0,78.0,73.0,106.0,34.0,Rail
16,8,MB,DO,1195.0,791.0,615.0,242.0,145.0,109.0,147,83,2268,3078,4001.0,4074.0,4227.0,4394.0,4379.0,6050.0,3708.0,Bus
17,11,DR,DO,18.0,17.0,1.0,4.0,9.0,11.0,32,11,9,2,10.0,4.0,3.0,95.0,2.0,4.0,,DemandResponse
18,11,MB,DO,292.0,130.0,58.0,131.0,104.0,124.0,277,36,55,29,38.0,22.0,16.0,32.0,15.0,26.0,,Bus
19,12,MB,DO,29.0,39.0,64.0,59.0,68.0,341.0,86,90,104,128,467.0,557.0,318.0,271.0,312.0,354.0,452.0,Bus
