,Trs_Id,mode_cd,service_cd,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,MODE
24,19,DR,DO,52.0,24.0,29.0,19.0,23.0,22.0,48,54,51,38,41.0,36.0,26.0,37.0,18.0,20.0,13.0,DemandResponse
25,19,MB,DO,210.0,253.0,226.0,268.0,246.0,229.0,315,265,266,237,155.0,122.0,68.0,65.0,77.0,73.0,43.0,Bus
26,19,VP,DO,5.0,9.0,7.0,6.0,3.0,12.0,9,7,9,12,6.0,12.0,8.0,7.0,17.0,7.0,6.0,DemandResponse
27,20,DR,DO,22.0,36.0,23.0,64.0,60.0,53.0,68,20,25,70,34.0,51.0,9.0,7.0,10.0,3.0,6.0,DemandResponse
28,20,MB,DO,92.0,114.0,92.0,129.0,106.0,139.0,96,90,96,109,48.0,140.0,22.0,123.0,80.0,20.0,21.0,Bus
29,20,VP,DO,0.0,9.0,15.0,29.0,23.0,20.0,26,18,8,4,2.0,3.0,1.0,4.0,2.0,1.0,3.0,DemandResponse
30,21,DR,DO,17.0,20.0,11.0,14.0,18.0,13.0,29,30,28,13,17.0,33.0,17.0,31.0,21.0,35.0,31.0,DemandResponse
31,21,MB,DO,135.0,58.0,62.0,41.0,28.0,57.0,144,94,64,70,87.0,133.0,175.0,156.0,124.0,146.0,127.0,Bus
32,22,DR,DO,6.0,8.0,7.0,9.0,11.0,26.0,24,33,38,,,,,,,,,DemandResponse
33,22,MB,DO,18.0,16.0,18.0,16.0,18.0,21.0,22,37,19,,,,,,,,,Bus
34,24,DR,DO,53.0,45.0,30.0,29.0,49.0,31.0,22,20,18,26,44.0,51.0,45.0,77.0,44.0,65.0,33.0,DemandResponse
35,24,MB,DO,,202.0,154.0,148.0,141.0,170.0,202,171,191,185,220.0,277.0,278.0,280.0,209.0,235.0,246.0,Bus
36,24,VP,DO,,0.0,0.0,,,,,0,0,3,6.0,9.0,41.0,39.0,34.0,26.0,21.0,DemandResponse
37,25,MB,DO,68.0,45.0,73.0,64.0,53.0,60.0,60,52,126,200,139.0,175.0,176.0,169.0,214.0,214.0,189.0,Bus
38,29,MB,DO,157.0,126.0,237.0,236.0,242.0,195.0,228,208,184,172,161.0,350.0,588.0,918.0,835.0,597.0,398.0,Bus
39,29,VP,DO,24.0,23.0,20.0,28.0,25.0,10.0,8,4,9,4,3.0,3.0,3.0,3.0,6.0,12.0,4.0,DemandResponse
40,33,DR,DO,20.0,100.0,75.0,85.0,94.0,,,,,,,,,,,,,DemandResponse
41,34,DR,DO,0.0,0.0,0.0,,,,,,,,,,,,,,,DemandResponse
42,34,MB,DO,0.0,0.0,0.0,1.0,3.0,6.0,4,38,67,74,62.0,45.0,70.0,60.0,41.0,84.0,84.0,Bus
43,35,FB,DO,40.0,66.0,74.0,56.0,51.0,47.0,36,30,36,25,22.0,41.0,63.0,48.0,50.0,43.0,42.0,Other
44,41,AR,DO,0.0,0.0,0.0,0.0,0.0,3.0,4,2,1,3,1.0,4.0,1.0,3.0,3.0,2.0,2.0,Other
45,42,MB,DO,1.0,,,,68.0,,,67,15,,,,,,,,,Bus
46,46,DR,DO,2.0,3.0,7.0,12.0,4.0,5.0,4,5,4,,,,,,,4.0,2.0,DemandResponse
47,46,MB,DO,8.0,29.0,33.0,43.0,18.0,16.0,14,35,18,,,,,,,15.0,13.0,Bus
48,1001,DR,DO,11.0,103.0,210.0,560.0,111.0,70.0,88,55,53,92,199.0,185.0,165.0,104.0,77.0,74.0,97.0,DemandResponse
49,1001,MB,DO,1714.0,1450.0,1542.0,943.0,1077.0,1090.0,1272,1198,1122,694,619.0,456.0,497.0,560.0,695.0,559.0,634.0,Bus
50,1002,DR,DO,4.0,6.0,8.0,5.0,2.0,1.0,1,0,4,2,2.0,,,,,,,DemandResponse
51,1002,MB,DO,23.0,28.0,35.0,30.0,30.0,18.0,28,26,20,14,18.0,,,,,,,Bus
52,1003,CR,DO,246.0,341.0,616.0,551.0,150.0,124.0,,,,,,,,,,,,Rail
53,1003,HR,DO,535.0,580.0,535.0,618.0,669.0,511.0,590,701,579,681,536.0,443.0,472.0,452.0,348.0,392.0,427.0,Rail
54,1003,LR,DO,1181.0,1370.0,1983.0,1065.0,938.0,1004.0,949,870,1235,1523,1424.0,1122.0,983.0,1345.0,1143.0,805.0,628.0,Rail
55,1003,MB,DO,1817.0,2018.0,1742.0,6084.0,7910.0,4061.0,2535,2859,2900,2529,1870.0,1385.0,1592.0,1472.0,1334.0,1757.0,806.0,Bus
56,1003,TB,DO,23.0,28.0,11.0,249.0,209.0,85.0,42,47,30,31,28.0,22.0,9.0,1.0,4.0,4.0,16.0,Bus
57,1005,MB,DO,20.0,17.0,21.0,25.0,33.0,177.0,64,99,,,,,,,,,,Bus
58,1014,DR,DO,2.0,12.0,18.0,28.0,28.0,46.0,51,88,90,91,15.0,0.0,0.0,0.0,0.0,0.0,0.0,DemandResponse
59,1014,MB,DO,677.0,186.0,294.0,288.0,613.0,641.0,787,791,724,143,143.0,111.0,165.0,170.0,146.0,187.0,243.0,Bus
60,1016,MB,DO,178.0,236.0,349.0,333.0,277.0,250.0,205,181,184,110,101.0,101.0,101.0,71.0,77.0,54.0,94.0,Bus
61,1040,MB,DO,27.0,38.0,26.0,22.0,19.0,23.0,21,119,123,,180.0,338.0,40.0,122.0,120.0,156.0,333.0,Bus
62,1042,DR,DO,0.0,0.0,0.0,,,0.0,9,7,20,,18.0,2.0,2.0,3.0,5.0,7.0,10.0,DemandResponse
63,1047,MB,DO,34.0,,85.0,,128.0,,17,128,46,,,,,,,,,Bus
64,1048,MB,DO,1900.0,1764.0,1911.0,2021.0,1876.0,1650.0,1415,1286,1240,1284,1557.0,942.0,477.0,496.0,373.0,378.0,388.0,Bus
65,1049,DR,DO,10.0,0.0,0.0,2.0,11.0,5.0,9,15,11,25,102.0,14.0,141.0,131.0,120.0,103.0,113.0,DemandResponse
66,1050,MB,DO,360.0,394.0,367.0,434.0,521.0,499.0,495,573,521,380,435.0,241.0,280.0,385.0,399.0,426.0,219.0,Bus
67,1051,DR,DO,27.0,28.0,23.0,23.0,20.0,13.0,30,21,16,18,22.0,29.0,27.0,21.0,19.0,19.0,18.0,DemandResponse
68,1051,MB,DO,31.0,29.0,39.0,40.0,30.0,12.0,44,19,14,24,28.0,21.0,19.0,19.0,14.0,20.0,12.0,Bus
69,1052,MB,DO,5.0,,3.0,,11.0,,,,,,,,,,,,,Bus
70,1055,MB,DO,929.0,1138.0,1049.0,619.0,666.0,731.0,769,813,984,1015,955.0,587.0,339.0,319.0,375.0,265.0,178.0,Bus
71,1056,MB,DO,302.0,274.0,379.0,571.0,469.0,453.0,558,657,643,599,401.0,314.0,269.0,134.0,120.0,83.0,49.0,Bus
72,1057,DR,DO,140.0,152.0,99.0,46.0,39.0,37.0,38,58,19,19,21.0,22.0,11.0,7.0,18.0,14.0,31.0,DemandResponse
73,1057,MB,DO,223.0,271.0,312.0,246.0,186.0,202.0,258,335,355,250,256.0,195.0,107.0,78.0,114.0,104.0,80.0,Bus
74,1066,MB,DO,52.0,53.0,51.0,55.0,109.0,117.0,109,90,85,83,47.0,48.0,53.0,42.0,82.0,106.0,72.0,Bus
