,Geography,Population_Estimate,DateTime,Year
0,"Abilene, TX Metro Area",160245.0,2000-07-01,2000
1,"Akron, OH Metro Area",694960.0,2000-07-01,2000
2,"Albany, GA Metro Area",157833.0,2000-07-01,2000
3,"Albany-Schenectady-Troy, NY Metro Area",825875.0,2000-07-01,2000
4,"Albuquerque, NM Metro Area",729649.0,2000-07-01,2000
5,"Alexandria, LA Metro Area",145035.0,2000-07-01,2000
6,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",740395.0,2000-07-01,2000
7,"Altoona, PA Metro Area",129144.0,2000-07-01,2000
8,"Amarillo, TX Metro Area",226522.0,2000-07-01,2000
9,"Ames, IA Metro Area",79981.0,2000-07-01,2000
10,"Anchorage, AK Metro Area",319605.0,2000-07-01,2000
11,"Ann Arbor, MI Metro Area",322895.0,2000-07-01,2000
12,"Appleton, WI Metro Area",201602.0,2000-07-01,2000
13,"Asheville, NC Metro Area",369171.0,2000-07-01,2000
14,"Athens-Clarke County, GA Metro Area",166079.0,2000-07-01,2000
15,"Atlantic City-Hammonton, NJ Metro Area",252552.0,2000-07-01,2000
16,"Auburn-Opelika, AL Metro Area",115092.0,2000-07-01,2000
17,"Augusta-Richmond County, GA-SC Metro Area",499684.0,2000-07-01,2000
18,"Austin-Round Rock, TX Metro Area",1249763.0,2000-07-01,2000
19,"Bakersfield, CA Metro Area",661645.0,2000-07-01,2000
20,"Bangor, ME Metro Area",144919.0,2000-07-01,2000
21,"Barnstable Town, MA Metro Area",222230.0,2000-07-01,2000
22,"Baton Rouge, LA Metro Area",705973.0,2000-07-01,2000
23,"Battle Creek, MI Metro Area",137985.0,2000-07-01,2000
24,"Bay City, MI Metro Area",110157.0,2000-07-01,2000
25,"Beaumont-Port Arthur, TX Metro Area",385090.0,2000-07-01,2000
26,"Bellingham, WA Metro Area",166814.0,2000-07-01,2000
27,"Billings, MT Metro Area",138904.0,2000-07-01,2000
28,"Binghamton, NY Metro Area",252320.0,2000-07-01,2000
29,"Birmingham-Hoover, AL Metro Area",1052238.0,2000-07-01,2000
30,"Bismarck, ND Metro Area",94719.0,2000-07-01,2000
31,"Blacksburg-Christiansburg-Radford, VA Metro Area",151272.0,2000-07-01,2000
32,"Bloomington, IN Metro Area",175506.0,2000-07-01,2000
33,"Bowling Green, KY Metro Area",104166.0,2000-07-01,2000
34,"Bremerton-Silverdale, WA Metro Area",231969.0,2000-07-01,2000
