,CBSA,MNAME,TOTAL_EMPLOYMENT,JTW_DA_PCT,JTW_CARPOOLED_PCT,JTW_TRANSIT_PCT,JTW_WALK_PCT,JTW_BICYCLE_PCT,JTW_OTHER_PCT,JTW_HOME_PCT,Year
0,10180,"Abilene, TX Metro Area",64712,82.2,12.2,0.4,1.1,0.5,1.2,2.5,2005
358,10180,"Abilene, TX Metro Area",69960,79.2,13.2,0.3,2.4,0.3,1.5,3.1,2006
717,10180,"Abilene, TX Metro Area",67436,83.0,10.4,0.4,2.0,0.3,1.5,2.4,2007
1078,10180,"Abilene, TX Metro Area",74969,83.1,9.8,0.2,2.6,0.5,1.5,2.2,2008
1439,10180,"Abilene, TX Metro Area",74530,79.4,12.6,0.3,2.9,0.3,2.9,1.7,2009
1805,10180,"Abilene, TX Metro Area",72422,78.1,12.3,0.7,2.1,0.4,2.3,4.2,2010
2171,10180,"Abilene, TX Metro Area",66414,81.6,9.2,0.7,2.8,0.1,4.1,1.4,2011
2537,10180,"Abilene, TX Metro Area",69290,80.3,11.7,1.2,2.6,0.0,1.9,2.3,2012
2903,10180,"Abilene, TX Metro Area",75337,79.7,14.5,0.4,2.1,0.4,0.8,2.1,2013
3284,10180,"Abilene, TX Metro Area",75521,80.9,10.0,0.4,3.3,0.1,0.9,4.3,2014
3665,10180,"Abilene, TX Metro Area",76453,83.8,10.3,0.3,1.6,0.3,0.9,2.8,2015
4046,10180,"Abilene, TX Metro Area",73473,79.2,10.6,1.2,2.1,0.0,0.5,6.4,2016
4428,10180,"Abilene, TX Metro Area",78392,80.0,8.5,0.0,2.7,0.2,1.0,7.6,2017
1,10420,"Akron, OH Metro Area",330039,86.8,6.8,0.8,1.7,0.1,0.7,3.1,2005
359,10420,"Akron, OH Metro Area",340143,85.8,7.3,1.3,2.2,0.0,0.9,2.5,2006
718,10420,"Akron, OH Metro Area",335010,85.7,7.0,1.3,2.0,0.2,0.8,2.9,2007
1079,10420,"Akron, OH Metro Area",346231,84.4,7.5,1.6,2.7,0.2,0.6,3.0,2008
1440,10420,"Akron, OH Metro Area",326349,86.6,5.9,1.4,2.2,0.2,0.5,3.2,2009
1806,10420,"Akron, OH Metro Area",319431,87.7,5.7,1.5,1.6,0.1,0.6,2.9,2010
2172,10420,"Akron, OH Metro Area",322871,85.6,7.2,1.3,1.7,0.3,0.6,3.3,2011
2538,10420,"Akron, OH Metro Area",325710,86.1,7.3,1.3,1.6,0.2,0.6,3.0,2012
2904,10420,"Akron, OH Metro Area",333414,85.9,6.4,1.7,1.8,0.1,0.5,3.5,2013
3285,10420,"Akron, OH Metro Area",340491,86.0,6.8,1.7,1.6,0.1,0.4,3.2,2014
3666,10420,"Akron, OH Metro Area",337334,85.3,7.3,1.9,1.7,0.1,0.5,3.1,2015
4047,10420,"Akron, OH Metro Area",335302,85.9,6.3,1.1,2.0,0.1,0.4,4.2,2016
4429,10420,"Akron, OH Metro Area",345482,84.9,7.4,1.1,1.0,0.1,0.7,4.8,2017
2,10500,"Albany, GA Metro Area",65934,79.7,13.7,0.4,1.5,0.6,1.1,2.9,2005
360,10500,"Albany, GA Metro Area",65320,82.0,13.1,1.2,1.5,0.0,0.5,1.7,2006
719,10500,"Albany, GA Metro Area",64653,81.4,14.1,0.7,1.1,0.1,0.8,1.9,2007
1080,10500,"Albany, GA Metro Area",67604,78.7,13.7,0.5,2.9,0.4,0.6,3.2,2008
1441,10500,"Albany, GA Metro Area",63259,79.2,14.6,0.8,3.0,0.0,0.7,1.8,2009
1807,10500,"Albany, GA Metro Area",59116,78.0,15.7,1.1,2.7,0.3,0.7,1.5,2010
2173,10500,"Albany, GA Metro Area",58211,78.8,14.7,1.0,1.5,0.0,1.1,2.8,2011
2539,10500,"Albany, GA Metro Area",58769,79.5,12.7,1.0,2.9,0.4,0.8,2.8,2012
2905,10500,"Albany, GA Metro Area",57898,81.9,10.5,0.9,1.2,0.0,0.5,5.1,2013
3286,10500,"Albany, GA Metro Area",58864,82.3,9.0,1.2,1.9,0.0,0.5,5.0,2014
3667,10500,"Albany, GA Metro Area",60053,81.1,12.2,1.9,1.5,0.1,0.0,3.1,2015
4048,10500,"Albany, GA Metro Area",62619,82.0,11.4,0.4,1.8,0.0,0.9,3.5,2016
4430,10500,"Albany, GA Metro Area",60947,79.6,11.6,0.9,1.5,0.1,0.9,5.5,2017
2906,10540,"Albany, OR Metro Area",47962,77.9,11.3,0.2,2.3,1.6,0.6,6.1,2013
3287,10540,"Albany, OR Metro Area",47060,76.9,10.7,1.1,2.7,1.4,1.5,5.6,2014
3668,10540,"Albany, OR Metro Area",48112,78.2,11.6,0.4,3.5,0.6,0.4,5.3,2015
4049,10540,"Albany, OR Metro Area",51311,81.4,9.4,0.0,1.3,1.3,1.9,4.7,2016
4431,10540,"Albany, OR Metro Area",53819,78.3,13.5,0.1,1.9,0.8,0.6,4.9,2017
3,10580,"Albany-Schenectady-Troy, NY Metro Area",399804,82.5,8.7,2.1,2.9,0.2,0.9,2.7,2005
361,10580,"Albany-Schenectady-Troy, NY Metro Area",420409,79.8,9.0,2.6,3.9,0.3,1.1,3.3,2006
720,10580,"Albany-Schenectady-Troy, NY Metro Area",414547,79.6,8.9,3.0,3.4,0.2,1.1,3.7,2007
1081,10580,"Albany-Schenectady-Troy, NY Metro Area",431154,79.2,9.0,3.4,3.6,0.2,0.8,3.6,2008
1442,10580,"Albany-Schenectady-Troy, NY Metro Area",421034,79.2,8.4,2.8,3.9,0.4,0.8,4.5,2009
1808,10580,"Albany-Schenectady-Troy, NY Metro Area",426127,80.8,7.8,3.1,3.3,0.2,1.1,3.8,2010
2174,10580,"Albany-Schenectady-Troy, NY Metro Area",429768,81.3,7.5,3.2,3.3,0.4,1.0,3.4,2011
2540,10580,"Albany-Schenectady-Troy, NY Metro Area",422420,79.6,8.1,3.2,4.1,0.2,1.1,3.6,2012
2907,10580,"Albany-Schenectady-Troy, NY Metro Area",423582,80.4,7.7,3.4,3.3,0.2,0.9,4.1,2013
3288,10580,"Albany-Schenectady-Troy, NY Metro Area",435735,79.8,7.6,3.5,4.3,0.2,0.8,3.7,2014
3669,10580,"Albany-Schenectady-Troy, NY Metro Area",437973,79.3,8.3,3.7,3.3,0.3,0.9,4.1,2015
4050,10580,"Albany-Schenectady-Troy, NY Metro Area",443938,79.4,7.4,4.0,3.7,0.3,0.8,4.3,2016
4432,10580,"Albany-Schenectady-Troy, NY Metro Area",440268,80.5,7.3,3.4,3.2,0.3,1.1,4.3,2017
4,10740,"Albuquerque, NM Metro Area",368125,77.5,13.5,1.3,1.8,0.7,1.2,4.1,2005
362,10740,"Albuquerque, NM Metro Area",385462,79.6,11.8,1.4,1.8,0.8,1.0,3.6,2006
721,10740,"Albuquerque, NM Metro Area",382720,78.0,11.9,1.6,2.0,0.6,1.6,4.3,2007
1082,10740,"Albuquerque, NM Metro Area",395827,76.8,12.5,2.0,1.9,1.2,1.5,4.1,2008
1443,10740,"Albuquerque, NM Metro Area",396357,78.7,10.9,1.6,1.6,1.0,1.5,4.8,2009
1809,10740,"Albuquerque, NM Metro Area",397604,80.5,9.4,2.1,1.6,0.9,1.1,4.4,2010
2175,10740,"Albuquerque, NM Metro Area",386216,80.0,8.9,1.6,2.2,1.1,1.4,4.7,2011
2541,10740,"Albuquerque, NM Metro Area",394926,80.2,10.0,1.7,1.8,0.7,1.2,4.4,2012
2908,10740,"Albuquerque, NM Metro Area",397306,80.0,9.3,1.5,1.8,1.2,2.0,4.1,2013
3289,10740,"Albuquerque, NM Metro Area",398379,80.1,8.9,2.2,1.8,1.2,1.4,4.5,2014
3670,10740,"Albuquerque, NM Metro Area",402525,82.3,7.7,1.3,2.0,0.8,1.0,4.8,2015
4051,10740,"Albuquerque, NM Metro Area",413057,79.9,9.3,1.8,1.5,1.1,1.1,5.1,2016
4433,10740,"Albuquerque, NM Metro Area",407216,79.2,10.0,1.4,2.1,0.6,0.9,5.7,2017
5,10780,"Alexandria, LA Metro Area",59976,85.3,9.6,0.8,0.7,0.0,2.0,1.6,2005
363,10780,"Alexandria, LA Metro Area",63972,81.4,10.6,0.6,3.7,0.3,2.3,1.1,2006
722,10780,"Alexandria, LA Metro Area",61213,82.6,10.7,1.1,2.1,0.1,1.5,1.9,2007
1083,10780,"Alexandria, LA Metro Area",62659,81.3,12.7,0.8,1.7,0.2,1.9,1.4,2008
1444,10780,"Alexandria, LA Metro Area",64996,84.0,10.8,1.1,1.8,0.1,1.8,0.5,2009
1810,10780,"Alexandria, LA Metro Area",57539,86.9,7.4,0.7,2.7,0.1,0.4,1.9,2010
2176,10780,"Alexandria, LA Metro Area",56083,82.0,10.7,2.3,1.7,0.3,1.2,1.8,2011
2542,10780,"Alexandria, LA Metro Area",59281,82.3,10.2,0.8,2.7,0.5,1.8,1.7,2012
2909,10780,"Alexandria, LA Metro Area",59113,83.0,9.5,2.3,0.6,0.3,2.5,1.7,2013
3290,10780,"Alexandria, LA Metro Area",57054,83.7,9.1,2.1,0.8,0.2,1.8,2.3,2014
3671,10780,"Alexandria, LA Metro Area",60891,81.7,9.8,1.2,3.0,0.3,2.0,2.0,2015
4052,10780,"Alexandria, LA Metro Area",62149,81.6,10.3,1.3,1.9,0.1,2.6,2.2,2016
4434,10780,"Alexandria, LA Metro Area",59285,81.9,9.4,1.0,1.9,0.2,2.4,3.2,2017
6,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",366184,82.3,9.1,1.7,3.1,0.1,0.5,3.1,2005
364,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",379789,81.9,9.9,1.4,2.6,0.1,0.7,3.4,2006
723,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",386115,81.5,9.1,2.2,2.7,0.1,0.8,3.7,2007
1084,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",394293,81.2,10.0,2.2,2.4,0.1,0.7,3.5,2008
1445,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",377820,82.2,9.1,1.3,2.5,0.2,0.5,4.1,2009
1811,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",369653,82.7,8.5,1.5,2.1,0.2,0.5,4.6,2010
2177,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",375826,80.6,10.1,1.5,2.8,0.1,0.3,4.5,2011
2543,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",385744,82.0,8.9,1.7,2.7,0.2,0.7,3.8,2012
