,CBSA,MNAME,RailBus,Year,UPT,VRM,UPT_ADJ,VRM_ADJ,VRH_ADJ,FARE_TOTAL,FARE_per_UPT,AREALANDPT,Id2_x,Geography,Tot_Pop,Tot_Instate_Pop,Tot_Outstate_Pop,Tot_NonUSA_POP,Total_Median_Income_Individual,Native_Instate_Med_Inc_Indiv,Native_Outstate_Med_Inc_Indiv,Native_Outcountry_Med_Inc_Indiv,Total_Pop_Poverty,Pop_Below100_Poverty,Pop_Below150_Poverty,Pop_Above150_Poverty,Age_under18,Age_18to64,Age_over64,_merge,Id2_y,Geography_x,Total_HH,HH_0Veh,HH_1Veh,HH_2Veh,HH_3Veh,HH_4+Veh,HH_MED_INC,HH_MEAN_INC,INC_U35,INC_35_100,INC_100P,Geography_y,JTW_DA,JTW_CARPOOL,JTW_TRANSIT,MEAN_TT,CBSA_ID,cbsa_name,year,unemployment,employment,labor_force,unemployment_rate,employment_rate,gasPrice
0,10180,"Abilene, TX Metro Area",Bus,2005,507165,444176,507165.0,444176.0,31147.0,213965.0,0.421884397,141756054,10180,"Abilene, TX Metro Area",146427.0,105269.0,33286.0,2591.0,20297.0,20244.0,21328.0,18960,146258.0,17.6,12.7,69.7,26.9,59.4,13.7,both,10180.0,"Abilene, TX Metro Area",60532.0,2175.0,23133.0,24645.0,7899.0,2680.0,35535.0,45619.0,49.3,42.5,8.200000000000003,"Abilene, TX Metro Area",53169,7865,264,16.7,10180.0,"Abilene, TX",2005.0,3375.75,76704.5,80080.25,4.218051391666667,95.78194924999998,2.23175
1,10180,"Abilene, TX Metro Area",Bus,2006,493638,441300,493638.0,441300.0,30750.0,201795.0,0.408791463,141756054,10180,"Abilene, TX Metro Area",158548.0,113266.0,37165.0,2023.0,20570.0,19222.0,22110.0,29210,146298.0,15.8,13.3,70.9,25.2,61.2,13.6,both,10180.0,"Abilene, TX Metro Area",59850.0,2356.0,21689.0,25837.0,7647.0,2321.0,39784.0,52364.0,44.0,46.10000000000001,9.899999999999991,"Abilene, TX Metro Area",55425,9243,233,17.4,10180.0,"Abilene, TX",2006.0,3242.083333333333,78203.25,81445.33333333331,3.979641333333333,96.02035833333332,2.5206666666666666
2,10180,"Abilene, TX Metro Area",Bus,2007,490254,424839,490254.0,424839.0,30435.0,217336.0,0.443313058,141756054,10180,"Abilene, TX Metro Area",159439.0,111201.0,37761.0,3496.0,20408.0,18921.0,25843.0,23817,144006.0,15.1,10.8,74.1,24.7,61.6,13.7,both,10180.0,"Abilene, TX Metro Area",60692.0,3218.0,20497.0,25691.0,8228.0,3058.0,39369.0,51693.0,44.1,46.0,9.9,"Abilene, TX Metro Area",55960,7030,251,16.3,10180.0,"Abilene, TX",2007.0,2829.083333333333,77149.33333333331,79978.41666666669,3.536623758333333,96.46337566666668,2.719
3,10180,"Abilene, TX Metro Area",Bus,2008,473528,421757,473528.0,421757.0,31794.0,254879.0,0.538255394,141756054,10180,"Abilene, TX Metro Area",160012.0,111912.0,38496.0,3609.0,23692.0,21792.0,29631.0,27383,147245.0,16.1,10.4,73.6,24.6,62.2,13.2,both,10180.0,"Abilene, TX Metro Area",59960.0,2164.0,22931.0,24732.0,7910.0,2223.0,41961.0,58191.0,39.6,48.3,12.1,"Abilene, TX Metro Area",62316,7358,170,17.9,10180.0,"Abilene, TX",2008.0,3100.583333333333,78900.25,82000.83333333331,3.7792375333333337,96.22076216666667,3.1933333333333334
4,10180,"Abilene, TX Metro Area",Bus,2009,478743,418714,478743.0,418714.0,30445.0,248600.0,0.519276522,141756054,10180,"Abilene, TX Metro Area",160266.0,108498.0,38872.0,3335.0,21670.0,20923.0,26456.0,21698,148662.0,14.5,11.6,74.0,24.0,62.7,13.3,both,10180.0,"Abilene, TX Metro Area",58052.0,3724.0,20561.0,21354.0,8712.0,3701.0,42931.0,54998.0,41.4,46.8,11.800000000000004,"Abilene, TX Metro Area",59145,9390,225,16.8,10180.0,"Abilene, TX",2009.0,4810.5,77873.16666666669,82683.66666666669,5.812027166666668,94.18797241666668,2.2703333333333333
5,10180,"Abilene, TX Metro Area",Bus,2010,456753,406871,456753.0,406871.0,39190.0,295374.0,0.646682124,141756054,10180,"Abilene, TX Metro Area",164941.0,119325.0,34176.0,2316.0,21125.0,20803.0,22031.0,31605,150256.0,,,,23.5,63.2,13.3,both,10180.0,"Abilene, TX Metro Area",59857.0,4672.0,18972.0,24464.0,8253.0,3496.0,40630.0,55007.0,41.6,45.2,13.200000000000005,"Abilene, TX Metro Area",56558,8876,506,17.5,10180.0,"Abilene, TX",2010.0,5329.916666666667,71117.91666666669,76447.83333333331,6.972386283333332,93.02761383333332,2.700416666666667
6,10180,"Abilene, TX Metro Area",Bus,2011,472931,396021,472931.0,396021.0,29999.0,375006.0,0.792940196,141756054,10180,"Abilene, TX Metro Area",165858.0,116692.0,38331.0,2204.0,20936.0,21009.0,21496.0,50788,151022.0,,,,23.3,63.3,13.4,both,10180.0,"Abilene, TX Metro Area",58974.0,4119.0,21753.0,22514.0,8101.0,2487.0,40659.0,52221.0,44.1,44.90000000000001,10.999999999999993,"Abilene, TX Metro Area",54213,6098,473,15.7,10180.0,"Abilene, TX",2011.0,5187.5,71646.33333333331,76833.83333333331,6.752076025000001,93.2479255,3.4227499999999997
7,10180,"Abilene, TX Metro Area",Bus,2012,0,0,0.0,0.0,0.0,368226.0,inf,141756054,10180,"Abilene, TX Metro Area",167800.0,120747.0,36919.0,1478.0,22600.0,22119.0,25407.0,34920,156020.0,,,,23.6,62.5,13.9,both,10180.0,"Abilene, TX Metro Area",60066.0,3268.0,21030.0,24744.0,7973.0,3051.0,43407.0,60465.0,41.0,45.2,13.799999999999995,"Abilene, TX Metro Area",55646,8075,855,17.8,10180.0,"Abilene, TX",2012.0,4437.0,71886.0,76323.0,5.813650875,94.18634925,3.485666666666667
8,10180,"Abilene, TX Metro Area",Bus,2013,0,0,0.0,0.0,0.0,390511.0,inf,141756054,10180,"Abilene, TX Metro Area",168144.0,122980.0,35701.0,1501.0,20994.0,20714.0,24156.0,22015,154458.0,16.8,12.6,70.6,23.4,62.2,14.4,both,10180.0,"Abilene, TX Metro Area",60588.0,3361.0,22377.0,22363.0,9673.0,2814.0,44149.0,57937.0,40.1,45.9,14.000000000000007,"Abilene, TX Metro Area",60020,10914,282,16.9,10180.0,"Abilene, TX",2013.0,4142.0,72287.66666666669,76429.66666666669,5.419619,94.5803815,3.374166666666666
9,10180,"Abilene, TX Metro Area",Bus,2014,0,0,0.0,0.0,0.0,408104.0,inf,141756054,10180,"Abilene, TX Metro Area",166900.0,115664.0,42262.0,2071.0,21906.0,21670.0,21892.0,24286,153923.0,16.5,11.3,72.2,23.1,62.4,14.5,both,10180.0,"Abilene, TX Metro Area",59932.0,2056.0,22178.0,24905.0,8001.0,2792.0,44303.0,61532.0,38.8,46.2,15.0,"Abilene, TX Metro Area",61113,7561,309,17.0,10180.0,"Abilene, TX",2014.0,3289.333333333333,72764.91666666669,76054.25,4.323456666666668,95.67654350000001,3.2231666666666667
