,UZA Name,CBSA,MNAME,RailBus,Year,UPT_x,VRM_x,UPT_y,VRM_y,UAPOPPCT,FARE
0,"Aberdeen-Bel Air South-Bel Air North, MD",12580.0,"Baltimore-Towson, MD Metro Area",Bus,2002,175451.0,428718.0,175451.0,428718.0,95.39,114842.0
1,"Aberdeen-Bel Air South-Bel Air North, MD",12580.0,"Baltimore-Towson, MD Metro Area",Bus,2003,198075.0,445945.0,198075.0,445945.0,95.39,130156.0
2,"Aberdeen-Bel Air South-Bel Air North, MD",12580.0,"Baltimore-Towson, MD Metro Area",Bus,2004,212805.0,458594.0,212805.0,458594.0,95.39,138171.0
3,"Aberdeen-Bel Air South-Bel Air North, MD",12580.0,"Baltimore-Towson, MD Metro Area",Bus,2005,228826.0,489981.0,228826.0,489981.0,95.39,150133.0
4,"Aberdeen-Bel Air South-Bel Air North, MD",12580.0,"Baltimore-Towson, MD Metro Area",Bus,2006,256269.0,334643.0,256269.0,334643.0,95.39,184686.0
5,"Aberdeen-Bel Air South-Bel Air North, MD",12580.0,"Baltimore-Towson, MD Metro Area",Bus,2007,265020.0,473779.0,265020.0,473779.0,95.39,191340.0
6,"Aberdeen-Bel Air South-Bel Air North, MD",12580.0,"Baltimore-Towson, MD Metro Area",Bus,2008,280426.0,485409.0,280426.0,485409.0,95.39,196460.0
7,"Aberdeen-Bel Air South-Bel Air North, MD",12580.0,"Baltimore-Towson, MD Metro Area",Bus,2009,269500.0,460045.0,269500.0,460045.0,95.39,197662.0
8,"Aberdeen-Bel Air South-Bel Air North, MD",12580.0,"Baltimore-Towson, MD Metro Area",Bus,2010,266295.0,424015.0,266295.0,424015.0,95.39,186192.0
9,"Aberdeen-Bel Air South-Bel Air North, MD",12580.0,"Baltimore-Towson, MD Metro Area",Bus,2011,300385.0,428706.0,300385.0,428706.0,95.39,199971.0
10,"Aberdeen-Bel Air South-Bel Air North, MD",12580.0,"Baltimore-Towson, MD Metro Area",Bus,2012,315363.0,476417.0,315363.0,476417.0,95.39,225977.0
11,"Aberdeen-Bel Air South-Bel Air North, MD",12580.0,"Baltimore-Towson, MD Metro Area",Bus,2013,326295.0,480513.0,326295.0,480513.0,95.39,243076.0
12,"Aberdeen-Bel Air South-Bel Air North, MD",12580.0,"Baltimore-Towson, MD Metro Area",Bus,2014,145634.0,227378.0,145634.0,227378.0,95.39,217294.0
13,"Abilene, TX",10180.0,"Abilene, TX Metro Area",Bus,2002,493073.0,389678.0,493073.0,389678.0,100.0,162609.0
14,"Abilene, TX",10180.0,"Abilene, TX Metro Area",Bus,2003,475747.0,383239.0,475747.0,383239.0,100.0,173563.0
15,"Abilene, TX",10180.0,"Abilene, TX Metro Area",Bus,2004,469981.0,388907.0,469981.0,388907.0,100.0,185046.0
16,"Abilene, TX",10180.0,"Abilene, TX Metro Area",Bus,2005,507165.0,444176.0,507165.0,444176.0,100.0,213965.0
17,"Abilene, TX",10180.0,"Abilene, TX Metro Area",Bus,2006,493638.0,441300.0,493638.0,441300.0,100.0,201795.0
18,"Abilene, TX",10180.0,"Abilene, TX Metro Area",Bus,2007,490254.0,424839.0,490254.0,424839.0,100.0,217336.0
