MNAME,RailBus,Year,Cluster_upt,UZA_upt,upt,UZA_vrm,VRM
"Akron, OH Metro Area",Bus,2002,44,7887.0,47516814.0,179.25,643165.8636363636
"Akron, OH Metro Area",Bus,2003,48,8604.0,53754100.0,179.25,588752.1666666666
"Akron, OH Metro Area",Bus,2004,48,8604.0,56568849.0,179.25,587132.0833333334
"Akron, OH Metro Area",Bus,2005,48,8604.0,62140598.0,179.25,572693.6458333334
"Akron, OH Metro Area",Bus,2006,48,8604.0,65461250.0,179.25,536282.7291666666
"Akron, OH Metro Area",Bus,2007,48,8604.0,59400541.0,179.25,619889.9375
"Akron, OH Metro Area",Bus,2008,48,8604.0,59822097.0,179.25,565919.2291666666
"Akron, OH Metro Area",Bus,2009,48,8604.0,48034843.0,179.25,522729.1458333333
"Akron, OH Metro Area",Bus,2010,48,8604.0,46325609.0,179.25,441539.6875
"Akron, OH Metro Area",Bus,2011,48,8604.0,47908743.0,179.25,441347.3958333333
"Akron, OH Metro Area",Bus,2012,48,8604.0,49658539.0,179.25,444956.0
"Akron, OH Metro Area",Bus,2013,48,8604.0,50451135.0,179.25,470401.9166666667
"Akron, OH Metro Area",Bus,2014,48,8604.0,51010334.0,179.25,485518.5
"Akron, OH Metro Area",Bus,2015,48,8604.0,48409927.0,179.25,492773.2291666667
"Akron, OH Metro Area",Bus,2016,48,8604.0,45150621.0,179.25,485187.0
"Akron, OH Metro Area",Bus,2017,48,8604.0,41283381.0,179.25,477414.2083333333
"Akron, OH Metro Area",Bus,2018,48,8604.0,36845402.0,179.25,466522.2916666667
"Akron, OH Metro Area",Bus,2019,12,2151.0,8558789.0,179.25,459515.0
"Akron, OH Metro Area",DemandResponse,2002,44,10802.0,1170677.0,245.5,183597.8409090909
"Akron, OH Metro Area",DemandResponse,2003,48,11784.0,1115235.0,245.5,160072.29166666666
"Akron, OH Metro Area",DemandResponse,2004,48,11784.0,1108530.0,245.5,166813.47916666666
"Akron, OH Metro Area",DemandResponse,2005,48,11784.0,1320428.0,245.5,180695.89583333334
"Akron, OH Metro Area",DemandResponse,2006,48,11784.0,1246119.0,245.5,177142.875
"Akron, OH Metro Area",DemandResponse,2007,48,11784.0,1449490.0,245.5,216123.3125
"Akron, OH Metro Area",DemandResponse,2008,48,11784.0,1469652.0,245.5,228101.64583333334
"Akron, OH Metro Area",DemandResponse,2009,48,11784.0,1508455.0,245.5,226567.25
"Akron, OH Metro Area",DemandResponse,2010,48,11784.0,1454659.0,245.5,226222.22916666666
"Akron, OH Metro Area",DemandResponse,2011,48,11784.0,1498129.0,245.5,233798.75
"Akron, OH Metro Area",DemandResponse,2012,48,11784.0,1658464.0,245.5,258693.22916666666
"Akron, OH Metro Area",DemandResponse,2013,48,11784.0,1694799.0,245.5,269995.0833333333
"Akron, OH Metro Area",DemandResponse,2014,48,11784.0,1717880.0,245.5,269222.5625
"Akron, OH Metro Area",DemandResponse,2015,48,11784.0,1715820.0,245.5,272015.4375
"Akron, OH Metro Area",DemandResponse,2016,48,11784.0,1634852.0,245.5,277738.125
"Akron, OH Metro Area",DemandResponse,2017,48,11784.0,1524201.0,245.5,270075.7708333333
"Akron, OH Metro Area",DemandResponse,2018,48,11784.0,1540393.0,245.5,279843.5833333333
"Akron, OH Metro Area",DemandResponse,2019,12,2946.0,371097.0,245.5,260480.66666666666
"Akron, OH Metro Area",Rail,2002,11,550.0,7394677.0,50.0,212189.72727272726
"Akron, OH Metro Area",Rail,2003,12,600.0,7288444.0,50.0,209692.0
"Akron, OH Metro Area",Rail,2004,12,600.0,7779709.0,50.0,204016.83333333334
"Akron, OH Metro Area",Rail,2005,12,600.0,10413956.0,50.0,211674.33333333334
"Akron, OH Metro Area",Rail,2006,12,600.0,10937276.0,50.0,219053.25
"Akron, OH Metro Area",Rail,2007,12,600.0,11473951.0,50.0,209295.16666666666
"Akron, OH Metro Area",Rail,2008,12,600.0,12035207.0,50.0,203862.41666666666
"Akron, OH Metro Area",Rail,2009,12,600.0,8233829.0,50.0,191086.0
"Akron, OH Metro Area",Rail,2010,12,600.0,7757632.0,50.0,162587.41666666666
"Akron, OH Metro Area",Rail,2011,12,600.0,8432995.0,50.0,182144.25
"Akron, OH Metro Area",Rail,2012,12,600.0,9096874.0,50.0,224030.75
"Akron, OH Metro Area",Rail,2013,12,600.0,9321306.0,50.0,266688.4166666667
"Akron, OH Metro Area",Rail,2014,12,600.0,8982994.0,50.0,280411.5
"Akron, OH Metro Area",Rail,2015,12,600.0,9047021.0,50.0,281078.0
"Akron, OH Metro Area",Rail,2016,12,600.0,8885919.0,50.0,286476.5
"Akron, OH Metro Area",Rail,2017,12,600.0,8019567.0,50.0,274581.8333333333
"Akron, OH Metro Area",Rail,2018,12,600.0,7911549.0,50.0,272864.8333333333
"Akron, OH Metro Area",Rail,2019,3,150.0,1843990.0,50.0,270573.0
"Albany, GA Metro Area",Bus,2002,11,3399.0,579763.0,309.0,44418.181818181816
"Albany, GA Metro Area",Bus,2003,12,3708.0,670941.0,309.0,44688.666666666664
"Albany, GA Metro Area",Bus,2004,12,3708.0,666328.0,309.0,44809.5
"Albany, GA Metro Area",Bus,2005,12,3708.0,653876.0,309.0,44640.25
"Albany, GA Metro Area",Bus,2006,12,3708.0,762810.0,309.0,44518.25
"Albany, GA Metro Area",Bus,2007,12,3708.0,767414.0,309.0,44582.083333333336
"Albany, GA Metro Area",Bus,2008,12,3708.0,880864.0,309.0,44416.083333333336
