CBSA Title,CBSA Code,cty,trct,WAC_TOTAL,WAC_RETAIL,Target Geo Id2,Area_acre,HH_TRACT,Emp+Pop_Density,tract_id,TRACTA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
"Colorado Springs, CO",17820.0,217107,217107101351,67178,9015,217107101351,14022.4,51676,355.9666929517439,101351,101351,142486,137682,132878,128074,123270,118466,113662,115998.0,118841.0,121630.0,123939.0,124044.0,122208.0,120372.0
"Columbia, MO",17860.0,145095,145095005300,20788,730,145095005300,1747.2,5510,104.69867574555076,5300,5300,9097,10759,12421,14083,15745,17407,19069,18817.0,18234.0,18478.0,18370.0,18780.0,18895.0,19010.0
"Columbia, SC",17900.0,631090,631090070224,105691,3983,631090070224,7654.399999999999,18815,266.56915906996164,70224,70224,33674,34861,36048,37235,38422,39609,40796,41558.0,41032.0,40542.0,40857.0,40776.0,39608.0,38440.0
"Columbus, GA-AL",17980.0,79290,79290019900,27122,712,79290019900,2400.0,5606,91.49633808141756,19900,19900,17994,16645,15296,13947,12598,11249,9900,9408.0,10172.0,10391.0,10674.0,10879.0,10878.0,10877.0
"Columbus, IN",18020.0,18005,18005010100,9651,269,18005010100,1292.8,2271,10.98700495049505,10100,10100,6128,5813,5498,5183,4868,4553,4238,4440.0,4588.0,4594.0,4601.0,4372.0,4326.0,4280.0
"Columbus, OH",18140.0,4529736,4529736741405,355833,29302,4529736741405,50803.19999999998,201689,1933.4499126067344,741405,741405,447362,442379,437396,432413,427430,422447,417464,419383.0,424655.0,430797.0,435865.0,442760.0,451725.0,460690.0
"Corpus Christi, TX",18580.0,1499005,1499005079079,77174,7498,1499005079079,15443.199999999999,54061,421.98168532770813,79079,79079,152020,148548,145076,141604,138132,134660,131188,130962.0,131733.0,135032.0,137834.0,138520.0,139674.0,140828.0
"Corvallis, OR",18700.0,205015,205015024506,16716,1789,205015024506,2425.6000000000004,8472,88.94017881522635,24506,24506,23010,22649,22288,21927,21566,21205,20844,20784.0,20731.0,20842.0,20652.0,21849.0,22188.0,22527.0
"Crestview-Fort Walton Beach-Destin, FL",18880.0,36273,36273066403,17062,2680,36273066403,2016.0,6352,43.32081449628815,66403,66403,8599,9278,9957,10636,11315,11994,12673,12468.0,12058.0,11998.0,12401.0,12307.0,12334.0,12361.0
"Cumberland, MD-WV",19060.0,48002,48002002100,4128,273,48002002100,486.4,2477,32.23275089605735,2100,2100,3865,3900,3935,3970,4005,4040,4075,4054.0,3962.0,4109.0,3938.0,3778.0,3746.0,3714.0
"Dallas-Fort Worth-Arlington, TX",19100.0,18982918,18982933862058,1509941,131929,18982933862058,203865.60000000006,736294,7222.421717201404,15862058,15862058,1734434,1731224,1728014,1724804,1721594,1718384,1715174,1738826.0,1763590.0,1785174.0,1810326.0,1826688.0,1850999.0,1875310.0
"Danville, IL",19180.0,17183,17183000100,4035,362,17183000100,499.2000000000001,929,11.704727564102564,100,100,918,1096,1274,1452,1630,1808,1986,1918.0,1868.0,1819.0,1881.0,2100.0,2307.0,2514.0
"Davenport-Moline-Rock Island, IA-IL",19340.0,239109,239109203405,29065,1813,239109203405,5676.8,19655,175.32634210218595,203405,203405,47567,47192,46817,46442,46067,45692,45317,45669.0,46775.0,46560.0,46645.0,46556.0,46386.0,46216.0
"Dayton-Kettering, OH",19430.0,1016882,1016882511418,55900,2666,1016882511418,10534.4,44295,351.90456433095085,511418,511418,77419,79684,81949,84214,86479,88744,91009,89580.0,90623.0,89085.0,89446.0,89031.0,88547.0,88063.0
"Decatur, AL",19460.0,1103,1103000800,4553,159,1103000800,627.2,1327,12.23533163265306,800,800,4771,4441,4111,3781,3451,3121,2791,2753.0,2745.0,2855.0,2892.0,2979.0,2948.0,2917.0
"Decatur, IL",19500.0,85575,85575008200,22278,586,85575008200,2700.7999999999997,6483,66.55191899454817,8200,8200,22053,20532,19011,17490,15969,14448,12927,12842.0,12664.0,12354.0,12217.0,12822.0,12699.0,12576.0
"Deltona-Daytona Beach-Ormond Beach, FL",19660.0,36381,36381262900,22814,723,36381262900,2419.2,4631,41.8944637431451,262900,262900,9669,9839,10009,10179,10349,10519,10689,10474.0,9890.0,10131.0,10105.0,10076.0,10108.0,10140.0
"Denver-Aurora-Lakewood, CO",19740.0,2102025,2102030516494,676430,68474,2102030516494,113683.19999999998,494428,4836.145789522972,5516494,5516494,1179691,1163866,1148041,1132216,1116391,1100566,1084741,1106683.0,1127442.0,1151533.0,1171726.0,1186420.0,1203371.0,1220322.0
"Des Moines-West Des Moines, IA",19780.0,363907,363907075133,104709,5381,363907075133,10336.0,34455,279.6799743941623,75133,75133,81233,80174,79115,78056,76997,75938,74879,75579.0,76496.0,76411.0,77275.0,78413.0,78758.0,79103.0
"Detroit-Warren-Dearborn, MI",19820.0,9465140,9465297982509,659663,65989,9465297982509,126572.80000000009,542437,5417.4991666177775,157982509,157982509,1113055,1124164,1135273,1146382,1157491,1168600,1179709,1171366.0,1163419.0,1159459.0,1155412.0,1153858.0,1153443.0,1153028.0
"Dothan, AL",20020.0,1069,1069040600,4589,258,1069040600,652.8,1192,10.814950980392158,40600,40600,2811,2743,2675,2607,2539,2471,2403,2391.0,2292.0,2301.0,2273.0,2228.0,2184.0,2140.0
"Dover, DE",20100.0,10001,10001041300,6777,146,10001041300,576.0,1073,15.355902777777779,41300,41300,1918,1948,1978,2008,2038,2068,2098,2077.0,2239.0,2247.0,2247.0,2169.0,2273.0,2377.0
"Dubuque, IA",20220.0,133427,133427004905,13587,2401,133427004905,2611.2000000000003,8921,97.8080517603197,4905,4905,23185,22872,22559,22246,21933,21620,21307,21369.0,21326.0,21324.0,21338.0,21366.0,21040.0,20714.0
"Duluth, MN-WI",20260.0,244233,244233049500,27717,1152,244233049500,2598.4,9891,197.39840005187048,49500,49500,24062,23550,23038,22526,22014,21502,20990,21241.0,21268.0,21348.0,21647.0,22090.0,21793.0,21496.0
"Durham-Chapel Hill, NC",20500.0,482179,482179066236,84992,2788,482179066236,6188.8,19121,281.365992888997,66236,66236,58373,56589,54805,53021,51237,49453,47669,48059.0,49802.0,50532.0,50730.0,51430.0,51725.0,52020.0
"East Stroudsburg, PA",20700.0,42089,42089300700,5699,809,42089300700,832.0,1625,13.455528846153848,300700,300700,3801,4140,4479,4818,5157,5496,5835,5699.0,5628.0,5213.0,5281.0,5168.0,5248.0,5328.0
"Eau Claire, WI",20740.0,165105,165105003602,24096,3081,165105003602,1619.2,3353,74.94282945736435,3602,3602,12410,12208,12006,11804,11602,11400,11198,11467.0,11422.0,11582.0,11437.0,11503.0,11296.0,11089.0
"El Centro, CA",20940.0,42175,42175081905,16670,2511,42175081905,3129.6,12876,130.8609834376476,81905,81905,40166,39817,39468,39119,38770,38421,38072,38801.0,39830.0,39902.0,40424.0,39883.0,38822.0,37761.0
"El Paso, TX",21340.0,3803139,3803139332890,217434,43229,3803139332890,43193.6,139240,1179.1509264433626,332890,332890,387855,388911,389967,391023,392079,393135,394191,395485.0,393611.0,392474.0,390091.0,387962.0,383256.0,378550.0
"Elkhart-Goshen, IN",21140.0,72156,72156007800,6849,302,72156007800,1945.6,6272,44.1160398586007,7800,7800,12356,12786,13216,13646,14076,14506,14936,14788.0,14907.0,13983.0,14499.0,13796.0,13951.0,14106.0
"Elmira, NY",21300.0,144060,144060002700,13345,614,144060002700,1888.0,5189,53.43823094645694,2700,2700,13326,12921,12516,12111,11706,11301,10896,10849.0,10907.0,10734.0,10798.0,11452.0,11553.0,11654.0
"Erie, PA",21500.0,967127,967127055400,41111,2229,967127055400,7136.000000000001,33373,433.22916597896955,55400,55400,81239,80207,79175,78143,77111,76079,75047,74909.0,74569.0,73988.0,73605.0,73355.0,72700.0,72045.0
"Eugene-Springfield, OR",21660.0,656624,656624059418,57883,6608,656624059418,7673.600000000001,29621,299.5178290825072,59418,59418,63687,63683,63679,63675,63671,63667,63663,64632.0,64411.0,64644.0,66195.0,67277.0,68140.0,69003.0
"Evansville, IN-KY",21780.0,257220,257220041101,44038,1562,257220041101,4985.5999999999985,15842,229.23932899886123,41101,41101,34616,34287,33958,33629,33300,32971,32642,32130.0,31537.0,30727.0,31446.0,31471.0,31177.0,30883.0
"Fairbanks, AK",21820.0,2090,2090000100,6220,195,2090000100,384.0,1210,20.6484375,100,100,1304,1385,1466,1547,1628,1709,1790,1886.0,1854.0,1926.0,1769.0,1474.0,1330.0,1186.0
"Fargo, ND-MN",22020.0,472241,472241076727,44011,5267,472241076727,5939.200000000001,24708,221.40037755876148,76727,76727,53152,52615,52078,51541,51004,50467,49930,50758.0,51281.0,51609.0,51429.0,51719.0,50557.0,49395.0
"Farmington, NM",22140.0,35045,35045000205,11603,1685,35045000205,1580.8000000000004,2639,11.577049595141697,205,205,3748,4338,4928,5518,6108,6698,7288,6462.0,6573.0,6694.0,6564.0,6291.0,6299.0,6307.0
"Fayetteville, NC",22180.0,74102,74102005111,9500,613,74102005111,1299.2,2792,22.5015943877551,5111,5111,4994,4993,4992,4991,4990,4989,4988,4976.0,4867.0,4829.0,4851.0,4815.0,5008.0,5201.0
"Fayetteville-Springdale-Rogers, AR",22220.0,15293,15293043104,30383,1481,15293043104,3289.6,4500,46.34235708167762,43104,43104,12584,12758,12932,13106,13280,13454,13628,13675.0,14446.0,14569.0,14648.0,14737.0,14808.0,14879.0
"Flagstaff, AZ",22380.0,8010,8010001400,7661,782,8010001400,1369.6000000000004,2538,30.871303939552757,1400,1400,13369,13401,13433,13465,13497,13529,13561,13683.0,14122.0,14352.0,15322.0,16409.0,17038.0,17667.0
"Flint, MI",22420.0,182343,182343021210,29918,1431,182343021210,3539.2,10049,96.10580194148795,21210,21210,16027,16766,17505,18244,18983,19722,20461,20469.0,20358.0,20375.0,20133.0,19262.0,18780.0,18298.0
"Florence, SC",22500.0,45041,45041001000,4441,234,45041001000,614.4,992,10.001627604166668,1000,1000,2854,2624,2394,2164,1934,1704,1474,1711.0,1773.0,1747.0,2011.0,2163.0,2010.0,1857.0
"Fond du Lac, WI",22540.0,165117,165117122200,17460,1770,165117122200,1228.8000000000002,5269,69.33068539915966,122200,122200,12114,12033,11952,11871,11790,11709,11628,11752.0,12036.0,11954.0,12129.0,12017.0,11895.0,11773.0
"Fort Collins, CO",22660.0,104897,104897008336,31282,2687,104897008336,5465.6,19188,179.11090076577005,8336,8336,51799,50544,49289,48034,46779,45524,44269,45710.0,46208.0,47030.0,47960.0,48652.0,48045.0,47438.0
"Fort Smith, AR-OK",22900.0,10262,10262001801,8499,388,10262001801,1401.6,4658,24.750185696095073,1801,1801,6783,7173,7563,7953,8343,8733,9123,9030.0,9806.0,9801.0,9285.0,9705.0,9432.0,9159.0
"Fort Wayne, IN",23060.0,252042,252042028708,43737,5200,252042028708,5920.0,20739,208.44213017837382,28708,28708,40000,40747,41494,42241,42988,43735,44482,43580.0,43001.0,42795.0,43211.0,43792.0,43768.0,43744.0
"Fresno, CA",23420.0,469482,469482297086,155926,18172,469482297086,36076.8,132939,1200.0226558945712,297086,297086,376390,376726,377062,377398,377734,378070,378406,380264.0,380636.0,380286.0,382498.0,383480.0,382329.0,381178.0
"Gadsden, AL",23460.0,1055,1055011200,3397,25,1055011200,608.0,1401,10.412828947368421,11200,11200,2239,2378,2517,2656,2795,2934,3073,2544.0,2725.0,2725.0,2608.0,2338.0,2438.0,2538.0
