,UZA Name,CBSA,MNAME,RailBus,Year,UPT,VRM,UAPOPPCT,FARE
0,"Aberdeen-Bel Air South-Bel Air North, MD",12580.0,"Baltimore-Towson, MD Metro Area",Bus,2002,175451.0,428718.0,95.39,229684.0
1,"Aberdeen-Bel Air South-Bel Air North, MD",12580.0,"Baltimore-Towson, MD Metro Area",Bus,2003,198075.0,445945.0,95.39,260312.0
2,"Aberdeen-Bel Air South-Bel Air North, MD",12580.0,"Baltimore-Towson, MD Metro Area",Bus,2004,212805.0,458594.0,95.39,276342.0
3,"Aberdeen-Bel Air South-Bel Air North, MD",12580.0,"Baltimore-Towson, MD Metro Area",Bus,2005,228826.0,489981.0,95.39,300266.0
4,"Aberdeen-Bel Air South-Bel Air North, MD",12580.0,"Baltimore-Towson, MD Metro Area",Bus,2006,256269.0,334643.0,95.39,369372.0
5,"Aberdeen-Bel Air South-Bel Air North, MD",12580.0,"Baltimore-Towson, MD Metro Area",Bus,2007,265020.0,473779.0,95.39,382680.0
6,"Aberdeen-Bel Air South-Bel Air North, MD",12580.0,"Baltimore-Towson, MD Metro Area",Bus,2008,280426.0,485409.0,95.39,392920.0
7,"Aberdeen-Bel Air South-Bel Air North, MD",12580.0,"Baltimore-Towson, MD Metro Area",Bus,2009,269500.0,460045.0,95.39,395324.0
8,"Aberdeen-Bel Air South-Bel Air North, MD",12580.0,"Baltimore-Towson, MD Metro Area",Bus,2010,266295.0,424015.0,95.39,372384.0
9,"Aberdeen-Bel Air South-Bel Air North, MD",12580.0,"Baltimore-Towson, MD Metro Area",Bus,2011,300385.0,428706.0,95.39,399942.0
10,"Aberdeen-Bel Air South-Bel Air North, MD",12580.0,"Baltimore-Towson, MD Metro Area",Bus,2012,315363.0,476417.0,95.39,451954.0
11,"Aberdeen-Bel Air South-Bel Air North, MD",12580.0,"Baltimore-Towson, MD Metro Area",Bus,2013,326295.0,480513.0,95.39,486152.0
12,"Aberdeen-Bel Air South-Bel Air North, MD",12580.0,"Baltimore-Towson, MD Metro Area",Bus,2014,145634.0,227378.0,95.39,434588.0
13,"Abilene, TX",10180.0,"Abilene, TX Metro Area",Bus,2002,493073.0,389678.0,100.0,325218.0
14,"Abilene, TX",10180.0,"Abilene, TX Metro Area",Bus,2003,475747.0,383239.0,100.0,347126.0
15,"Abilene, TX",10180.0,"Abilene, TX Metro Area",Bus,2004,469981.0,388907.0,100.0,370092.0
16,"Abilene, TX",10180.0,"Abilene, TX Metro Area",Bus,2005,507165.0,444176.0,100.0,427930.0
17,"Abilene, TX",10180.0,"Abilene, TX Metro Area",Bus,2006,493638.0,441300.0,100.0,403590.0
18,"Abilene, TX",10180.0,"Abilene, TX Metro Area",Bus,2007,490254.0,424839.0,100.0,434672.0
19,"Abilene, TX",10180.0,"Abilene, TX Metro Area",Bus,2008,473528.0,421757.0,100.0,509758.0
20,"Abilene, TX",10180.0,"Abilene, TX Metro Area",Bus,2009,478743.0,418714.0,100.0,497200.0
21,"Abilene, TX",10180.0,"Abilene, TX Metro Area",Bus,2010,456753.0,406871.0,100.0,590748.0
22,"Abilene, TX",10180.0,"Abilene, TX Metro Area",Bus,2011,472931.0,396021.0,100.0,750012.0
23,"Akron, OH",10420.0,"Akron, OH Metro Area",Bus,2002,5789726.0,4460366.0,90.27,3168979.0
24,"Akron, OH",10420.0,"Akron, OH Metro Area",Bus,2003,5977514.0,4405194.0,90.27,12687518.0
25,"Akron, OH",10420.0,"Akron, OH Metro Area",Bus,2004,6543882.0,4780539.0,90.27,12204206.0
26,"Akron, OH",10420.0,"Akron, OH Metro Area",Bus,2005,6661882.0,4489876.0,90.27,14870875.0
27,"Akron, OH",10420.0,"Akron, OH Metro Area",Bus,2006,6725155.0,4425375.0,90.27,15519104.0
28,"Akron, OH",10420.0,"Akron, OH Metro Area",Bus,2007,6501325.0,5064172.0,90.27,16920301.0
29,"Akron, OH",10420.0,"Akron, OH Metro Area",Bus,2008,6802292.0,4290843.0,90.27,17612824.0
30,"Akron, OH",10420.0,"Akron, OH Metro Area",Bus,2009,6160246.0,3801301.0,90.27,16540766.0
31,"Akron, OH",10420.0,"Akron, OH Metro Area",Bus,2010,6221965.0,3845627.0,90.27,17566254.0
32,"Akron, OH",10420.0,"Akron, OH Metro Area",Bus,2011,6490476.0,4340328.0,90.27,17666807.0
33,"Akron, OH",10420.0,"Akron, OH Metro Area",Bus,2012,6642544.0,4279372.0,90.27,25413003.0
34,"Akron, OH",10420.0,"Akron, OH Metro Area",Bus,2013,6620226.0,4615848.0,90.27,26071429.0
35,"Akron, OH",10420.0,"Akron, OH Metro Area",Bus,2014,6625481.0,4797023.0,90.27,26840585.0
36,"Akron, OH",10420.0,"Akron, OH Metro Area",Bus,2015,6485294.0,5053384.0,90.27,24028493.0
37,"Akron, OH",10420.0,"Akron, OH Metro Area",Bus,2016,6093879.0,4869437.0,90.27,22174439.0
38,"Akron, OH",10420.0,"Akron, OH Metro Area",Bus,2017,6049974.0,4919521.0,90.27,22490774.0
39,"Akron, OH",10420.0,"Akron, OH Metro Area",Bus,2018,6012502.0,4915667.0,90.27,22199719.5
40,"Albany, GA",10500.0,"Albany, GA Metro Area",Bus,2002,628324.0,532194.0,100.0,606164.0
41,"Albany, GA",10500.0,"Albany, GA Metro Area",Bus,2003,670941.0,536264.0,100.0,574594.0
42,"Albany, GA",10500.0,"Albany, GA Metro Area",Bus,2004,666328.0,537714.0,100.0,693406.0
43,"Albany, GA",10500.0,"Albany, GA Metro Area",Bus,2005,653876.0,535683.0,100.0,688238.0
44,"Albany, GA",10500.0,"Albany, GA Metro Area",Bus,2006,762810.0,534219.0,100.0,733346.0
45,"Albany, GA",10500.0,"Albany, GA Metro Area",Bus,2007,767414.0,534985.0,100.0,755392.0
46,"Albany, GA",10500.0,"Albany, GA Metro Area",Bus,2008,880864.0,532993.0,100.0,747908.0
