CBSA,MNAME,TNC_ARRIVAL_ASSUMPTION
10180,"Abilene, TX Metro Area",2016
10780,"Alexandria, LA Metro Area",2016
11100,"Amarillo, TX Metro Area",2016
11300,"Anderson, IN Metro Area",2016
11700,"Asheville, NC Metro Area",2016
12100,"Atlantic City-Hammonton, NJ Metro Area",2016
12220,"Auburn-Opelika, AL Metro Area",2016
12620,"Bangor, ME Metro Area",2016
12700,"Barnstable Town, MA Metro Area",2016
12980,"Battle Creek, MI Metro Area",2016
13460,"Bend, OR Metro Area",2016
13900,"Bismarck, ND Metro Area",2016
14540,"Bowling Green, KY Metro Area",2016
16220,"Casper, WY Metro Area",2016
16820,"Charlottesville, VA Metro Area",2016
16940,"Cheyenne, WY Metro Area",2016
17300,"Clarksville, TN-KY Metro Area",2016
17420,"Cleveland, TN Metro Area",2016
17660,"Coeur d'Alene, ID Metro Area",2016
17980,"Columbus, GA-AL Metro Area",2016
19060,"Cumberland, MD-WV Metro Area",2016
20220,"Dubuque, IA Metro Area",2016
21060,"Elizabethtown, KY Metro Area",2016
21140,"Elkhart-Goshen, IN Metro Area",2016
21300,"Elmira, NY Metro Area",2016
21820,"Fairbanks, AK Metro Area",2016
22500,"Florence, SC Metro Area",2016
22540,"Fond du Lac, WI Metro Area",2016
22900,"Fort Smith, AR-OK Metro Area",2016
23580,"Gainesville, GA Metro Area",2016
24020,"Glens Falls, NY Metro Area",2016
24220,"Grand Forks, ND-MN Metro Area",2016
24300,"Grand Junction, CO Metro Area",2016
24540,"Greeley, CO Metro Area",2016
25180,"Hagerstown-Martinsburg, MD-WV Metro Area",2016
25260,"Hanford-Corcoran, CA Metro Area",2016
25540,"Hartford-West Hartford-East Hartford, CT Metro Area",2014
25860,"Hickory-Lenoir-Morganton, NC Metro Area",2016
26380,"Houma-Bayou Cane-Thibodaux, LA Metro Area",2016
26820,"Idaho Falls, ID Metro Area",2016
27500,"Janesville, WI Metro Area",2016
27620,"Jefferson City, MO Metro Area",2016
27740,"Johnson City, TN Metro Area",2016
27860,"Jonesboro, AR Metro Area",2016
28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",2016
29020,"Kokomo, IN Metro Area",2016
29460,"Lakeland-Winter Haven, FL Metro Area",2016
29740,"Las Cruces, NM Metro Area",2016
30020,"Lawton, OK Metro Area",2016
30340,"Lewiston-Auburn, ME Metro Area",2016
30620,"Lima, OH Metro Area",2016
31420,"Macon, GA Metro Area",2016
31900,"Mansfield, OH Metro Area",2016
32580,"McAllen-Edinburg-Mission, TX Metro Area",2016
32900,"Merced, CA Metro Area",2016
33740,"Monroe, LA Metro Area",2016
34060,"Morgantown, WV Metro Area",2016
34580,"Mount Vernon-Anacortes, WA Metro Area",2016
34740,"Muskegon-Norton Shores, MI Metro Area",2016
34820,"Myrtle Beach-North Myrtle Beach-Conway, SC Metro Area",2016
34940,"Naples-Marco Island, FL Metro Area",2014
35300,"New Haven-Milford, CT Metro Area",2014
35980,"Norwich-New London, CT Metro Area",2016
36140,"Ocean City, NJ Metro Area",2016
36220,"Odessa, TX Metro Area",2016
37380,"Palm Coast, FL Metro Area",2016
37620,"Parkersburg-Marietta-Vienna, WV-OH Metro Area",2016
37700,"Pascagoula, MS Metro Area",2016
38540,"Pocatello, ID Metro Area",2016
38940,"Port St. Lucie, FL Metro Area",2016
39100,"Poughkeepsie-Newburgh-Middletown, NY Metro Area",2016
39380,"Pueblo, CO Metro Area",2016
39660,"Rapid City, SD Metro Area",2016
40140,"Riverside-San Bernardino-Ontario, CA Metro Area",2014
40660,"Rome, GA Metro Area",2016
41140,"St. Joseph, MO-KS Metro Area",2016
41540,"Salisbury, MD Metro Area",2016
42680,"Sebastian-Vero Beach, FL Metro Area",2016
43300,"Sherman-Denison, TX Metro Area",2016
43900,"Spartanburg, SC Metro Area",2016
44140,"Springfield, MA Metro Area",2016
44180,"Springfield, MO Metro Area",2016
44220,"Springfield, OH Metro Area",2016
45500,"Texarkana, TX-Texarkana, AR Metro Area",2016
46220,"Tuscaloosa, AL Metro Area",2016
46540,"Utica-Rome, NY Metro Area",2016
46700,"Vallejo-Fairfield, CA Metro Area",2016
47020,"Victoria, TX Metro Area",2016
47300,"Visalia-Porterville, CA Metro Area",2016
47940,"Waterloo-Cedar Falls, IA Metro Area",2016
48140,"Wausau, WI Metro Area",2016
48900,"Wilmington, NC Metro Area",2016
49020,"Winchester, VA-WV Metro Area",2016
49660,"Youngstown-Warren-Boardman, OH-PA Metro Area",2016
49700,"Yuba City, CA Metro Area",2016
49740,"Yuma, AZ Metro Area",2016
