,CBSA,MNAME,Year,TNC_TRIPS,TNC_BOOKINGS,TNC_REVENUE
0,10420,"Akron, OH Metro Area",2014,309683.0,4656729.9797511,479084.55452034995
1,10420,"Akron, OH Metro Area",2015,514097.39,7703640.13993341,1762137.143261477
2,10420,"Akron, OH Metro Area",2016,919909.51,13435867.00923662,3011892.3384309765
3,10420,"Akron, OH Metro Area",2017,1428115.15,20600326.6449541,7909986.3928492
4,10420,"Akron, OH Metro Area",2018,2020372.375,29401558.848000623,11149411.343842376
5,10500,"Albany, GA Metro Area",2017,308060.62,4443723.88210228,1706273.6939473602
6,10500,"Albany, GA Metro Area",2018,430693.0075,6267679.147728212,2376776.4610888073
7,10580,"Albany-Schenectady-Troy, NY Metro Area",2017,1798961.64,25949726.39688216,9964015.92242592
8,10580,"Albany-Schenectady-Troy, NY Metro Area",2018,2552727.24,37148676.6986478,14087208.08083284
9,10740,"Albuquerque, NM Metro Area",2014,398293.72000000003,5989177.018662924,616166.7557290939
10,10740,"Albuquerque, NM Metro Area",2015,661532.57,9912924.981247831,2267490.8212901508
11,10740,"Albuquerque, NM Metro Area",2016,1197240.44,17486462.695575282,3919906.5443901443
12,10740,"Albuquerque, NM Metro Area",2017,1853619.39,26738155.46976066,10266752.055967921
13,10740,"Albuquerque, NM Metro Area",2018,2624424.145,38192049.097548775,14482866.968182946
14,10740,"Albuquerque, NM Metro Area",2014,398293.72000000003,5989177.018662924,616166.7557290939
15,10740,"Albuquerque, NM Metro Area",2015,661532.57,9912924.981247831,2267490.8212901508
16,10740,"Albuquerque, NM Metro Area",2016,1197240.44,17486462.695575282,3919906.5443901443
17,10740,"Albuquerque, NM Metro Area",2017,1853619.39,26738155.46976066,10266752.055967921
18,10740,"Albuquerque, NM Metro Area",2018,2624424.145,38192049.097548775,14482866.968182946
19,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2015,607598.71,9104737.55046249,2082625.3467047529
20,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2016,1094704.12,15988854.13281944,3584190.5274757124
21,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2017,1706316.4999999998,24613335.458051,9450876.770612001
22,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2018,2425307.1325000003,35294389.916945085,13384041.075792933
23,11020,"Altoona, PA Metro Area",2016,163291.5,2384976.841623,534635.6488704
24,11020,"Altoona, PA Metro Area",2017,250617.70999999996,3615119.3333467403,1388111.22892088
25,11020,"Altoona, PA Metro Area",2018,351077.055,5109064.457865225,1937416.363446255
26,11180,"Ames, IA Metro Area",2015,70095.33,1050363.62431227,240261.061356819
27,11180,"Ames, IA Metro Area",2016,127187.90000000001,1857660.6622798,416428.20015104004
28,11180,"Ames, IA Metro Area",2017,197929.05999999997,2855094.2047836403,1096281.46676368
29,11180,"Ames, IA Metro Area",2018,281484.5775,4096316.8337573623,1553370.7450811774
30,11260,"Anchorage, AK Metro Area",2017,813802.6399999999,11738969.51413616,4507457.12547392
31,11260,"Anchorage, AK Metro Area",2018,1148941.36,16720020.2432692,6340425.15681976
32,11460,"Ann Arbor, MI Metro Area",2014,157024.56,2361191.851374552,242919.50599921198
33,11460,"Ann Arbor, MI Metro Area",2015,261982.4,3925750.5909456,897979.50135632
34,11460,"Ann Arbor, MI Metro Area",2016,477768.79000000004,6978118.88432798,1564271.4228951042
35,11460,"Ann Arbor, MI Metro Area",2017,746282.8099999999,10765007.04828614,4133481.02379368
36,11460,"Ann Arbor, MI Metro Area",2018,1065552.7925,15506504.405822787,5880245.908708992
37,11540,"Appleton, WI Metro Area",2015,170095.11,2548839.07697409,583023.600291273
38,11540,"Appleton, WI Metro Area",2016,306643.49,4478724.3811493805,1003986.9879818241
39,11540,"Appleton, WI Metro Area",2017,479335.77999999997,6914339.95403932,2654925.6181518403
40,11540,"Appleton, WI Metro Area",2018,682856.9475,9937306.100162512,3768341.4656063477
41,11700,"Asheville, NC Metro Area",2016,592537.89,8654395.02628218,1940039.0057072642
42,11700,"Asheville, NC Metro Area",2017,925974.3499999999,13357028.020358901,5128749.2529068
43,11700,"Asheville, NC Metro Area",2018,1321302.7975,19228317.72866826,7291600.588776197
44,12020,"Athens-Clarke County, GA Metro Area",2014,86797.92,1305187.808966064,134277.770612184
45,12020,"Athens-Clarke County, GA Metro Area",2015,147323.49,2207611.19039931,504970.845706707
46,12020,"Athens-Clarke County, GA Metro Area",2016,270331.60000000003,3948365.9930792,885097.5732121601
47,12020,"Athens-Clarke County, GA Metro Area",2017,420082.11,6059615.48948034,2326733.7889240803
48,12020,"Athens-Clarke County, GA Metro Area",2018,598413.655,8708441.330242224,3302341.724686855
49,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2012,435369.04000000004,6714811.864473192,172792.25775735
50,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2013,1436420.18,21927112.562191557,1117993.432984921
51,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2014,2469204.7600000002,37129644.93380689,3819899.259772502
52,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2015,4168103.63,62458147.14497997,14286729.258411508
53,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2016,7585175.100000001,110786335.80532621,24834758.768117763
54,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2017,11941373.499999998,172252352.822809,66140396.23970801
55,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2018,17138921.7825,249414921.53368682,94581024.42280358
56,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2012,435369.04000000004,6714811.864473192,172792.25775735
57,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2013,1436420.18,21927112.562191557,1117993.432984921
58,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2014,2469204.7600000002,37129644.93380689,3819899.259772502
59,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2015,4168103.63,62458147.14497997,14286729.258411508
60,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2016,7585175.100000001,110786335.80532621,24834758.768117763
61,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2017,11941373.499999998,172252352.822809,66140396.23970801
62,12060,"Atlanta-Sandy Springs-Marietta, GA Metro Area",2018,17138921.7825,249414921.53368682,94581024.42280358
63,12260,"Augusta-Richmond County, GA-SC Metro Area",2015,431263.56,6462392.80013964,1478213.179824108
64,12260,"Augusta-Richmond County, GA-SC Metro Area",2016,779642.5700000001,11387178.59896834,2552641.8172344323
65,12260,"Augusta-Richmond County, GA-SC Metro Area",2017,1219217.9999999998,17587019.542092,6752955.313104001
66,12260,"Augusta-Richmond County, GA-SC Metro Area",2018,1738598.645,25301034.109626275,9594444.912637446
67,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2014,855051.56,12857484.052030452,1322778.4402583619
68,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2015,1460627.8,21887197.1895882,5006495.94595354
69,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2016,2693890.5500000003,39345995.2025491,8820115.69607168
70,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2017,4295128.81,61956528.13301014,23789685.61648168
71,12420,"Austin-Round Rock-San Marcos, TX Metro Area",2018,6240182.8825,90810538.94439133,34436407.20824868
72,12540,"Bakersfield-Delano, CA Metro Area",2014,384819.16,5786558.897823372,595321.395877382
73,12540,"Bakersfield-Delano, CA Metro Area",2015,643988.48,9650030.52083712,2207356.120676864
74,12540,"Bakersfield-Delano, CA Metro Area",2016,1159072.28,16928992.296397362,3794939.4824929284
75,12540,"Bakersfield-Delano, CA Metro Area",2017,1813031.5699999998,26152682.82786158,10041945.88125896
