UrbanArea,State,Year, TTI , TotalDelay_hrs , Delay_per_Auto_Commuter 
Akron OH,OH,1982,1.02,"1,751",5
Akron OH,OH,1983,1.02,"2,037",6
Akron OH,OH,1984,1.03,"2,604",7
Akron OH,OH,1985,1.03,"2,689",7
Akron OH,OH,1986,1.04,"2,980",8
Akron OH,OH,1987,1.04,"3,121",9
Akron OH,OH,1988,1.05,"3,938",11
Akron OH,OH,1989,1.06,"4,929",13
Akron OH,OH,1990,1.07,"5,797",16
Akron OH,OH,1991,1.08,"6,697",18
Akron OH,OH,1992,1.09,"8,131",21
Akron OH,OH,1993,1.1,"9,267",24
Akron OH,OH,1994,1.11,"9,940",25
Akron OH,OH,1995,1.11,"10,256",26
Akron OH,OH,1996,1.11,"10,714",27
Akron OH,OH,1997,1.11,"10,749",26
Akron OH,OH,1998,1.11,"10,778",26
Akron OH,OH,1999,1.11,"10,935",26
Akron OH,OH,2000,1.11,"11,265",26
Akron OH,OH,2001,1.11,"11,288",26
Akron OH,OH,2002,1.11,"11,566",26
Akron OH,OH,2003,1.11,"11,844",27
Akron OH,OH,2004,1.12,"12,188",27
Akron OH,OH,2005,1.12,"12,431",28
Akron OH,OH,2006,1.12,"12,714",28
Akron OH,OH,2007,1.12,"12,984",28
Akron OH,OH,2008,1.12,"12,612",27
Akron OH,OH,2009,1.11,"12,059",26
Akron OH,OH,2010,1.11,"12,467",27
Akron OH,OH,2011,1.11,"12,906",28
Akron OH,OH,2012,1.11,"13,358",30
Akron OH,OH,2013,1.11,"13,825",32
Akron OH,OH,2014,1.11,"14,470",33
Akron OH,OH,2015,1.1,"14,783",35
Akron OH,OH,2016,1.1,"15,128",35
Akron OH,OH,2017,1.1,"15,352",37
Albany-Schenectady NY,NY,1982,1.03,"1,604",7
Albany-Schenectady NY,NY,1983,1.03,"1,672",7
Albany-Schenectady NY,NY,1984,1.03,"1,777",8
Albany-Schenectady NY,NY,1985,1.04,"2,160",10
Albany-Schenectady NY,NY,1986,1.04,"2,307",10
Albany-Schenectady NY,NY,1987,1.04,"2,546",11
Albany-Schenectady NY,NY,1988,1.05,"2,990",13
Albany-Schenectady NY,NY,1989,1.05,"3,215",14
Albany-Schenectady NY,NY,1990,1.06,"3,928",17
Albany-Schenectady NY,NY,1991,1.07,"4,146",17
Albany-Schenectady NY,NY,1992,1.07,"4,407",18
Albany-Schenectady NY,NY,1993,1.07,"4,544",19
Albany-Schenectady NY,NY,1994,1.08,"5,003",20
Albany-Schenectady NY,NY,1995,1.08,"5,234",21
Albany-Schenectady NY,NY,1996,1.09,"5,560",22
Albany-Schenectady NY,NY,1997,1.09,"5,905",23
Albany-Schenectady NY,NY,1998,1.1,"6,742",26
Albany-Schenectady NY,NY,1999,1.11,"7,140",27
Albany-Schenectady NY,NY,2000,1.12,"7,996",29
Albany-Schenectady NY,NY,2001,1.12,"8,531",31
Albany-Schenectady NY,NY,2002,1.13,"9,216",32
Albany-Schenectady NY,NY,2003,1.14,"10,489",36
Albany-Schenectady NY,NY,2004,1.15,"11,330",37
Albany-Schenectady NY,NY,2005,1.16,"12,611",40
Albany-Schenectady NY,NY,2006,1.16,"13,064",41
Albany-Schenectady NY,NY,2007,1.16,"13,433",41
Albany-Schenectady NY,NY,2008,1.16,"13,494",40
Albany-Schenectady NY,NY,2009,1.16,"13,851",41
Albany-Schenectady NY,NY,2010,1.16,"14,362",42
Albany-Schenectady NY,NY,2011,1.16,"14,913",43
Albany-Schenectady NY,NY,2012,1.16,"15,389",45
Albany-Schenectady NY,NY,2013,1.16,"15,838",46
Albany-Schenectady NY,NY,2014,1.17,"16,422",47
Albany-Schenectady NY,NY,2015,1.17,"16,907",48
Albany-Schenectady NY,NY,2016,1.17,"17,258",48
Albany-Schenectady NY,NY,2017,1.17,"17,489",49
Albuquerque NM,NM,1982,1.07,"4,194",15
Albuquerque NM,NM,1983,1.07,"4,656",16
Albuquerque NM,NM,1984,1.08,"4,958",17
Albuquerque NM,NM,1985,1.08,"5,030",17
Albuquerque NM,NM,1986,1.08,"5,603",19
Albuquerque NM,NM,1987,1.08,"5,819",19
Albuquerque NM,NM,1988,1.08,"6,094",19
Albuquerque NM,NM,1989,1.09,"6,689",20
Albuquerque NM,NM,1990,1.09,"7,179",21
Albuquerque NM,NM,1991,1.1,"7,882",22
Albuquerque NM,NM,1992,1.1,"8,468",24
Albuquerque NM,NM,1993,1.12,"9,734",26
Albuquerque NM,NM,1994,1.12,"10,579",28
Albuquerque NM,NM,1995,1.13,"11,751",29
Albuquerque NM,NM,1996,1.14,"13,228",31
Albuquerque NM,NM,1997,1.15,"14,785",35
Albuquerque NM,NM,1998,1.16,"16,178",37
Albuquerque NM,NM,1999,1.17,"17,173",39
Albuquerque NM,NM,2000,1.17,"17,406",39
Albuquerque NM,NM,2001,1.17,"17,571",39
Albuquerque NM,NM,2002,1.18,"17,730",40
Albuquerque NM,NM,2003,1.17,"17,907",39
Albuquerque NM,NM,2004,1.17,"18,204",39
Albuquerque NM,NM,2005,1.17,"18,538",39
Albuquerque NM,NM,2006,1.17,"18,577",38
Albuquerque NM,NM,2007,1.17,"18,797",38
Albuquerque NM,NM,2008,1.17,"18,601",38
Albuquerque NM,NM,2009,1.18,"19,034",37
Albuquerque NM,NM,2010,1.18,"19,368",37
Albuquerque NM,NM,2011,1.18,"19,820",39
Albuquerque NM,NM,2012,1.19,"20,398",40
Albuquerque NM,NM,2013,1.19,"21,013",41
Albuquerque NM,NM,2014,1.18,"21,652",41
Albuquerque NM,NM,2015,1.19,"22,255",43
Albuquerque NM,NM,2016,1.19,"22,741",44
Albuquerque NM,NM,2017,1.2,"23,302",44
Allentown PA-NJ,PA,1982,1.07,"3,147",11
Allentown PA-NJ,PA,1983,1.07,"3,389",12
Allentown PA-NJ,PA,1984,1.07,"3,509",12
Allentown PA-NJ,PA,1985,1.07,"3,710",12
Allentown PA-NJ,PA,1986,1.07,"4,017",13
Allentown PA-NJ,PA,1987,1.07,"4,504",14
Allentown PA-NJ,PA,1988,1.07,"4,577",14
Allentown PA-NJ,PA,1989,1.07,"4,785",14
Allentown PA-NJ,PA,1990,1.07,"5,610",17
Allentown PA-NJ,PA,1991,1.09,"5,957",17
Allentown PA-NJ,PA,1992,1.11,"6,933",20
Allentown PA-NJ,PA,1993,1.12,"7,913",22
Allentown PA-NJ,PA,1994,1.13,"9,256",25
Allentown PA-NJ,PA,1995,1.15,"10,659",28
Allentown PA-NJ,PA,1996,1.17,"12,306",31
Allentown PA-NJ,PA,1997,1.16,"13,340",33
Allentown PA-NJ,PA,1998,1.16,"13,585",33
Allentown PA-NJ,PA,1999,1.17,"13,967",33
Allentown PA-NJ,PA,2000,1.18,"14,687",34
Allentown PA-NJ,PA,2001,1.17,"14,637",33
Allentown PA-NJ,PA,2002,1.17,"14,695",33
Allentown PA-NJ,PA,2003,1.17,"14,239",31
Allentown PA-NJ,PA,2004,1.17,"14,375",31
Allentown PA-NJ,PA,2005,1.17,"14,552",32
Allentown PA-NJ,PA,2006,1.17,"14,562",31
Allentown PA-NJ,PA,2007,1.17,"14,625",31
Allentown PA-NJ,PA,2008,1.16,"14,070",30
Allentown PA-NJ,PA,2009,1.16,"14,296",30
Allentown PA-NJ,PA,2010,1.17,"15,145",32
Allentown PA-NJ,PA,2011,1.17,"15,459",32
Allentown PA-NJ,PA,2012,1.18,"15,728",32
Allentown PA-NJ,PA,2013,1.18,"16,145",33
Allentown PA-NJ,PA,2014,1.18,"16,592",34
Allentown PA-NJ,PA,2015,1.19,"17,010",35
Allentown PA-NJ,PA,2016,1.2,"17,408",37
Allentown PA-NJ,PA,2017,1.2,"18,068",38
Anchorage AK,AK,1982,1.01,"1,172",9
Anchorage AK,AK,1983,1.02,"1,412",11
Anchorage AK,AK,1984,1.03,"1,558",11
Anchorage AK,AK,1985,1.04,"1,756",12
Anchorage AK,AK,1986,1.04,"1,896",13
Anchorage AK,AK,1987,1.05,"2,088",14
Anchorage AK,AK,1988,1.06,"2,354",16
Anchorage AK,AK,1989,1.06,"2,531",17
Anchorage AK,AK,1990,1.08,"2,882",19
Anchorage AK,AK,1991,1.09,"3,289",21
Anchorage AK,AK,1992,1.1,"3,496",22
Anchorage AK,AK,1993,1.11,"3,769",23
Anchorage AK,AK,1994,1.12,"4,174",25
Anchorage AK,AK,1995,1.12,"4,483",26
Anchorage AK,AK,1996,1.13,"4,727",27
Anchorage AK,AK,1997,1.13,"4,886",27
Anchorage AK,AK,1998,1.14,"5,148",28
Anchorage AK,AK,1999,1.16,"5,778",31
Anchorage AK,AK,2000,1.16,"6,196",32
Anchorage AK,AK,2001,1.17,"6,547",33
Anchorage AK,AK,2002,1.17,"6,756",33
Anchorage AK,AK,2003,1.18,"6,894",34
Anchorage AK,AK,2004,1.18,"7,064",35
Anchorage AK,AK,2005,1.18,"7,106",35
Anchorage AK,AK,2006,1.19,"7,402",36
Anchorage AK,AK,2007,1.19,"7,644",36
Anchorage AK,AK,2008,1.2,"8,038",37
Anchorage AK,AK,2009,1.19,"7,532",35
Anchorage AK,AK,2010,1.19,"8,233",37
Anchorage AK,AK,2011,1.2,"8,917",40
Anchorage AK,AK,2012,1.2,"9,177",40
Anchorage AK,AK,2013,1.2,"9,501",41
Anchorage AK,AK,2014,1.2,"9,658",41
Anchorage AK,AK,2015,1.21,"9,976",41
Anchorage AK,AK,2016,1.22,"10,487",42
Anchorage AK,AK,2017,1.22,"11,149",42
Atlanta GA,GA,1982,1.1,"32,678",22
Atlanta GA,GA,1983,1.1,"35,599",22
Atlanta GA,GA,1984,1.11,"38,731",23
Atlanta GA,GA,1985,1.11,"43,316",25
Atlanta GA,GA,1986,1.12,"47,568",26
Atlanta GA,GA,1987,1.13,"54,797",29
Atlanta GA,GA,1988,1.14,"60,016",31
Atlanta GA,GA,1989,1.15,"64,154",32
Atlanta GA,GA,1990,1.15,"67,559",33
Atlanta GA,GA,1991,1.16,"73,125",35
Atlanta GA,GA,1992,1.18,"85,177",39
Atlanta GA,GA,1993,1.2,"97,694",43
Atlanta GA,GA,1994,1.21,"106,764",45
Atlanta GA,GA,1995,1.22,"116,692",47
Atlanta GA,GA,1996,1.22,"122,738",48
Atlanta GA,GA,1997,1.23,"132,991",49
Atlanta GA,GA,1998,1.24,"144,086",51
Atlanta GA,GA,1999,1.24,"153,365",53
Atlanta GA,GA,2000,1.24,"159,727",53
Atlanta GA,GA,2001,1.25,"167,758",54
Atlanta GA,GA,2002,1.25,"175,407",55
Atlanta GA,GA,2003,1.25,"180,178",56
Atlanta GA,GA,2004,1.25,"184,986",57
Atlanta GA,GA,2005,1.26,"188,897",57
Atlanta GA,GA,2006,1.26,"191,775",57
Atlanta GA,GA,2007,1.26,"195,270",57
Atlanta GA,GA,2008,1.25,"193,488",56
Atlanta GA,GA,2009,1.24,"194,600",59
Atlanta GA,GA,2010,1.23,"201,977",60
Atlanta GA,GA,2011,1.23,"208,732",63
Atlanta GA,GA,2012,1.24,"215,539",64
Atlanta GA,GA,2013,1.25,"224,398",66
Atlanta GA,GA,2014,1.25,"227,691",68
Atlanta GA,GA,2015,1.27,"232,059",71
Atlanta GA,GA,2016,1.28,"235,198",74
Atlanta GA,GA,2017,1.3,"237,405",77
Austin TX,TX,1982,1.1,"4,500",16
Austin TX,TX,1983,1.11,"5,304",18
Austin TX,TX,1984,1.12,"5,836",19
Austin TX,TX,1985,1.12,"6,212",19
Austin TX,TX,1986,1.13,"6,932",21
Austin TX,TX,1987,1.14,"7,321",22
Austin TX,TX,1988,1.13,"7,663",21
Austin TX,TX,1989,1.14,"8,123",22
Austin TX,TX,1990,1.15,"9,263",24
Austin TX,TX,1991,1.15,"10,149",25
Austin TX,TX,1992,1.16,"11,088",26
Austin TX,TX,1993,1.17,"12,144",28
Austin TX,TX,1994,1.18,"13,160",29
Austin TX,TX,1995,1.19,"14,661",31
Austin TX,TX,1996,1.21,"17,088",34
Austin TX,TX,1997,1.23,"19,311",36
Austin TX,TX,1998,1.24,"21,339",38
Austin TX,TX,1999,1.25,"23,726",40
Austin TX,TX,2000,1.26,"25,499",42
Austin TX,TX,2001,1.28,"28,358",44
Austin TX,TX,2002,1.28,"30,035",45
Austin TX,TX,2003,1.29,"32,184",47
Austin TX,TX,2004,1.31,"34,880",49
Austin TX,TX,2005,1.31,"36,982",50
Austin TX,TX,2006,1.33,"39,396",52
Austin TX,TX,2007,1.32,"42,632",51
Austin TX,TX,2008,1.31,"43,058",50
Austin TX,TX,2009,1.29,"43,462",48
Austin TX,TX,2010,1.29,"47,034",49
Austin TX,TX,2011,1.3,"50,352",51
Austin TX,TX,2012,1.31,"54,518",55
Austin TX,TX,2013,1.32,"56,789",58
Austin TX,TX,2014,1.33,"58,506",59
Austin TX,TX,2015,1.33,"61,262",61
Austin TX,TX,2016,1.34,"64,709",63
Austin TX,TX,2017,1.34,"68,187",66
Bakersfield CA,CA,1982,1.01,199,1
Bakersfield CA,CA,1983,1.01,209,1
Bakersfield CA,CA,1984,1.01,244,1
Bakersfield CA,CA,1985,1.01,281,2
Bakersfield CA,CA,1986,1.01,312,2
Bakersfield CA,CA,1987,1.01,447,2
Bakersfield CA,CA,1988,1.02,597,3
Bakersfield CA,CA,1989,1.02,636,3
Bakersfield CA,CA,1990,1.02,687,3
Bakersfield CA,CA,1991,1.02,792,4
Bakersfield CA,CA,1992,1.02,893,4
Bakersfield CA,CA,1993,1.03,"1,113",5
Bakersfield CA,CA,1994,1.03,"1,222",5
Bakersfield CA,CA,1995,1.03,"1,270",5
Bakersfield CA,CA,1996,1.03,"1,397",5
Bakersfield CA,CA,1997,1.03,"1,494",6
Bakersfield CA,CA,1998,1.04,"1,704",6
Bakersfield CA,CA,1999,1.04,"1,739",6
Bakersfield CA,CA,2000,1.04,"1,844",6
Bakersfield CA,CA,2001,1.05,"2,265",8
Bakersfield CA,CA,2002,1.05,"2,548",8
Bakersfield CA,CA,2003,1.06,"3,135",10
Bakersfield CA,CA,2004,1.07,"3,990",12
Bakersfield CA,CA,2005,1.08,"4,447",13
Bakersfield CA,CA,2006,1.08,"4,877",13
Bakersfield CA,CA,2007,1.09,"5,442",15
Bakersfield CA,CA,2008,1.1,"6,114",16
Bakersfield CA,CA,2009,1.1,"5,611",15
Bakersfield CA,CA,2010,1.11,"6,138",16
Bakersfield CA,CA,2011,1.11,"6,592",17
Bakersfield CA,CA,2012,1.11,"7,079",18
Bakersfield CA,CA,2013,1.12,"7,201",18
Bakersfield CA,CA,2014,1.12,"7,834",22
Bakersfield CA,CA,2015,1.13,"8,067",22
Bakersfield CA,CA,2016,1.13,"8,467",23
Bakersfield CA,CA,2017,1.13,"8,896",24
Baltimore MD,MD,1982,1.09,"13,847",16
Baltimore MD,MD,1983,1.1,"16,424",18
Baltimore MD,MD,1984,1.11,"18,633",20
Baltimore MD,MD,1985,1.12,"20,163",21
Baltimore MD,MD,1986,1.13,"22,249",23
Baltimore MD,MD,1987,1.13,"23,597",24
Baltimore MD,MD,1988,1.15,"26,609",26
Baltimore MD,MD,1989,1.16,"29,075",28
Baltimore MD,MD,1990,1.17,"32,388",30
Baltimore MD,MD,1991,1.17,"34,547",31
Baltimore MD,MD,1992,1.18,"36,213",32
Baltimore MD,MD,1993,1.18,"38,330",32
Baltimore MD,MD,1994,1.19,"40,578",33
Baltimore MD,MD,1995,1.2,"43,253",35
Baltimore MD,MD,1996,1.2,"44,267",35
Baltimore MD,MD,1997,1.2,"45,691",36
Baltimore MD,MD,1998,1.21,"49,023",38
Baltimore MD,MD,1999,1.23,"52,849",41
Baltimore MD,MD,2000,1.23,"55,157",41
Baltimore MD,MD,2001,1.25,"60,575",44
Baltimore MD,MD,2002,1.25,"63,265",44
Baltimore MD,MD,2003,1.25,"65,929",45
Baltimore MD,MD,2004,1.26,"69,230",46
Baltimore MD,MD,2005,1.26,"70,499",46
Baltimore MD,MD,2006,1.26,"72,320",47
Baltimore MD,MD,2007,1.26,"73,224",47
Baltimore MD,MD,2008,1.25,"70,452",44
Baltimore MD,MD,2009,1.24,"72,179",45
Baltimore MD,MD,2010,1.24,"75,705",47
Baltimore MD,MD,2011,1.24,"78,206",48
Baltimore MD,MD,2012,1.25,"82,074",50
Baltimore MD,MD,2013,1.25,"84,539",51
Baltimore MD,MD,2014,1.26,"86,755",54
Baltimore MD,MD,2015,1.25,"88,266",55
Baltimore MD,MD,2016,1.25,"91,419",57
Baltimore MD,MD,2017,1.25,"93,815",59
Baton Rouge LA,LA,1982,1.06,"2,849",12
Baton Rouge LA,LA,1983,1.06,"2,879",12
Baton Rouge LA,LA,1984,1.07,"3,436",14
Baton Rouge LA,LA,1985,1.08,"3,947",16
Baton Rouge LA,LA,1986,1.09,"4,309",18
Baton Rouge LA,LA,1987,1.09,"4,501",18
Baton Rouge LA,LA,1988,1.1,"4,843",20
Baton Rouge LA,LA,1989,1.1,"5,015",20
Baton Rouge LA,LA,1990,1.1,"5,116",21
Baton Rouge LA,LA,1991,1.1,"5,573",21
Baton Rouge LA,LA,1992,1.11,"5,924",22
Baton Rouge LA,LA,1993,1.11,"6,483",23
Baton Rouge LA,LA,1994,1.12,"7,044",24
Baton Rouge LA,LA,1995,1.12,"7,541",25
Baton Rouge LA,LA,1996,1.13,"8,013",26
Baton Rouge LA,LA,1997,1.14,"8,655",28
Baton Rouge LA,LA,1998,1.14,"9,331",29
Baton Rouge LA,LA,1999,1.15,"10,008",29
Baton Rouge LA,LA,2000,1.15,"10,509",29
Baton Rouge LA,LA,2001,1.15,"10,919",30
Baton Rouge LA,LA,2002,1.16,"11,445",31
Baton Rouge LA,LA,2003,1.16,"12,138",32
Baton Rouge LA,LA,2004,1.16,"12,624",32
Baton Rouge LA,LA,2005,1.17,"13,762",35
Baton Rouge LA,LA,2006,1.19,"17,551",38
Baton Rouge LA,LA,2007,1.2,"18,548",39
Baton Rouge LA,LA,2008,1.2,"19,364",40
Baton Rouge LA,LA,2009,1.2,"20,263",43
Baton Rouge LA,LA,2010,1.21,"21,849",46
Baton Rouge LA,LA,2011,1.21,"22,378",47
Baton Rouge LA,LA,2012,1.21,"22,891",48
Baton Rouge LA,LA,2013,1.22,"24,500",50
Baton Rouge LA,LA,2014,1.22,"26,174",52
Baton Rouge LA,LA,2015,1.23,"27,246",55
Baton Rouge LA,LA,2016,1.23,"27,852",56
Baton Rouge LA,LA,2017,1.23,"28,362",58
Beaumont TX,TX,1982,1.03,949,7
Beaumont TX,TX,1983,1.03,962,7
Beaumont TX,TX,1984,1.03,999,7
Beaumont TX,TX,1985,1.03,"1,013",7
Beaumont TX,TX,1986,1.03,"1,027",7
Beaumont TX,TX,1987,1.03,"1,062",7
Beaumont TX,TX,1988,1.03,"1,087",8
Beaumont TX,TX,1989,1.03,"1,155",8
Beaumont TX,TX,1990,1.03,"1,175",8
Beaumont TX,TX,1991,1.04,"1,455",10
Beaumont TX,TX,1992,1.05,"1,630",11
Beaumont TX,TX,1993,1.05,"1,967",13
Beaumont TX,TX,1994,1.06,"2,306",15
Beaumont TX,TX,1995,1.07,"2,478",16
Beaumont TX,TX,1996,1.07,"2,622",16
Beaumont TX,TX,1997,1.08,"3,006",19
Beaumont TX,TX,1998,1.08,"3,336",20
Beaumont TX,TX,1999,1.09,"3,631",22
Beaumont TX,TX,2000,1.1,"3,917",23
Beaumont TX,TX,2001,1.1,"4,261",25
Beaumont TX,TX,2002,1.11,"4,743",27
Beaumont TX,TX,2003,1.12,"5,300",29
Beaumont TX,TX,2004,1.13,"5,650",31
Beaumont TX,TX,2005,1.13,"6,057",32
Beaumont TX,TX,2006,1.14,"6,163",33
Beaumont TX,TX,2007,1.14,"6,259",33
Beaumont TX,TX,2008,1.12,"5,576",29
Beaumont TX,TX,2009,1.13,"6,154",32
Beaumont TX,TX,2010,1.13,"6,519",33
Beaumont TX,TX,2011,1.13,"6,689",34
Beaumont TX,TX,2012,1.13,"6,800",34
Beaumont TX,TX,2013,1.14,"7,220",37
Beaumont TX,TX,2014,1.13,"7,566",38
Beaumont TX,TX,2015,1.13,"7,786",39
Beaumont TX,TX,2016,1.13,"8,491",40
Beaumont TX,TX,2017,1.13,"8,493",41
Birmingham AL,AL,1982,1.03,"2,831",8
Birmingham AL,AL,1983,1.03,"2,962",8
Birmingham AL,AL,1984,1.03,"3,076",9
Birmingham AL,AL,1985,1.04,"4,120",11
Birmingham AL,AL,1986,1.05,"4,501",12
Birmingham AL,AL,1987,1.05,"4,670",13
Birmingham AL,AL,1988,1.05,"4,772",13
Birmingham AL,AL,1989,1.05,"4,843",13
Birmingham AL,AL,1990,1.05,"5,241",14
Birmingham AL,AL,1991,1.06,"5,537",14
Birmingham AL,AL,1992,1.06,"6,112",15
Birmingham AL,AL,1993,1.07,"7,317",18
Birmingham AL,AL,1994,1.08,"8,488",21
Birmingham AL,AL,1995,1.09,"9,513",23
Birmingham AL,AL,1996,1.1,"10,389",25
Birmingham AL,AL,1997,1.11,"11,575",27
Birmingham AL,AL,1998,1.12,"12,902",30
Birmingham AL,AL,1999,1.13,"14,244",32
Birmingham AL,AL,2000,1.13,"14,558",33
Birmingham AL,AL,2001,1.13,"14,730",32
Birmingham AL,AL,2002,1.13,"15,582",32
Birmingham AL,AL,2003,1.13,"15,917",33
Birmingham AL,AL,2004,1.13,"16,293",33
Birmingham AL,AL,2005,1.13,"16,670",33
Birmingham AL,AL,2006,1.13,"17,230",34
Birmingham AL,AL,2007,1.13,"17,628",34
Birmingham AL,AL,2008,1.14,"18,409",35
Birmingham AL,AL,2009,1.13,"18,032",34
Birmingham AL,AL,2010,1.13,"18,855",35
Birmingham AL,AL,2011,1.13,"19,502",36
Birmingham AL,AL,2012,1.13,"20,329",37
Birmingham AL,AL,2013,1.14,"21,033",38
Birmingham AL,AL,2014,1.14,"21,543",38
Birmingham AL,AL,2015,1.13,"22,011",39
Birmingham AL,AL,2016,1.13,"22,292",39
Birmingham AL,AL,2017,1.13,"22,877",40
Boise ID,ID,1982,1,489,5
Boise ID,ID,1983,1,707,7
Boise ID,ID,1984,1,890,8
Boise ID,ID,1985,1.01,919,9
Boise ID,ID,1986,1.01,954,9
Boise ID,ID,1987,1.01,990,9
Boise ID,ID,1988,1.03,"1,299",11
Boise ID,ID,1989,1.03,"1,548",13
Boise ID,ID,1990,1.04,"1,913",16
Boise ID,ID,1991,1.04,"1,954",16
Boise ID,ID,1992,1.05,"2,089",16
Boise ID,ID,1993,1.05,"2,243",17
Boise ID,ID,1994,1.05,"2,382",17
Boise ID,ID,1995,1.06,"2,657",18
Boise ID,ID,1996,1.07,"3,012",20
Boise ID,ID,1997,1.07,"3,318",21
Boise ID,ID,1998,1.08,"3,739",23
Boise ID,ID,1999,1.1,"4,377",26
Boise ID,ID,2000,1.11,"5,019",28
Boise ID,ID,2001,1.13,"5,839",31
Boise ID,ID,2002,1.13,"6,305",32
Boise ID,ID,2003,1.13,"6,766",32
Boise ID,ID,2004,1.15,"7,507",34
Boise ID,ID,2005,1.15,"8,083",36
Boise ID,ID,2006,1.16,"8,753",37
Boise ID,ID,2007,1.16,"9,398",38
Boise ID,ID,2008,1.15,"9,232",36
Boise ID,ID,2009,1.15,"9,226",36
Boise ID,ID,2010,1.15,"9,599",35
Boise ID,ID,2011,1.14,"9,886",36
Boise ID,ID,2012,1.14,"10,196",36
Boise ID,ID,2013,1.14,"10,690",39
Boise ID,ID,2014,1.15,"11,145",41
Boise ID,ID,2015,1.15,"10,855",43
Boise ID,ID,2016,1.16,"11,795",44
Boise ID,ID,2017,1.16,"12,254",45
Boston MA-NH-RI,MA,1982,1.14,"52,591",31
Boston MA-NH-RI,MA,1983,1.14,"54,110",31
Boston MA-NH-RI,MA,1984,1.15,"58,714",34
Boston MA-NH-RI,MA,1985,1.16,"63,446",36
Boston MA-NH-RI,MA,1986,1.17,"67,430",38
Boston MA-NH-RI,MA,1987,1.18,"71,383",40
Boston MA-NH-RI,MA,1988,1.19,"75,423",41
Boston MA-NH-RI,MA,1989,1.19,"79,669",43
Boston MA-NH-RI,MA,1990,1.2,"83,117",44
Boston MA-NH-RI,MA,1991,1.2,"83,666",44
Boston MA-NH-RI,MA,1992,1.2,"84,574",44
Boston MA-NH-RI,MA,1993,1.21,"87,275",45
Boston MA-NH-RI,MA,1994,1.22,"91,417",47
Boston MA-NH-RI,MA,1995,1.22,"94,355",48
Boston MA-NH-RI,MA,1996,1.23,"101,056",51
Boston MA-NH-RI,MA,1997,1.25,"110,184",55
Boston MA-NH-RI,MA,1998,1.26,"118,941",57
Boston MA-NH-RI,MA,1999,1.26,"120,544",58
Boston MA-NH-RI,MA,2000,1.28,"126,792",61
Boston MA-NH-RI,MA,2001,1.28,"130,994",62
Boston MA-NH-RI,MA,2002,1.29,"133,838",63
Boston MA-NH-RI,MA,2003,1.29,"136,049",64
Boston MA-NH-RI,MA,2004,1.29,"138,015",64
Boston MA-NH-RI,MA,2005,1.29,"140,750",64
Boston MA-NH-RI,MA,2006,1.29,"142,893",64
Boston MA-NH-RI,MA,2007,1.29,"144,829",64
Boston MA-NH-RI,MA,2008,1.28,"139,946",61
Boston MA-NH-RI,MA,2009,1.28,"144,533",62
Boston MA-NH-RI,MA,2010,1.28,"154,889",65
Boston MA-NH-RI,MA,2011,1.29,"159,476",67
Boston MA-NH-RI,MA,2012,1.29,"164,282",69
Boston MA-NH-RI,MA,2013,1.29,"169,166",70
Boston MA-NH-RI,MA,2014,1.29,"174,013",72
Boston MA-NH-RI,MA,2015,1.3,"179,172",75
Boston MA-NH-RI,MA,2016,1.3,"184,486",77
Boston MA-NH-RI,MA,2017,1.3,"189,426",80
Boulder CO,CO,1982,1.02,421,8
Boulder CO,CO,1983,1.02,464,9
Boulder CO,CO,1984,1.03,513,10
Boulder CO,CO,1985,1.04,584,11
Boulder CO,CO,1986,1.04,652,12
Boulder CO,CO,1987,1.06,747,14
Boulder CO,CO,1988,1.07,845,15
Boulder CO,CO,1989,1.07,932,16
Boulder CO,CO,1990,1.08,997,17
Boulder CO,CO,1991,1.09,"1,108",19
Boulder CO,CO,1992,1.1,"1,199",20
Boulder CO,CO,1993,1.11,"1,321",22
Boulder CO,CO,1994,1.12,"1,519",23
Boulder CO,CO,1995,1.13,"1,601",24
Boulder CO,CO,1996,1.13,"1,655",25
Boulder CO,CO,1997,1.14,"1,747",26
Boulder CO,CO,1998,1.15,"1,883",28
Boulder CO,CO,1999,1.16,"2,112",29
Boulder CO,CO,2000,1.17,"2,194",30
Boulder CO,CO,2001,1.18,"2,368",32
Boulder CO,CO,2002,1.19,"2,623",33
Boulder CO,CO,2003,1.2,"2,724",34
Boulder CO,CO,2004,1.2,"2,852",34
Boulder CO,CO,2005,1.2,"2,921",35
Boulder CO,CO,2006,1.21,"3,005",36
Boulder CO,CO,2007,1.21,"3,154",36
Boulder CO,CO,2008,1.22,"3,283",37
Boulder CO,CO,2009,1.21,"3,183",36
Boulder CO,CO,2010,1.21,"3,362",37
Boulder CO,CO,2011,1.21,"3,485",39
Boulder CO,CO,2012,1.21,"3,602",39
Boulder CO,CO,2013,1.2,"3,792",41
Boulder CO,CO,2014,1.2,"3,895",42
Boulder CO,CO,2015,1.21,"4,092",43
Boulder CO,CO,2016,1.21,"4,256",44
Boulder CO,CO,2017,1.21,"4,464",44
Bridgeport-Stamford CT-NY,CT,1982,1.12,"6,044",15
Bridgeport-Stamford CT-NY,CT,1983,1.12,"6,257",15
Bridgeport-Stamford CT-NY,CT,1984,1.14,"7,536",18
Bridgeport-Stamford CT-NY,CT,1985,1.16,"8,372",20
Bridgeport-Stamford CT-NY,CT,1986,1.16,"8,932",21
Bridgeport-Stamford CT-NY,CT,1987,1.17,"9,290",22
Bridgeport-Stamford CT-NY,CT,1988,1.18,"9,730",23
