,CBSAFP,YearPlaceI,City,State,CityState,Year,AsOfDate,dockCt,dockNm,docklessCt,docklessNm,scooterCt,scooterNm,Type,Lat,Lon,Unnamed: 16,NAME
0,19820,2017MI00128,Detroit,MI,"Detroit, MI",2017,201712,43,Mo Go,0,-,0,-,Docked only,42.3314269999999,-83.045754,,"Detroit-Warren-Dearborn, MI"
1,47900,2019MD00118,Boyds,MD,"Boyds, MD",2019,201912,2,Montgomery Parks,0,-,0,-,Docked only,39.1836109999999,-77.3127779999999,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
2,47900,2018MD00118,Boyds,MD,"Boyds, MD",2018,201812,2,Montgomery Parks,0,-,0,-,Docked only,39.1836109999999,-77.3127779999999,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
3,47900,2017MD00118,Boyds,MD,"Boyds, MD",2017,201712,2,Montgomery Parks,0,-,0,-,Docked only,39.1836109999999,-77.3127779999999,,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
4,35620,2019NJ00151,Morristown,NJ,"Morristown, NJ",2019,201912,3,Morris Moves,0,-,0,-,Docked only,40.796562,-74.4773179999999,,"New York-Newark-Jersey City, NY-NJ-PA"
5,35620,2018NJ00151,Morristown,NJ,"Morristown, NJ",2018,201812,3,Morris Moves,0,-,0,-,Docked only,40.796562,-74.4773179999999,,"New York-Newark-Jersey City, NY-NJ-PA"
6,25200,2018ID0076,Hailey,ID,"Hailey, ID",2018,201812,52,MR Bike Share,0,-,0,-,Docked only,43.515,-114.306388999999,,"Hailey, ID"
7,25200,2017ID0076,Hailey,ID,"Hailey, ID",2017,201712,52,MR Bike Share,0,-,0,-,Docked only,43.515,-114.306388999999,,"Hailey, ID"
8,25200,2016ID0076,Hailey,ID,"Hailey, ID",2016,201612,49,MR Bike Share,0,-,0,-,Docked only,43.515,-114.306388999999,,"Hailey, ID"
9,25200,2015ID0076,Hailey,ID,"Hailey, ID",2015,201512,45,MR Bike Share,0,-,0,-,Docked only,43.515,-114.306388999999,,"Hailey, ID"
10,34980,2017TN00192,Nashville,TN,"Nashville, TN",2017,201712,36,Nashville B-cycle,1,Ofo,0,-,All bikes,36.1626639999999,-86.781602,,"Nashville-Davidson--Murfreesboro--Franklin, TN"
11,34980,2019TN00192,Nashville,TN,"Nashville, TN",2019,201912,35,Nashville B-cycle,0,-,3,"Jump, Lime, Lyft",Docked and scooters,36.1626639999999,-86.781602,,"Nashville-Davidson--Murfreesboro--Franklin, TN"
12,34980,2018TN00192,Nashville,TN,"Nashville, TN",2018,201812,35,Nashville B-cycle,0,-,3,"Bird, Lime, Lyft",Docked and scooters,36.1626639999999,-86.781602,,"Nashville-Davidson--Murfreesboro--Franklin, TN"
13,34980,2016TN00192,Nashville,TN,"Nashville, TN",2016,201612,36,Nashville B-cycle,0,-,0,-,Docked only,36.1626639999999,-86.781602,,"Nashville-Davidson--Murfreesboro--Franklin, TN"
14,34980,2015TN00192,Nashville,TN,"Nashville, TN",2015,201512,31,Nashville B-cycle,0,-,0,-,Docked only,36.1626639999999,-86.781602,,"Nashville-Davidson--Murfreesboro--Franklin, TN"
15,35380,2019LA0094,New Orleans,LA,"New Orleans, LA",2019,201912,93,New Orleans Bikeshare,0,-,0,-,Docked only,29.951066,-90.071532,,"New Orleans-Metairie, LA"
16,35380,2018LA0094,New Orleans,LA,"New Orleans, LA",2018,201812,93,New Orleans Bikeshare,0,-,0,-,Docked only,29.951066,-90.071532,,"New Orleans-Metairie, LA"
17,35380,2017LA0094,New Orleans,LA,"New Orleans, LA",2017,201712,75,New Orleans Bikeshare,0,-,0,-,Docked only,29.951066,-90.071532,,"New Orleans-Metairie, LA"
18,33460,2019MN00132,Minneapolis,MN,"Minneapolis, MN",2019,201912,171,Nice Ride Minnesota,0,-,3,"Lime, Lyft, Spin",Docked and scooters,44.977753,-93.265011,,"Minneapolis-St. Paul-Bloomington, MN-WI"
19,33460,2017MN00132,Minneapolis,MN,"Minneapolis, MN",2017,201712,201,Nice Ride Minnesota,0,-,0,-,Docked only,44.977753,-93.265011,,"Minneapolis-St. Paul-Bloomington, MN-WI"
20,33460,2016MN00132,Minneapolis,MN,"Minneapolis, MN",2016,201612,200,Nice Ride Minnesota,0,-,0,-,Docked only,44.977753,-93.265011,,"Minneapolis-St. Paul-Bloomington, MN-WI"
21,33460,2018MN00132,Minneapolis,MN,"Minneapolis, MN",2018,201812,171,Nice Ride Minnesota,0,-,0,-,Docked only,44.977753,-93.265011,,"Minneapolis-St. Paul-Bloomington, MN-WI"
22,33460,2015MN00132,Minneapolis,MN,"Minneapolis, MN",2015,201512,169,Nice Ride Minnesota,0,-,0,-,Docked only,44.977753,-93.265011,,"Minneapolis-St. Paul-Bloomington, MN-WI"
23,14010,2018IL0078,Bloomington,IL,"Bloomington, IL",2018,201812,12,Normal (Bikeshare 309),1,Pace,1,Spin,All micro,40.484203,-88.9936869999999,,"Bloomington, IL"
24,14010,2019IL0078,Bloomington,IL,"Bloomington, IL",2019,201912,12,Normal (Bikeshare 309),0,-,1,Lime,Docked and scooters,40.484203,-88.9936869999999,,"Bloomington, IL"
25,14010,2017IL0078,Bloomington,IL,"Bloomington, IL",2017,201712,9,Normal (Bikeshare 309),0,-,0,-,Docked only,40.484203,-88.9936869999999,,"Bloomington, IL"
26,37900,2019IL0080,Peoria,IL,"Peoria, IL",2019,201912,6,Peoria,0,-,0,-,Docked only,40.693649,-89.588986,,"Peoria, IL"
27,37900,2018IL0080,Peoria,IL,"Peoria, IL",2018,201812,6,Peoria,0,-,0,-,Docked only,40.693649,-89.588986,,"Peoria, IL"
28,37900,2017IL0080,Peoria,IL,"Peoria, IL",2017,201712,6,Peoria,0,-,0,-,Docked only,40.693649,-89.588986,,"Peoria, IL"
29,14460,2019NH00148,Portsmouth,NH,"Portsmouth, NH",2019,201912,10,Portsmouth,0,-,0,-,Docked only,43.0755559999999,-70.7605559999999,,"Boston-Cambridge-Newton, MA-NH"
30,14460,2018NH00148,Portsmouth,NH,"Portsmouth, NH",2018,201812,10,Portsmouth,0,-,0,-,Docked only,43.0755559999999,-70.7605559999999,,"Boston-Cambridge-Newton, MA-NH"
31,14460,2017NH00148,Portsmouth,NH,"Portsmouth, NH",2017,201712,7,Portsmouth,0,-,0,-,Docked only,43.0755559999999,-70.7605559999999,,"Boston-Cambridge-Newton, MA-NH"
32,42660,2016WA00225,Seattle,WA,"Seattle, WA",2016,201612,48,Pronto,0,-,0,-,Docked only,47.6062099999999,-122.332070999999,,"Seattle-Tacoma-Bellevue, WA"
33,42660,2015WA00225,Seattle,WA,"Seattle, WA",2015,201512,48,Pronto,0,-,0,-,Docked only,47.6062099999999,-122.332070999999,,"Seattle-Tacoma-Bellevue, WA"
34,39660,2019SD00188,Rapid City,SD,"Rapid City, SD",2019,201912,2,Rapid City B-cycle,0,-,0,-,Docked only,44.0805429999999,-103.231014999999,,"Rapid City, SD"
35,39660,2018SD00188,Rapid City,SD,"Rapid City, SD",2018,201812,2,Rapid City B-cycle,0,-,0,-,Docked only,44.0805429999999,-103.231014999999,,"Rapid City, SD"
36,39660,2017SD00188,Rapid City,SD,"Rapid City, SD",2017,201712,2,Rapid City B-cycle,0,-,0,-,Docked only,44.0805429999999,-103.231014999999,,"Rapid City, SD"
37,39660,2016SD00188,Rapid City,SD,"Rapid City, SD",2016,201612,2,Rapid City B-cycle,0,-,0,-,Docked only,44.0805429999999,-103.231014999999,,"Rapid City, SD"
38,39660,2015SD00188,Rapid City,SD,"Rapid City, SD",2015,201512,2,Rapid City B-cycle,0,-,0,-,Docked only,44.0805429999999,-103.231014999999,,"Rapid City, SD"
39,15380,2016NY00157,Buffalo,NY,"Buffalo, NY",2016,201612,67,Reddy Bikes,0,-,0,-,Docked only,42.8864469999999,-78.878369,,"Buffalo-Cheektowaga-Niagara Falls, NY"
40,15380,2019NY00157,Buffalo,NY,"Buffalo, NY",2019,201912,57,Reddy Bikes,0,-,0,-,Docked only,42.8864469999999,-78.878369,,"Buffalo-Cheektowaga-Niagara Falls, NY"
41,15380,2018NY00157,Buffalo,NY,"Buffalo, NY",2018,201812,57,Reddy Bikes,0,-,0,-,Docked only,42.8864469999999,-78.878369,,"Buffalo-Cheektowaga-Niagara Falls, NY"
42,15380,2017NY00157,Buffalo,NY,"Buffalo, NY",2017,201712,54,Reddy Bikes,0,-,0,-,Docked only,42.8864469999999,-78.878369,,"Buffalo-Cheektowaga-Niagara Falls, NY"
43,12060,2019GA0066,Atlanta,GA,"Atlanta, GA",2019,201912,113,Relay Bike Share,1,Jump,4,"Jump, Lime, Lyft, Wheels",All micro,33.748995,-84.3879819999999,,"Atlanta-Sandy Springs-Roswell, GA"
44,12060,2018GA0066,Atlanta,GA,"Atlanta, GA",2018,201812,113,Relay Bike Share,0,-,4,"Bird, Jump, Lime, Lyft",Docked and scooters,33.748995,-84.3879819999999,,"Atlanta-Sandy Springs-Roswell, GA"
45,12060,2017GA0066,Atlanta,GA,"Atlanta, GA",2017,201712,113,Relay Bike Share,0,-,0,-,Docked only,33.748995,-84.3879819999999,,"Atlanta-Sandy Springs-Roswell, GA"
46,12060,2016GA0066,Atlanta,GA,"Atlanta, GA",2016,201612,77,Relay Bike Share,0,-,0,-,Docked only,33.748995,-84.3879819999999,,"Atlanta-Sandy Springs-Roswell, GA"
47,13980,2019VA00215,Blacksburg,VA,"Blacksburg, VA",2019,201912,12,ROAM NRV,0,-,0,-,Docked only,37.229573,-80.4139389999999,,"Blacksburg-Christiansburg-Radford, VA"
48,13980,2018VA00215,Blacksburg,VA,"Blacksburg, VA",2018,201812,12,ROAM NRV,0,-,0,-,Docked only,37.229573,-80.4139389999999,,"Blacksburg-Christiansburg-Radford, VA"
49,40220,2019VA00221,Roanoke,VA,"Roanoke, VA",2019,201912,17,Roanoke,0,-,0,-,Docked only,37.2709699999999,-79.941427,,"Roanoke, VA"
50,40220,2018VA00221,Roanoke,VA,"Roanoke, VA",2018,201812,17,Roanoke,0,-,0,-,Docked only,37.2709699999999,-79.941427,,"Roanoke, VA"
51,40220,2017VA00221,Roanoke,VA,"Roanoke, VA",2017,201712,17,Roanoke,0,-,0,-,Docked only,37.2709699999999,-79.941427,,"Roanoke, VA"
52,29820,2019NV00154,Las Vegas,NV,"Las Vegas, NV",2019,201912,21,RTC Bikeshare,0,-,0,-,Docked only,36.169941,-115.13983,,"Las Vegas-Henderson-Paradise, NV"
53,29820,2018NV00154,Las Vegas,NV,"Las Vegas, NV",2018,201812,21,RTC Bikeshare,0,-,0,-,Docked only,36.169941,-115.13983,,"Las Vegas-Henderson-Paradise, NV"
54,29820,2017NV00154,Las Vegas,NV,"Las Vegas, NV",2017,201712,21,RTC Bikeshare,0,-,0,-,Docked only,36.169941,-115.13983,,"Las Vegas-Henderson-Paradise, NV"
55,29820,2016NV00154,Las Vegas,NV,"Las Vegas, NV",2016,201612,21,RTC Bikeshare,0,-,0,-,Docked only,36.169941,-115.13983,,"Las Vegas-Henderson-Paradise, NV"
56,40060,2019VA00220,Richmond,VA,"Richmond, VA",2019,201912,17,RVA Bike Share,0,-,1,Bolt,Docked and scooters,37.540725,-77.436048,,"Richmond, VA"
57,40060,2018VA00220,Richmond,VA,"Richmond, VA",2018,201812,17,RVA Bike Share,0,-,0,-,Docked only,37.540725,-77.436048,,"Richmond, VA"
58,40060,2017VA00220,Richmond,VA,"Richmond, VA",2017,201712,17,RVA Bike Share,0,-,0,-,Docked only,37.540725,-77.436048,,"Richmond, VA"
59,14460,2019MA00111,Salem,MA,"Salem, MA",2019,201912,17,Salem,0,-,0,-,Docked only,42.5195399999999,-70.8967159999999,,"Boston-Cambridge-Newton, MA-NH"
60,14460,2018MA00111,Salem,MA,"Salem, MA",2018,201812,17,Salem,0,-,0,-,Docked only,42.5195399999999,-70.8967159999999,,"Boston-Cambridge-Newton, MA-NH"
61,14460,2017MA00111,Salem,MA,"Salem, MA",2017,201712,10,Salem,0,-,0,-,Docked only,42.5195399999999,-70.8967159999999,,"Boston-Cambridge-Newton, MA-NH"
62,41700,2019TX00205,San Antonio,TX,"San Antonio, TX",2019,201912,64,San Antonio B-cycle,0,-,3,"Lime, Lyft, Razor",Docked and scooters,29.424122,-98.493628,,"San Antonio-New Braunfels, TX"
63,41700,2018TX00205,San Antonio,TX,"San Antonio, TX",2018,201812,64,San Antonio B-cycle,0,-,3,"Bird, Lime, Razor",Docked and scooters,29.424122,-98.493628,,"San Antonio-New Braunfels, TX"
64,41700,2017TX00205,San Antonio,TX,"San Antonio, TX",2017,201712,61,San Antonio B-cycle,0,-,0,-,Docked only,29.424122,-98.493628,,"San Antonio-New Braunfels, TX"
65,41700,2016TX00205,San Antonio,TX,"San Antonio, TX",2016,201612,59,San Antonio B-cycle,0,-,0,-,Docked only,29.424122,-98.493628,,"San Antonio-New Braunfels, TX"
66,41700,2015TX00205,San Antonio,TX,"San Antonio, TX",2015,201512,54,San Antonio B-cycle,0,-,0,-,Docked only,29.424122,-98.493628,,"San Antonio-New Braunfels, TX"
67,33100,2017FL0065,West Palm Beach,FL,"West Palm Beach, FL",2017,201712,18,Sky Bike WPB,0,-,0,-,Docked only,26.715342,-80.053375,,"Miami-Fort Lauderdale-West Palm Beach, FL"
68,33100,2019FL0065,West Palm Beach,FL,"West Palm Beach, FL",2019,201912,15,Sky Bike WPB,0,-,0,-,Docked only,26.715342,-80.053375,,"Miami-Fort Lauderdale-West Palm Beach, FL"
69,33100,2018FL0065,West Palm Beach,FL,"West Palm Beach, FL",2018,201812,15,Sky Bike WPB,0,-,0,-,Docked only,26.715342,-80.053375,,"Miami-Fort Lauderdale-West Palm Beach, FL"
70,33100,2016FL0065,West Palm Beach,FL,"West Palm Beach, FL",2016,201612,14,Sky Bike WPB,0,-,0,-,Docked only,26.715342,-80.053375,,"Miami-Fort Lauderdale-West Palm Beach, FL"
71,33100,2015FL0065,West Palm Beach,FL,"West Palm Beach, FL",2015,201512,13,Sky Bike WPB,0,-,0,-,Docked only,26.715342,-80.053375,,"Miami-Fort Lauderdale-West Palm Beach, FL"
72,12060,2019GA0070,Smyrna,GA,"Smyrna, GA",2019,201912,5,Smyrna Bike Share,0,-,0,-,Docked only,33.8839929999999,-84.5143759999999,,"Atlanta-Sandy Springs-Roswell, GA"
73,12060,2018GA0070,Smyrna,GA,"Smyrna, GA",2018,201812,5,Smyrna Bike Share,0,-,0,-,Docked only,33.8839929999999,-84.5143759999999,,"Atlanta-Sandy Springs-Roswell, GA"
74,12060,2017GA0070,Smyrna,GA,"Smyrna, GA",2017,201712,5,Smyrna Bike Share,0,-,0,-,Docked only,33.8839929999999,-84.5143759999999,,"Atlanta-Sandy Springs-Roswell, GA"
75,12060,2016GA0070,Smyrna,GA,"Smyrna, GA",2016,201612,5,Smyrna Bike Share,0,-,0,-,Docked only,33.8839929999999,-84.5143759999999,,"Atlanta-Sandy Springs-Roswell, GA"
76,12060,2015GA0070,Smyrna,GA,"Smyrna, GA",2015,201512,3,Smyrna Bike Share,0,-,0,-,Docked only,33.8839929999999,-84.5143759999999,,"Atlanta-Sandy Springs-Roswell, GA"
77,35620,2019NY00159,Long Beach,NY,"Long Beach, NY",2019,201912,11,"Sobi Long Beach, NY",0,-,0,-,Docked only,40.588056,-73.688056,,"New York-Newark-Jersey City, NY-NJ-PA"
78,35620,2018NY00159,Long Beach,NY,"Long Beach, NY",2018,201812,11,"Sobi Long Beach, NY",0,-,0,-,Docked only,40.588056,-73.688056,,"New York-Newark-Jersey City, NY-NJ-PA"
79,35620,2017NY00159,Long Beach,NY,"Long Beach, NY",2017,201712,11,"Sobi Long Beach, NY",0,-,0,-,Docked only,40.588056,-73.688056,,"New York-Newark-Jersey City, NY-NJ-PA"
80,35620,2016NY00159,Long Beach,NY,"Long Beach, NY",2016,201612,10,"Sobi Long Beach, NY",0,-,0,-,Docked only,40.588056,-73.688056,,"New York-Newark-Jersey City, NY-NJ-PA"
81,43900,2019SC00187,Spartanburg,SC,"Spartanburg, SC",2019,201912,5,Spartanburg B-cycle,0,-,0,-,Docked only,34.949567,-81.9320479999999,,"Spartanburg, SC"
82,43900,2018SC00187,Spartanburg,SC,"Spartanburg, SC",2018,201812,5,Spartanburg B-cycle,0,-,0,-,Docked only,34.949567,-81.9320479999999,,"Spartanburg, SC"
83,43900,2017SC00187,Spartanburg,SC,"Spartanburg, SC",2017,201712,5,Spartanburg B-cycle,0,-,0,-,Docked only,34.949567,-81.9320479999999,,"Spartanburg, SC"
84,43900,2016SC00187,Spartanburg,SC,"Spartanburg, SC",2016,201612,5,Spartanburg B-cycle,0,-,0,-,Docked only,34.949567,-81.9320479999999,,"Spartanburg, SC"
85,43900,2015SC00187,Spartanburg,SC,"Spartanburg, SC",2015,201512,5,Spartanburg B-cycle,0,-,0,-,Docked only,34.949567,-81.9320479999999,,"Spartanburg, SC"
86,36420,2019OK00173,Oklahoma City,OK,"Oklahoma City, OK",2019,201912,8,Spokies,0,-,1,Lime,Docked and scooters,35.4675599999999,-97.516428,,"Oklahoma City, OK"
87,36420,2018OK00173,Oklahoma City,OK,"Oklahoma City, OK",2018,201812,8,Spokies,0,-,1,Lime,Docked and scooters,35.4675599999999,-97.516428,,"Oklahoma City, OK"
88,36420,2017OK00173,Oklahoma City,OK,"Oklahoma City, OK",2017,201712,8,Spokies,0,-,0,-,Docked only,35.4675599999999,-97.516428,,"Oklahoma City, OK"
89,36420,2016OK00173,Oklahoma City,OK,"Oklahoma City, OK",2016,201612,8,Spokies,0,-,0,-,Docked only,35.4675599999999,-97.516428,,"Oklahoma City, OK"
90,36420,2015OK00173,Oklahoma City,OK,"Oklahoma City, OK",2015,201512,7,Spokies,0,-,0,-,Docked only,35.4675599999999,-97.516428,,"Oklahoma City, OK"
