,CBSAFP,Link,PBS_End,PBS_Flag,PBS_Start,Year
0,11260,nan,0,0,0,2002
1,11260,nan,0,0,0,2003
2,11260,nan,0,0,0,2004
3,11260,nan,0,0,0,2005
4,11260,nan,0,0,0,2006
5,11260,nan,0,0,0,2007
6,11260,nan,0,0,0,2008
7,11260,nan,0,0,0,2009
8,11260,nan,0,0,0,2010
9,11260,nan,0,0,0,2011
10,11260,nan,0,0,0,2012
11,11260,nan,0,0,0,2013
12,11260,nan,0,0,0,2014
13,11260,nan,0,0,0,2015
14,11260,nan,0,0,0,2016
15,11260,nan,0,0,0,2017
16,11260,nan,0,0,0,2018
17,13820,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/",0,0,2015,2002
18,13820,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/",0,0,2015,2003
19,13820,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/",0,0,2015,2004
20,13820,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/",0,0,2015,2005
21,13820,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/",0,0,2015,2006
22,13820,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/",0,0,2015,2007
23,13820,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/",0,0,2015,2008
24,13820,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/",0,0,2015,2009
25,13820,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/",0,0,2015,2010
26,13820,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/",0,0,2015,2011
27,13820,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/",0,0,2015,2012
28,13820,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/",0,0,2015,2013
29,13820,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/",0,0,2015,2014
30,13820,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/",0,1,2015,2015
31,13820,"zypbikeshare.com
https://electricbikereport.com/first-u-s-electric-bike-sharing-launches-in-birmingham-alabama/",0,1,2015,2016
