ID,Geography,RailBus,Year,CBSA,CBSA Code,UPT,VRM,UPT_ADJ,VRM_ADJ,State,FARE_TOTAL,FARE_per_UPT,POPPT,HUPT,AREAPT,AREALANDPT,UAPOP,UAHU,UAAREA,UAAREALAND,MPOP,MHU,MAREA,MAREALAND,UAPOPPCT,UAHUPCT,UAAREAPCT,UAAREALANDPCT,MPOPPCT,MHUPCT,MAREAPCT,MAREALANDPCT,Total_HH,HH_0Veh,HH_1Veh,HH_2Veh,HH_3Veh,HH_4+Veh,Pop_TSD,Tot_Emp_TSD,Tot_Retail_TSD,gasPrice,JTW_DA,JTW_CARPOOL,JTW_TRANSIT,MEAN_TT,HH_MED_INC,HH_MEAN_INC,INC_U35,INC_35_100,INC_100P,Tot_Pop,Tot_Instate_Pop,Tot_Outstate_Pop,Tot_NonUSA_POP,Total_Median_Income_Individual,Native_Instate_Med_Inc_Indiv,Native_Outstate_Med_Inc_Indiv,Native_Outcountry_Med_Inc_Indiv,Total_Pop_Poverty,Pop_Below100_Poverty,Pop_Below150_Poverty,Pop_Above150_Poverty,Age_under18,Age_18to64,Age_over64,Total_Labor_MSA,Unemployment_Labor_MSA,Employment_Labor:MSA,Unemployment_Rate_MSA,TNC_Presence_Month,TNC_Presence_Year,Link,TNC_FLAG
10740,"Albuquerque, NM Metro Area",Rail,2005,10740,10740,0,0,0,0,NM,0,0,741318,314851,657890843,648969769,741318,314851,657890843,648969769,887077,374404,24079529497,24041559464,100,100,100,100,83.57,84.09,2.73,2.7,319677,18413,110293,125079,48207,17685,186356.5,153324,21973,2.23175,285261,49616,4618,23.5,43070,56791,40.3,46,13.7,783920,407621,296236,8048,23212,20013,29329,27062,779127,14.5,9.6,75.9,24.8,64,11.2,394235.5833,19014.58333,375221,4.825,Apr,2014,http://www.bizjournals.com/albuquerque/news/2014/04/30/uber-follows-lyft-to-albuquerque.html,0
10740,"Albuquerque, NM Metro Area",Rail,2006,10740,10740,0,0,0,0,NM,0,0,741318,314851,657890843,648969769,741318,314851,657890843,648969769,887077,374404,24079529497,24041559464,100,100,100,100,83.57,84.09,2.73,2.7,318482,18459,108533,124096,46716,20678,187151.8,157537,19516,2.520666667,307006,45292,5386,23,44799,58745,38.9,46.4,14.7,815430,400756,317995,10892,23623,19906,30099,28396,801871,14.9,10.4,74.7,25.1,63.3,11.6,402297.6667,15859.16667,386438.5,3.941666667,Apr,2014,http://www.bizjournals.com/albuquerque/news/2014/04/30/uber-follows-lyft-to-albuquerque.html,0
10740,"Albuquerque, NM Metro Area",Rail,2007,10740,10740,0,0,0,0,NM,0,0,741318,314851,657890843,648969769,741318,314851,657890843,648969769,887077,374404,24079529497,24041559464,100,100,100,100,83.57,84.09,2.73,2.7,322464,17721,111727,124060,47833,21123,187947.1,172633,20588,2.719,298497,45497,6301,23.8,45325,60427,38.4,46,15.6,832774,420471,332300,7521,24483,21141,29640,34568,817548,14.6,9,76.4,24.9,63.1,12,404248.5833,15005.75,389242.8333,3.7,Apr,2014,http://www.bizjournals.com/albuquerque/news/2014/04/30/uber-follows-lyft-to-albuquerque.html,0
10740,"Albuquerque, NM Metro Area",Rail,2008,10740,10740,0,0,0,0,NM,0,0,741318,314851,657890843,648969769,741318,314851,657890843,648969769,887077,374404,24079529497,24041559464,100,100,100,100,83.57,84.09,2.73,2.7,331371,20772,113448,128920,47402,20829,188742.4,172271,19579,3.193333333,304071,49451,7948,24.1,47198,63503,36.9,45.3,17.8,841408,421805,324703,10091,25312,22284,30385,33284,826682,14.5,10.4,75.1,24.8,62.9,12.3,407339.4167,18586.5,388752.9167,4.558333333,Apr,2014,http://www.bizjournals.com/albuquerque/news/2014/04/30/uber-follows-lyft-to-albuquerque.html,0
10740,"Albuquerque, NM Metro Area",Rail,2009,10740,10740,1351087,813885,1351087,813885,NM,2669729,1.975986002,741318,314851,657890843,648969769,741318,314851,657890843,648969769,887077,374404,24079529497,24041559464,100,100,100,100,83.57,84.09,2.73,2.7,334647,17776,120045,127430,47757,21639,189537.7,166385,16957,2.270333333,311831,43070,6193,23.3,46824,61059,36.7,46.6,16.7,856216,432274,329891,11065,25253,23216,30017,27978,846650,15.9,10.4,73.7,24.8,63.1,12.1,404223.5833,31447.33333,372776.25,7.766666667,Apr,2014,http://www.bizjournals.com/albuquerque/news/2014/04/30/uber-follows-lyft-to-albuquerque.html,0
10740,"Albuquerque, NM Metro Area",Rail,2010,10740,10740,1165687,1415143,1165687,1415143,NM,2846221,2.441668304,741318,314851,657890843,648969769,741318,314851,657890843,648969769,887077,374404,24079529497,24041559464,100,100,100,100,83.57,84.09,2.73,2.7,344800,16484,120481,136269,48104,23462,190333,173322,17580,2.700416667,320017,37436,8257,23.8,47383,63619,36.8,45.3,17.9,892014,459673,332367,9139,25891,23628,31267,26156,881703,,,,24.4,63.2,12.4,424689.5833,34020.5,390669.0833,8,Apr,2014,http://www.bizjournals.com/albuquerque/news/2014/04/30/uber-follows-lyft-to-albuquerque.html,0
10740,"Albuquerque, NM Metro Area",Rail,2011,10740,10740,1242174,1370680,1242174,1370680,NM,2856263,2.299406524,741318,314851,657890843,648969769,741318,314851,657890843,648969769,887077,374404,24079529497,24041559464,100,100,100,100,83.57,84.09,2.73,2.7,345157,23644,121901,126939,52444,20229,191128.3,175363,18443,3.42275,309002,34516,6341,23.5,45027,61912,40.2,41.9,17.9,899149,466738,336918,9294,24924,21970,30564,32165,887261,,,,24.4,63,12.6,421066.4167,31629.16667,389437.25,7.491666667,Apr,2014,http://www.bizjournals.com/albuquerque/news/2014/04/30/uber-follows-lyft-to-albuquerque.html,0
10740,"Albuquerque, NM Metro Area",Rail,2012,10740,10740,1129303,1424748,1129303,1424748,NM,2616485,2.31690255,741318,314851,657890843,648969769,741318,314851,657890843,648969769,887077,374404,24079529497,24041559464,100,100,100,100,83.57,84.09,2.73,2.7,344869,21014,120959,130200,48806,23890,191923.6,156487,18077,3.485666667,316808,39623,6692,23,46725,62672,38.8,43.1,18.1,902794,484743,320910,12335,25616,22332,31553,29079,887938,,,,24.1,62.7,13.2,417516.25,29752.5,387763.75,7.125,Apr,2014,http://www.bizjournals.com/albuquerque/news/2014/04/30/uber-follows-lyft-to-albuquerque.html,0
10740,"Albuquerque, NM Metro Area",Rail,2013,10740,10740,1082588,1388562,1082588,1388562,NM,3002928,2.773841942,741318,314851,657890843,648969769,741318,314851,657890843,648969769,887077,374404,24079529497,24041559464,100,100,100,100,83.57,84.09,2.73,2.7,336614,18513,118331,125926,51657,22187,192718.9,156578,17045,3.374166667,317712,37137,6143,22.8,48355,64625,37.7,43.9,18.4,901932,472342,328386,11036,25717,22709,31723,31539,890054,19.4,10.7,69.8,23.7,62.5,13.8,415693.1667,28250.83333,387442.3333,6.783333333,Apr,2014,http://www.bizjournals.com/albuquerque/news/2014/04/30/uber-follows-lyft-to-albuquerque.html,0
10740,"Albuquerque, NM Metro Area",Rail,2014,10740,10740,1063217,1385927,1063217,1385927,NM,2841371,2.672428112,741318,314851,657890843,648969769,741318,314851,657890843,648969769,887077,374404,24079529497,24041559464,100,100,100,100,83.57,84.09,2.73,2.7,342552,20456,115601,134762,50681,21052,193514.2,154315,17401,3.223166667,318978,35275,8716,23.6,47581,65138,37.2,43.5,19.3,905213,488344,321057,10331,25665,22804,30743,34459,893947,19.2,11.1,69.7,23.2,62.3,14.5,418886.75,27273.58333,391613.1667,6.508333333,Apr,2014,http://www.bizjournals.com/albuquerque/news/2014/04/30/uber-follows-lyft-to-albuquerque.html,0
