CBSA,Mode,Year,MNAME_x,POP_CENSUSTRACT
10420,Bus,2002,"Akron, OH Metro Area",119786
10420,Bus,2003,"Akron, OH Metro Area",119199
10420,Bus,2004,"Akron, OH Metro Area",118612
10420,Bus,2005,"Akron, OH Metro Area",118025
10420,Bus,2006,"Akron, OH Metro Area",117438
10420,Bus,2007,"Akron, OH Metro Area",116851
10420,Bus,2008,"Akron, OH Metro Area",116264
10420,Bus,2009,"Akron, OH Metro Area",115677
10420,Bus,2010,"Akron, OH Metro Area",115090
10420,Bus,2011,"Akron, OH Metro Area",114503
10420,Bus,2012,"Akron, OH Metro Area",112988
10420,Bus,2013,"Akron, OH Metro Area",112430
10420,Bus,2014,"Akron, OH Metro Area",112358
10420,Bus,2015,"Akron, OH Metro Area",112214
10420,Bus,2016,"Akron, OH Metro Area",111747
10420,Bus,2017,"Akron, OH Metro Area",111678
10420,Bus,2018,"Akron, OH Metro Area",111509.5
10500,Bus,2002,"Albany, GA Metro Area",2757
10500,Bus,2003,"Albany, GA Metro Area",2607
10500,Bus,2004,"Albany, GA Metro Area",2457
10500,Bus,2005,"Albany, GA Metro Area",2307
10500,Bus,2006,"Albany, GA Metro Area",2157
10500,Bus,2007,"Albany, GA Metro Area",2007
10500,Bus,2008,"Albany, GA Metro Area",1857
10500,Bus,2009,"Albany, GA Metro Area",1707
10500,Bus,2010,"Albany, GA Metro Area",1557
10500,Bus,2011,"Albany, GA Metro Area",1407
10500,Bus,2012,"Albany, GA Metro Area",1613
10500,Bus,2013,"Albany, GA Metro Area",1528
10500,Bus,2014,"Albany, GA Metro Area",1664
10500,Bus,2015,"Albany, GA Metro Area",1731
10500,Bus,2016,"Albany, GA Metro Area",1435
10500,Bus,2017,"Albany, GA Metro Area",1382
10500,Bus,2018,"Albany, GA Metro Area",1268.25
10580,Bus,2002,"Albany-Schenectady-Troy, NY Metro Area",197684
10580,Bus,2003,"Albany-Schenectady-Troy, NY Metro Area",196278
10580,Bus,2004,"Albany-Schenectady-Troy, NY Metro Area",194872
10580,Bus,2005,"Albany-Schenectady-Troy, NY Metro Area",193466
10580,Bus,2006,"Albany-Schenectady-Troy, NY Metro Area",192060
