,Abbreviation,State,Cluster,MSA_Name,MNAME
23,JST ,PA,1,Johnstown ,"Johnstown, PA Metro Area"
24,LAN ,PA,1,Lancaster ,"Lancaster, PA Metro Area"
25,LOU ,IN,1,Louisville/Jefferson County ,"Louisville/Jefferson County, IN Metro Area"
26,MEM ,TN-MS-AR,1,Memphis ,"Memphis, TN-MS-AR Metro Area"
27,MIL ,WI,1,Milwaukee-Waukesha-West Allis ,"Milwaukee-Waukesha-West Allis, WI Metro Area"
28,MSP ,MN-WI,1,Minneapolis-St. Paul-Bloomington ,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area"
29,HVN ,CT,1,New Haven-Milford ,"New Haven-Milford, CT Metro Area"
30,NOLA ,LA,1,New Orleans-Metairie ,"New Orleans-Metairie, LA Metro Area"
31,PIT ,PA,1,Pittsburgh ,"Pittsburgh, PA Metro Area"
32,PSF ,MA,1,Pittsfield ,"Pittsfield, MA Metro Area"
33,PRO ,RI-MA,1,Providence-Warwick ,"Providence-Warwick, RI-MA Metro Area"
34,PUE ,CO,1,Pueblo ,"Pueblo, CO Metro Area"
35,REA ,PA,1,Reading ,"Reading, PA Metro Area"
36,RNO ,NV,1,Reno ,"Reno, NV Metro Area"
37,ROC ,NY,1,Rochester ,"Rochester, NY Metro Area"
38,SAG ,MI,1,Saginaw ,"Saginaw, MI Metro Area"
39,SWB ,PA,1,Scranton--Wilkes-Barre--Hazleton ,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area"
40,STC ,MN,1,St. Cloud ,"St. Cloud, MN Metro Area"
41,SCE ,PA,1,State College ,"State College, PA Metro Area"
42,SYR ,NY,1,Syracuse ,"Syracuse, NY Metro Area"
43,TOL ,OH,1,Toledo ,"Toledo, OH Metro Area"
44,TUC ,AZ,1,Tucson ,"Tucson, AZ Metro Area"
45,HON ,HI,1,Urban Honolulu ,"Urban Honolulu, HI Metro Area"
46,WHE ,OH,1,Wheeling ,"Wheeling, OH Metro Area"
47,WIL ,PA,1,Williamsport ,"Williamsport, PA Metro Area"
48,WOR ,CT,1,Worcester ,"Worcester, CT Metro Area"
49,ALQ ,NM,2,Albuquerque ,"Albuquerque, NM Metro Area"
50,AMES ,IA,2,Ames ,"Ames, IA Metro Area"
51,ANC ,AK,2,Anchorage ,"Anchorage, AK Metro Area"
52,APP ,WI,2,Appleton ,"Appleton, WI Metro Area"
53,AUS ,TX,2,Austin-Round Rock ,"Austin-Round Rock, TX Metro Area"
54,BAK ,CA,2,Bakersfield ,"Bakersfield, CA Metro Area"
55,BIL ,MT,2,Billings ,"Billings, MT Metro Area"
56,BLO ,IL,2,Bloomington ,"Bloomington, IL Metro Area"
57,BOI ,ID,2,Boise City ,"Boise City, ID Metro Area"
58,CED ,IA,2,Cedar Rapids ,"Cedar Rapids, IA Metro Area"
59,CHA ,NC-SC,2,Charlotte-Concord-Gastonia ,"Charlotte-Concord-Gastonia, NC-SC Metro Area"
60,CIN ,OH-IN,2,Cincinnati ,"Cincinnati, OH-IN Metro Area"
61,CSB ,TX,2,College Station-Bryan ,"College Station-Bryan, TX Metro Area"
62,COS ,CO,2,Colorado Springs ,"Colorado Springs, CO Metro Area"
63,CMH ,OH,2,Columbus ,"Columbus, OH Metro Area"
64,COR ,OR,2,Corvallis ,"Corvallis, OR Metro Area"
65,DAV ,IA-IL,2,Davenport-Moline-Rock Island ,"Davenport-Moline-Rock Island, IA-IL Metro Area"
66,DSM ,IA,2,Des Moines-West Des Moines ,"Des Moines-West Des Moines, IA Metro Area"
67,CEN ,CA,2,El Centro ,"El Centro, CA Metro Area"
68,ELK ,IN,2,Elkhart-Goshen ,"Elkhart-Goshen, IN Metro Area"
69,FAR ,ND-MN,2,Fargo ,"Fargo, ND-MN Metro Area"
70,FCO ,CO,2,Fort Collins ,"Fort Collins, CO Metro Area"
71,GRR ,MI,2,Grand Rapids-Wyoming ,"Grand Rapids-Wyoming, MI Metro Area"
72,GB ,WI,2,Green Bay ,"Green Bay, WI Metro Area"
73,IND ,IN,2,Indianapolis-Carmel-Anderson ,"Indianapolis-Carmel-Anderson, IN Metro Area"
74,IOWA ,IA,2,Iowa City ,"Iowa City, IA Metro Area"
75,KAH ,HI,2,Kahului-Wailuku-Lahaina ,"Kahului-Wailuku-Lahaina, HI Metro Area"
76,KC ,KS,2,Kansas City ,"Kansas City, KS Metro Area"
77,KIL ,TX,2,Killeen-Temple ,"Killeen-Temple, TX Metro Area"
78,LAC ,WI-MN,2,La Crosse-Onalaska ,"La Crosse-Onalaska, WI-MN Metro Area"
79,LAR ,TX,2,Laredo ,"Laredo, TX Metro Area"
80,LAW ,KS,2,Lawrence ,"Lawrence, KS Metro Area"
81,LEB ,PA,2,Lebanon ,"Lebanon, PA Metro Area"
82,LEX ,KY,2,Lexington-Fayette ,"Lexington-Fayette, KY Metro Area"
83,LIN ,NE,2,Lincoln ,"Lincoln, NE Metro Area"
84,LOG ,ID,2,Logan ,"Logan, ID Metro Area"
85,LUB ,TX,2,Lubbock ,"Lubbock, TX Metro Area"
86,MAD ,WI,2,Madison ,"Madison, WI Metro Area"
87,MAN ,NH,2,Manchester-Nashua ,"Manchester-Nashua, NH Metro Area"
88,MIS ,MT,2,Missoula ,"Missoula, MT Metro Area"
89,MOD ,CA,2,Modesto ,"Modesto, CA Metro Area"
90,NAP ,CA,2,Napa ,"Napa, CA Metro Area"
91,NAP ,FL,2,Naples-Immokalee-Marco Island ,"Naples-Immokalee-Marco Island, FL Metro Area"
92,NAS ,TN,2,Nashville-Davidson--Murfreesboro--Franklin ,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area"
93,SRQ ,FL,2,North Port-Sarasota-Bradenton ,"North Port-Sarasota-Bradenton, FL Metro Area"
94,OKC ,OK,2,Oklahoma City ,"Oklahoma City, OK Metro Area"
95,OMA ,IA,2,Omaha-Council Bluffs ,"Omaha-Council Bluffs, IA Metro Area"
96,ORL ,FL,2,Orlando-Kissimmee-Sanford ,"Orlando-Kissimmee-Sanford, FL Metro Area"
97,OSH ,WI,2,Oshkosh-Neenah ,"Oshkosh-Neenah, WI Metro Area"
