MNAME,Year,RailBus,Cluster,5 digit NTD ID,UZA,upt,Month
"Akron, OH Metro Area",2002,Bus,44,6939669.0,7887.0,47516814.0,308
"Akron, OH Metro Area",2002,DemandResponse,44,8593068.0,10802.0,1170677.0,308
"Akron, OH Metro Area",2002,Rail,11,1100330.0,550.0,7394677.0,77
"Akron, OH Metro Area",2003,Bus,48,7570548.0,8604.0,53754100.0,312
"Akron, OH Metro Area",2003,DemandResponse,48,9374256.0,11784.0,1115235.0,312
"Akron, OH Metro Area",2003,Rail,12,1200360.0,600.0,7288444.0,78
"Akron, OH Metro Area",2004,Bus,48,7570548.0,8604.0,56568849.0,312
"Akron, OH Metro Area",2004,DemandResponse,48,9374256.0,11784.0,1108530.0,312
"Akron, OH Metro Area",2004,Rail,12,1200360.0,600.0,7779709.0,78
"Akron, OH Metro Area",2005,Bus,48,7570548.0,8604.0,62140598.0,312
"Akron, OH Metro Area",2005,DemandResponse,48,9374256.0,11784.0,1320428.0,312
"Akron, OH Metro Area",2005,Rail,12,1200360.0,600.0,10413956.0,78
"Akron, OH Metro Area",2006,Bus,48,7570548.0,8604.0,65461250.0,312
"Akron, OH Metro Area",2006,DemandResponse,48,9374256.0,11784.0,1246119.0,312
"Akron, OH Metro Area",2006,Rail,12,1200360.0,600.0,10937276.0,78
"Akron, OH Metro Area",2007,Bus,48,7570548.0,8604.0,59400541.0,312
"Akron, OH Metro Area",2007,DemandResponse,48,9374256.0,11784.0,1449490.0,312
"Akron, OH Metro Area",2007,Rail,12,1200360.0,600.0,11473951.0,78
"Akron, OH Metro Area",2008,Bus,48,7570548.0,8604.0,59822097.0,312
"Akron, OH Metro Area",2008,DemandResponse,48,9374256.0,11784.0,1469652.0,312
"Akron, OH Metro Area",2008,Rail,12,1200360.0,600.0,12035207.0,78
"Akron, OH Metro Area",2009,Bus,48,7570548.0,8604.0,48034843.0,312
"Akron, OH Metro Area",2009,DemandResponse,48,9374256.0,11784.0,1508455.0,312
"Akron, OH Metro Area",2009,Rail,12,1200360.0,600.0,8233829.0,78
"Akron, OH Metro Area",2010,Bus,48,7570548.0,8604.0,46325609.0,312
"Akron, OH Metro Area",2010,DemandResponse,48,9374256.0,11784.0,1454659.0,312
"Akron, OH Metro Area",2010,Rail,12,1200360.0,600.0,7757632.0,78
"Akron, OH Metro Area",2011,Bus,48,7570548.0,8604.0,47908743.0,312
"Akron, OH Metro Area",2011,DemandResponse,48,9374256.0,11784.0,1498129.0,312
"Akron, OH Metro Area",2011,Rail,12,1200360.0,600.0,8432995.0,78
"Akron, OH Metro Area",2012,Bus,48,7570548.0,8604.0,49658539.0,312
"Akron, OH Metro Area",2012,DemandResponse,48,9374256.0,11784.0,1658464.0,312
"Akron, OH Metro Area",2012,Rail,12,1200360.0,600.0,9096874.0,78
"Akron, OH Metro Area",2013,Bus,48,7570548.0,8604.0,50451135.0,312
"Akron, OH Metro Area",2013,DemandResponse,48,9374256.0,11784.0,1694799.0,312
"Akron, OH Metro Area",2013,Rail,12,1200360.0,600.0,9321306.0,78
"Akron, OH Metro Area",2014,Bus,48,7570548.0,8604.0,51010334.0,312
"Akron, OH Metro Area",2014,DemandResponse,48,9374256.0,11784.0,1717880.0,312
"Akron, OH Metro Area",2014,Rail,12,1200360.0,600.0,8982994.0,78
"Akron, OH Metro Area",2015,Bus,48,7570548.0,8604.0,48409927.0,312
"Akron, OH Metro Area",2015,DemandResponse,48,9374256.0,11784.0,1715820.0,312
"Akron, OH Metro Area",2015,Rail,12,1200360.0,600.0,9047021.0,78
"Akron, OH Metro Area",2016,Bus,48,7570548.0,8604.0,45150621.0,312
"Akron, OH Metro Area",2016,DemandResponse,48,9374256.0,11784.0,1634852.0,312
"Akron, OH Metro Area",2016,Rail,12,1200360.0,600.0,8885919.0,78
"Akron, OH Metro Area",2017,Bus,48,7570548.0,8604.0,41283381.0,312
"Akron, OH Metro Area",2017,DemandResponse,48,9374256.0,11784.0,1524201.0,312
"Akron, OH Metro Area",2017,Rail,12,1200360.0,600.0,8019567.0,78
"Akron, OH Metro Area",2018,Bus,48,7570548.0,8604.0,36845402.0,312
"Akron, OH Metro Area",2018,DemandResponse,48,9374256.0,11784.0,1540393.0,312
"Akron, OH Metro Area",2018,Rail,12,1200360.0,600.0,7911549.0,78
"Akron, OH Metro Area",2019,Bus,12,1892637.0,2151.0,8558789.0,24
"Akron, OH Metro Area",2019,DemandResponse,12,2343564.0,2946.0,371097.0,24
"Akron, OH Metro Area",2019,Rail,3,300090.0,150.0,1843990.0,6
"Albany, GA Metro Area",2002,Bus,11,440231.0,3399.0,579763.0,77
"Albany, GA Metro Area",2002,DemandResponse,11,440231.0,3399.0,29496.0,77
"Albany, GA Metro Area",2003,Bus,12,480252.0,3708.0,670941.0,78
"Albany, GA Metro Area",2003,DemandResponse,12,480252.0,3708.0,29598.0,78
"Albany, GA Metro Area",2004,Bus,12,480252.0,3708.0,666328.0,78
"Albany, GA Metro Area",2004,DemandResponse,12,480252.0,3708.0,29006.0,78
"Albany, GA Metro Area",2005,Bus,12,480252.0,3708.0,653876.0,78
"Albany, GA Metro Area",2005,DemandResponse,12,480252.0,3708.0,25628.0,78
"Albany, GA Metro Area",2006,Bus,12,480252.0,3708.0,762810.0,78
"Albany, GA Metro Area",2006,DemandResponse,12,480252.0,3708.0,23487.0,78
"Albany, GA Metro Area",2007,Bus,12,480252.0,3708.0,767414.0,78
"Albany, GA Metro Area",2007,DemandResponse,12,480252.0,3708.0,21348.0,78
"Albany, GA Metro Area",2008,Bus,12,480252.0,3708.0,880864.0,78
"Albany, GA Metro Area",2008,DemandResponse,12,480252.0,3708.0,19959.0,78
"Albany, GA Metro Area",2009,Bus,12,480252.0,3708.0,871177.0,78
"Albany, GA Metro Area",2009,DemandResponse,12,480252.0,3708.0,16018.0,78
"Albany, GA Metro Area",2010,Bus,12,480252.0,3708.0,900406.0,78
"Albany, GA Metro Area",2010,DemandResponse,12,480252.0,3708.0,12154.0,78
"Albany, GA Metro Area",2011,Bus,12,480252.0,3708.0,985863.0,78
"Albany, GA Metro Area",2011,DemandResponse,12,480252.0,3708.0,10360.0,78
"Albany, GA Metro Area",2012,Bus,12,480252.0,3708.0,1017648.0,78
"Albany, GA Metro Area",2012,DemandResponse,12,480252.0,3708.0,10393.0,78
"Albany, GA Metro Area",2013,Bus,12,480252.0,3708.0,1017015.0,78
"Albany, GA Metro Area",2013,DemandResponse,12,480252.0,3708.0,13066.0,78
"Albany, GA Metro Area",2014,Bus,12,480252.0,3708.0,883094.0,78
"Albany, GA Metro Area",2014,DemandResponse,12,480252.0,3708.0,14805.0,78
"Albany, GA Metro Area",2015,Bus,12,480252.0,3708.0,695011.0,78
"Albany, GA Metro Area",2015,DemandResponse,12,480252.0,3708.0,14593.0,78
"Albany, GA Metro Area",2016,Bus,12,480252.0,3708.0,655363.0,78
"Albany, GA Metro Area",2016,DemandResponse,12,480252.0,3708.0,13816.0,78
"Albany, GA Metro Area",2017,Bus,12,480252.0,3708.0,723013.0,78
"Albany, GA Metro Area",2017,DemandResponse,12,480252.0,3708.0,13111.0,78
"Albany, GA Metro Area",2018,Bus,12,480252.0,3708.0,739896.0,78
"Albany, GA Metro Area",2018,DemandResponse,12,480252.0,3708.0,15704.0,78
"Albany, GA Metro Area",2019,Bus,3,120063.0,927.0,201295.0,6
"Albany, GA Metro Area",2019,DemandResponse,3,120063.0,927.0,5088.0,6
"Albany-Schenectady-Troy, NY Metro Area",2002,Bus,22,881386.0,6820.0,10638696.0,154
