MNAME,Year,RailBus,Cluster,5 digit NTD ID,UZA,upt,Month
"Albany-Schenectady-Troy, NY Metro Area",2002,DemandResponse,22,1101408.0,7557.0,89553.0,154
"Albany-Schenectady-Troy, NY Metro Area",2002,Other,11,221320.0,4609.0,0.0,77
"Albany-Schenectady-Troy, NY Metro Area",2003,Bus,24,961512.0,7440.0,11755425.0,156
"Albany-Schenectady-Troy, NY Metro Area",2003,DemandResponse,24,1201536.0,8244.0,125157.0,156
"Albany-Schenectady-Troy, NY Metro Area",2003,Other,12,241440.0,5028.0,0.0,78
"Albany-Schenectady-Troy, NY Metro Area",2004,Bus,24,961512.0,7440.0,11363591.0,156
"Albany-Schenectady-Troy, NY Metro Area",2004,DemandResponse,24,1201536.0,8244.0,139501.0,156
"Albany-Schenectady-Troy, NY Metro Area",2004,Other,12,241440.0,5028.0,0.0,78
"Albany-Schenectady-Troy, NY Metro Area",2005,Bus,24,961512.0,7440.0,12582861.0,156
"Albany-Schenectady-Troy, NY Metro Area",2005,DemandResponse,24,1201536.0,8244.0,173381.0,156
"Albany-Schenectady-Troy, NY Metro Area",2005,Other,12,241440.0,5028.0,37051.0,78
"Albany-Schenectady-Troy, NY Metro Area",2006,Bus,24,961512.0,7440.0,13048119.0,156
"Albany-Schenectady-Troy, NY Metro Area",2006,DemandResponse,24,1201536.0,8244.0,161872.0,156
"Albany-Schenectady-Troy, NY Metro Area",2006,Other,12,241440.0,5028.0,0.0,78
"Albany-Schenectady-Troy, NY Metro Area",2007,Bus,24,961512.0,7440.0,13394378.0,156
"Albany-Schenectady-Troy, NY Metro Area",2007,DemandResponse,24,1201536.0,8244.0,189085.0,156
"Albany-Schenectady-Troy, NY Metro Area",2007,Other,12,241440.0,5028.0,0.0,78
"Albany-Schenectady-Troy, NY Metro Area",2008,Bus,24,961512.0,7440.0,15264603.0,156
"Albany-Schenectady-Troy, NY Metro Area",2008,DemandResponse,24,1201536.0,8244.0,216960.0,156
"Albany-Schenectady-Troy, NY Metro Area",2008,Other,12,241440.0,5028.0,0.0,78
"Albany-Schenectady-Troy, NY Metro Area",2009,Bus,24,961512.0,7440.0,14198140.0,156
"Albany-Schenectady-Troy, NY Metro Area",2009,DemandResponse,24,1201536.0,8244.0,225789.0,156
"Albany-Schenectady-Troy, NY Metro Area",2009,Other,12,241440.0,5028.0,0.0,78
"Albany-Schenectady-Troy, NY Metro Area",2010,Bus,24,961512.0,7440.0,13881547.0,156
"Albany-Schenectady-Troy, NY Metro Area",2010,DemandResponse,24,1201536.0,8244.0,252260.0,156
"Albany-Schenectady-Troy, NY Metro Area",2010,Other,12,241440.0,5028.0,0.0,78
"Albany-Schenectady-Troy, NY Metro Area",2011,Bus,24,961512.0,7440.0,14514831.0,156
"Albany-Schenectady-Troy, NY Metro Area",2011,DemandResponse,24,1201536.0,8244.0,278407.0,156
"Albany-Schenectady-Troy, NY Metro Area",2011,Other,12,241440.0,5028.0,0.0,78
"Albany-Schenectady-Troy, NY Metro Area",2012,Bus,24,961512.0,7440.0,15213240.0,156
"Albany-Schenectady-Troy, NY Metro Area",2012,DemandResponse,24,1201536.0,8244.0,285354.0,156
"Albany-Schenectady-Troy, NY Metro Area",2012,Other,12,241440.0,5028.0,0.0,78
"Albany-Schenectady-Troy, NY Metro Area",2013,Bus,24,961512.0,7440.0,16052777.0,156
"Albany-Schenectady-Troy, NY Metro Area",2013,DemandResponse,24,1201536.0,8244.0,306426.0,156
"Albany-Schenectady-Troy, NY Metro Area",2013,Other,12,241440.0,5028.0,0.0,78
"Albany-Schenectady-Troy, NY Metro Area",2014,Bus,24,961512.0,7440.0,16608585.0,156
"Albany-Schenectady-Troy, NY Metro Area",2014,DemandResponse,24,1201536.0,8244.0,299109.0,156
"Albany-Schenectady-Troy, NY Metro Area",2014,Other,12,241440.0,5028.0,0.0,78
"Albany-Schenectady-Troy, NY Metro Area",2015,Bus,24,961512.0,7440.0,16592640.0,156
"Albany-Schenectady-Troy, NY Metro Area",2015,DemandResponse,24,1201536.0,8244.0,305443.0,156
"Albany-Schenectady-Troy, NY Metro Area",2015,Other,12,241440.0,5028.0,0.0,78
"Albany-Schenectady-Troy, NY Metro Area",2016,Bus,24,961512.0,7440.0,16515295.0,156
"Albany-Schenectady-Troy, NY Metro Area",2016,DemandResponse,24,1201536.0,8244.0,326783.0,156
"Albany-Schenectady-Troy, NY Metro Area",2016,Other,12,241440.0,5028.0,0.0,78
"Albany-Schenectady-Troy, NY Metro Area",2017,Bus,24,961512.0,7440.0,16356553.0,156
"Albany-Schenectady-Troy, NY Metro Area",2017,DemandResponse,24,1201536.0,8244.0,321948.0,156
"Albany-Schenectady-Troy, NY Metro Area",2017,Other,12,241440.0,5028.0,0.0,78
"Albany-Schenectady-Troy, NY Metro Area",2018,Bus,24,961512.0,7440.0,15395053.0,156
"Albany-Schenectady-Troy, NY Metro Area",2018,DemandResponse,24,1201536.0,8244.0,340622.0,156
"Albany-Schenectady-Troy, NY Metro Area",2018,Other,12,241440.0,5028.0,0.0,78
"Albany-Schenectady-Troy, NY Metro Area",2019,Bus,6,240378.0,1860.0,3689553.0,12
"Albany-Schenectady-Troy, NY Metro Area",2019,DemandResponse,6,300384.0,2061.0,94680.0,12
"Albany-Schenectady-Troy, NY Metro Area",2019,Other,3,60360.0,1257.0,0.0,6
"Albuquerque, NM Metro Area",2002,Bus,22,3305093.0,3080.0,6532533.0,77
"Albuquerque, NM Metro Area",2002,DemandResponse,22,1982651.0,1848.0,164944.0,77
"Albuquerque, NM Metro Area",2002,Rail,22,661221.0,616.0,0.0,77
"Albuquerque, NM Metro Area",2003,Bus,24,3605556.0,3360.0,6620336.0,78
"Albuquerque, NM Metro Area",2003,DemandResponse,24,2162892.0,2016.0,180125.0,78
"Albuquerque, NM Metro Area",2003,Rail,24,721332.0,672.0,0.0,78
"Albuquerque, NM Metro Area",2004,Bus,24,3605556.0,3360.0,6604625.0,78
"Albuquerque, NM Metro Area",2004,DemandResponse,24,2162892.0,2016.0,170981.0,78
"Albuquerque, NM Metro Area",2004,Rail,24,721332.0,672.0,0.0,78
"Albuquerque, NM Metro Area",2005,Bus,24,3605556.0,3360.0,7758914.0,78
"Albuquerque, NM Metro Area",2005,DemandResponse,24,2162892.0,2016.0,174394.0,78
"Albuquerque, NM Metro Area",2005,Rail,24,721332.0,672.0,0.0,78
"Albuquerque, NM Metro Area",2006,Bus,24,3605556.0,3360.0,9072409.0,78
"Albuquerque, NM Metro Area",2006,DemandResponse,24,2162892.0,2016.0,188558.0,78
"Albuquerque, NM Metro Area",2006,Rail,24,721332.0,672.0,0.0,78
"Albuquerque, NM Metro Area",2007,Bus,24,3605556.0,3360.0,9791599.0,78
"Albuquerque, NM Metro Area",2007,DemandResponse,24,2162892.0,2016.0,193678.0,78
"Albuquerque, NM Metro Area",2007,Rail,24,721332.0,672.0,0.0,78
"Albuquerque, NM Metro Area",2008,Bus,24,3605556.0,3360.0,10942102.0,78
"Albuquerque, NM Metro Area",2008,DemandResponse,24,2162892.0,2016.0,195116.0,78
"Albuquerque, NM Metro Area",2008,Rail,24,721332.0,672.0,0.0,78
"Albuquerque, NM Metro Area",2009,Bus,24,3605556.0,3360.0,10639235.0,78
"Albuquerque, NM Metro Area",2009,DemandResponse,24,2162892.0,2016.0,200428.0,78
"Albuquerque, NM Metro Area",2009,Rail,24,721332.0,672.0,1351087.0,78
"Albuquerque, NM Metro Area",2010,Bus,24,3605556.0,3360.0,11527241.0,78
"Albuquerque, NM Metro Area",2010,DemandResponse,24,2162892.0,2016.0,238337.0,78
"Albuquerque, NM Metro Area",2010,Rail,24,721332.0,672.0,1165687.0,78
"Albuquerque, NM Metro Area",2011,Bus,24,3605556.0,3360.0,12375668.0,78
"Albuquerque, NM Metro Area",2011,DemandResponse,24,2162892.0,2016.0,253217.0,78
"Albuquerque, NM Metro Area",2011,Rail,24,721332.0,672.0,1242174.0,78
"Albuquerque, NM Metro Area",2012,Bus,24,3605556.0,3360.0,13029416.0,78
"Albuquerque, NM Metro Area",2012,DemandResponse,24,2162892.0,2016.0,283731.0,78
"Albuquerque, NM Metro Area",2012,Rail,24,721332.0,672.0,1129303.0,78
"Albuquerque, NM Metro Area",2013,Bus,24,3605556.0,3360.0,13037741.0,78
"Albuquerque, NM Metro Area",2013,DemandResponse,24,2162892.0,2016.0,327932.0,78
"Albuquerque, NM Metro Area",2013,Rail,24,721332.0,672.0,1082588.0,78
"Albuquerque, NM Metro Area",2014,Bus,24,3605556.0,3360.0,12960527.0,78
"Albuquerque, NM Metro Area",2014,DemandResponse,24,2162892.0,2016.0,340093.0,78
"Albuquerque, NM Metro Area",2014,Rail,24,721332.0,672.0,1063217.0,78
"Albuquerque, NM Metro Area",2015,Bus,24,3605556.0,3360.0,11866102.0,78
"Albuquerque, NM Metro Area",2015,DemandResponse,24,2162892.0,2016.0,335404.0,78
"Albuquerque, NM Metro Area",2015,Rail,24,721332.0,672.0,931324.0,78
"Albuquerque, NM Metro Area",2016,Bus,24,3605556.0,3360.0,10968033.0,78
"Albuquerque, NM Metro Area",2016,DemandResponse,24,2162892.0,2016.0,346403.0,78
"Albuquerque, NM Metro Area",2016,Rail,24,721332.0,672.0,851409.0,78
"Albuquerque, NM Metro Area",2017,Bus,24,3605556.0,3360.0,9744600.0,78
"Albuquerque, NM Metro Area",2017,DemandResponse,24,2162892.0,2016.0,342957.0,78
"Albuquerque, NM Metro Area",2017,Rail,24,721332.0,672.0,811421.0,78
"Albuquerque, NM Metro Area",2018,Bus,24,3605556.0,3360.0,9638741.0,78
"Albuquerque, NM Metro Area",2018,DemandResponse,24,2162892.0,2016.0,335477.0,78
"Albuquerque, NM Metro Area",2018,Rail,24,721332.0,672.0,771602.0,78
"Albuquerque, NM Metro Area",2019,Bus,6,901389.0,840.0,2187659.0,6
"Albuquerque, NM Metro Area",2019,DemandResponse,6,540723.0,504.0,83996.0,6
"Albuquerque, NM Metro Area",2019,Rail,6,180333.0,168.0,180988.0,6
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2002,Bus,33,16934984.0,7315.0,1217948370.0,231
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2002,DemandResponse,33,6083748.0,11308.0,3178152.0,231
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2002,Other,11,1580117.0,77.0,21784502.0,77
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2002,Rail,11,1987733.0,99.0,1868504631.0,77
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2003,Bus,36,18474528.0,7980.0,1289863135.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2003,DemandResponse,36,6636816.0,12336.0,4288209.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2003,Other,12,1723764.0,84.0,24101451.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2003,Rail,12,2168436.0,108.0,2005667165.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2004,Bus,36,18474528.0,7980.0,1297836526.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2004,DemandResponse,36,6636816.0,12336.0,5068832.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2004,Other,12,1723764.0,84.0,23390619.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2004,Rail,12,2168436.0,108.0,2121305237.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2005,Bus,36,18474528.0,7980.0,1358169599.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2005,DemandResponse,36,6636816.0,12336.0,6085666.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2005,Other,12,1723764.0,84.0,21918786.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2005,Rail,12,2168436.0,108.0,2514504586.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2006,Bus,36,18474528.0,7980.0,1315013620.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2006,DemandResponse,36,6636816.0,12336.0,6259462.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2006,Other,12,1723764.0,84.0,21528958.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2006,Rail,12,2168436.0,108.0,2611220314.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2007,Bus,36,18474528.0,7980.0,1264503709.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2007,DemandResponse,36,6636816.0,12336.0,8115213.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2007,Other,12,1723764.0,84.0,21527487.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2007,Rail,12,2168436.0,108.0,2759027239.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2008,Bus,36,18474528.0,7980.0,1287772680.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2008,DemandResponse,36,6636816.0,12336.0,8715861.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2008,Other,12,1723764.0,84.0,28814569.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2008,Rail,12,2168436.0,108.0,2826857125.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2009,Bus,36,18474528.0,7980.0,1254103333.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2009,DemandResponse,36,6636816.0,12336.0,10494431.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2009,Other,12,1723764.0,84.0,28085065.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2009,Rail,12,2168436.0,108.0,2725172400.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2010,Bus,36,18474528.0,7980.0,1231085502.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2010,DemandResponse,36,6636816.0,12336.0,9466721.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2010,Other,12,1723764.0,84.0,27954691.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2010,Rail,12,2168436.0,108.0,2820962850.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2011,Bus,36,18474528.0,7980.0,1198820010.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2011,DemandResponse,36,6636816.0,12336.0,8884156.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2011,Other,12,1723764.0,84.0,28908063.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2011,Rail,12,2168436.0,108.0,2883841588.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2012,Bus,36,18474528.0,7980.0,1206953276.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2012,DemandResponse,36,6636816.0,12336.0,8715470.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2012,Other,12,1723764.0,84.0,32481604.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2012,Rail,12,2168436.0,108.0,2935194264.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2013,Bus,36,18474528.0,7980.0,1211425113.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2013,DemandResponse,36,6636816.0,12336.0,11002059.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2013,Other,12,1723764.0,84.0,30404391.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2013,Rail,12,2168436.0,108.0,3034642987.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2014,Bus,36,18474528.0,7980.0,1201411617.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2014,DemandResponse,36,6636816.0,12336.0,11235987.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2014,Other,12,1723764.0,84.0,32474410.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2014,Rail,12,2168436.0,108.0,3143611971.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2015,Bus,36,18474528.0,7980.0,1169002004.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2015,DemandResponse,36,6636816.0,12336.0,11588876.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2015,Other,12,1723764.0,84.0,33738142.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2015,Rail,12,2168436.0,108.0,3056061653.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2016,Bus,36,18474528.0,7980.0,1170491879.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2016,DemandResponse,36,6636816.0,12336.0,11321462.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2016,Other,12,1723764.0,84.0,35058188.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2016,Rail,12,2168436.0,108.0,3078576569.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2017,Bus,36,18474528.0,7980.0,1108338797.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2017,DemandResponse,36,6636816.0,12336.0,10768354.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2017,Other,12,1723764.0,84.0,38146846.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2017,Rail,12,2168436.0,108.0,3099677394.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2018,Bus,36,18474528.0,7980.0,1115343115.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2018,DemandResponse,36,6636816.0,12336.0,9927157.0,234
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2018,Other,12,1723764.0,84.0,40482281.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2018,Rail,12,2168436.0,108.0,3034699758.0,78
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2019,Bus,9,4618632.0,1995.0,268260277.0,18
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2019,DemandResponse,9,1659204.0,3084.0,2329757.0,18
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2019,Other,3,430941.0,21.0,8905564.0,6
"Allentown-Bethlehem-Easton, PA-NJ Metro Area",2019,Rail,3,542109.0,27.0,712416142.0,6
"Altoona, PA Metro Area",2002,Bus,11,660242.0,7898.0,433336.0,77
"Altoona, PA Metro Area",2002,DemandResponse,11,660242.0,7898.0,609.0,77
"Altoona, PA Metro Area",2003,Bus,12,720264.0,8616.0,692488.0,78
"Altoona, PA Metro Area",2003,DemandResponse,12,720264.0,8616.0,8189.0,78
"Altoona, PA Metro Area",2004,Bus,12,720264.0,8616.0,661909.0,78
"Altoona, PA Metro Area",2004,DemandResponse,12,720264.0,8616.0,8166.0,78
"Altoona, PA Metro Area",2005,Bus,12,720264.0,8616.0,663431.0,78
"Altoona, PA Metro Area",2005,DemandResponse,12,720264.0,8616.0,9079.0,78
"Altoona, PA Metro Area",2006,Bus,12,720264.0,8616.0,695030.0,78
"Altoona, PA Metro Area",2006,DemandResponse,12,720264.0,8616.0,9848.0,78
"Altoona, PA Metro Area",2007,Bus,12,720264.0,8616.0,607695.0,78
"Altoona, PA Metro Area",2007,DemandResponse,12,720264.0,8616.0,10983.0,78
"Altoona, PA Metro Area",2008,Bus,12,720264.0,8616.0,586804.0,78
"Altoona, PA Metro Area",2008,DemandResponse,12,720264.0,8616.0,12399.0,78
"Altoona, PA Metro Area",2009,Bus,12,720264.0,8616.0,593547.0,78
"Altoona, PA Metro Area",2009,DemandResponse,12,720264.0,8616.0,11861.0,78
"Altoona, PA Metro Area",2010,Bus,12,720264.0,8616.0,712712.0,78
"Altoona, PA Metro Area",2010,DemandResponse,12,720264.0,8616.0,12107.0,78
"Altoona, PA Metro Area",2011,Bus,12,720264.0,8616.0,689116.0,78
"Altoona, PA Metro Area",2011,DemandResponse,12,720264.0,8616.0,11974.0,78
"Altoona, PA Metro Area",2012,Bus,12,720264.0,8616.0,687954.0,78
"Altoona, PA Metro Area",2012,DemandResponse,12,720264.0,8616.0,12417.0,78
"Altoona, PA Metro Area",2013,Bus,12,720264.0,8616.0,659876.0,78
"Altoona, PA Metro Area",2013,DemandResponse,12,720264.0,8616.0,12444.0,78
