UZA Name,UZA,RailBus,NTD_ID,NTD_5_Digit,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Aberdeen-Bel Air South-Bel Air North, MD",169,Bus,33148,60148,114842.0,130156.0,138171.0,150133.0,184686.0,191340.0,196460.0,197662.0,186192.0,199971.0,225977.0,243076.0,217294.0,244500.0,234177.0,221995.0
"Aberdeen-Bel Air South-Bel Air North, MD",169,DemandResponse,33148,60148,40948.0,44036.0,45456.0,43964.0,49186.0,58143.0,52809.0,50503.0,40897.0,55929.0,67304.0,65182.0,75007.0,62384.0,69744.0,76400.0
"Abilene, TX",282,Bus,66080,120080,162609.0,173563.0,185046.0,213965.0,201795.0,217336.0,254879.0,248600.0,295374.0,375006.0,368226.0,390511.0,408104.0,294009.0,166398.0,191017.0
"Abilene, TX",282,DemandResponse,66080,120080,350322.0,319947.0,398825.0,201802.0,93789.0,98383.0,109095.0,101458.0,50000.0,426089.0,296153.0,323930.0,363579.0,108234.0,234140.0,233051.0
"Akron, OH",71,Bus,165082,300082,660887.0,2568502.0,2524882.0,3022880.0,3163036.0,3445013.0,3602006.0,3387490.0,3597828.0,3802014.0,6462990.0,6704933.0,6894955.0,6280588.0,5877868.0,5939656.0
"Akron, OH",71,DemandResponse,120082,300082,2903563.0,936899.0,735790.0,715048.0,538410.0,496131.0,564614.0,675282.0,726251.0,731863.0,830578.0,1308485.0,976095.0,1003679.0,1015560.0,887477.0
"Albany, GA",309,Bus,44042,80042,303082.0,287297.0,346703.0,344119.0,366673.0,377696.0,373954.0,431925.0,420551.0,471112.0,523278.0,525669.0,535879.0,542312.0,488610.0,466615.0
"Albany, GA",309,DemandResponse,44042,80042,41952.0,44789.0,43372.0,33568.0,30922.0,38589.0,35037.0,40983.0,36663.0,32731.0,22636.0,34021.0,41248.0,39173.0,33843.0,26419.0
"Albany-Schenectady, NY",67,Bus,46010,100010,9323334.0,8782740.0,9215554.0,9434072.0,9359450.0,10167637.0,10896882.0,12685805.0,14913757.0,14177425.0,14987224.0,15785176.0,15500819.0,16093361.0,17855542.0,18354163.0
"Albany-Schenectady, NY",67,DemandResponse,68014,140014,0.0,0.0,0.0,0.0,39348.0,116034.0,506892.0,441827.0,500915.0,827929.0,989244.0,1063708.0,1159839.0,1301426.0,662018.0,680468.0
