,5 digit NTD ID,4 digit NTD ID,Agency,UZA,UZA Name,RailBus,YEAR,UPT,VRM,FARE,min_year,max_year,NEW_REPORTER_FLAG,NOTE
0,1,1,King County Department of Transportation - Metro Transit Division,14,"Seattle, WA",Bus,2002,93691121,36419574,75007853.0,2002,2018,0,"[nan, nan]"
1,1,1,King County Department of Transportation - Metro Transit Division,14,"Seattle, WA",Bus,2003,93722854,38349542,69877633.0,2002,2018,0,"[nan, nan]"
2,1,1,King County Department of Transportation - Metro Transit Division,14,"Seattle, WA",Bus,2004,96566817,39130698,73596602.0,2002,2018,0,"[nan, nan]"
3,1,1,King County Department of Transportation - Metro Transit Division,14,"Seattle, WA",Bus,2005,94857601,41208294,75144137.0,2002,2018,0,"[nan, nan]"
4,1,1,King County Department of Transportation - Metro Transit Division,14,"Seattle, WA",Bus,2006,102673244,33947617,76779268.0,2002,2018,0,"[nan, nan]"
5,1,1,King County Department of Transportation - Metro Transit Division,14,"Seattle, WA",Bus,2007,109511340,34006126,79692425.0,2002,2018,0,"[nan, nan]"
6,1,1,King County Department of Transportation - Metro Transit Division,14,"Seattle, WA",Bus,2008,118078974,35651303,112668444.0,2002,2018,1,"[nan, nan, nan]"
7,1,1,King County Department of Transportation - Metro Transit Division,14,"Seattle, WA",Bus,2009,111180966,35410666,123068565.0,2002,2018,1,"[nan, nan, nan]"
8,1,1,King County Department of Transportation - Metro Transit Division,14,"Seattle, WA",Bus,2010,109008891,35195623,130826400.0,2002,2018,1,"[nan, nan, nan]"
9,1,1,King County Department of Transportation - Metro Transit Division,14,"Seattle, WA",Bus,2011,111996256,35865736,125208376.0,2002,2018,1,"[nan, nan, nan]"
10,1,1,King County Department of Transportation - Metro Transit Division,14,"Seattle, WA",Bus,2012,114562685,36109005,141272025.0,2002,2018,1,"[nan, nan, nan]"
11,1,1,King County Department of Transportation - Metro Transit Division,14,"Seattle, WA",Bus,2013,117717562,35974656,145979558.0,2002,2018,1,"[nan, nan, nan]"
12,1,1,King County Department of Transportation - Metro Transit Division,14,"Seattle, WA",Bus,2014,120108963,35483924,156106652.0,2002,2018,1,"[nan, nan, nan]"
