MSA_NAME_CLUSTERS,CBSA_NAME,CBSA_ID,cbsa_name,State,Month,Year,Link
Medford,"Medford, OR",32780,"Medford, OR",OR,Dec,2017,http://mailtribune.com/news/top-stories/uber-lyft-will-start-dec-1-in-medford
Memphis,"Memphis, TN-MS-AR",32820,"Memphis, TN-MS-AR",TN-MS-AR,Apr,2014,https://www.memphisdailynews.com/news/2014/apr/25/ride-sharing-service-lyft-launches-in-memphis/
Merced,"Merced, CA",32900,"Merced, CA",CA,,,
Miami-Fort Lauderdale-West Palm Beach,"Miami-Fort Lauderdale-West Palm Beach, FL",33100,"Miami-Fort Lauderdale-Pompano Beach, FL",FL,Jun,2014,http://www.miaminewtimes.com/news/uberx-will-launch-in-miami-today-defying-miami-dades-taxi-laws-6533024
Milwaukee-Waukesha-West Allis,"Milwaukee-Waukesha-West Allis, WI",33340,"Milwaukee-Waukesha-West Allis, WI",WI,Feb,2014,https://newsroom.uber.com/milwaukee/uber-rolls-into-brew-city-with-rider-zero-brandon-knight/
Minneapolis-St. Paul-Bloomington,"Minneapolis-St. Paul-Bloomington, MN-WI",33460,"Minneapolis-St. Paul-Bloomington, MN-WI",MN-WI,Oct,2012,https://thenextweb.com/insider/2012/10/25/uber-minnesota-twin-cities/
Missoula,"Missoula, MT",33540,"Missoula, MT",MT,Aug,2016,https://missoulian.com/news/local/uber-coming-to-missoula-aug/article_d1d20338-6eba-5340-a547-496972f85db4.html
Mobile,"Mobile, AL",33660,"Mobile, AL",AL,Jun,2015,https://newsroom.uber.com/al/algulfcoast/
Modesto,"Modesto, CA",33700,"Modesto, CA",CA,Apr,2014,https://newsroom.uber.com/sf/modesto-were-moving-in/
Montgomery,"Montgomery, AL",33860,"Montgomery, AL",AL,February ,2016,https://www.al.com/news/montgomery/2016/01/montgomery_approves_uber_could.html
Mount Vernon-Anacortes,"Mount Vernon-Anacortes, WA",34580,"Mount Vernon-Anacortes, WA",WA,,,
Muncie,"Muncie, IN",34620,"Muncie, IN",IN,Mar,2015,https://www.thestarpress.com/story/news/local/2015/03/26/global-rideshare-app-uber-launching-muncie/70500334/
Napa,"Napa, CA",34900,"Napa, CA",CA,May ,2014,https://www.pressdemocrat.com/business/4697304-181/uber-targets-tourists-in-wine
Naples-Immokalee-Marco Island,"Naples-Immokalee-Marco Island, FL",34940,"Naples-Marco Island, FL",FL,December,2014,
Nashville-Davidson--Murfreesboro--Franklin,"Nashville-Davidson--Murfreesboro--Franklin, TN",34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",TN,Dec,2013,https://twitter.com/uber/status/410868842273849344
New Haven-Milford,"New Haven-Milford, CT",35300,"New Haven-Milford, CT",CT,April ,2014,
New Orleans-Metairie,"New Orleans-Metairie, LA",35380,"New Orleans-Metairie-Kenner, LA",LA,Apr,2015,https://newsroom.uber.com/louisiana/uberx-and-uberxl-launch-in-new-orleans/
Niles-Benton Harbor,"Niles-Benton Harbor, MI",35660,"Niles-Benton Harbor, MI",MI,June,2017,https://www.heraldpalladium.com/news/local/a-year-later-with-uber/article_36eff7fb-08bc-5d46-be25-d537168a3354.html
North Port-Sarasota-Bradenton,"North Port-Sarasota-Bradenton, FL",35840,"North Port-Bradenton-Sarasota, FL",FL,Dec,2014,https://newsroom.uber.com/florida/uber-florida-is-expanding-across-the-sunshine-state-3/
Ocala,"Ocala, FL",36100,"Ocala, FL",FL,Dec,2014,https://newsroom.uber.com/florida/uber-florida-is-expanding-across-the-sunshine-state-3/
Oklahoma City,"Oklahoma City, OK",36420,"Oklahoma City, OK",OK,Oct,2013,http://www.reddirtreport.com/rustys-free-time/uber-officially-arrives-oklahoma-city
Olympia-Tumwater,"Olympia-Tumwater, WA",36500,"Olympia, WA",WA,Jul,2016,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&cad=rja&uact=8&ved=2ahUKEwjc28WH28zkAhUHRK0KHQg2CkIQFjACegQIAxAB&url=https%3A%2F%2Fwww.uber.com%2Fblog%2Fseattle%2Fuber-arrives-in-thurston-county%2F&usg=AOvVaw3_MOc_7TSlaq_2Uitc6wmt
Omaha-Council Bluffs,"Omaha-Council Bluffs, IA",36540,"Omaha-Council Bluffs, NE-IA",IA,May,2014,https://newsroom.uber.com/omaha/omaha-your-uber-has-arrived/
Orlando-Kissimmee-Sanford,"Orlando-Kissimmee-Sanford, FL",36740,"Orlando-Kissimmee-Sanford, FL",FL,Jun,2014,https://newsroom.uber.com/florida/orlando-your-uber-is-arriving-now/
Oshkosh-Neenah,"Oshkosh-Neenah, WI",36780,"Oshkosh-Neenah, WI",WI,Nov,2015,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&cad=rja&uact=8&ved=2ahUKEwjR7uu728zkAhVPiqwKHcr3A18QFjACegQICxAH&url=https%3A%2F%2Fwww.thenorthwestern.com%2Fstory%2Fmoney%2F2015%2F12%2F18%2Fuber-enters-oshkosh-fdl-while-taxis-watch%2F77579688%2F&usg=AOvVaw1PAfBSYVfIa44DAJFsq7Y5
Oxnard-Thousand Oaks-Ventura,"Oxnard-Thousand Oaks-Ventura, CA",37100,"Oxnard-Thousand Oaks-Ventura, CA",CA,Jul,2014,https://newsroom.uber.com/central-coast/san-luis-obispo-and-ventura-county-your-uber-has-arrived-2/
Palm Bay-Melbourne-Titusville,"Palm Bay-Melbourne-Titusville, FL",37340,"Palm Bay-Melbourne-Titusville, FL",FL,Dec,2014,https://www.floridatoday.com/story/money/business/2014/12/11/uber-car-service-arrives-brevard-amidst-controversy/20267879/
Panama City,"Panama City, FL",37460,"Panama City-Lynn Haven-Panama City Beach, FL",FL,Mar,2017,https://www.wjhg.com/content/news/Uber-launching-in-Bay-County-on-Friday-415830343.html
Pensacola-Ferry Pass-Brent,"Pensacola-Ferry Pass-Brent, FL",37860,"Pensacola-Ferry Pass-Brent, FL",FL,Dec,2014,https://newsroom.uber.com/florida/uber-florida-is-expanding-across-the-sunshine-state-3/
Peoria,"Peoria, IL",37900,"Peoria, IL",IL,Nov,2015,https://www.pjstar.com/article/20151124/news/151129745
Philadelphia-Camden-Wilmington,"Philadelphia-Camden-Wilmington, DE-PA-MD",37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",DE-PA-MD,Jun,2012,http://techcrunch.com/2012/06/06/after-a-month-of-stealthy-testing-uber-officially-launches-in-philadelphia/
Phoenix-Mesa-Scottsdale,"Phoenix-Mesa-Scottsdale, AZ",38060,"Phoenix-Mesa-Glendale, AZ",AZ,Nov,2012,http://aztechbeat.com/2012/11/uber-launches-its-on-demand-driving-service-publicly-in-phoenix/
Pittsburgh,"Pittsburgh, PA",38300,"Pittsburgh, PA",PA,Mar,2014,https://newsroom.uber.com/us-pennsylvania/uber-officially-launches-in-pittsburgh/
Pittsfield,"Pittsfield, MA",38340,"Pittsfield, MA",MA,May,2017,https://www.uber.com/blog/boston/uber-in-the-berkshires/
Port St. Lucie,"Port St. Lucie, FL",38940,"Port St. Lucie, FL",FL,,,
Portland-South Portland,"Portland-South Portland, ME",38860,"Portland-South Portland-Biddeford, ME",ME,Oct,2014,https://newsroom.uber.com/maine/portland-your-uber-is-arriving-now/
Portland-Vancouver-Hillsboro,"Portland-Vancouver-Hillsboro, OR-WA",38900,"Portland-Vancouver-Hillsboro, OR-WA",OR-WA,Jul,2014,https://newsroom.uber.com/vancouver-wa/vancouver-washington-we-have-arrived/
Providence-Warwick,"Providence-Warwick, RI-MA",39300,"Providence-New Bedford-Fall River, RI-MA",RI-MA,May,2017,https://www.uber.com/blog/new-england/providence-greenlight-hub-now-open/
Pueblo,"Pueblo, CO",39380,"Pueblo, CO",CO,,,
Racine,"Racine, WI",39540,"Racine, WI",WI,May,2015,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&cad=rja&uact=8&ved=2ahUKEwi9nM7S28zkAhUE26wKHXmSDfEQFjACegQIDBAH&url=https%3A%2F%2Fjournaltimes.com%2Fnews%2Flocal%2Fuber-to-launch-in-racine%2Farticle_b70a0779-d70e-5407-ac25-05fc9ed4e15a.html&usg=AOvVaw3bZuBGqZu2yc_vOBd3ov1U
Raleigh,"Raleigh, NC",39580,"Raleigh-Cary, NC",NC,May,2014,https://blog.lyft.com/posts/2014/4/23/lyft-launches-24-cities-in-24-hours-on-the-24th
Reading,"Reading, PA",39740,"Reading, PA",PA,Mar,2015,https://newsroom.uber.com/us-pennsylvania/lancaster-york-and-reading-your-uber-has-arrived/
Redding,"Redding, CA",39820,"Redding, CA",CA,February,2016,https://www.techwire.net/news/uber-service-arrives-in-redding.html
Reno,"Reno, NV",39900,"Reno-Sparks, NV",NV,Oct,2014,https://newsroom.uber.com/reno/uber-launches-in-the-biggest-little-city/
Richmond,"Richmond, VA",40060,"Richmond, VA",VA,Aug,2014,http://www.richmond.com/business/local/article_fdb57abd-13e5-5070-864d-0e67e522b527.html
Riverside-San Bernardino-Ontario,"Riverside-San Bernardino-Ontario, CA",40140,"Riverside-San Bernardino-Ontario, CA",CA,May,2014,
Roanoke,"Roanoke, VA",40220,"Roanoke, VA",VA,Aug,2014,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=2ahUKEwi19vCM2czkAhUFjq0KHe_UCkcQFjAAegQIBRAB&url=https%3A%2F%2Fwww.roanoke.com%2Fnews%2Flocal%2Fuber-launches-ride-sharing-service-in-roanoke-blacksburg%2Farticle_55a6cafb-2c15-5b78-bf4e-438d6531a18b.html&usg=AOvVaw23cha40l1QJMTa3Bemar8C
Rochester,"Rochester, MN",40340,"Rochester, MN",MN,Mar,2017,https://www.uber.com/blog/minneapolis/uber-launches-rochester-st-cloud-mankato/
Rochester,"Rochester, NY",40380,"Rochester, NY",NY,May,2014,https://blog.lyft.com/posts/2014/4/23/lyft-launches-24-cities-in-24-hours-on-the-24th
Rockford,"Rockford, IL",40420,"Rockford, IL",IL,Feb,2015,http://www.wifr.com/home/headlines/Ride-Sharing-Program-Uber-Launches-in-Rockford-292033211.html
Rome,"Rome, GA",40660,"Rome, GA",GA,,,
Sacramento--Roseville--Arden-Arcade,"Sacramento--Roseville--Arden-Arcade, CA",40900,"Sacramento--Arden-Arcade--Roseville, CA",CA,Feb,2013,https://newsroom.uber.com/sacramento/uber-and-sacramento-a-romance-for-the-ages/
Saginaw,"Saginaw, MI",40980,"Saginaw-Saginaw Township North, MI",MI,Mar,2017,https://www.mlive.com/news/saginaw/2017/03/uber_now_serving_saginaw_bay_c.html
Salem,"Salem, OR",41420,"Salem, OR",OR,Jun,2017,https://www.oregonlive.com/commuting/2017/06/uber_to_launch_service_in_sale.html
Salinas,"Salinas, CA",41500,"Salinas, CA",CA,February ,2014,http://www.montereycountyweekly.com/news/local_news/popular-ride-share-company-uber-hits-monterey-county/article_937233da-9431-11e3-afe0-001a4bcf6878.html
Salt Lake City,"Salt Lake City, UT",41620,"Salt Lake City, UT",UT,May,2014,https://newsroom.uber.com/us-utah/slc-your-uber-has-arrived-and-its-free/
San Angelo,"San Angelo, TX",41660,"San Angelo, TX",TX,Aug,2017,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=10&cad=rja&uact=8&ved=2ahUKEwiLj5_FzczkAhULS60KHZmtDXYQFjAJegQIAhAB&url=https%3A%2F%2Fwww.myfoxzone.com%2Farticle%2Fnews%2Fuber-is-officially-coming-to-san-angelo%2F462041588&usg=AOvVaw24bGJGmpV_8Tp9MIhWli5-
San Antonio-New Braunfels,"San Antonio-New Braunfels, TX",41700,"San Antonio-New Braunfels, TX",TX,Mar,2014,https://newsroom.uber.com/us-texas/saddle-up-san-antonio-your-uberx-has-arrived/
San Diego-Carlsbad,"San Diego-Carlsbad, CA",41740,"San Diego-Carlsbad-San Marcos, CA",CA,Jun,2012,http://techcrunch.com/2012/06/08/uber-san-diego-launch/
San Francisco-Oakland-Hayward,"San Francisco-Oakland-Hayward, CA",41860,"San Francisco-Oakland-Fremont, CA",CA,May,2010,https://newsroom.uber.com/ubers-founding/
San Jose-Sunnyvale-Santa Clara,"San Jose-Sunnyvale-Santa Clara, CA",41940,"San Jose-Sunnyvale-Santa Clara, CA",CA,,,
San Luis Obispo-Paso Robles-Arroyo Grande,"San Luis Obispo-Paso Robles-Arroyo Grande, CA",42020,"San Luis Obispo-Paso Robles, CA",CA,Jul,2014,http://www.keyt.com/news/uber-now-in-san-luis-obispo/27014206
Santa Cruz-Watsonville,"Santa Cruz-Watsonville, CA",42100,"Santa Cruz-Watsonville, CA",CA,April,2014,http://www.santacruztechbeat.com/2014/04/09/uber-announces-santa-cruz-launch-techraising-partnership/
Santa Fe,"Santa Fe, NM",42140,"Santa Fe, NM",NM,Nov,2014,http://www.abqjournal.com/498586/biz/uber-ride-sharing-coming-to-santa-fe.html
Santa Maria-Santa Barbara,"Santa Maria-Santa Barbara, CA",42060,"Santa Barbara-Santa Maria-Goleta, CA",CA,Oct,2013,https://newsroom.uber.com/central-coast/uber-has-offically-launched-in-santa-barbara/
Santa Rosa,"Santa Rosa, CA",42220,"Santa Rosa-Petaluma, CA",CA,May,2014,https://www.northbaybusinessjournal.com/industrynews/4185096-181/uber-transit-startup-expands-into
Savannah,"Savannah, GA",42340,"Savannah, GA",GA,May,2015,https://www.bizjournals.com/atlanta/morning_call/2015/06/uber-launch-in-savannah-angers-city-taxi-owners.html
Scranton--Wilkes-Barre--Hazleton,"Scranton--Wilkes-Barre--Hazleton, PA",42540,"Scranton--Wilkes-Barre, PA",PA,Feb,2015,https://wnep.com/2015/02/08/uber-arrives-in-scranton-wilkes-barre/
Seattle-Tacoma-Bellevue,"Seattle-Tacoma-Bellevue, WA",42660,"Seattle-Tacoma-Bellevue, WA",WA,Aug,2011,https://newsroom.uber.com/us-washington/2011/08/12/you-are-now-free-to-move-about-seattle/
Sebastian-Vero Beach,"Sebastian-Vero Beach, FL",42680,"Sebastian-Vero Beach, FL",FL,,,
Sheboygan,"Sheboygan, WI",43100,"Sheboygan, WI",WI,May,2016,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&cad=rja&uact=8&ved=2ahUKEwiwnZf128zkAhVJcq0KHWRCBfEQFjABegQIAxAB&url=https%3A%2F%2Fwww.sheboyganpress.com%2Fstory%2Fnews%2F2016%2F05%2F06%2Fuber-comes-sheboygan-sort%2F84023130%2F&usg=AOvVaw0gZ90j1dcHnK5bz8GBkJbM
Shreveport-Bossier City,"Shreveport-Bossier City, LA",43340,"Shreveport-Bossier City, LA",LA,Feb,2018,https://www.shreveporttimes.com/story/news/2018/02/14/uber-launch-thursday-shreveport/337493002/
Sioux City,"Sioux City, SD",43580,"Sioux City, IA-NE-SD",SD,May,2017,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=2&cad=rja&uact=8&ved=2ahUKEwjwlv6DzczkAhVSiqwKHXxKBUEQFjABegQIABAB&url=https%3A%2F%2Fsiouxcityjournal.com%2Fnews%2Flocal%2Fuber-starts-cruises-friday-in-sioux-city%2Farticle_137419d4-d154-523f-a784-338afa3b2763.html&usg=AOvVaw2t-NTBiKJuw5Y3wRWVUNuP
Sioux Falls,"Sioux Falls, SD",43620,"Sioux Falls, SD",SD,May,2019,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=2ahUKEwjwlv6DzczkAhVSiqwKHXxKBUEQFjAAegQIAxAB&url=https%3A%2F%2Fwww.kotatv.com%2Fcontent%2Fnews%2FUber-arrives-in-South-Dakota-starting-with-Sioux-Falls-509914161.html&usg=AOvVaw1MVuLo4TIyN09KgDR2ArYK
Somerset,"Somerset, PA",43740,"Somerset, PA",PA,Aug,2016,https://www.dailyamerican.com/ourtownjohnstown/uber-expansion-means-new-service-for-cambria-somerset-residents/article_385256d4-5e68-11e6-9947-7b3a4020a1e1.html
South Bend-Mishawaka,"South Bend-Mishawaka, IN-MI",43780,"South Bend-Mishawaka, IN-MI",IN-MI,Aug,2015,https://drive.uber.com/in/cities/south-bend/
Spokane-Spokane Valley,"Spokane-Spokane Valley, WA",44060,"Spokane, WA",WA,May,2014,https://newsroom.uber.com/us-washington/2014/05/08/spokane-your-uberx-is-arriving-now-and-its-free/
Springfield,"Springfield, IL",44100,"Springfield, IL",IL,Jan,2015,https://newsroom.uber.com/illinois/springfield-you-uber-is-arriving-now/
Springfield,"Springfield, MA",44140,"Springfield, MA",MA,,,
Springfield,"Springfield, MO",44180,"Springfield, MO",MO,,,
St. Cloud,"St. Cloud, MN",41060,"St. Cloud, MN",MN,Feb,2017,https://www.sctimes.com/story/news/local/2017/02/25/lyft-finally-comes-st-cloud/98364990/
St. Louis,"St. Louis, MO-IL",41180,"St. Louis, MO-IL",MO-IL,May,2017,https://fox2now.com/2015/09/21/uber-x-starts-operations-in-st-louis-area/
State College,"State College, PA",44300,"State College, PA",PA,Feb,2015,https://newsroom.uber.com/us-pennsylvania/state-college-your-uber-is-arriving-now/
Stockton-Lodi,"Stockton-Lodi, CA",44700,"Stockton, CA",CA,May,2014,https://www.recordnet.com/article/20140502/a_biz/405020308
Sumter,"Sumter, SC",44940,"Sumter, SC",SC,Jun,2014,"http://www.theitem.com/stories/uber-ride-service-begins-in-south-carolina,226988"
Syracuse,"Syracuse, NY",45060,"Syracuse, NY",NY,June,2017,https://www.syracuse.com/news/2017/06/fares_for_uber_and_lyft_differ_but_appear_to_be_cheaper_than_syracuse_taxis.html
Tallahassee,"Tallahassee, FL",45220,"Tallahassee, FL",FL,Aug,2014,http://www.tallahassee.com/story/news/money/2014/08/28/uber-technologies-brings-ride-service-to-tallahassee/14764623/
Tampa-St. Petersburg-Clearwater,"Tampa-St. Petersburg-Clearwater, FL",45300,"Tampa-St. Petersburg-Clearwater, FL",FL,,2014,https://www.theledger.com/news/20141204/smartphone-app-uber-car-service-launches-in-the-lakeland-area/1
Terre Haute,"Terre Haute, IN",45460,"Terre Haute, IN",IN,Mar,2017,https://www.tribstar.com/news/local_news/uber-comes-to-terre-haute/article_7de3bc67-400b-5d14-afb8-0429ba8eca77.html
Toledo,"Toledo, OH",45780,"Toledo, OH",OH,Jun,2014,https://newsroom.uber.com/us-ohio/uber-toledo-launches-with-free-rides-for-2-weeks-2/
Topeka,"Topeka, KS",45820,"Topeka, KS",KS,Apr,2015,http://www2.ljworld.com/news/2015/apr/23/uber-expands-service-lawrence-other-kansas-cities/
Torrington,"Torrington, CT",45860,"Torrington, CT",CT,,,
Tucson,"Tucson, AZ",46060,"Tucson, AZ",AZ,Oct,2013,https://www.facebook.com/events/592842194106758
Tulsa,"Tulsa, OK",46140,"Tulsa, OK",OK,Mar,2014,https://newsroom.uber.com/us-oklahoma/tulsa-were-bringing-uber-to-you/
Urban Honolulu,"Urban Honolulu, HI",,,HI,,,
Vallejo-Fairfield,"Vallejo-Fairfield, CA",46700,"Vallejo-Fairfield, CA",CA,,,
Virginia Beach-Norfolk-Newport News,"Virginia Beach-Norfolk-Newport News, NC",47260,"Virginia Beach-Norfolk-Newport News, VA-NC",NC,May,2014,https://blog.lyft.com/posts/2014/4/23/lyft-launches-24-cities-in-24-hours-on-the-24th
Waco,"Waco, TX",47380,"Waco, TX",TX,Aug,2014,https://www.facebook.com/wacouber/info/?tab=page_info
Washington-Arlington-Alexandria,"Washington-Arlington-Alexandria, DC-MD-VA-WV",47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",DC-MD-VA-WV,December,2011,https://techcrunch.com/2011/12/15/uberdc/
Wenatchee,"Wenatchee, WA",48300,"Wenatchee-East Wenatchee, WA",WA,Sep,2016,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=2ahUKEwjiu-6d28zkAhVPRKwKHUcaDKEQFjAAegQIAhAB&url=https%3A%2F%2Fwww.wenatcheeworld.com%2Fbusiness%2Fride-hailing-service-uber-arrives-in-wenatchee%2Farticle_462db040-ff31-557e-8363-0494a9959492.html&usg=AOvVaw2wzvVHq6fX2v3a4Co1nyCn
Wheeling,"Wheeling, OH",48540,"Wheeling, WV-OH",OH,Aug,2017,https://weelunk.com/wheeling-welcomes-uber/
Wichita,"Wichita, KS",48620,"Wichita, KS",KS,Aug,2014,http://www.kake.com/home/headlines/Uber-arrives-in-Wichita-273053761.html
Williamsport,"Williamsport, PA",48700,"Williamsport, PA",PA,Aug,2016,https://www.northcentralpa.com/news/uber-comes-to-williamsport/article_dcb55581-768e-52f5-b56b-82084736fe51.html
Winston-Salem,"Winston-Salem, NC",49180,"Winston-Salem, NC",NC,Jun,2014,https://www.charlotteobserver.com/news/business/article9135194.html
Worcester,"Worcester, CT",49340,"Worcester, MA",CT,Oct,2014,https://newsroom.uber.com/boston/worcester-your-uber-is-arriving/
Yakima,"Yakima, WA",49420,"Yakima, WA",WA,Dec,2016,https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=3&cad=rja&uact=8&ved=2ahUKEwj5nK2j2czkAhVQgK0KHaCCARUQFjACegQICxAG&url=https%3A%2F%2Fwww.uber.com%2Fnewsroom%2Fyakima-your-uber-has-arrived%2F&usg=AOvVaw3llp2g6PFSTFajsktlkhwP
York-Hanover,"York-Hanover, PA",49620,"York-Hanover, PA",PA,Nov,2016,http://www.witf.org/news/2016/11/lyft-launches-ride-sharing-service-in-central-pennsylvania.php
Youngstown-Warren-Boardman,"Youngstown-Warren-Boardman, PA",49660,"Youngstown-Warren-Boardman, OH-PA",PA,,,
Yuba City,"Yuba City, CA",49700,"Yuba City, CA",CA,,,
