MSA_NAME_CLUSTERS,CBSA_NAME,CBSA_ID,cbsa_name,State,Month,Year,Link
Cape Coral-Fort Myers,"Cape Coral-Fort Myers, FL",15980,"Cape Coral-Fort Myers, FL",FL,December ,2014,https://www.nbc-2.com/story/27543597/uber-to-launch-in-fort-myers-on-thursday
Cedar Rapids,"Cedar Rapids, IA",16300,"Cedar Rapids, IA",IA,Dec,2014,https://newsroom.uber.com/iowa/uber-launching-in-cedar-rapids-with-free-rides/
Champaign-Urbana,"Champaign-Urbana, IL",16580,"Champaign-Urbana, IL",IL,Feb,2015,https://newsroom.uber.com/illinois/uber-is-rolling-into-champaign-urbana/
Charleston,"Charleston, WV",16620,"Charleston, WV",WV,Jul,2014,https://newsroom.uber.com/us-south-carolina/south-carolina-your-uberx-is-arriving-now/
Charleston-North Charleston,"Charleston-North Charleston, SC",16700,"Charleston-North Charleston-Summerville, SC",SC,Jul,2014,https://newsroom.uber.com/us-south-carolina/south-carolina-your-uberx-is-arriving-now/
Charlotte-Concord-Gastonia,"Charlotte-Concord-Gastonia, NC-SC",16740,"Charlotte-Gastonia-Rock Hill, NC-SC",NC-SC,Sep,2013,http://www.bizjournals.com/charlotte/blog/bank_notes/2013/09/inside-scoop-uber-arrives-in.html
Chattanooga,"Chattanooga, GA",16860,"Chattanooga, TN-GA",GA,Nov,2014,https://newsroom.uber.com/us-tennessee/chattanooga-your-uber-is-arriving-now/
Chicago-Naperville-Elgin,"Chicago-Naperville-Elgin, IL-WI",16980,"Chicago-Joliet-Naperville, IL-IN-WI",IL-WI,Sep,2011,http://techcrunch.com/2011/09/22/uber-brings-its-disruptive-car-service-to-chicago/
Chico,"Chico, CA",17020,"Chico, CA",CA,October ,2015,https://krcrtv.com/news/butte-county/uber-rolls-into-chico_20160513174711150
Cincinnati,"Cincinnati, OH-IN",17140,"Cincinnati-Middletown, OH-KY-IN",OH-IN,Mar,2014,https://newsroom.uber.com/us-ohio/uber-cincinnati-launches-with-free-rides-for-2-weeks/
Cleveland-Elyria,"Cleveland-Elyria, OH",17460,"Cleveland-Elyria-Mentor, OH",OH,Apr,2014,https://newsroom.uber.com/us-ohio/uber-cleveland-launches-with-free-rides-for-2-weeks/
College Station-Bryan,"College Station-Bryan, TX",17780,"College Station-Bryan, TX",TX,Aug,2014,http://kagstv.com/News/KAGSNews/ID/4561/Uber-Makes-Its-Debut-In-College-Station-Students-Excited
Colorado Springs,"Colorado Springs, CO",17820,"Colorado Springs, CO",CO,April,2014,https://gazette.com/business/uber-starts-colorado-springs-ride-sharing-service-on-heels-of/article_59038ad8-63ce-521a-943b-f222e9ab55de.html
Columbia,"Columbia, MO",17860,"Columbia, MO",MO,Oct,2014,https://newsroom.uber.com/uber-launching-columbia-with-free-rides/
Columbia,"Columbia, SC",17900,"Columbia, SC",SC,Oct,2014,https://newsroom.uber.com/us-south-carolina/south-carolina-your-uberx-is-arriving-now/
Columbus,"Columbus, OH",18140,"Columbus, OH",OH,Oct,2013,http://www.dispatch.com/content/blogs/crawlumbus/2013/10/uber-launching-in-columbus.html
