,CBSA,Mode,Year,MNAME,UPT_ADJ,VRM_ADJ,FARE,NEW_REPORTER_FLAG,min_year,max_year,FARE_per_UPT,AVG_FARE,PROBLEM_FLAG,PROBLEM_FLAG_NOTE
0,10420.0,Bus,2002,"Akron, OH Metro Area",5226385.6602,4026372.3882,660887.0,0,2002,2019,0.12645201540192302,0.12645201540192302,0,
1,10420.0,Bus,2003,"Akron, OH Metro Area",5395901.8878,3976568.6238,2568502.0,0,2002,2019,0.47600976693207103,0.27693962176148484,0,
2,10420.0,Bus,2004,"Akron, OH Metro Area",5907162.2814,4315392.5553,2524882.0,0,2002,2019,0.42742722812104667,0.42742722812104667,0,
3,10420.0,Bus,2005,"Akron, OH Metro Area",6013680.8814,4053011.0651999996,3022880.0,0,2002,2019,0.5026671783249439,0.5026671783249439,0,
4,10420.0,Bus,2006,"Akron, OH Metro Area",6070797.418500001,3994786.0125,3163036.0,0,2002,2019,0.5210247982186065,0.5210247982186065,0,
5,10420.0,Bus,2007,"Akron, OH Metro Area",5868746.0775,4571428.0644,3445013.0,0,2002,2019,0.5870100622018265,0.5870100622018265,0,
6,10420.0,Bus,2008,"Akron, OH Metro Area",6140428.988399999,3873343.9760999996,3602006.0,0,2002,2019,0.5866049435315704,0.5866049435315704,0,
7,10420.0,Bus,2009,"Akron, OH Metro Area",5560854.0642,3431434.4126999998,3387490.0,0,2002,2019,0.6091672180013115,0.6091672180013115,0,
8,10420.0,Bus,2010,"Akron, OH Metro Area",5616567.8055,3471447.4928999995,3597828.0,0,2002,2019,0.6405741236626472,0.6405741236626472,0,
9,10420.0,Bus,2011,"Akron, OH Metro Area",5858952.6852,3918014.0856,3619054.0,0,2002,2019,0.6176964031714929,0.6176964031714929,0,
10,10420.0,Bus,2012,"Akron, OH Metro Area",5915253.1815,3702737.2869,6254873.0,0,2002,2019,1.057414248905214,1.057414248905214,0,
11,10420.0,Bus,2013,"Akron, OH Metro Area",5880208.562099999,3926184.4233,6493907.0,0,2002,2019,1.104366780772965,1.104366780772965,0,
12,10420.0,Bus,2014,"Akron, OH Metro Area",5887436.481000001,4093965.6615,6677444.0,0,2002,2019,1.1341853150432315,1.1341853150432315,0,
13,10420.0,Bus,2015,"Akron, OH Metro Area",5758329.6189,4315922.4402,6089466.0,0,2002,2019,1.057505631496527,1.057505631496527,0,
14,10420.0,Bus,2016,"Akron, OH Metro Area",5409971.37,4147934.4837,5704223.0,0,2002,2019,1.0543906076160992,1.0543906076160992,0,
15,10420.0,Bus,2017,"Akron, OH Metro Area",5461311.529800001,4440851.606699999,5939656.0,0,2002,2019,1.0875878381209132,1.0875878381209132,0,
16,10420.0,Bus,2018,"Akron, OH Metro Area",5427485.5554,4437372.6009,5864751.0,0,2002,2019,1.0805650130500943,1.0805650130500943,0,
18,10500.0,Bus,2002,"Albany, GA Metro Area",628324.0,532194.0,303082.0,0,2002,2019,0.4823657858047759,0.4823657858047759,0,
19,10500.0,Bus,2003,"Albany, GA Metro Area",670941.0,536264.0,287297.0,0,2002,2019,0.42820009509032836,0.42820009509032836,0,
20,10500.0,Bus,2004,"Albany, GA Metro Area",666328.0,537714.0,346703.0,0,2002,2019,0.5203188219615564,0.5203188219615564,0,
21,10500.0,Bus,2005,"Albany, GA Metro Area",653876.0,535683.0,344119.0,0,2002,2019,0.5262756241244517,0.5262756241244517,0,
22,10500.0,Bus,2006,"Albany, GA Metro Area",762810.0,534219.0,366673.0,0,2002,2019,0.48068719602522253,0.48068719602522253,0,
23,10500.0,Bus,2007,"Albany, GA Metro Area",767414.0,534985.0,377696.0,0,2002,2019,0.49216720049412704,0.49216720049412704,0,
24,10500.0,Bus,2008,"Albany, GA Metro Area",880864.0,532993.0,373954.0,0,2002,2019,0.4245309151015367,0.4245309151015367,0,
25,10500.0,Bus,2009,"Albany, GA Metro Area",871177.0,529568.0,431925.0,0,2002,2019,0.495794769604799,0.495794769604799,0,
26,10500.0,Bus,2010,"Albany, GA Metro Area",900406.0,530982.0,420551.0,0,2002,2019,0.4670681892390766,0.4670681892390766,0,
27,10500.0,Bus,2011,"Albany, GA Metro Area",985863.0,574538.0,471112.0,0,2002,2019,0.47786761446570164,0.47786761446570164,0,
28,10500.0,Bus,2012,"Albany, GA Metro Area",1017648.0,523493.0,523278.0,0,2002,2019,0.5142033394651195,0.5142033394651195,0,
29,10500.0,Bus,2013,"Albany, GA Metro Area",2034030.0,1083610.0,536063.0,0,2002,2019,0.26354724364930704,0.26354724364930704,0,
30,10500.0,Bus,2014,"Albany, GA Metro Area",883094.0,588650.0,535879.0,0,2002,2019,0.6068198855387988,0.5219199648321743,0,
31,10500.0,Bus,2015,"Albany, GA Metro Area",695011.0,595478.0,542312.0,0,2002,2019,0.7802926860150415,0.7802926860150415,0,
32,10500.0,Bus,2016,"Albany, GA Metro Area",655363.0,597007.0,488610.0,0,2002,2019,0.7455562794970115,0.7455562794970115,0,
