,NTD_ID,4 digit NTDID,Legacy NTD ID,Agency,MODE,SERVICE_ID,RailBus,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,1,1,1,King County Department of Transportation - Metro Transit Division,DR,PT,DemandResponse,675488.0,659606.0,758136.0,831048.0,850905.0,308539.0,874036.0,1005687.0,750659.0,957280.0,983881.0,957269.0,863494.0
1,1,0,0,0,LR,DO,Rail,211571.0,0.0,0.0,275185.0,342835.0,288470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,1,King County Department of Transportation - Metro Transit Division,MB,DO,Bus,58136140.0,59418649.0,64550864.0,85113515.0,93937578.0,99604752.0,103418068.0,117457509.0,122535567.0,130249639.0,136162762.0,139001364.0,139520130.0
3,1,1,1,King County Department of Transportation - Metro Transit Division,MB,PT,Bus,7872045.0,0.0,9607824.0,11342831.0,11238115.0,11109150.0,216978.0,266612.0,277338.0,1069328.0,1180841.0,1229557.0,1109846.0
4,1,1,1,King County Department of Transportation - Metro Transit Division,TB,DO,Bus,17007997.0,17360619.0,15141561.0,16212098.0,17892872.0,20112498.0,21573330.0,23547904.0,23166653.0,24787685.0,22028748.0,22872383.0,22808461.0
5,1,1,1,King County Department of Transportation - Metro Transit Division,VP,DO,DemandResponse,5552340.0,6238455.0,6872296.0,8049283.0,9636603.0,8728042.0,9459661.0,10320050.0,11487561.0,11804793.0,7121362.0,7293271.0,7622086.0
6,2,2,2,Spokane Transit Authority,DR,DO,DemandResponse,140569.0,149026.0,154149.0,156606.0,148645.0,321332.0,422060.0,494167.0,444397.0,470539.0,472560.0,455855.0,510050.0
7,2,2,2,Spokane Transit Authority,DR,PT,DemandResponse,50562.0,52066.0,50935.0,54436.0,57433.0,82792.0,123194.0,170674.0,190595.0,157919.0,170357.0,192427.0,200174.0
8,2,2,2,Spokane Transit Authority,MB,DO,Bus,5411522.0,5801631.0,6082747.0,7112748.0,7127521.0,8382949.0,8988852.0,8922422.0,9019785.0,8475543.0,7988366.0,7517135.0,8314345.0
9,2,2,2,Spokane Transit Authority,VP,DO,DemandResponse,244850.0,335041.0,378692.0,538393.0,534002.0,556453.0,617643.0,727380.0,709604.0,746614.0,590762.0,569848.0,528460.0
10,3,3,3,Pierce County Transportation Benefit Area Authority,DR,DO,DemandResponse,91973.0,71197.0,90107.0,93699.0,109704.0,103634.0,108311.0,67844.0,95710.0,72523.0,72326.0,97116.0,125212.0
11,3,3,3,Pierce County Transportation Benefit Area Authority,DR,PT,DemandResponse,158106.0,172859.0,225811.0,243302.0,295185.0,266697.0,270325.0,183144.0,169952.0,164470.0,162720.0,221644.0,225521.0
12,3,3,3,Pierce County Transportation Benefit Area Authority,MB,DO,Bus,7203721.0,6490693.0,9983459.0,11554497.0,12796106.0,11619743.0,10496943.0,9324727.0,8952627.0,8858933.0,9366803.0,8576749.0,8716219.0
13,3,0,0,0,MB,PT,Bus,3113140.0,2642817.0,2922723.0,3610876.0,4072784.0,4601212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,3,3,3,Pierce County Transportation Benefit Area Authority,VP,DO,DemandResponse,1642478.0,2137441.0,2072788.0,2230211.0,2539666.0,2514731.0,2626805.0,2643525.0,3047890.0,3116822.0,3026565.0,3017326.0,3050834.0
15,5,5,5,Everett Transit,DR,DO,DemandResponse,31865.0,33150.0,37626.0,41211.0,47157.0,104512.0,115440.0,106105.0,106263.0,110663.0,104641.0,103809.0,103668.0
16,5,5,5,Everett Transit,MB,DO,Bus,1042125.0,804398.0,1023457.0,1091474.0,1076498.0,1206313.0,1175587.0,1210870.0,1507463.0,1443345.0,1401252.0,1287776.0,1206043.0
17,6,6,6,Yakima Transit,DR,PT,DemandResponse,69195.0,60806.0,77751.0,172055.0,110008.0,130944.0,124761.0,122115.0,118499.0,125862.0,152642.0,120722.0,122189.0
18,6,6,6,Yakima Transit,MB,DO,Bus,272478.0,301019.0,331030.0,395355.0,495585.0,534590.0,598546.0,502570.0,873269.0,958667.0,812661.0,828202.0,828281.0
19,6,6,6,Yakima Transit,VP,DO,DemandResponse,110275.0,112453.0,129404.0,208776.0,192486.0,225310.0,258569.0,233280.0,255610.0,238266.0,209074.0,162052.0,131634.0
20,7,7,7,Lane Transit District,DR,PT,DemandResponse,223319.0,259345.0,200659.0,160407.0,249538.0,246257.0,232975.0,270481.0,288504.0,285891.0,308991.0,313677.0,271429.0
21,7,7,7,Lane Transit District,MB,DO,Bus,4378336.0,5078340.0,5213706.0,6122561.0,6602497.0,7032027.0,7236371.0,5177964.0,5254293.0,5296259.0,5385722.0,5205513.0,5528894.0
22,7,7,7,Lane Transit District,VP,PT,DemandResponse,12704.0,21433.0,28407.0,81579.0,45677.0,80679.0,63902.0,80671.0,127274.0,267017.0,324066.0,214498.0,289022.0
23,8,8,8,Tri-County Metropolitan Transportation District of Oregon,DR,PT,DemandResponse,127756.0,3344843.0,3498416.0,3547874.0,5160538.0,4027942.0,4333877.0,4192994.0,3708623.0,5168822.0,6737573.0,7312066.0,7769411.0
24,8,8,8,Tri-County Metropolitan Transportation District of Oregon,LR,DO,Rail,23249374.0,26149543.0,29337862.0,31495353.0,33868269.0,36908552.0,40843683.0,43069976.0,46442818.0,46404323.0,46025815.0,49059712.0,49384596.0
25,8,8,8,Tri-County Metropolitan Transportation District of Oregon,MB,DO,Bus,37559384.0,40714948.0,44760793.0,47467995.0,54044751.0,54468361.0,53576580.0,56332405.0,63818606.0,65529184.0,68567921.0,66843094.0,65512900.0
26,11,11,11,Valley Regional Transit,DR,DO,DemandResponse,60152.0,61028.0,73095.0,76404.0,69840.0,64402.0,79017.0,84318.0,86154.0,93103.0,88536.0,94984.0,95852.0
27,11,0,0,0,DR,PT,DemandResponse,5040.0,6261.0,4546.0,3956.0,4082.0,3620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
