,CBSA,MNAME,UAPOPPCT,UZA,UZA Name,RailBus,YEAR,UPT,VRM,FARE,FARE_per_UPT,AVG_FARE,PROBLEM_FLAG,PROBLEM_FLAG_NOTE,NEW_REPORTER_FLAG,min_year,max_year,UPT_ADJ,VRM_ADJ,AVG_FARE_ADJ
0,35620.0,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",99.71,1,"New York-Newark, NY-NJ-CT",Bus,2002,1146099912.0,208759714.0,842068516.0,0.7347252252472034,0.7347252252472034,0,,0,2002,2019,1142776222.2552,208154310.82939997,0.7325945220939865
1,35620.0,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",99.71,1,"New York-Newark, NY-NJ-CT",Bus,2003,1212786864.0,253845290.0,914645729.0,0.7541685651041155,0.7541685651041155,0,,0,2002,2019,1209269782.0944,253109138.65899998,0.7519814762653135
2,35620.0,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",99.71,1,"New York-Newark, NY-NJ-CT",Bus,2004,1202277540.0,275382270.0,971860852.0,0.8083498357625478,0.8083498357625478,0,,1,2002,2019,1198790935.1339998,274583661.417,0.8060056212388363
3,35620.0,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",99.71,1,"New York-Newark, NY-NJ-CT",Bus,2005,1277936050.0,295736313.0,1038584670.0,0.8127047280652268,0.8127047280652268,0,,1,2002,2019,1274230035.455,294878677.6923,0.8103478843538376
4,35620.0,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",99.71,1,"New York-Newark, NY-NJ-CT",Bus,2006,1262810676.0,301203622.0,2581567091.0,2.0443025546610123,0.9322978278126623,0,,1,2002,2019,1259148525.0396,300330131.49619997,0.9295941641120055
5,35620.0,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",99.71,1,"New York-Newark, NY-NJ-CT",Bus,2007,1163681569.0,239924545.0,1224066085.0,1.0518909275600978,1.0518909275600978,0,,1,2002,2019,1160306892.4499,239228763.81949997,1.0488404438701735
6,35620.0,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",99.71,1,"New York-Newark, NY-NJ-CT",Bus,2008,1185882087.0,244009637.0,1299333264.0,1.0956681766624914,1.0956681766624914,0,,1,2002,2019,1182443028.9476998,243302009.05269995,1.0924907389501701
7,35620.0,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",99.71,1,"New York-Newark, NY-NJ-CT",Bus,2009,1153823474.0,245796656.0,1321024155.0,1.1449101052003732,1.1449101052003732,0,,1,2002,2019,1150477385.9254,245083845.69759998,1.141589865895292
8,35620.0,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",99.71,1,"New York-Newark, NY-NJ-CT",Bus,2010,1131844040.0,219040714.0,1352150248.0,1.1946436083190402,1.1946436083190402,0,,1,2002,2019,1128561692.284,218405495.9294,1.191179141854915
9,35620.0,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",99.71,1,"New York-Newark, NY-NJ-CT",Bus,2011,1101387384.0,212790503.0,1428860872.0,1.2973281633304055,1.2973281633304055,0,,1,2002,2019,1098193360.5864,212173410.54129997,1.2935659116567473
10,35620.0,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",99.71,1,"New York-Newark, NY-NJ-CT",Bus,2012,1206418201.0,242567474.0,1541865903.0,1.2780525871724642,1.2780525871724642,0,,1,2002,2019,1202919588.2171,241864028.32539997,1.274346234669664
11,35620.0,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",99.71,1,"New York-Newark, NY-NJ-CT",Bus,2013,1227613320.0,277512698.0,1810226484.0,1.4745901290807109,1.4745901290807109,0,,1,2002,2019,1224053241.372,276707911.17579997,1.4703138177063766
12,35620.0,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",99.71,1,"New York-Newark, NY-NJ-CT",Bus,2014,1187738892.0,276438840.0,1864889708.0,1.5701175742925828,1.5701175742925828,0,,1,2002,2019,1184294449.2131999,275637167.36399996,1.5655642333271342
13,35620.0,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",99.71,1,"New York-Newark, NY-NJ-CT",Bus,2015,1162301342.0,277192042.0,1886695875.0,1.623241587034148,1.623241587034148,0,,1,2002,2019,1158930668.1081998,276388185.0782,1.6185341864317488
14,35620.0,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",99.71,1,"New York-Newark, NY-NJ-CT",Bus,2016,1164256598.0,276866496.0,1913049426.0,1.6431510281206927,1.6431510281206927,0,,1,2002,2019,1160880253.8658,276063583.1616,1.6383858901391426
15,35620.0,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",99.71,1,"New York-Newark, NY-NJ-CT",Bus,2017,1103506741.0,275620515.0,1917536885.0,1.7376757329659123,1.7376757329659123,0,,1,2002,2019,1100306571.4511,274821215.5065,1.732636473340311
16,35620.0,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",99.71,1,"New York-Newark, NY-NJ-CT",Bus,2018,1110685462.0,274833319.0,1932957390.0,1.740328343291127,1.740328343291127,0,,1,2002,2019,1107464474.1601999,274036302.3749,1.7352813910955824
17,35620.0,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",99.71,1,"New York-Newark, NY-NJ-CT",Bus,2019,267033512.0,67800718.0,0.0,0.0,0.0,0,,1,2002,2019,266259114.81519997,67604095.9178,0.0
18,35620.0,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",99.71,1,"New York-Newark, NY-NJ-CT",Rail,2002,1991251983.0,474588159.0,2558935423.0,1.2850887003987983,1.2850887003987983,0,,0,2002,2019,1985477352.2493,473211853.33889997,1.2813619431676417
19,35620.0,"New York-Northern New Jersey-Long Island, NY-NJ-PA Metro Area",99.71,1,"New York-Newark, NY-NJ-CT",Rail,2003,2003994785.0,503641927.0,2824353146.0,1.4093615248604552,1.4093615248604552,0,,0,2002,2019,1998183200.1234999,502181365.4117,1.4052743764383597
