NTD_ID,MODE,SERVICE_ID,2004
1,DR,PT,718833.00
1,LR,DO,226322.00
1,MB,DO,56913382.00
1,TB,DO,16683220.00
1,VP,DO,4884622.00
2,DR,DO,153728.00
2,DR,PT,38276.00
2,MB,DO,5343235.00
2,VP,DO,181344.00
3,DR,DO,190174.00
3,DR,PT,158061.00
3,MB,DO,7358403.00
3,VP,DO,1661814.00
5,DR,DO,31703.00
5,MB,DO,1058800.00
6,DR,PT,65909.00
6,MB,DO,278134.00
6,VP,DO,108087.00
7,DR,PT,68096.00
7,MB,DO,4435613.00
8,DR,PT,112347.00
8,LR,DO,19822219.00
8,MB,DO,37208055.00
11,DR,DO,58345.00
11,DR,PT,3521.00
11,MB,DO,694582.00
11,MB,PT,66156.00
12,DR,PT,669319.00
12,MB,DO,2663894.00
12,VP,PT,319961.00
16,DR,PT,5408.00
16,MB,DO,95882.00
19,DR,DO,54875.00
19,MB,DO,1361666.00
19,VP,DO,482890.00
20,DR,DO,197441.00
20,FB,PT,190212.00
20,MB,DO,1783391.00
20,VP,DO,233816.00
21,DR,DO,116255.00
21,DR,PT,97.00
21,MB,DO,913706.00
22,DR,DO,142529.00
22,MB,DO,49921.00
23,MO,PT,1010942.00
24,DR,DO,74693.00
24,MB,DO,3876010.00
24,VP,DO,47194.00
25,DR,PT,166936.00
25,MB,DO,1626984.00
28,FB,PT,1479438.00
29,DR,PT,132087.00
29,MB,DO,6100751.00
29,MB,PT,6052420.00
29,VP,DO,1236379.00
33,DR,DO,132087.00
34,DR,DO,
34,DR,PT,
34,MB,DO,735846.00
35,FB,DO,56970403.00
40,CR,PT,2263014.00
40,LR,DO,0.00
40,MB,PT,10855995.00
40,TB,PT,86526.00
41,AR,DO,927822.00
43,DR,DO,40964.00
43,DR,PT,4400.00
43,MB,DO,253340.00
44,DR,DO,13446.00
44,MB,DO,84205.00
44,VP,DO,73230.00
45,DR,DO,28650.00
45,MB,DO,181426.00
46,DR,DO,0.00
46,MB,DO,0.00
1001,DR,DO,338251.00
1001,DR,PT,105464.00
1001,MB,DO,13930782.00
1002,DR,DO,11780.00
1002,MB,DO,258007.00
1003,CR,DO,89083486.00
1003,DR,PT,1800172.00
1003,FB,PT,5462755.00
1003,HR,DO,96684267.00
1003,LR,DO,52704769.00
1003,MB,DO,53546734.00
1003,MB,PT,2585395.00
1003,TB,DO,1676676.00
