NTD_ID,MODE,SERVICE_ID,2002
1005,DR,PT,"74,511.00"
1005,MB,DO,"706,550.00"
1006,DR,PT,"136,969.00"
1006,MB,PT,"1,826,505.00"
1007,DR,PT,"311,381.00"
1007,MB,PT,"470,092.00"
1008,DR,PT,"310,051.00"
1008,MB,PT,"4,631,575.00"
1013,DR,PT,"92,909.00"
1013,MB,PT,"771,828.00"
1014,DR,DO,"62,068.00"
1014,DR,PT,"183,060.00"
1014,MB,DO,"2,741,325.00"
1014,MB,PT,"3,623.00"
1016,MB,DO,"1,004,376.00"
1017,DR,PT,"212,670.00"
1040,DR,PT,"7,687.00"
1040,MB,DO,"831,304.00"
1042,DR,DO,"408,473.00"
1047,MB,DO,"377,257.00"
1048,MB,DO,"10,555,907.00"
1049,DR,DO,"1,046,971.00"
1050,DR,PT,"167,949.00"
1050,MB,DO,"4,168,448.00"
1051,DR,DO,"43,438.00"
1051,MB,DO,"489,174.00"
1052,MB,DO,"51,127.00"
1053,DR,PT,"16,963.00"
1053,MB,PT,"176,422.00"
1055,MB,DO,"5,941,012.00"
1056,MB,DO,"2,574,238.00"
1057,DR,DO,"63,970.00"
1057,DR,PT,"83,790.00"
1057,MB,DO,"1,368,883.00"
1057,MB,PT,"50,833.00"
1061,DR,PT,"605,560.00"
1061,MB,PT,"577,613.00"
1063,DR,PT,0
1063,MB,PT,"234,660.00"
1064,DR,PT,"144,475.00"
1064,MB,PT,"1,652,030.00"
1066,DR,PT,"46,588.00"
1066,MB,DO,"960,419.00"
1069,DR,DO,"1,844,741.00"
1087,DR,PT,"37,869.00"
1087,MB,PT,"149,066.00"
1088,FB,DO,"1,691,854.00"
1095,DR,DO,"185,483.00"
1095,MB,DO,"1,234,839.00"
1096,DR,PT,737
1096,MB,DO,"297,188.00"
1098,DR,DO,"45,997.00"
1098,MB,DO,"62,475.00"
1102,CR,PT,"933,029.00"
1102,DR,PT,"185,483.00"
1102,MB,PT,"2,116,299.00"
1105,DR,PT,"488,965.00"
1105,MB,PT,"741,543.00"
1107,DR,DO,"356,111.00"
1107,MB,DO,"245,259.00"
1108,VP,DO,"2,939,989.00"
1109,DR,PT,"265,772.00"
2002,DR,DO,0
2002,MB,DO,"9,323,334.00"
2002,MB,PT,0
2003,DR,DO,"28,459.00"
2003,DR,PT,"71,653.00"
2003,MB,DO,"1,869,273.00"
2004,DR,DO,"122,477.00"
2004,DR,PT,"14,338.00"
2004,LR,DO,"3,155,324.00"
2004,MB,DO,"17,150,514.00"
2005,DR,PT,"337,040.00"
2005,MB,PT,"1,283,347.00"
2006,DR,DO,"3,066.00"
2006,MB,DO,"406,246.00"
2007,DR,DO,"31,787,741.00"
2007,MB,DO,"770,340.00"
2008,DR,PT,"3,708,683.00"
2008,HR,DO,"1,518,164,752.00"
2008,MB,DO,"603,544,395.00"
2009,MB,DO,"268,110.00"
2010,DR,DO,"253,809.00"
2010,MB,DO,"323,029.00"
2018,DR,DO,"265,021.00"
2018,DR,PT,0
2018,MB,DO,"6,719,795.00"
2021,DR,DO,"28,123.00"
2021,MB,DO,"426,222.00"
2040,MB,DO,"10,443,259.00"
2071,DR,DO,"12,270.00"
2071,MB,DO,"194,801.00"
2072,DR,PT,"388,021.00"
