5 digit NTD ID,4 digit NTD ID,Agency,HQ City,HQ State,UZA,UZA Name,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population
10002,1002,Manchester Transit Authority,Manchester,NH,209,"Manchester, NH",86,"158,377",63,"135,366"
10003,1003,Massachusetts Bay Transportation Authority,Boston,MA,10,"Boston, MA-NH-RI","1,873","4,181,019","3,244","3,109,308"
10004,1004,Brockton Area Transit Authority,Brockton,MA,10,"Boston, MA-NH-RI","1,873","4,181,019",86,"254,648"
10005,1005,Lowell Regional Transit Authority,Lowell,MA,10,"Boston, MA-NH-RI","1,873","4,181,019",282,"338,186"
10006,1006,Southeastern Regional Transit Authority,New Bedford,MA,219,"New Bedford, MA",55,"149,443",47,"186,731"
10007,1007,Berkshire Regional Transit Authority,Pittsfield,MA,448,"Pittsfield, MA",34,"59,124",384,"127,500"
10008,1008,Pioneer Valley Transit Authority,Springfield,MA,65,"Springfield, MA-CT",349,"621,300",302,"551,543"
10013,1013,Merrimack Valley Regional Transit Authority,Haverhill,MA,10,"Boston, MA-NH-RI","1,873","4,181,019",225,"306,339"
10014,1014,Worcester Regional Transit Authority,Worcester,MA,81,"Worcester, MA-CT",304,"486,514",866,"479,329"
10015,1015,Lewiston-Auburn Transit Committee,Auburn,ME,446,"Lewiston, ME",35,"59,397",19,"46,052"
10016,1016,Greater Portland Transit District,Portland,ME,177,"Portland, ME",136,"203,914",58,"100,001"
10017,1017,Greater Hartford Transit District,Hartford,CT,47,"Hartford, CT",516,"924,859",620,"1,248,287"
10040,1040,Southeast Area Transit,Preston,CT,174,"Norwich-New London, CT-RI",152,"209,190",305,"158,629"
10042,1042,Valley Transit District,Derby,CT,48,"Bridgeport-Stamford, CT-NY",466,"923,311",58,"88,364"
10045,1045,Connecticut Department of Transportation - CTTransit New Britain -Dattco.,New Britain,CT,47,"Hartford, CT",516,"924,859",13,"73,941"
10047,1047,"New Britain Transportation Company, Inc.",Berlin,CT,46,"Hartford, CT",469,"851,535",81,"203,562"
10048,1048,Connecticut Department of Transportation - CTTRANSIT - Hartford Division,Hartford,CT,47,"Hartford, CT",516,"924,859",664,"851,535"
10049,1049,The Greater New Haven Transit District,Hamden,CT,72,"New Haven, CT",306,"562,839",197,"451,486"
10050,1050,Greater Bridgeport Transit Authority,Bridgeport,CT,48,"Bridgeport-Stamford, CT-NY",466,"923,311",104,"349,751"
10051,1051,Housatonic Area Regional Transit,Danbury,CT,201,"Danbury, CT-NY",132,"168,136",124,"154,855"
10052,1052,"New Britain Transportation Company, Inc.",Berlin,CT,46,"Hartford, CT",469,"851,535",27,"60,062"
10053,1053,Cape Ann Transportation Authority,Gloucester,MA,10,"Boston, MA-NH-RI","1,873","4,181,019",80,"54,099"
10055,1055,Connecticut Department of Transportation - CTTRANSIT New Haven Division,Hartford,CT,72,"New Haven, CT",306,"562,839",456,"531,314"
10056,1056,Connecticut Department of Transportation - CTTRANSIT Stamford Division,Hartford,CT,48,"Bridgeport-Stamford, CT-NY",466,"923,311",133,"281,327"
10057,1057,Norwalk Transit District,Norwalk,CT,48,"Bridgeport-Stamford, CT-NY",466,"923,311",45,"108,700"
10061,1061,Montachusett Regional Transit Authority,Fitchburg,MA,269,"Leominster-Fitchburg, MA",65,"116,960",624,"228,778"
10063,1063,Middletown Transit District,Middletown,CT,47,"Hartford, CT",516,"924,859",193,"90,320"
10064,1064,Greater Attleboro-Taunton Regional Transit Authority,Taunton,MA,39,"Providence, RI-MA",545,"1,190,956",835,"572,140"
10066,1066,Chittenden County Transportation Authority,Burlington,VT,285,"Burlington, VT",62,"108,740",61,"93,656"
10069,1069,"Regional Transportation Program, Inc.",Portland,ME,177,"Portland, ME",136,"203,914",53,"265,612"
10086,1086,Cooperative Alliance for Seacoast Transportation,Dover,NH,331,"Dover-Rochester, NH-ME",66,"88,087",368,"166,975"
10087,1087,Nashua Transit System,Nashua,NH,160,"Nashua, NH-MA",182,"226,400",32,"86,933"
10088,1088,Casco Bay Island Transit District,Portland,ME,177,"Portland, ME",136,"203,914",111,"66,765"
