,NTD_ID,4 digit NTDID,Legacy NTD ID,Agency,MODE,SERVICE_ID,RailBus,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
0,1,1,1,King County Department of Transportation - Metro Transit Division,DR,PT,DemandResponse,688012.0,527979.0,718833.0,675488.0,659606.0,758136.0,831048.0,850905.0,308539.0,874036.0,1005687.0,750659.0,957280.0,983881.0,957269.0,863494.0
1,1,0,0,0,LR,DO,Rail,216413.0,218928.0,226322.0,211571.0,0.0,0.0,275185.0,342835.0,288470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,1,1,King County Department of Transportation - Metro Transit Division,MB,DO,Bus,55995026.0,52181801.0,56913382.0,58136140.0,59418649.0,64550864.0,85113515.0,93937578.0,99604752.0,103418068.0,117457509.0,122535567.0,130249639.0,136162762.0,139001364.0,139520130.0
3,1,1,1,King County Department of Transportation - Metro Transit Division,TB,DO,Bus,19012827.0,17695832.0,16683220.0,17007997.0,17360619.0,15141561.0,16212098.0,17892872.0,20112498.0,21573330.0,23547904.0,23166653.0,24787685.0,22028748.0,22872383.0,22808461.0
4,1,1,1,King County Department of Transportation - Metro Transit Division,VP,DO,DemandResponse,5089843.0,4860704.0,4884622.0,5552340.0,6238455.0,6872296.0,8049283.0,9636603.0,8728042.0,9459661.0,10320050.0,11487561.0,11804793.0,7121362.0,7293271.0,7622086.0
5,2,2,2,Spokane Transit Authority,DR,DO,DemandResponse,146607.0,164756.0,153728.0,140569.0,149026.0,154149.0,156606.0,148645.0,321332.0,422060.0,494167.0,444397.0,470539.0,472560.0,455855.0,510050.0
6,2,2,2,Spokane Transit Authority,DR,PT,DemandResponse,24152.0,24498.0,38276.0,50562.0,52066.0,50935.0,54436.0,57433.0,82792.0,123194.0,170674.0,190595.0,157919.0,170357.0,192427.0,200174.0
7,2,2,2,Spokane Transit Authority,MB,DO,Bus,5018070.0,5239111.0,5343235.0,5411522.0,5801631.0,6082747.0,7112748.0,7127521.0,8382949.0,8988852.0,8922422.0,9019785.0,8475543.0,7988366.0,7517135.0,8314345.0
8,2,2,2,Spokane Transit Authority,VP,DO,DemandResponse,153858.0,159757.0,181344.0,244850.0,335041.0,378692.0,538393.0,534002.0,556453.0,617643.0,727380.0,709604.0,746614.0,590762.0,569848.0,528460.0
9,3,3,3,Pierce County Transportation Benefit Area Authority,DR,DO,DemandResponse,102675.0,100927.0,190174.0,91973.0,71197.0,90107.0,93699.0,109704.0,103634.0,108311.0,67844.0,95710.0,72523.0,72326.0,97116.0,125212.0
10,3,3,3,Pierce County Transportation Benefit Area Authority,DR,PT,DemandResponse,43446.0,161631.0,158061.0,158106.0,172859.0,225811.0,243302.0,295185.0,266697.0,270325.0,183144.0,169952.0,164470.0,162720.0,221644.0,225521.0
11,3,3,3,Pierce County Transportation Benefit Area Authority,MB,DO,Bus,6971227.0,7207565.0,7358403.0,7203721.0,6490693.0,9983459.0,11554497.0,12796106.0,11619743.0,10496943.0,9324727.0,8952627.0,8858933.0,9366803.0,8576749.0,8716219.0
12,3,3,3,Pierce County Transportation Benefit Area Authority,VP,DO,DemandResponse,1387676.0,1467675.0,1661814.0,1642478.0,2137441.0,2072788.0,2230211.0,2539666.0,2514731.0,2626805.0,2643525.0,3047890.0,3116822.0,3026565.0,3017326.0,3050834.0
