NTD_ID,MODE,SERVICE_ID,2007
1,DR,PT,758136.00
1,MB,DO,64550864.00
1,MB,PT,9607824.00
1,TB,DO,15141561.00
1,VP,DO,6872296.00
2,DR,DO,154149.00
2,DR,PT,50935.00
2,MB,DO,6082747.00
2,VP,DO,378692.00
3,DR,DO,90107.00
3,DR,PT,225811.00
3,MB,DO,9983459.00
3,MB,PT,2922723.00
3,VP,DO,2072788.00
5,DR,DO,37626.00
5,MB,DO,1023457.00
6,DR,PT,77751.00
6,MB,DO,331030.00
6,VP,DO,129404.00
7,DR,PT,200659.00
7,MB,DO,5213706.00
7,VP,PT,28407.00
8,DR,PT,3498416.00
8,LR,DO,29337862.00
8,MB,DO,44760793.00
11,DR,DO,73095.00
11,DR,PT,4546.00
11,MB,DO,560870.00
11,MB,PT,137934.00
12,DR,PT,1053691.00
12,MB,DO,3331361.00
12,VP,PT,611177.00
16,DR,PT,8821.00
16,MB,DO,107533.00
18,DR,DO,189211.00
18,DR,PT,68030.00
18,MB,DO,1013459.00
18,VP,DO,1538866.00
19,DR,DO,113448.00
19,MB,DO,1628735.00
19,VP,DO,951969.00
20,DR,DO,319074.00
20,FB,PT,238098.00
20,MB,DO,2769629.00
20,VP,DO,587281.00
21,DR,DO,142379.00
21,DR,PT,81.00
21,MB,DO,1089636.00
22,DR,DO,28001.00
22,MB,DO,47907.00
23,MO,PT,2735891.00
24,DR,DO,234627.00
24,MB,DO,5345781.00
25,DR,PT,372961.00
25,MB,DO,2286289.00
25,VP,PT,56877.00
28,FB,PT,2014782.00
29,DR,PT,235212.00
29,MB,DO,8272257.00
29,MB,PT,8657310.00
29,VP,DO,1658155.00
34,DR,PT,117108.00
34,MB,DO,1026636.00
35,FB,DO,34283767.00
40,CR,PT,6622730.00
40,LR,DO,0.00
40,MB,DO,0.00
40,MB,PT,15406024.00
41,AR,DO,1481165.00
43,DR,DO,41327.00
43,DR,PT,8785.00
43,MB,DO,434202.00
43,VP,DO,17690.00
44,DR,DO,9610.00
44,MB,DO,219579.00
44,VP,DO,208671.00
45,DR,DO,27586.00
