NTD_ID,MODE,SERVICE_ID,2010
1,DR,PT,308539.00
1,DT,PT,323133.00
1,LR,DO,288470.00
1,LR,PT,9608740.00
1,MB,DO,99604752.00
1,MB,PT,11109150.00
1,TB,DO,20112498.00
1,VP,DO,8728042.00
2,DR,DO,321332.00
2,DR,PT,82792.00
2,MB,DO,8382949.00
2,VP,DO,556453.00
3,DR,DO,103634.00
3,DR,PT,266697.00
3,MB,DO,11619743.00
3,MB,PT,4601212.00
3,VP,DO,2514731.00
5,DR,DO,104512.00
5,MB,DO,1206313.00
6,DR,PT,130944.00
6,MB,DO,534590.00
6,VP,DO,225310.00
7,DR,PT,246257.00
7,DT,PT,0.00
7,MB,DO,7032027.00
7,MB,PT,32757.00
7,VP,PT,80679.00
8,CR,PT,311656.00
8,DR,PT,4027942.00
8,DT,PT,424965.00
8,LR,DO,36908552.00
8,MB,DO,54468361.00
11,DR,DO,64402.00
11,DR,PT,3620.00
11,MB,DO,746074.00
11,MB,PT,148617.00
12,DR,PT,1538561.00
12,MB,DO,3774194.00
12,VP,PT,345266.00
16,DR,PT,13892.00
16,MB,DO,127443.00
18,DR,DO,283732.00
18,DR,PT,10.00
18,DT,PT,95299.00
18,MB,DO,1303603.00
18,VP,DO,2253987.00
19,DR,DO,160737.00
19,MB,DO,2414920.00
19,VP,DO,1367099.00
20,DR,DO,306714.00
20,DT,PT,822.00
20,FB,PT,751773.00
20,MB,DO,5935508.00
20,VP,DO,958583.00
21,DR,DO,179176.00
21,DT,PT,101.00
21,MB,DO,1519401.00
21,VP,DO,225127.00
22,DR,DO,49821.00
22,MB,DO,76710.00
22,MB,PT,0.00
23,MO,PT,3053436.00
24,DR,DO,336942.00
24,MB,DO,6793511.00
24,VP,DO,46697.00
25,DR,PT,389909.00
25,MB,DO,2095166.00
25,VP,PT,100692.00
28,FB,PT,1168672.00
29,DR,PT,280741.00
29,MB,DO,9741508.00
29,MB,PT,11969219.00
29,VP,DO,2605099.00
34,DR,PT,111183.00
34,MB,DO,1216994.00
35,FB,DO,36402916.00
40,CR,PT,7134458.00
40,LR,DO,0.00
40,LR,PT,9608740.00
40,MB,DO,15514636.00
40,MB,PT,5331173.00
41,AR,DO,1279438.00
42,DR,DO,33956.00
42,MB,DO,48327.00
43,DR,DO,40614.00
43,DR,PT,12328.00
43,MB,DO,643373.00
44,DR,DO,13804.00
44,MB,DO,376793.00
44,VP,DO,308403.00
45,DR,DO,40597.00
45,MB,DO,381079.00
46,DR,DO,8255.00
46,MB,DO,156176.00
47,MB,PT,462844.00
49,VP,DO,379014.00
50,DR,PT,82725.00
50,MB,PT,163009.00
52,VP,PT,111908.00
54,FB,DO,444807.00
1001,DR,DO,569455.00
1001,DR,PT,56194.00
1001,DT,PT,58548.00
1001,MB,DO,18048941.00
1002,DR,DO,40185.00
1002,MB,DO,524925.00
1003,CR,PT,133495748.00
1003,DR,PT,3504823.00
1003,FB,PT,5711433.00
1003,HR,DO,153168117.00
1003,LR,DO,69637279.00
1003,MB,DO,77360442.00
1003,MB,PT,674044.00
1003,TB,DO,2156028.00
1004,DR,PT,1139500.00
1004,MB,PT,2422013.00
1005,DR,DO,37886.00
1005,DR,PT,71317.00
1005,MB,PT,996160.00
1006,DR,PT,162083.00
1006,MB,PT,1438497.00
1007,DR,PT,450436.00
1007,DT,PT,21727.00
1007,MB,PT,724891.00
1008,DR,PT,654084.00
1008,MB,PT,5815840.00
1013,DR,PT,133477.00
1013,MB,PT,1225272.00
1014,DR,DO,88459.00
1014,DR,PT,226081.00
1014,DT,PT,142300.00
1014,MB,DO,2759796.00
1015,DR,PT,23631.00
1015,MB,PT,126534.00
1016,MB,DO,1523929.00
1017,DR,PT,401414.00
1017,MB,PT,282567.00
1040,DR,PT,10813.00
1040,MB,DO,1000035.00
1042,DR,DO,460127.00
1047,MB,DO,484065.00
1048,MB,DO,12412172.00
1049,DR,DO,183416.00
1049,MB,DO,1112.00
1050,DR,PT,267673.00
1050,MB,DO,5560602.00
1051,DR,DO,54033.00
1051,MB,DO,736210.00
1053,DR,PT,23713.00
1053,MB,PT,162754.00
1055,MB,DO,7476558.00
1056,MB,DO,3256198.00
1057,DR,DO,120946.00
1057,DR,PT,132265.00
1057,MB,DO,1519560.00
1057,MB,PT,43660.00
1061,DR,PT,2941365.00
1061,DT,PT,8065.00
1061,MB,PT,517426.00
1063,DR,PT,30285.00
1063,MB,DO,277205.00
1063,MB,PT,16673.00
1064,DR,PT,234215.00
1064,MB,PT,1591331.00
1066,DR,PT,101008.00
1066,MB,DO,2155343.00
1069,DR,DO,1675933.00
1086,DR,DO,16596.00
1086,MB,DO,292745.00
1086,MB,PT,14611.00
1087,DR,PT,75907.00
1087,MB,PT,228881.00
1088,FB,DO,2176368.00
1095,DR,DO,277010.00
1095,MB,DO,1503028.00
1096,DR,PT,6198.00
1096,DT,PT,9786.00
1096,MB,DO,697571.00
1098,DR,DO,19886.00
1098,MB,DO,0.00
1102,CR,PT,1885448.00
1102,MB,PT,508448.00
1105,DR,PT,2969174.00
1105,MB,PT,682851.00
1107,DR,DO,397615.00
1107,MB,DO,241615.00
1108,VP,DO,4021657.00
1110,VP,DO,270257.00
1115,CR,PT,6665907.00
1118,DR,PT,264131.00
1118,MB,PT,254590.00
1119,MB,DO,1335949.00
2002,DR,DO,289415.00
2002,DT,PT,211500.00
2002,MB,DO,13568178.00
2002,MB,PT,1345579.00
2003,DR,DO,86796.00
2003,DR,PT,272420.00
2003,MB,DO,2601756.00
2004,DR,DO,554200.00
