NTD_ID,MODE,SERVICE_ID,2006
1,DR,PT,659606.00
1,MB,DO,59418649.00
1,MB,PT,0.00
1,TB,DO,17360619.00
1,VP,DO,6238455.00
2,DR,DO,149026.00
2,DR,PT,52066.00
2,MB,DO,5801631.00
2,VP,DO,335041.00
3,DR,DO,71197.00
3,DR,PT,172859.00
3,MB,DO,6490693.00
3,MB,PT,2642817.00
3,VP,DO,2137441.00
5,DR,DO,33150.00
5,MB,DO,804398.00
6,DR,PT,60806.00
6,MB,DO,301019.00
6,VP,DO,112453.00
7,DR,PT,259345.00
7,MB,DO,5078340.00
7,VP,PT,21433.00
8,DR,PT,3344843.00
8,LR,DO,26149543.00
8,MB,DO,40714948.00
11,DR,DO,61028.00
11,DR,PT,6261.00
11,MB,DO,503501.00
11,MB,PT,135536.00
12,DR,PT,851340.00
12,MB,DO,3461154.00
12,VP,PT,280639.00
16,DR,PT,7707.00
16,MB,DO,93844.00
18,DR,DO,281220.00
18,DR,PT,53058.00
18,MB,DO,708239.00
18,VP,DO,1172849.00
19,DR,DO,103356.00
19,MB,DO,1482310.00
19,VP,DO,770923.00
20,DR,DO,304433.00
20,FB,PT,231064.00
20,MB,DO,2657745.00
20,VP,DO,543619.00
21,DR,DO,132825.00
21,DR,PT,65.00
21,MB,DO,1013928.00
22,DR,DO,14409.00
22,MB,DO,52530.00
23,MO,PT,370558.00
24,DR,DO,241677.00
24,MB,DO,4818489.00
25,DR,PT,360920.00
25,MB,DO,2044104.00
25,VP,PT,17346.00
28,FB,PT,1881778.00
29,DR,PT,243329.00
29,MB,DO,6804775.00
29,MB,PT,7395331.00
29,VP,DO,1564549.00
33,DR,DO,243329.00
34,DR,PT,112639.00
34,MB,DO,816634.00
35,FB,DO,32520094.00
40,CR,PT,5108179.00
40,LR,DO,1930.00
40,MB,PT,12941435.00
41,AR,DO,1343905.00
42,DR,DO,11946.00
42,MB,DO,22556.00
43,DR,DO,44285.00
43,DR,PT,11579.00
43,MB,DO,324753.00
44,DR,DO,5656.00
44,MB,DO,116544.00
44,VP,DO,168275.00
45,DR,DO,28312.00
45,MB,DO,154779.00
46,DR,DO,0.00
46,MB,DO,33360.00
49,VP,DO,280639.00
1001,DR,DO,421539.00
1001,DR,PT,151658.00
1001,MB,DO,21374315.00
1002,DR,DO,20113.00
1002,MB,DO,312072.00
1003,CR,DO,104286465.00
1003,DR,PT,1661848.00
1003,FB,PT,6025740.00
1003,HR,DO,109922405.00
1003,LR,DO,55719465.00
1003,MB,DO,59713683.00
1003,MB,PT,2746796.00
1003,TB,DO,1792105.00
1004,DR,PT,830134.00
1004,MB,PT,2303063.00
1005,DR,PT,99893.00
1005,MB,DO,770349.00
1006,DR,PT,230976.00
1006,MB,PT,1500633.00
1007,DR,PT,298148.00
1007,MB,PT,580058.00
1008,DR,PT,538550.00
1008,MB,PT,4805888.00
1013,DR,PT,123560.00
1013,MB,PT,1020184.00
1014,DR,DO,79788.00
1014,DR,PT,267669.00
1014,MB,DO,2332806.00
1016,MB,DO,1316819.00
1017,DR,PT,302858.00
1017,MB,PT,510250.00
1040,DR,PT,9458.00
1040,MB,DO,823489.00
1047,MB,DO,472929.00
1048,MB,DO,11847812.00
1049,DR,DO,125812.00
1049,MB,DO,0.00
1050,DR,PT,190022.00
1050,MB,DO,4801211.00
1051,DR,DO,43154.00
1051,MB,DO,726209.00
1052,MB,DO,40818.00
1053,DR,PT,21637.00
1053,MB,PT,183521.00
1055,MB,DO,6821306.00
1056,MB,DO,3017329.00
1057,DR,DO,108007.00
1057,DR,PT,99867.00
1057,MB,DO,1525689.00
1057,MB,PT,60402.00
1061,DR,PT,515039.00
1061,MB,PT,631200.00
1063,DR,PT,33270.00
1063,MB,PT,279739.00
1064,DR,PT,192905.00
1064,MB,PT,1259107.00
1066,DR,PT,88402.00
1066,MB,DO,1678981.00
