NTD_ID,MODE,SERVICE_ID,2005
1,DR,PT,675488.00
1,LR,DO,211571.00
1,MB,DO,58136140.00
1,MB,PT,7872045.00
1,TB,DO,17007997.00
1,VP,DO,5552340.00
2,DR,DO,140569.00
2,DR,PT,50562.00
2,MB,DO,5411522.00
2,VP,DO,244850.00
3,DR,DO,91973.00
3,DR,PT,158106.00
3,MB,DO,7203721.00
3,MB,PT,3113140.00
3,VP,DO,1642478.00
5,DR,DO,31865.00
5,MB,DO,1042125.00
6,DR,PT,69195.00
6,MB,DO,272478.00
6,VP,DO,110275.00
7,DR,PT,223319.00
7,MB,DO,4378336.00
7,VP,PT,12704.00
8,DR,PT,127756.00
8,LR,DO,23249374.00
8,MB,DO,37559384.00
11,DR,DO,60152.00
11,DR,PT,5040.00
11,MB,DO,577551.00
11,MB,PT,110939.00
12,DR,PT,776647.00
12,MB,DO,2867604.00
12,VP,PT,354035.00
16,DR,PT,6526.00
16,MB,DO,92209.00
18,DR,DO,139255.00
18,DR,PT,142014.00
18,MB,DO,668095.00
18,VP,DO,1204748.00
19,DR,DO,58810.00
19,MB,DO,1390997.00
19,VP,DO,620317.00
20,DR,DO,201298.00
20,FB,PT,195603.00
20,MB,DO,1897753.00
20,VP,DO,323923.00
21,DR,DO,105322.00
21,DR,PT,63.00
21,MB,DO,904048.00
22,DR,DO,111630.00
22,MB,DO,52155.00
23,MO,PT,2153805.00
24,DR,DO,158469.00
24,MB,DO,4606865.00
24,VP,DO,1107.00
25,DR,PT,343733.00
25,MB,DO,1879173.00
25,VP,PT,16520.00
28,FB,PT,1616163.00
29,DR,PT,140074.00
29,MB,DO,6214017.00
29,MB,PT,7108255.00
29,VP,DO,1364342.00
33,DR,DO,140074.00
34,DR,PT,136839.00
34,MB,DO,750969.00
35,FB,DO,58457439.00
40,CR,PT,3052863.00
40,LR,DO,0.00
40,MB,PT,13429855.00
41,AR,DO,1231778.00
43,DR,DO,37660.00
43,DR,PT,10907.00
43,MB,DO,276172.00
44,DR,DO,15537.00
44,MB,DO,94195.00
44,VP,DO,86656.00
45,DR,DO,26992.00
45,MB,DO,166352.00
46,DR,DO,0.00
46,MB,DO,0.00
1001,DR,DO,367856.00
1001,DR,PT,119428.00
1001,MB,DO,19504737.00
1002,DR,DO,15444.00
1002,MB,DO,469597.00
1003,CR,DO,98790037.00
1003,DR,PT,1766630.00
1003,FB,PT,5766927.00
1003,HR,DO,106478487.00
1003,LR,DO,53622488.00
1003,MB,DO,56905693.00
1003,MB,PT,2542717.00
1003,TB,DO,1707832.00
1004,DR,PT,808132.00
1004,MB,PT,2239562.00
1005,DR,PT,97461.00
1005,MB,DO,831688.00
1006,DR,PT,262468.00
1006,MB,PT,1487328.00
1007,MB,PT,483689.00
1008,DR,PT,573085.00
1008,MB,PT,4661553.00
1013,DR,PT,109773.00
1013,MB,PT,986436.00
1014,DR,DO,50905.00
1014,DR,PT,267278.00
1014,MB,DO,1699441.00
1016,MB,DO,1120592.00
1017,DR,PT,794746.00
1040,DR,PT,13133.00
1040,MB,DO,731005.00
1048,MB,DO,10683491.00
1049,DR,DO,131358.00
1049,MB,DO,0.00
1050,DR,PT,175145.00
1050,MB,DO,4254234.00
1051,DR,DO,38784.00
1051,MB,DO,633919.00
1053,DR,PT,19069.00
1053,MB,PT,178142.00
1055,MB,DO,6321171.00
1056,MB,DO,2689116.00
1057,DR,DO,89229.00
1057,DR,PT,92802.00
1057,MB,DO,1441147.00
1057,MB,PT,53615.00
1061,DR,PT,599111.00
1061,MB,PT,558430.00
1063,DR,PT,36809.00
1063,MB,PT,256271.00
1064,DR,PT,183131.00
1064,MB,PT,1352843.00
1066,DR,PT,65378.00
1066,MB,DO,1235450.00
1066,VP,DO,11676.00
1069,DR,DO,1628293.00
1086,DR,DO,3638.00
1086,MB,DO,118393.00
1086,MB,PT,15307.00
1087,DR,PT,42968.00
1087,MB,PT,176482.00
1088,FB,DO,1727649.00
1095,DR,DO,1391576.00
1095,MB,DO,236161.00
1096,DR,PT,541.00
1096,MB,DO,429241.00
1098,DR,DO,92964.00
1098,MB,DO,81403.00
1102,CR,PT,1234074.00
1102,DR,PT,236161.00
1102,MB,PT,2367550.00
1105,DR,PT,1475200.00
1105,MB,PT,1565954.00
1107,DR,DO,428687.00
