,CBSA,Mode,Year,MNAME,MAINTENANCE,RESTRUCTURE,NOTES,LINKS
0,10420,Bus,2002,"Akron, OH Metro Area",0,0,,
1,10420,Bus,2003,"Akron, OH Metro Area",0,0,,
2,10420,Bus,2004,"Akron, OH Metro Area",0,0,,
3,10420,Bus,2005,"Akron, OH Metro Area",0,0,,
4,10420,Bus,2006,"Akron, OH Metro Area",0,0,,
5,10420,Bus,2007,"Akron, OH Metro Area",0,0,,
6,10420,Bus,2008,"Akron, OH Metro Area",0,0,,
7,10420,Bus,2009,"Akron, OH Metro Area",0,0,,
8,10420,Bus,2010,"Akron, OH Metro Area",0,0,,
9,10420,Bus,2011,"Akron, OH Metro Area",0,0,,
10,10420,Bus,2012,"Akron, OH Metro Area",0,0,,
11,10420,Bus,2013,"Akron, OH Metro Area",0,0,,
12,10420,Bus,2014,"Akron, OH Metro Area",0,0,,
13,10420,Bus,2015,"Akron, OH Metro Area",0,0,,
14,10420,Bus,2016,"Akron, OH Metro Area",0,0,,
15,10420,Bus,2017,"Akron, OH Metro Area",0,0,,
16,10420,Bus,2018,"Akron, OH Metro Area",0,0,,
17,10500,Bus,2002,"Albany, GA Metro Area",0,0,,
18,10500,Bus,2003,"Albany, GA Metro Area",0,0,,
19,10500,Bus,2004,"Albany, GA Metro Area",0,0,,
20,10500,Bus,2005,"Albany, GA Metro Area",0,0,,
21,10500,Bus,2006,"Albany, GA Metro Area",0,0,,
22,10500,Bus,2007,"Albany, GA Metro Area",0,0,,
23,10500,Bus,2008,"Albany, GA Metro Area",0,0,,
24,10500,Bus,2009,"Albany, GA Metro Area",0,0,,
25,10500,Bus,2010,"Albany, GA Metro Area",0,0,,
26,10500,Bus,2011,"Albany, GA Metro Area",0,0,,
27,10500,Bus,2012,"Albany, GA Metro Area",0,0,,
28,10500,Bus,2013,"Albany, GA Metro Area",0,0,,
29,10500,Bus,2014,"Albany, GA Metro Area",0,0,,
30,10500,Bus,2015,"Albany, GA Metro Area",0,0,,
31,10500,Bus,2016,"Albany, GA Metro Area",0,0,,
32,10500,Bus,2017,"Albany, GA Metro Area",0,0,,
33,10500,Bus,2018,"Albany, GA Metro Area",0,0,,
34,10580,Bus,2002,"Albany-Schenectady-Troy, NY Metro Area",0,0,,
35,10580,Bus,2003,"Albany-Schenectady-Troy, NY Metro Area",0,0,,
36,10580,Bus,2004,"Albany-Schenectady-Troy, NY Metro Area",0,0,,
37,10580,Bus,2005,"Albany-Schenectady-Troy, NY Metro Area",0,0,,
38,10580,Bus,2006,"Albany-Schenectady-Troy, NY Metro Area",0,0,,
39,10580,Bus,2007,"Albany-Schenectady-Troy, NY Metro Area",0,0,,
40,10580,Bus,2008,"Albany-Schenectady-Troy, NY Metro Area",0,0,,
41,10580,Bus,2009,"Albany-Schenectady-Troy, NY Metro Area",0,0,,
42,10580,Bus,2010,"Albany-Schenectady-Troy, NY Metro Area",0,0,,
43,10580,Bus,2011,"Albany-Schenectady-Troy, NY Metro Area",0,0,,
44,10580,Bus,2012,"Albany-Schenectady-Troy, NY Metro Area",0,0,,
45,10580,Bus,2013,"Albany-Schenectady-Troy, NY Metro Area",0,0,,
46,10580,Bus,2014,"Albany-Schenectady-Troy, NY Metro Area",0,0,,
47,10580,Bus,2015,"Albany-Schenectady-Troy, NY Metro Area",0,0,,
48,10580,Bus,2016,"Albany-Schenectady-Troy, NY Metro Area",0,0,,
49,10580,Bus,2017,"Albany-Schenectady-Troy, NY Metro Area",0,0,,
50,10580,Bus,2018,"Albany-Schenectady-Troy, NY Metro Area",0,0,,
51,10740,Bus,2002,"Albuquerque, NM Metro Area",0,0,,
52,10740,Bus,2003,"Albuquerque, NM Metro Area",0,0,,
53,10740,Bus,2004,"Albuquerque, NM Metro Area",0,0,,
54,10740,Bus,2005,"Albuquerque, NM Metro Area",0,0,,
55,10740,Bus,2006,"Albuquerque, NM Metro Area",0,0,,
56,10740,Bus,2007,"Albuquerque, NM Metro Area",0,0,,
57,10740,Bus,2008,"Albuquerque, NM Metro Area",0,0,,
58,10740,Bus,2009,"Albuquerque, NM Metro Area",0,0,,
59,10740,Bus,2010,"Albuquerque, NM Metro Area",0,0,,
60,10740,Bus,2011,"Albuquerque, NM Metro Area",0,0,,
61,10740,Bus,2012,"Albuquerque, NM Metro Area",0,0,,
62,10740,Bus,2013,"Albuquerque, NM Metro Area",0,0,,
63,10740,Bus,2014,"Albuquerque, NM Metro Area",0,0,,
64,10740,Bus,2015,"Albuquerque, NM Metro Area",0,0,,
65,10740,Bus,2016,"Albuquerque, NM Metro Area",0,0,,
66,10740,Bus,2017,"Albuquerque, NM Metro Area",0,0,,
67,10740,Bus,2018,"Albuquerque, NM Metro Area",0,0,,
68,10740,Rail,2009,"Albuquerque, NM Metro Area",0,0,,
69,10740,Rail,2010,"Albuquerque, NM Metro Area",0,0,,
70,10740,Rail,2011,"Albuquerque, NM Metro Area",0,0,,
71,10740,Rail,2012,"Albuquerque, NM Metro Area",0,0,,
72,10740,Rail,2013,"Albuquerque, NM Metro Area",0,0,,
73,10740,Rail,2014,"Albuquerque, NM Metro Area",0,0,,
74,10740,Rail,2015,"Albuquerque, NM Metro Area",0,0,,
75,10740,Rail,2016,"Albuquerque, NM Metro Area",0,0,,
76,10740,Rail,2017,"Albuquerque, NM Metro Area",0,0,,
77,10740,Rail,2018,"Albuquerque, NM Metro Area",0,0,,
78,10900,Bus,2002,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0,0,,
79,10900,Bus,2003,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0,0,,
80,10900,Bus,2004,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0,0,,
81,10900,Bus,2005,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0,0,,
82,10900,Bus,2006,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0,0,,
83,10900,Bus,2007,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0,0,,
84,10900,Bus,2008,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0,0,,
85,10900,Bus,2009,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0,0,,
86,10900,Bus,2010,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0,0,,
87,10900,Bus,2011,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0,0,,
88,10900,Bus,2012,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0,0,,
89,10900,Bus,2013,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0,0,,
90,10900,Bus,2014,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0,0,,
91,10900,Bus,2015,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0,0,,
92,10900,Bus,2016,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0,0,,
93,10900,Bus,2017,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0,0,,
94,10900,Bus,2018,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",0,0,,
95,11020,Bus,2002,"Altoona, PA Metro Area",0,0,,
96,11020,Bus,2003,"Altoona, PA Metro Area",0,0,,
97,11020,Bus,2004,"Altoona, PA Metro Area",0,0,,
98,11020,Bus,2005,"Altoona, PA Metro Area",0,0,,
99,11020,Bus,2006,"Altoona, PA Metro Area",0,0,,
100,11020,Bus,2007,"Altoona, PA Metro Area",0,0,,
101,11020,Bus,2008,"Altoona, PA Metro Area",0,0,,
102,11020,Bus,2009,"Altoona, PA Metro Area",0,0,,
103,11020,Bus,2010,"Altoona, PA Metro Area",0,0,,
104,11020,Bus,2011,"Altoona, PA Metro Area",0,0,,
105,11020,Bus,2012,"Altoona, PA Metro Area",0,0,,
106,11020,Bus,2013,"Altoona, PA Metro Area",0,0,,
107,11020,Bus,2014,"Altoona, PA Metro Area",0,0,,
108,11020,Bus,2015,"Altoona, PA Metro Area",0,0,,
109,11020,Bus,2016,"Altoona, PA Metro Area",0,0,,
110,11020,Bus,2017,"Altoona, PA Metro Area",0,0,,
111,11020,Bus,2018,"Altoona, PA Metro Area",0,0,,
