,CBSA,Mode,Year,MNAME,MAINTENANCE,RESTRUCTURE,NOTES,LINKS
112,11180,Bus,2003,"Ames, IA Metro Area",0,0,,
113,11180,Bus,2004,"Ames, IA Metro Area",0,0,,
114,11180,Bus,2005,"Ames, IA Metro Area",0,0,,
115,11180,Bus,2006,"Ames, IA Metro Area",0,0,,
116,11180,Bus,2007,"Ames, IA Metro Area",0,0,,
117,11180,Bus,2008,"Ames, IA Metro Area",0,0,,
118,11180,Bus,2009,"Ames, IA Metro Area",0,0,,
119,11180,Bus,2010,"Ames, IA Metro Area",0,0,,
120,11180,Bus,2011,"Ames, IA Metro Area",0,0,,
121,11180,Bus,2012,"Ames, IA Metro Area",0,0,,
122,11180,Bus,2013,"Ames, IA Metro Area",0,0,,
123,11180,Bus,2014,"Ames, IA Metro Area",0,0,,
124,11180,Bus,2015,"Ames, IA Metro Area",0,0,,
125,11180,Bus,2016,"Ames, IA Metro Area",0,0,,
126,11180,Bus,2017,"Ames, IA Metro Area",0,0,,
127,11180,Bus,2018,"Ames, IA Metro Area",0,0,,
128,11260,Bus,2002,"Anchorage, AK Metro Area",0,0,,
129,11260,Bus,2003,"Anchorage, AK Metro Area",0,0,,
130,11260,Bus,2004,"Anchorage, AK Metro Area",0,0,,
131,11260,Bus,2005,"Anchorage, AK Metro Area",0,0,,
132,11260,Bus,2006,"Anchorage, AK Metro Area",0,0,,
133,11260,Bus,2007,"Anchorage, AK Metro Area",0,0,,
134,11260,Bus,2008,"Anchorage, AK Metro Area",0,0,,
135,11260,Bus,2009,"Anchorage, AK Metro Area",0,0,,
136,11260,Bus,2010,"Anchorage, AK Metro Area",0,0,,
137,11260,Bus,2011,"Anchorage, AK Metro Area",0,0,,
138,11260,Bus,2012,"Anchorage, AK Metro Area",0,0,,
139,11260,Bus,2013,"Anchorage, AK Metro Area",0,0,,
140,11260,Bus,2014,"Anchorage, AK Metro Area",0,0,,
141,11260,Bus,2015,"Anchorage, AK Metro Area",0,0,,
142,11260,Bus,2016,"Anchorage, AK Metro Area",0,0,,
143,11260,Bus,2017,"Anchorage, AK Metro Area",0,0,,
144,11260,Bus,2018,"Anchorage, AK Metro Area",0,0,,
145,11460,Bus,2002,"Ann Arbor, MI Metro Area",0,0,,
146,11460,Bus,2003,"Ann Arbor, MI Metro Area",0,0,,
147,11460,Bus,2004,"Ann Arbor, MI Metro Area",0,0,,
148,11460,Bus,2005,"Ann Arbor, MI Metro Area",0,0,,
149,11460,Bus,2006,"Ann Arbor, MI Metro Area",0,0,,
150,11460,Bus,2007,"Ann Arbor, MI Metro Area",0,0,,
151,11460,Bus,2008,"Ann Arbor, MI Metro Area",0,0,,
152,11460,Bus,2009,"Ann Arbor, MI Metro Area",0,0,,
153,11460,Bus,2010,"Ann Arbor, MI Metro Area",0,0,,
154,11460,Bus,2011,"Ann Arbor, MI Metro Area",0,0,,
155,11460,Bus,2012,"Ann Arbor, MI Metro Area",0,0,,
156,11460,Bus,2013,"Ann Arbor, MI Metro Area",0,0,,
157,11460,Bus,2014,"Ann Arbor, MI Metro Area",0,0,,
158,11460,Bus,2015,"Ann Arbor, MI Metro Area",0,0,,
159,11460,Bus,2016,"Ann Arbor, MI Metro Area",0,0,,
160,11460,Bus,2017,"Ann Arbor, MI Metro Area",0,0,,
161,11460,Bus,2018,"Ann Arbor, MI Metro Area",0,0,,
162,11540,Bus,2002,"Appleton, WI Metro Area",0,0,,
163,11540,Bus,2003,"Appleton, WI Metro Area",0,0,,
164,11540,Bus,2004,"Appleton, WI Metro Area",0,0,,
165,11540,Bus,2005,"Appleton, WI Metro Area",0,0,,
166,11540,Bus,2006,"Appleton, WI Metro Area",0,0,,
167,11540,Bus,2007,"Appleton, WI Metro Area",0,0,,
168,11540,Bus,2008,"Appleton, WI Metro Area",0,0,,
169,11540,Bus,2009,"Appleton, WI Metro Area",0,0,,
170,11540,Bus,2010,"Appleton, WI Metro Area",0,0,,
171,11540,Bus,2011,"Appleton, WI Metro Area",0,0,,
172,11540,Bus,2012,"Appleton, WI Metro Area",0,0,,
173,11540,Bus,2013,"Appleton, WI Metro Area",0,0,,
174,11540,Bus,2014,"Appleton, WI Metro Area",0,0,,
175,11540,Bus,2015,"Appleton, WI Metro Area",0,0,,
176,11540,Bus,2016,"Appleton, WI Metro Area",0,0,,
177,11540,Bus,2017,"Appleton, WI Metro Area",0,0,,
178,11540,Bus,2018,"Appleton, WI Metro Area",0,0,,
179,11700,Bus,2002,"Asheville, NC Metro Area",0,0,,
180,11700,Bus,2003,"Asheville, NC Metro Area",0,0,,
181,11700,Bus,2004,"Asheville, NC Metro Area",0,0,,
182,11700,Bus,2005,"Asheville, NC Metro Area",0,0,,
183,11700,Bus,2006,"Asheville, NC Metro Area",0,0,,
184,11700,Bus,2007,"Asheville, NC Metro Area",0,0,,
185,11700,Bus,2008,"Asheville, NC Metro Area",0,0,,
186,11700,Bus,2009,"Asheville, NC Metro Area",0,0,,
187,11700,Bus,2010,"Asheville, NC Metro Area",0,0,,
188,11700,Bus,2011,"Asheville, NC Metro Area",0,0,,
189,11700,Bus,2012,"Asheville, NC Metro Area",0,0,,
190,11700,Bus,2013,"Asheville, NC Metro Area",0,0,,
191,11700,Bus,2014,"Asheville, NC Metro Area",0,0,,
192,11700,Bus,2015,"Asheville, NC Metro Area",0,0,,
193,11700,Bus,2016,"Asheville, NC Metro Area",0,0,,
194,11700,Bus,2017,"Asheville, NC Metro Area",0,0,,
195,11700,Bus,2018,"Asheville, NC Metro Area",0,0,,
196,12020,Bus,2006,"Athens-Clarke County, GA Metro Area",0,0,,
197,12020,Bus,2007,"Athens-Clarke County, GA Metro Area",0,0,,
198,12020,Bus,2008,"Athens-Clarke County, GA Metro Area",0,0,,
199,12020,Bus,2009,"Athens-Clarke County, GA Metro Area",0,0,,
200,12020,Bus,2010,"Athens-Clarke County, GA Metro Area",0,0,,
201,12020,Bus,2011,"Athens-Clarke County, GA Metro Area",0,0,,
202,12020,Bus,2012,"Athens-Clarke County, GA Metro Area",0,0,,
203,12020,Bus,2013,"Athens-Clarke County, GA Metro Area",0,0,,
204,12020,Bus,2014,"Athens-Clarke County, GA Metro Area",0,0,,
205,12020,Bus,2015,"Athens-Clarke County, GA Metro Area",0,0,,
206,12020,Bus,2016,"Athens-Clarke County, GA Metro Area",0,0,,
207,12020,Bus,2017,"Athens-Clarke County, GA Metro Area",0,0,,
208,12020,Bus,2018,"Athens-Clarke County, GA Metro Area",0,0,,
209,12060,Bus,2002,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
210,12060,Bus,2003,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
211,12060,Bus,2004,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
212,12060,Bus,2005,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
213,12060,Bus,2006,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
214,12060,Bus,2007,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
215,12060,Bus,2008,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
216,12060,Bus,2009,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
217,12060,Bus,2010,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
218,12060,Bus,2011,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
219,12060,Bus,2012,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
220,12060,Bus,2013,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
221,12060,Bus,2014,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
222,12060,Bus,2015,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
223,12060,Bus,2016,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
224,12060,Bus,2017,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
225,12060,Bus,2018,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
226,12060,Rail,2002,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
227,12060,Rail,2003,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
228,12060,Rail,2004,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
229,12060,Rail,2005,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
230,12060,Rail,2006,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
231,12060,Rail,2007,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
232,12060,Rail,2008,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
233,12060,Rail,2009,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
234,12060,Rail,2010,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
235,12060,Rail,2011,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
236,12060,Rail,2012,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
237,12060,Rail,2013,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
238,12060,Rail,2014,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
239,12060,Rail,2015,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
240,12060,Rail,2016,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
241,12060,Rail,2017,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
242,12060,Rail,2018,"Atlanta-Sandy Springs-Marietta, GA Metro Area",0,0,,
243,12260,Bus,2006,"Augusta-Richmond County, GA-SC Metro Area",0,0,,
244,12260,Bus,2007,"Augusta-Richmond County, GA-SC Metro Area",0,0,,
245,12260,Bus,2008,"Augusta-Richmond County, GA-SC Metro Area",0,0,,
246,12260,Bus,2009,"Augusta-Richmond County, GA-SC Metro Area",0,0,,
247,12260,Bus,2010,"Augusta-Richmond County, GA-SC Metro Area",0,0,,
248,12260,Bus,2011,"Augusta-Richmond County, GA-SC Metro Area",0,0,,
249,12260,Bus,2012,"Augusta-Richmond County, GA-SC Metro Area",0,0,,
250,12260,Bus,2013,"Augusta-Richmond County, GA-SC Metro Area",0,0,,
251,12260,Bus,2014,"Augusta-Richmond County, GA-SC Metro Area",0,0,,
252,12260,Bus,2015,"Augusta-Richmond County, GA-SC Metro Area",0,0,,
253,12260,Bus,2016,"Augusta-Richmond County, GA-SC Metro Area",0,0,,
254,12260,Bus,2017,"Augusta-Richmond County, GA-SC Metro Area",0,0,,
255,12260,Bus,2018,"Augusta-Richmond County, GA-SC Metro Area",0,0,,
256,12420,Bus,2002,"Austin-Round Rock-San Marcos, TX Metro Area",0,0,,
257,12420,Bus,2003,"Austin-Round Rock-San Marcos, TX Metro Area",0,0,,
258,12420,Bus,2004,"Austin-Round Rock-San Marcos, TX Metro Area",0,0,,
259,12420,Bus,2005,"Austin-Round Rock-San Marcos, TX Metro Area",0,0,,
260,12420,Bus,2006,"Austin-Round Rock-San Marcos, TX Metro Area",0,0,,
261,12420,Bus,2007,"Austin-Round Rock-San Marcos, TX Metro Area",0,0,,
262,12420,Bus,2008,"Austin-Round Rock-San Marcos, TX Metro Area",0,0,,
263,12420,Bus,2009,"Austin-Round Rock-San Marcos, TX Metro Area",0,0,,
264,12420,Bus,2010,"Austin-Round Rock-San Marcos, TX Metro Area",0,0,,
265,12420,Bus,2011,"Austin-Round Rock-San Marcos, TX Metro Area",0,0,,
266,12420,Bus,2012,"Austin-Round Rock-San Marcos, TX Metro Area",0,0,,
267,12420,Bus,2013,"Austin-Round Rock-San Marcos, TX Metro Area",0,0,,
268,12420,Bus,2014,"Austin-Round Rock-San Marcos, TX Metro Area",0,0,,
269,12420,Bus,2015,"Austin-Round Rock-San Marcos, TX Metro Area",0,0,,
270,12420,Bus,2016,"Austin-Round Rock-San Marcos, TX Metro Area",0,0,,
271,12420,Bus,2017,"Austin-Round Rock-San Marcos, TX Metro Area",0,0,,
272,12420,Bus,2018,"Austin-Round Rock-San Marcos, TX Metro Area",0,0,,
273,12540,Bus,2004,"Bakersfield-Delano, CA Metro Area",0,0,,
274,12540,Bus,2005,"Bakersfield-Delano, CA Metro Area",0,0,,
275,12540,Bus,2006,"Bakersfield-Delano, CA Metro Area",0,0,,
276,12540,Bus,2007,"Bakersfield-Delano, CA Metro Area",0,0,,
277,12540,Bus,2008,"Bakersfield-Delano, CA Metro Area",0,0,,
278,12540,Bus,2009,"Bakersfield-Delano, CA Metro Area",0,0,,
279,12540,Bus,2010,"Bakersfield-Delano, CA Metro Area",0,0,,
280,12540,Bus,2011,"Bakersfield-Delano, CA Metro Area",0,0,,
281,12540,Bus,2012,"Bakersfield-Delano, CA Metro Area",0,0,,
282,12540,Bus,2013,"Bakersfield-Delano, CA Metro Area",0,0,,
283,12540,Bus,2014,"Bakersfield-Delano, CA Metro Area",0,0,,
284,12540,Bus,2015,"Bakersfield-Delano, CA Metro Area",0,0,,
285,12540,Bus,2016,"Bakersfield-Delano, CA Metro Area",0,0,,
286,12540,Bus,2017,"Bakersfield-Delano, CA Metro Area",0,0,,
287,12540,Bus,2018,"Bakersfield-Delano, CA Metro Area",0,0,,
288,12580,Bus,2002,"Baltimore-Towson, MD Metro Area",0,0,,
289,12580,Bus,2003,"Baltimore-Towson, MD Metro Area",0,0,,
290,12580,Bus,2004,"Baltimore-Towson, MD Metro Area",0,0,,
291,12580,Bus,2005,"Baltimore-Towson, MD Metro Area",0,0,,
292,12580,Bus,2006,"Baltimore-Towson, MD Metro Area",0,0,,
293,12580,Bus,2007,"Baltimore-Towson, MD Metro Area",0,0,,
294,12580,Bus,2008,"Baltimore-Towson, MD Metro Area",0,0,,
295,12580,Bus,2009,"Baltimore-Towson, MD Metro Area",0,0,,
296,12580,Bus,2010,"Baltimore-Towson, MD Metro Area",0,0,,
297,12580,Bus,2011,"Baltimore-Towson, MD Metro Area",0,0,,
298,12580,Bus,2012,"Baltimore-Towson, MD Metro Area",0,0,,
299,12580,Bus,2013,"Baltimore-Towson, MD Metro Area",0,0,,
300,12580,Bus,2014,"Baltimore-Towson, MD Metro Area",0,0,,
301,12580,Bus,2015,"Baltimore-Towson, MD Metro Area",0,0,,
302,12580,Bus,2016,"Baltimore-Towson, MD Metro Area",0,0,,
303,12580,Bus,2017,"Baltimore-Towson, MD Metro Area",0,0.5,June 2017 TCRP 140,
304,12580,Bus,2018,"Baltimore-Towson, MD Metro Area",0,1,June 2017 TCRP 140,
305,12580,Rail,2002,"Baltimore-Towson, MD Metro Area",0,0,,
306,12580,Rail,2003,"Baltimore-Towson, MD Metro Area",0,0,,
307,12580,Rail,2004,"Baltimore-Towson, MD Metro Area",0,0,,
308,12580,Rail,2005,"Baltimore-Towson, MD Metro Area",0,0,,
309,12580,Rail,2006,"Baltimore-Towson, MD Metro Area",0,0,,
310,12580,Rail,2007,"Baltimore-Towson, MD Metro Area",0,0,,
311,12580,Rail,2008,"Baltimore-Towson, MD Metro Area",0,0,,
312,12580,Rail,2009,"Baltimore-Towson, MD Metro Area",0,0,,
313,12580,Rail,2010,"Baltimore-Towson, MD Metro Area",0,0,,
314,12580,Rail,2011,"Baltimore-Towson, MD Metro Area",0,0,,
315,12580,Rail,2012,"Baltimore-Towson, MD Metro Area",0,0,,
316,12580,Rail,2013,"Baltimore-Towson, MD Metro Area",0,0,,
317,12580,Rail,2014,"Baltimore-Towson, MD Metro Area",0,0,,
318,12580,Rail,2015,"Baltimore-Towson, MD Metro Area",0,0,,
319,12580,Rail,2016,"Baltimore-Towson, MD Metro Area",0,0,,
320,12580,Rail,2017,"Baltimore-Towson, MD Metro Area",0,0,,
321,12580,Rail,2018,"Baltimore-Towson, MD Metro Area",0,0,,
322,12700,Bus,2006,"Barnstable Town, MA Metro Area",0,0,,
323,12700,Bus,2007,"Barnstable Town, MA Metro Area",0,0,,
324,12700,Bus,2008,"Barnstable Town, MA Metro Area",0,0,,
325,12700,Bus,2009,"Barnstable Town, MA Metro Area",0,0,,
326,12700,Bus,2010,"Barnstable Town, MA Metro Area",0,0,,
327,12700,Bus,2011,"Barnstable Town, MA Metro Area",0,0,,
328,12700,Bus,2012,"Barnstable Town, MA Metro Area",0,0,,
329,12700,Bus,2013,"Barnstable Town, MA Metro Area",0,0,,
330,12700,Bus,2014,"Barnstable Town, MA Metro Area",0,0,,
331,12700,Bus,2015,"Barnstable Town, MA Metro Area",0,0,,
332,12700,Bus,2016,"Barnstable Town, MA Metro Area",0,0,,
333,12700,Bus,2017,"Barnstable Town, MA Metro Area",0,0,,
334,12700,Bus,2018,"Barnstable Town, MA Metro Area",0,0,,
335,12940,Bus,2004,"Baton Rouge, LA Metro Area",0,0,,
336,12940,Bus,2005,"Baton Rouge, LA Metro Area",0,0,,
337,12940,Bus,2006,"Baton Rouge, LA Metro Area",0,0,,
338,12940,Bus,2007,"Baton Rouge, LA Metro Area",0,0,,
339,12940,Bus,2008,"Baton Rouge, LA Metro Area",0,0,,
340,12940,Bus,2009,"Baton Rouge, LA Metro Area",0,0,,
341,12940,Bus,2010,"Baton Rouge, LA Metro Area",0,0,,
342,12940,Bus,2011,"Baton Rouge, LA Metro Area",0,0,,
343,12940,Bus,2012,"Baton Rouge, LA Metro Area",0,0,,
344,12940,Bus,2013,"Baton Rouge, LA Metro Area",0,0,,
345,12940,Bus,2014,"Baton Rouge, LA Metro Area",0,0,,
346,12940,Bus,2015,"Baton Rouge, LA Metro Area",0,0,,
347,12940,Bus,2016,"Baton Rouge, LA Metro Area",0,0,,
348,12940,Bus,2017,"Baton Rouge, LA Metro Area",0,0,,
349,12940,Bus,2018,"Baton Rouge, LA Metro Area",0,0,,
350,13020,Bus,2006,"Bay City, MI Metro Area",0,0,,
351,13020,Bus,2007,"Bay City, MI Metro Area",0,0,,
352,13020,Bus,2008,"Bay City, MI Metro Area",0,0,,
353,13020,Bus,2009,"Bay City, MI Metro Area",0,0,,
354,13020,Bus,2010,"Bay City, MI Metro Area",0,0,,
355,13020,Bus,2011,"Bay City, MI Metro Area",0,0,,
356,13020,Bus,2012,"Bay City, MI Metro Area",0,0,,
357,13020,Bus,2013,"Bay City, MI Metro Area",0,0,,
358,13020,Bus,2014,"Bay City, MI Metro Area",0,0,,
359,13020,Bus,2015,"Bay City, MI Metro Area",0,0,,
360,13020,Bus,2016,"Bay City, MI Metro Area",0,0,,
361,13020,Bus,2017,"Bay City, MI Metro Area",0,0,,
362,13020,Bus,2018,"Bay City, MI Metro Area",0,0,,
363,13140,Bus,2005,"Beaumont-Port Arthur, TX Metro Area",0,0,,
364,13140,Bus,2006,"Beaumont-Port Arthur, TX Metro Area",0,0,,
365,13140,Bus,2007,"Beaumont-Port Arthur, TX Metro Area",0,0,,
366,13140,Bus,2008,"Beaumont-Port Arthur, TX Metro Area",0,0,,
367,13140,Bus,2009,"Beaumont-Port Arthur, TX Metro Area",0,0,,
368,13140,Bus,2010,"Beaumont-Port Arthur, TX Metro Area",0,0,,
369,13140,Bus,2011,"Beaumont-Port Arthur, TX Metro Area",0,0,,
370,13140,Bus,2012,"Beaumont-Port Arthur, TX Metro Area",0,0,,
371,13140,Bus,2013,"Beaumont-Port Arthur, TX Metro Area",0,0,,
372,13140,Bus,2014,"Beaumont-Port Arthur, TX Metro Area",0,0,,
373,13140,Bus,2015,"Beaumont-Port Arthur, TX Metro Area",0,0,,
374,13140,Bus,2016,"Beaumont-Port Arthur, TX Metro Area",0,0,,
375,13140,Bus,2017,"Beaumont-Port Arthur, TX Metro Area",0,0,,
376,13140,Bus,2018,"Beaumont-Port Arthur, TX Metro Area",0,0,,
377,13380,Bus,2002,"Bellingham, WA Metro Area",0,0,,
