ID,Year,VRM_ADJ_log,FARE_per_UPT_2018_log,POP_EMP_log,TSD_POP_PCT,GAS_PRICE_2018_log,TOTAL_MED_INC_INDIV_2018_log,PCT_HH_NO_VEH,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS2_HINY,YEARS_SINCE_TNC_BUS2_MIDLOW,YEARS_SINCE_TNC_RAIL2_HINY,YEARS_SINCE_TNC_RAIL2_MIDLOW,BIKE_SHARE,scooter_flag,MDBF_Mechanical_log
"Akron, OH Metro Area-Bus",2002,15.208376625044341,0.14825406721340958,13.808215921076174,18.52598412658121,1.0660890969625496,10.47920963156113,8.6,3.1,0.0,0.0,0.0,0.0,0.0,0.0,10.877661911769035
"Akron, OH Metro Area-Bus",2003,15.195930102090628,0.4629039882063673,13.823451180111006,18.07696860948634,1.1389541679514876,10.446266881676316,8.2,3.1,0.0,0.0,0.0,0.0,0.0,0.0,12.251495649428428
"Akron, OH Metro Area-Bus",2004,15.27769908459787,0.4142036707432596,13.839439464371155,17.637662264760475,1.2336966414921573,10.403979542747855,7.79,3.1,0.0,0.0,0.0,0.0,0.0,0.0,11.073021759175914
"Akron, OH Metro Area-Bus",2005,15.214970882413319,0.46080355303115866,13.857195463269905,17.24354563238996,1.3616173734074501,10.365663122316796,7.47,3.1,0.0,0.0,0.0,0.0,0.0,0.0,10.085113617285002
"Akron, OH Metro Area-Bus",2006,15.200500822369563,0.46241954073795305,13.879496423290751,16.754286725168807,1.4291143583028187,10.305856204902874,6.85,2.5,0.0,0.0,0.0,0.0,0.0,0.0,10.088554336989121
"Akron, OH Metro Area-Bus",2007,15.335336419458681,0.4954104501432585,13.881340825687872,16.708371701965806,1.4843734312795258,10.32592678168161,7.48,2.9,0.0,0.0,0.0,0.0,0.0,0.0,10.365554400640063
"Akron, OH Metro Area-Bus",2008,15.169629026567392,0.48214715415594267,13.879020969528272,16.643547447366196,1.5642522442567808,10.29784755996769,6.76,3.0,0.0,0.0,0.0,0.0,0.0,0.0,9.938568429069559
"Akron, OH Metro Area-Bus",2009,15.048489219355647,0.49675353878290157,13.860814012525106,16.526820347603707,1.315362110251888,10.277892585389473,8.32,3.2,0.0,0.0,0.0,0.0,0.0,0.0,9.745242594244576
"Akron, OH Metro Area-Bus",2010,15.060082497963277,0.5098150338920184,13.850870703707582,16.372407180585842,1.434369984351454,10.249973767207049,8.04,2.9,0.0,0.0,0.0,0.0,0.0,0.0,9.68486602216225
"Akron, OH Metro Area-Bus",2011,15.181095727913105,0.48520370062029544,13.849324449797944,16.323618302502226,1.6001145849732161,10.229703082804564,8.13,3.3,0.0,0.0,0.0,0.0,0.0,0.0,10.253877008829749
"Akron, OH Metro Area-Bus",2012,15.166952079905556,0.7229662935778935,13.85068326204996,16.089151911964482,1.5963324092556201,10.235153973990212,8.54,3.0,0.0,0.0,0.0,0.0,0.0,0.0,10.31495469153286
"Akron, OH Metro Area-Bus",2013,15.242641391099621,0.7389895743200752,13.851960609453858,15.932015088863885,1.5689491957039656,10.236288773502844,8.07,3.5,0.0,0.0,0.0,0.0,0.0,0.0,8.275928616449333
"Akron, OH Metro Area-Bus",2014,15.28114129936723,0.7434184901488886,13.85629790868444,15.963911483678473,1.5176734391762705,10.22891473073712,8.14,3.2,0.0,1.0,0.0,0.0,0.0,0.0,8.359717022264423
"Akron, OH Metro Area-Bus",2015,15.333203888428155,0.7063306341849407,13.85957497335196,15.933988694243324,1.2652560327428346,10.259819837774073,8.38,3.1,0.0,2.0,0.0,0.0,0.0,0.0,8.53881282996895
"Akron, OH Metro Area-Bus",2016,15.29612410346924,0.6995170651992981,13.858550171748274,15.913366304909706,1.180960030016863,10.25419371870895,8.22,4.2,0.0,3.0,0.0,0.0,0.0,0.0,8.626805038562702
"Akron, OH Metro Area-Bus",2017,15.306356944576878,0.6938473613761365,13.861458037913705,15.874514040411938,1.240748222488552,10.312591365853002,7.79,4.8,0.0,4.0,0.0,0.0,0.0,0.0,9.859671588595997
"Akron, OH Metro Area-Bus",2018,15.305573228078433,0.6807840900266725,13.864611540491342,15.840261377559173,1.3137236682850553,10.354483550892281,7.44,5.525,0.0,5.0,0.0,0.0,0.0,0.0,10.032617388114193
"Albany, GA Metro Area-Bus",2002,13.184765242517294,0.5159994762782661,12.267083524974819,1.89612553095435,1.0515206811342592,10.397128264325614,14.66,2.9,0.0,0.0,0.0,0.0,0.0,0.0,8.512135563337043
"Albany, GA Metro Area-Bus",2003,13.192383720861127,0.4616148730624408,12.300189420328119,1.7386034402773962,1.1301432549474573,10.338840514891155,13.69,2.9,0.0,0.0,0.0,0.0,0.0,0.0,8.848720009943476
"Albany, GA Metro Area-Bus",2004,13.195083959005283,0.5259254649838664,12.320606318833162,1.588972260890232,1.241413087299781,10.269739527462283,12.73,2.9,0.0,0.0,0.0,0.0,0.0,0.0,8.91854987147986
"Albany, GA Metro Area-Bus",2005,13.191299713959879,0.5181361694898513,12.341016477692174,1.4530269820875217,1.378010141532193,10.20414347445792,11.94,2.9,0.0,0.0,0.0,0.0,0.0,0.0,8.971917074700205
"Albany, GA Metro Area-Bus",2006,13.188563018118533,0.4705403570565907,12.373652745669093,1.3067816941512886,1.4439734727065685,10.111050351883314,10.69,1.7,0.0,0.0,0.0,0.0,0.0,0.0,9.111134137822772
"Albany, GA Metro Area-Bus",2007,13.18999585731145,0.46720115159606607,12.366709402351724,1.233050925556163,1.4761122129390096,10.116594505276217,11.47,1.9,0.0,0.0,0.0,0.0,0.0,0.0,9.258263680609593
"Albany, GA Metro Area-Bus",2008,13.186265446048973,0.40326346694057835,12.367182269923859,1.1387468265940617,1.5812441780633186,10.08239244584384,9.97,3.2,0.0,0.0,0.0,0.0,0.0,0.0,9.42514412738743
"Albany, GA Metro Area-Bus",2009,13.179818747148508,0.4574754027229406,12.360588987066468,1.0393453402988346,1.3247380554207848,9.990061042000342,7.57,1.8,0.0,0.0,0.0,0.0,0.0,0.0,9.28808908467701
"Albany, GA Metro Area-Bus",2010,13.182485284645669,0.4299160121397821,12.324329257920281,0.9572172458947861,1.4371062896694937,9.994682458021025,11.19,1.5,0.0,0.0,0.0,0.0,0.0,0.0,9.290755380823692
"Albany, GA Metro Area-Bus",2011,13.261323259084351,0.42866830507769155,12.319690351566662,0.8705767338831929,1.6001145849732161,9.970452502512842,10.69,2.8,0.0,0.0,0.0,0.0,0.0,0.0,10.370981089690444
"Albany, GA Metro Area-Bus",2012,13.168280847908996,0.4449945171996949,12.29025946220245,1.0405176139699004,1.5985387315650998,9.989561114915071,9.61,2.8,0.0,0.0,0.0,0.0,0.0,0.0,9.479475890441313
"Albany, GA Metro Area-Bus",2013,13.202663282768935,0.45060547446451854,12.291845076175978,0.9777510446194897,1.5711959201772325,10.001472334220102,11.23,5.1,0.0,0.0,0.0,0.0,0.0,0.0,9.396081999580822
"Albany, GA Metro Area-Bus",2014,13.285588757307245,0.4966632566032472,12.271566194858112,1.0904610867912659,1.529225190308926,10.048115030277737,10.98,5.0,0.0,0.0,0.0,0.0,0.0,0.0,9.051597764401425
"Albany, GA Metro Area-Bus",2015,13.297121402672058,0.602735618760843,12.292298138794068,1.1025688388950108,1.2682425393437544,10.06894775225467,11.13,3.1,0.0,0.0,0.0,0.0,0.0,0.0,9.800667578012785
"Albany, GA Metro Area-Bus",2016,13.299685792619965,0.5782042851966239,12.278890857729564,0.9409465857081033,1.2001153739986312,10.104223927659504,11.11,3.5,0.0,0.0,0.0,0.0,1.0,0.0,9.74439468016955
"Albany, GA Metro Area-Bus",2017,13.308686915577582,0.505782840681164,12.28459921983876,0.9106843971163857,1.2553880912720916,10.04302599167543,9.77,5.5,0.0,1.0,0.0,0.0,1.0,0.0,9.248338521126426
"Albany, GA Metro Area-Bus",2018,13.398545579085818,0.45710557582408023,12.281446455458815,0.8451211040383562,1.3110318766193438,10.009883781657548,8.76,7.1,0.0,2.0,0.0,0.0,1.0,0.0,9.150155028662818
"Albany-Schenectady-Troy, NY Metro Area-Bus",2002,15.651296003476872,0.7525099496337949,13.962613247527418,27.001104990486702,1.0899078480379634,10.664478017093794,8.42,2.7,0.0,0.0,0.0,0.0,0.0,0.0,8.72782924274324
"Albany-Schenectady-Troy, NY Metro Area-Bus",2003,15.614030788322939,0.7146458452418409,13.986763862013172,25.81104147324845,1.1776698959048835,10.619832097384055,8.58,2.7,0.0,0.0,0.0,0.0,0.0,0.0,8.61570223445373
"Albany-Schenectady-Troy, NY Metro Area-Bus",2004,15.705698521813554,0.7316911003171579,14.014330334259173,24.690500836860902,1.2716968712206669,10.565543560499556,8.73,2.7,0.0,0.0,0.0,0.0,0.0,0.0,13.220793533501745
"Albany-Schenectady-Troy, NY Metro Area-Bus",2005,15.82877463617399,0.6850074057954528,14.040504731819762,23.707790266211134,1.3941385151429395,10.514361748536295,8.92,2.7,0.0,0.0,0.0,0.0,0.0,0.0,13.34386945545733
"Albany-Schenectady-Troy, NY Metro Area-Bus",2006,15.72950063918338,0.6515947735200667,14.0694179482783,22.56988308457419,1.4701758451005926,10.44271111082263,8.93,3.3,0.0,0.0,0.0,0.0,0.0,0.0,9.863084497632741
"Albany-Schenectady-Troy, NY Metro Area-Bus",2007,15.763497548889738,0.6592798777805225,14.068443308277628,22.341619812552295,1.4952832861317202,10.445603391404331,9.64,3.7,0.0,0.0,0.0,0.0,0.0,0.0,10.593038501673218
"Albany-Schenectady-Troy, NY Metro Area-Bus",2008,15.83145410363912,0.6137369421272321,14.070864925799995,22.162289397472126,1.5932068993236832,10.465017792452631,8.86,3.6,0.0,0.0,0.0,0.0,0.0,0.0,11.035679541274902
"Albany-Schenectady-Troy, NY Metro Area-Bus",2009,15.774785851391233,0.7268471144287891,14.064851212968973,21.903422606554166,1.3462793325816544,10.437346168581808,9.16,4.5,0.0,0.0,0.0,0.0,0.0,0.0,11.405348993785806
"Albany-Schenectady-Troy, NY Metro Area-Bus",2010,15.77884066608214,0.8175367767567299,14.075202539677973,21.40895143954287,1.4560536055347433,10.442423843122887,10.63,3.8,0.0,0.0,0.0,0.0,0.0,0.0,11.48839133297183
"Albany-Schenectady-Troy, NY Metro Area-Bus",2011,15.837247772114512,0.7514689698328584,14.069157769855138,21.231746527164198,1.6224725907045559,10.439266047705154,9.78,3.4,0.0,0.0,0.0,0.0,0.0,0.0,11.560591055244464
"Albany-Schenectady-Troy, NY Metro Area-Bus",2012,15.823833846132079,0.7064877037559575,14.075291550193802,21.108768576086785,1.631062408530763,10.425624560699571,10.13,3.6,0.0,0.0,0.0,0.0,0.0,0.0,10.416691869630307
"Albany-Schenectady-Troy, NY Metro Area-Bus",2013,15.822007277691919,0.7236746004331361,14.081734035311712,21.01092942858282,1.5977701075664184,10.399189386156271,10.05,4.1,0.0,0.0,0.0,0.0,0.0,0.0,10.155619312992272
"Albany-Schenectady-Troy, NY Metro Area-Bus",2014,15.858200196470015,0.6877826667512773,14.081286174072687,20.7740122045021,1.5586497536019952,10.420001964419587,9.33,3.7,0.0,0.0,0.0,0.0,0.0,0.0,9.769212378353611
"Albany-Schenectady-Troy, NY Metro Area-Bus",2015,15.875407594031662,0.7071014586696798,14.086836721306437,20.77418550060669,1.3091433019314758,10.425551588113796,9.57,4.1,0.0,0.0,0.0,0.0,0.0,0.0,9.816338825417715
"Albany-Schenectady-Troy, NY Metro Area-Bus",2016,15.892451099749536,0.7585647491283387,14.088765624840436,20.764561331490217,1.2312474464608167,10.434640665834014,10.03,4.3,0.0,0.0,0.0,0.0,0.0,0.0,10.01196284909498
"Albany-Schenectady-Troy, NY Metro Area-Bus",2017,15.92146853586148,0.7629398186816194,14.092130548071152,20.826280653766467,1.3063849778915888,10.484874896502111,10.66,4.3,0.0,1.0,0.0,0.0,1.0,0.0,9.803426479538928
"Albany-Schenectady-Troy, NY Metro Area-Bus",2018,15.94249684574517,0.8178563943272145,14.095913035844637,20.86978836407136,1.366091653802371,10.524635113726882,11.23,4.35,0.0,2.0,0.0,0.0,1.0,0.0,9.69451547446872
"Albuquerque, NM Metro Area-Bus",2003,15.136948213998116,0.4674902846897365,13.899712721556256,37.084841254982784,1.1167795926235586,10.322401176926965,5.84,4.1,0.0,0.0,0.0,0.0,0.0,0.0,8.560669887508318
"Albuquerque, NM Metro Area-Bus",2004,15.190264584845298,0.45329371425580534,13.932077449973217,35.25252612105406,1.2180827886442762,10.314836566469934,5.81,4.1,0.0,0.0,0.0,0.0,0.0,0.0,11.383613222692055
"Albuquerque, NM Metro Area-Bus",2005,15.380500535092944,0.4073809184377176,13.963190634230285,33.59284110623533,1.3549842762777755,10.307100279378309,5.76,4.1,0.0,0.0,0.0,0.0,0.0,0.0,10.520714893907067
"Albuquerque, NM Metro Area-Bus",2006,15.349114825512203,0.39350576540144233,13.999388819131664,31.908318310584598,1.423108334242607,10.293153508735319,5.8,3.6,0.0,0.0,0.0,0.0,0.0,0.0,8.570519344198646
"Albuquerque, NM Metro Area-Bus",2007,15.404993283465565,0.38213228122335674,14.01601400944193,30.865396854368655,1.4565664141052224,10.296388393100026,5.5,4.3,0.0,0.0,0.0,0.0,0.0,0.0,8.622980962726142
"Albuquerque, NM Metro Area-Bus",2008,15.433272529092484,0.3291490891405026,14.022656360960939,30.17418422453792,1.5544113422468844,10.296071385433653,6.27,4.1,0.0,0.0,0.0,0.0,0.0,0.0,8.777986080349477
"Albuquerque, NM Metro Area-Bus",2009,15.453399086012345,0.38683211847908294,14.02170589626295,29.28431610715053,1.2963423009202297,10.29373783328159,5.31,4.8,0.0,0.0,0.0,0.0,0.0,0.0,9.252985547305196
"Albuquerque, NM Metro Area-Bus",2010,15.445315056287066,0.2965424756386354,14.064465377891048,27.755842397092422,1.4122057429043917,10.301446224379848,4.78,4.4,0.0,0.0,0.0,0.0,0.0,0.0,9.738263580174836
"Albuquerque, NM Metro Area-Bus",2011,15.488833090289118,0.31090505468868174,14.069057021178626,27.185149513595636,1.5749292799704373,10.236950981517687,6.85,4.7,0.0,0.0,0.0,0.0,0.0,0.0,9.733149976089475
"Albuquerque, NM Metro Area-Bus",2012,15.507143936147648,0.3018547459637484,14.07058582209489,27.096768476529533,1.5694697199877652,10.237185945607946,6.09,4.4,0.0,0.0,0.0,0.0,0.0,0.0,9.965927181363014
"Albuquerque, NM Metro Area-Bus",2013,15.561587803368992,0.2999460346955365,14.069668418745575,27.176771641321075,1.534628155625584,10.231904575719964,5.5,4.1,0.0,0.0,0.0,0.0,0.0,0.0,10.008673052879667
"Albuquerque, NM Metro Area-Bus",2014,15.561308109759912,0.2858948400529952,14.073927040183667,27.388802414459356,1.484600049904014,10.21118914052684,5.97,4.5,0.0,1.0,0.0,0.0,0.0,0.0,10.351853716461758
"Albuquerque, NM Metro Area-Bus",2015,15.56998742136179,0.2921262738429941,14.076522308196605,27.413874724263387,1.2193539063642382,10.22215507898063,6.53,4.8,0.0,2.0,0.0,0.0,1.0,0.0,10.488610735629463
"Albuquerque, NM Metro Area-Bus",2016,15.569872717295128,0.30625599961678646,14.086159257692517,27.027411469662688,1.1415121229833305,10.250601182444836,5.25,5.1,0.0,3.0,0.0,0.0,1.0,0.0,10.488496034737862
