,CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,TSD_POP_PCT,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS2_HINY,YEARS_SINCE_TNC_BUS2_MIDLOW,YEARS_SINCE_TNC_RAIL2_HINY,YEARS_SINCE_TNC_RAIL2_MIDLOW,BIKE_SHARE,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS2_HINY_FAC,YEARS_SINCE_TNC_BUS2_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL2_HINY_FAC,YEARS_SINCE_TNC_RAIL2_MIDLOW_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change,VRM_ADJ_log_FAC_cumsum,,FARE_per_UPT_2018_log_FAC_cumsum,,POP_EMP_log_FAC_cumsum,,GAS_PRICE_2018_log_FAC_cumsum,,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,,PCT_HH_NO_VEH_FAC_cumsum,,TSD_POP_PCT_FAC_cumsum,,JTW_HOME_PCT_FAC_cumsum,,YEARS_SINCE_TNC_BUS2_HINY_FAC_cumsum,,YEARS_SINCE_TNC_BUS2_MIDLOW_FAC_cumsum,YEARS_SINCE_TNC_RAIL2_HINY_FAC_cumsum,YEARS_SINCE_TNC_RAIL2_MIDLOW_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,,UPT_ADJ_POP_EMP_log_FAC_cumsum,,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS2_HINY_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS2_MIDLOW_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL2_HINY_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL2_MIDLOW_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum
10,1,0,2012,190,1982005796,0,2071410233,0,2040396863,0,48778969.14,1.080465719,7937154.091,4.087393873,34150.68817,10.31442034,40.87882085,4.946992501,1.389242565,0,0,0,0.250792766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2071410233,2071410233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2071410233,2071410233,2071410233,2071410233,2071410233,2071410233,2071410233,2071410233,2071410233,2071410233,2071410233,2071410233,2071410233,2071410233,2071410233,2071410233,2071410233,0
11,1,0,2013,190,1982005796,2071410233,2072288373,90282577.03,2020423213,-19973650.52,49610749.18,1.110460929,8025235.159,3.922231362,34445.96555,10.04586071,40.85231664,4.950937033,2.222574676,0,0,0,0.250792766,0,30261105.47,-16125712.7,9645146.689,-11868515.77,-4849996.333,-3593957.347,-295501.2665,-7457.63809,-22492412.66,0,0,0,0,0,-19327301.56,-19480106.73,20358247.22,0,878140.49,30261105.47,30261105.47,-16125712.7,-16125712.7,9645146.689,9645146.689,-11868515.77,-11868515.77,-4849996.333,-4849996.333,-3593957.347,-3593957.347,-295501.2665,-295501.2665,-7457.63809,-7457.63809,-22492412.66,-22492412.66,0,0,0,0,0,-19327301.56,2042027268,2042027268,2088414086,2088414086,2062643226,2062643226,2084156889,2077138369,2075882330,2072583874,2072295831,2094780786,2072288373,2072288373,2072288373,2072288373,2072288373,19327301.56
12,1,0,2014,190,1982005796,2072288373,2061553203,79547406.97,2000211237,-20211976.16,49617653.57,1.108599479,8134601.026,3.713194477,34754.33833,10.02300774,40.85250783,5.137971967,3.222574676,0,0,0,0.582158636,0,6998942.593,-129556.8621,11289444.21,-15741770.34,-4929091.358,-637248.0346,200984.9453,-1256949.742,-26645891.12,0,0,0,10676855.23,0,-20174280.49,-20536394.55,9801224.487,0,-10735170.06,37260048.07,37260048.06,-16255269.56,-16255269.56,20934590.9,20934590.9,-27610286.11,-27610286.11,-9779087.691,-9779087.691,-4231205.382,-4231205.382,-94516.3212,-94516.3212,-1264407.38,-1264407.38,-49138303.78,-49138303.78,0,0,0,10676855.23,0,-39501582.04,2024293155,2024293155,2077808473,2077808473,2040618612,2040618612,2089163489,2071332291,2065784408,2061647719,2062817610,2110691507,2061553203,2061553203,2061553203,2050876348,2061553203,39501582.04
13,1,0,2015,190,1982005796,2061553203,2028750453,46744657.39,1918608068,-81603169.17,50426283.3,1.122092801,8230440.191,2.767152731,35929.9642,9.936043653,40.88390261,5.245409624,4.222574676,0,0,0,0.901323518,0,32676381.44,-9885858.793,10214784.09,-80372042.95,-18095714.3,-1061829.065,434922.4434,-585177.172,-26507856.2,0,0,0,9214414.466,0,-83967976.04,-84085794.38,51283044.8,0,-32802749.58,69936429.51,69936429.5,-26141128.36,-26141128.36,31149374.99,31149374.99,-107982329.1,-107982329.1,-27874801.99,-27874801.99,-5293034.447,-5293034.447,340406.1222,340406.1222,-1849584.552,-1849584.552,-75646159.98,-75646159.98,0,0,0,19891269.7,0,-123469558.1,1958814024,1958814023,2054891581,2054891581,1997601078,1997601078,2136732782,2056625255,2034043487,2028410047,2030600038,2104396613,2028750453,2028750453,2028750453,2008859183,2028750453,123469558.1
14,1,0,2016,190,1982005796,2028750453,1944704726,-37301070.42,1870448351,-48159716.37,51170483.27,1.141073923,8305487.431,2.450810311,36739.20822,9.815779744,40.9838561,5.760343006,5.222574676,0,0,0,0.978076062,0,21557904.32,-10670628.62,8134768.244,-30757229.82,-11936511.78,-1693219.239,1028974.887,-3100839.99,-26086072,0,0,0,2197032.983,0,-51325821.01,-51263135.67,-32782592.14,0,-84045727.81,91494333.82,91494333.82,-36811756.98,-36811756.98,39284143.23,39284143.23,-138739558.9,-138739558.9,-39811313.77,-39811313.77,-6986253.686,-6986253.686,1369381.009,1369381.009,-4950424.542,-4950424.542,-101732232,-101732232,0,0,0,22088302.68,0,-174795379.1,1853210392,1853210392,1981516483,1981516483,1905420583,1905420583,2083444285,1984516040,1951690980,1943335345,1949655151,2046436958,1944704726,1944704726,1944704726,1922616423,1944704726,174795379.1
15,1,0,2017,190,1982005796,1944704726,1874629430,-107376365.6,1900043381,29595030,51744850.1,1.106461915,8399260.891,2.670351549,37339.93041,9.662811572,41.02112798,5.921533779,6.222574676,0,0,0,0.978076062,0,17103963.41,18645283.22,9267335.806,21229304.27,-9057946.954,-2134344.295,374237.5447,-948079.9785,-25005395.51,0,0,0,0,0,29474357.52,29408786.63,-99484081.85,0,-70075295.22,108598297.2,108598297.2,-18166473.76,-18166473.76,48551479.04,48551479.04,-117510254.6,-117510254.6,-48869260.73,-48869260.73,-9120597.981,-9120597.981,1743618.554,1743618.554,-5898504.521,-5898504.521,-126737627.5,-126737627.5,0,0,0,22088302.68,0,-145321021.6,1766031133,1766031133,1892795904,1892795904,1826077951,1826077951,1992139685,1923498691,1883750028,1872885811,1880527935,2001367058,1874629430,1874629430,1874629430,1852541127,1874629430,145321021.6
16,1,0,2018,190,1982005796,1874629430,1830572626,-151433169.6,1858989005,-41054376.55,51942398.17,1.076759739,8481156.093,2.956075457,38094.69689,9.523452403,41.07340348,6.171160204,7.222574676,0,0,0,1,0.663139586,10304113.4,15350149.85,7689236.038,24787534.83,-10460284.38,-1888340.751,501951.3095,-1401352.392,-24104353.6,0,0,0,425279.1741,-61224588.8,-40020655.32,-41015388.76,-3041415.211,0,-44056803.97,118902410.6,118902410.6,-2816323.905,-2816323.905,56240715.08,56240715.08,-92722719.78,-92722719.78,-59329545.11,-59329545.11,-11008938.73,-11008938.73,2245569.863,2245569.863,-7299856.913,-7299856.913,-150841981.1,-150841981.1,0,0,0,22513581.85,-61224588.8,-185341676.9,1711670216,1711670215,1833388950,1833388950,1774331911,1774331911,1923295346,1889902171,1841581565,1828327056,1837872483,1981414607,1830572626,1830572626,1830572626,1808059044,1891797215,185341676.9
27,1,1,2012,190,1267139821,0,1564035024,0,1596740519,0,62726144.35,1.900206731,8781393.845,4.0682969,35778.92197,11.42088508,36.58743856,4.871774141,0,0,1.578769909,0,0.386846226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1564035024,1564035024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1564035024,1564035024,1564035024,1564035024,1564035024,1564035024,1564035024,1564035024,1564035024,1564035024,1564035024,1564035024,1564035024,1564035024,1564035024,1564035024,1564035024,1.578769909
28,1,1,2013,190,1267139821,1564035024,1568704156,301564334.6,1571196038,-25544481.85,63972630.17,2.038007057,8869893.08,3.913088822,36097.8399,11.07737661,36.57294496,4.874791815,0,0,2.529332197,0,0.386846226,0,32225965.27,-41322200.35,6585760.113,-8588563.908,-4125434.717,-3649312.838,-136645.2123,-16007.47604,0,0,-3762910.309,0,0,0,-22789349.42,-23331882.19,28001014.18,0,4669131.99,32225965.27,32225965.27,-41322200.35,-41322200.35,6585760.113,6585760.113,-8588563.908,-8588563.908,-4125434.717,-4125434.717,-136645.2123,-3649312.838,-136645.2123,-136645.2123,-16007.47604,-16007.47604,0,,0,-3762910.309,0,0,0,-22789349.42,1536478190,1536478191,1610026356,1610026356,1562118396,1562118396,1577292720,1572829591,1568840801,1568840801,1568720163,1568704156,1568704156,1572467066,1568704156,1568704156,1568704156,22789351.95
29,1,1,2014,190,1267139821,1568704156,1617627298,350487477.1,1626622877,55426839.13,65974318.95,2.008323471,8973479.929,3.702246529,36223.04461,11.05132252,36.60389147,5.143057391,0,0,3.529332197,0,0.630937552,0,53256520.74,8497662.421,7709240.573,-12074284.1,-2160878.59,-313129.2541,225117.1524,-1228482.193,0,0,-4025133.186,0,5960803.289,0,55847436.85,56269175.04,-7346032.53,0,48923142.51,85482486.02,85482486.01,-32824537.93,-32824537.93,14295000.69,14295000.69,-20662848.01,-20662848.01,-6286313.307,-6286313.307,88471.9401,-3962442.092,88471.9401,88471.9401,-1244489.669,-1244489.669,0,,0,-7788043.495,0,5960803.289,0,33058087.43,1532144812,1532144812,1650451836,1650451836,1603332297,1603332297,1638290146,1623913611,1617538826,1617538826,1618871788,1617627298,1617627298,1625415341,1617627298,1611666495,1617627298,-33058083.9
