,ID,Year,RAIL_FLAG,CLUSTER_APTA,UPT_ADJ_log,VRM_ADJ_log,FARE_per_UPT_2018_log,POP_EMP_log,GAS_PRICE_2018_log,TOTAL_MED_INC_INDIV_2018_log,PCT_HH_NO_VEH,TSD_POP_PCT,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS2_HINY,YEARS_SINCE_TNC_BUS2_MIDLOW,YEARS_SINCE_TNC_RAIL2_HINY,YEARS_SINCE_TNC_RAIL2_MIDLOW,BIKE_SHARE,scooter_flag,effects,residual,fitted,check_fitted,UPT_ADJ,fitted_exp,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,VRM_ADJ_ratio,FARE_per_UPT_2018_ratio,POP_EMP_ratio,GAS_PRICE_2018_ratio,TOTAL_MED_INC_INDIV_2018_ratio,PCT_HH_NO_VEH_diff,TSD_POP_PCT_diff,JTW_HOME_PCT_diff,YEARS_SINCE_TNC_BUS2_HINY_diff,YEARS_SINCE_TNC_BUS2_MIDLOW_diff,YEARS_SINCE_TNC_RAIL2_HINY_diff,YEARS_SINCE_TNC_RAIL2_MIDLOW_diff,BIKE_SHARE_diff,scooter_flag_diff,VRM_ADJ_log_FAC_ratio,FARE_per_UPT_2018_log_FAC_ratio,POP_EMP_log_FAC_ratio,GAS_PRICE_2018_log_FAC_ratio,TOTAL_MED_INC_INDIV_2018_log_FAC_ratio,PCT_HH_NO_VEH_FAC_ratio,TSD_POP_PCT_FAC_ratio,JTW_HOME_PCT_FAC_ratio,YEARS_SINCE_TNC_BUS2_HINY_FAC_ratio,YEARS_SINCE_TNC_BUS2_MIDLOW_FAC_ratio,YEARS_SINCE_TNC_RAIL2_HINY_FAC_ratio,YEARS_SINCE_TNC_RAIL2_MIDLOW_FAC_ratio,BIKE_SHARE_FAC_ratio,scooter_flag_FAC_ratio,UPT_ADJ_base,UPT_ADJ_ratio,fitted_exp_ratio,UPT_ADJ_diff,fitted_exp_diff,UPT_ADJ_first_year,UPT_ADJ_new_reporter,effects_FAC_ratio,residual_FAC_ratio,FAC_Sum,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS2_HINY_FAC,YEARS_SINCE_TNC_BUS2_MIDLOW_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL2_HINY_FAC,YEARS_SINCE_TNC_RAIL2_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL_FAC,YEARS_SINCE_TNC_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change,CLUSTER_APTA4
0,"Akron, OH Metro Area-Bus",2002,0,24,15.46923071,15.20837663,0.148254067,13.80821592,1.066089097,10.47920963,8.6,18.52598413,3.1,0,0,0,0,0,0,0.478561533,-0.243245165,15.71247587,0,5226385.66,6665634.625,4026372.388,0.159807528,992730.9044,1.904,35567.28438,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,5226385.66,5226385.66,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5226385.66,5226385.66,2
1,"Akron, OH Metro Area-Bus",2003,0,24,15.5011505,15.1959301,0.462903988,13.82345118,1.138954168,10.44626688,8.2,18.07696861,3.1,0,0,0,0,0,0,0.478561533,-0.037458273,15.53860877,-1.78E-15,5395901.888,5601856.359,3976568.624,0.588680803,1007971.232,2.1235,34414.65688,0.999181601,3.122369571,1.001103347,1.068348013,0.996856371,-0.4,-0.449015517,0,0,0,0,0,0,0,0.989687601,0.830320356,1.005755238,1.012921283,1.009109485,0.99725218,0.997551624,1,1,1,1,1,1,1,5226385.66,1.032434696,0.840408554,169516.228,-1063778.266,5226385.66,0,1,1.228491374,-822644.7716,-53896.57413,-886811.2595,30079.09389,67531.60816,47609.68242,-14361.16463,-12796.15777,0,0,0,0,0,0,0,0,0,0,-834086.4427,1003602.671,0,169516.228,2
2,"Akron, OH Metro Area-Bus",2004,0,24,15.59167629,15.27769908,0.414203671,13.83943946,1.233696641,10.40397954,7.79,17.63766226,3.1,0,0,0,0,0,0,0.478561533,-0.072949873,15.66462616,-1.78E-15,5907162.281,6354196.404,4315392.555,0.513165283,1024216.5,2.4339,32989.6525,1.005380979,0.894793913,1.001156606,1.083183745,0.995951919,-0.41,-0.439306345,0,0,0,0,0,0,0,1.070472709,1.029197791,1.006040557,1.016833331,1.01170857,0.997183582,0.997604502,1,1,1,1,1,1,1,5395901.888,1.094749757,1.134301916,511260.393,752340.0445,5226385.66,0,1,0.965130841,696292.8048,380263.8224,157548.418,32594.25147,90831.00262,63178.29732,-15197.11628,-12925.87074,0,0,0,0,0,0,0,0,0,0,724679.9643,-213419.5713,0,511260.393,2
3,"Akron, OH Metro Area-Bus",2005,0,24,15.60954774,15.21497088,0.460803553,13.85719546,1.361617373,10.36566312,7.47,17.24354563,3.1,0,0,0,0,0,0,0.478561533,-0.010719432,15.62026718,-3.55E-15,6013680.881,6078490.88,4053011.065,0.585347384,1042564.92,2.9025,31749.48,0.995894133,1.112504754,1.001283,1.103688968,0.996317138,-0.32,-0.394116632,0,0,0,0,0,0,0,0.949098735,0.97283733,1.006710656,1.022795013,1.01060329,0.99780114,0.997850653,1,1,1,1,1,1,1,5907162.281,1.01803211,0.956610481,106518.6,-275705.524,5226385.66,0,1,1.064207553,-249891.7727,-300682.0345,-160454.2989,39640.93223,134653.841,62635.35579,-12989.02484,-12696.54353,0,0,0,0,0,0,0,0,0,0,-256308.9286,362827.5286,0,106518.6,2
4,"Akron, OH Metro Area-Bus",2006,0,24,15.61900069,15.20050082,0.462419541,13.87949642,1.429114358,10.3058562,6.85,16.75428673,2.5,0,0,0,0,0,0,0.478561533,-0.019880386,15.63888108,0,6070797.419,6192694.902,3994786.013,0.587911357,1066076.33,3.175,29906.25,0.999048959,1.003506891,1.001609342,1.049571184,0.994230285,-0.62,-0.489258907,-0.6,0,0,0,0,0,0,0.988021106,0.999045481,1.008435593,1.011963681,1.016599485,0.995744099,0.997332479,1.001801668,1,1,1,1,1,1,6013680.881,1.009497767,1.01878822,57116.538,114204.0223,5226385.66,0,1,0.99088088,113920.7164,-72037.24649,-5740.171612,50728.96515,71945.75742,99824.00587,-25593.62777,-16041.61961,10834.65348,0,0,0,0,0,0,0,0,0,112986.3578,-55869.81976,0,57116.538,2
5,"Akron, OH Metro Area-Bus",2007,0,24,15.58515172,15.33533642,0.49541045,13.88134083,1.484373431,10.32592678,7.48,16.7083717,2.9,0,0,0,0,0,0,0.478561533,-0.154318816,15.73947054,-1.78E-15,5868746.078,6848021.896,4571428.064,0.64117172,1068044.42,3.4122,30512.57,1.008870471,1.071344107,1.000132887,1.038666656,1.001947492,0.63,-0.045915023,0.4,0,0,0,0,0,0,1.118844258,0.980692705,1.000694982,1.009783967,0.99449035,1.004343177,0.999749361,0.998800689,1,1,1,1,1,1,6070797.419,0.966717496,1.105822587,-202051.341,655326.9936,5226385.66,0,1,0.874206702,652000.5303,721479.4167,-117210.6779,4219.091986,59396.4791,-33447.97137,26366.54827,-1521.581089,-7280.775472,0,0,0,0,0,0,0,0,0,642427.4866,-844478.8276,0,-202051.341,2
6,"Akron, OH Metro Area-Bus",2008,0,24,15.63040533,15.16962903,0.482147154,13.87902097,1.564252244,10.29784756,6.76,16.64354745,3,0,0,0,0,0,0,0.478561533,0.005781114,15.62462421,-3.55E-15,6140428.988,6105032.877,3873343.976,0.619548091,1065569.58,3.7791,29667.69,0.989194408,0.973227662,0.99983288,1.053813152,0.997280707,-0.72,-0.064824255,0.1,0,0,0,0,0,0,0.8710922,1.007868798,0.99912655,1.014173816,1.007759396,0.995059362,0.999646158,0.999700037,1,1,1,1,1,1,5868746.078,1.046293179,0.891503119,271682.91,-742989.0189,5226385.66,0,1,1.173628146,-619585.1353,-756527.1444,46179.97483,-5126.056001,83182.52868,45537.92573,-28995.34873,-2076.610225,-1760.405183,0,0,0,0,0,0,0,0,0,-636740.6467,908423.5567,0,271682.91,2
7,"Akron, OH Metro Area-Bus",2009,0,24,15.53126244,15.04848922,0.496753539,13.86081401,1.31536211,10.27789259,8.32,16.52682035,3.2,0,0,0,0,0,0,0.478561533,0.051884254,15.47937819,1.78E-15,5560854.064,5279690.305,3431434.413,0.64337744,1046344.33,2.7261,29081.52,0.99201432,1.030294454,0.998688167,0.840888747,0.998062219,1.56,-0.1167271,0.2,0,0,0,0,0,0,0.904032595,0.991405442,0.993165359,0.957094274,1.005508177,1.010789033,0.999362937,0.999400164,1,1,1,1,1,1,6140428.988,0.905613284,0.86480948,-579574.924,-825342.5722,5226385.66,0,1,1.047182412,-855005.7244,-589281.0359,-52774.27097,-41967.62747,-263459.5638,33822.56899,66249.29145,-3911.839425,-3683.247368,0,0,0,0,0,0,0,0,0,-830127.7909,250552.8669,0,-579574.924,2
8,"Akron, OH Metro Area-Bus",2010,0,24,15.5412315,15.0600825,0.509815034,13.8508707,1.434369984,10.24997377,8.04,16.37240718,2.9,0,0,0,0,0,0,0.478561533,0.036877264,15.50435424,-1.78E-15,5616567.806,5413216.676,3471447.493,0.664983201,1035991.75,3.197,28280.8,1.000770395,1.026293713,0.999282632,1.09047537,0.997283605,-0.28,-0.154413167,-0.3,0,0,0,0,0,0,1.009702089,0.992310968,0.99626161,1.021190068,1.0077149,0.998075733,0.999157344,1.000900428,1,1,1,1,1,1,5560854.064,1.010018918,1.025290569,55713.742,133526.3716,5226385.66,0,1,0.985105054,140762.6787,53951.89938,-42757.58454,-20788.64021,117834.8783,42901.43182,-10700.57034,-4685.886531,5007.150766,0,0,0,0,0,0,0,0,0,140637.163,-84923.42102,0,55713.742,2
9,"Akron, OH Metro Area-Bus",2011,0,24,15.58348159,15.18109573,0.485203701,13.84932445,1.600114585,10.22970308,8.13,16.3236183,3.3,0,0,0,0,0,0,0.478561533,-0.069555005,15.6530366,1.78E-15,5858952.685,6280979.136,3918014.086,0.624505888,1034391.08,3.9536,27713.28,1.008035363,0.951724975,0.999888364,1.115552195,0.998022367,0.09,-0.048788878,0.4,0,0,0,0,0,0,1.106038203,1.014650451,0.999417735,1.029634097,1.005595566,1.000619302,0.999733675,0.998800689,1,1,1,1,1,1,5616567.806,1.043155337,1.160304402,242384.879,867762.4597,5226385.66,0,1,0.899035938,867701.9727,595570.7597,82285.25153,-3270.333587,166441.9141,31427.87422,3478.352105,-1495.832565,-6736.0128,0,0,0,0,0,0,0,0,0,900360.5408,-657975.6618,0,242384.879,2
