,Unnamed: 0,CLUSTER_APTA4,Mode,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,TSD_POP_PCT,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS2_HINY,YEARS_SINCE_TNC_BUS2_MIDLOW,YEARS_SINCE_TNC_RAIL2_HINY,YEARS_SINCE_TNC_RAIL2_MIDLOW,BIKE_SHARE,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS2_HINY_FAC,YEARS_SINCE_TNC_BUS2_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL2_HINY_FAC,YEARS_SINCE_TNC_RAIL2_MIDLOW_FAC,BIKE_SHARE_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change,VRM_ADJ_log_FAC_cumsum,FARE_per_UPT_2018_log_FAC_cumsum,POP_EMP_log_FAC_cumsum,TSD_POP_PCT_FAC_cumsum,GAS_PRICE_2018_log_FAC_cumsum,TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,PCT_HH_NO_VEH_FAC_cumsum,JTW_HOME_PCT_FAC_cumsum,YEARS_SINCE_TNC_BUS2_HINY_FAC_cumsum,YEARS_SINCE_TNC_BUS2_MIDLOW_FAC_cumsum,YEARS_SINCE_TNC_RAIL2_HINY_FAC_cumsum,YEARS_SINCE_TNC_RAIL2_MIDLOW_FAC_cumsum,BIKE_SHARE_FAC_cumsum,scooter_flag_FAC_cumsum,Unknown_FAC_cumsum,UPT_ADJ_VRM_ADJ_log_FAC_cumsum,UPT_ADJ_FARE_per_UPT_2018_log_FAC_cumsum,UPT_ADJ_POP_EMP_log_FAC_cumsum,UPT_ADJ_TSD_POP_PCT_FAC_cumsum,UPT_ADJ_GAS_PRICE_2018_log_FAC_cumsum,UPT_ADJ_TOTAL_MED_INC_INDIV_2018_log_FAC_cumsum,UPT_ADJ_PCT_HH_NO_VEH_FAC_cumsum,UPT_ADJ_JTW_HOME_PCT_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS2_HINY_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_BUS2_MIDLOW_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL2_HINY_FAC_cumsum,UPT_ADJ_YEARS_SINCE_TNC_RAIL2_MIDLOW_FAC_cumsum,UPT_ADJ_BIKE_SHARE_FAC_cumsum,UPT_ADJ_scooter_flag_FAC_cumsum,UPT_ADJ_Unknown_FAC_cumsum,UPT_PCT_CHNGE
0,0,1.0,0,2002,190,1982005795.96,0.0,1982005795.96,0.0,1878108677.180684,0.0,50210669.00210818,0.9621430733715928,6960297.260328637,1.9678602713629367,41470.96073672567,10.255436271679107,51.77045428368265,3.9479789383814285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982005795.96,1982005795.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1982005795.96,1982005795.96,1982005795.96,1982005795.96,1982005795.96,1982005795.96,1982005795.96,1982005795.96,1982005795.96,1982005795.96,1982005795.96,1982005795.96,1982005795.96,1982005795.96,1982005795.96,0.0
1,1,1.0,0,2003,190,1982005795.96,1982005795.96,1989456244.2200005,7450448.260000296,1996006800.991343,117898123.81065892,52344051.40254159,0.929744670299982,7091861.280331265,2.253697219761543,40652.8663922252,10.135941288283774,49.833157941351786,3.9479789383814285,0.0,0.0,0.0,0.0,0.0,0.0,73668137.88469331,23451013.618424144,14890801.86108374,32104661.90476426,10466670.607873127,-1625621.610604773,-20824628.856763072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132131035.40947074,134964439.96745044,-127513991.70745014,0.0,7450448.260000296,73668137.88469331,23451013.618424144,14890801.86108374,-20824628.856763072,32104661.90476426,10466670.607873127,-1625621.610604773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-127513991.70745014,1915788106.3353074,1966005230.6015766,1974565442.3589168,2010280873.076764,1957351582.3152363,1978989573.6121273,1991081865.830605,1989456244.2200005,1989456244.2200005,1989456244.2200005,1989456244.2200005,1989456244.2200005,1989456244.2200005,1989456244.2200005,2116970235.927451,0.37590446381070564
2,2,1.0,0,2004,190,1982005795.96,1989456244.2200005,2005256516.7600007,15800272.539999653,2038892064.630089,42885263.63874666,52781898.32296497,0.9519268907247118,7255845.81224522,2.571844759036596,39498.74464182669,10.020799597012092,48.00153539815052,3.9479789383814285,0.0,0.0,0.0,0.0,0.0,0.0,14858985.975418905,-15039078.306331806,17960858.08231418,33217281.54609448,15216253.24001274,-1671097.7800906985,-19744158.019365016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44799044.73805277,44657132.23986243,-28856859.69986278,0.0,15800272.539999653,88527123.86011222,8411935.312092338,32851659.94339792,-40568786.87612809,65321943.45085874,25682923.84788587,-3296719.390695472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-156370851.40731293,1916729392.8998888,1996844581.4479086,1972404856.8166027,2045825303.636129,1939934573.3091414,1979573592.9121149,2008553236.1506965,2005256516.7600007,2005256516.7600007,2005256516.7600007,2005256516.7600007,2005256516.7600007,2005256516.7600007,2005256516.7600007,2161627368.1673136,0.7942005553479792
3,3,1.0,0,2005,190,1982005795.96,2005256516.7600007,2027308341.580001,22051824.82000073,2051459535.020378,12567470.390288966,51564837.80566731,0.9563287440913982,7425976.160751465,3.0278754080670103,38481.097306977375,9.895713208163407,46.35899833622125,3.9479789383814285,0.0,0.0,0.0,0.0,0.0,0.0,-34748716.95329104,-5217099.738329716,18346612.535783585,43167395.65700588,13908939.910751116,-1885064.5419131343,-17712133.750411034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15859933.119595665,14289432.4935164,7762392.3264843235,0.0,22051824.82000073,53778406.90682118,3194835.5737626217,51198272.4791815,-58280920.62653913,108489339.10786462,39591863.75863698,-5181783.932608605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-148608459.08082858,1973529934.67318,2024113506.0062387,1976110069.1008198,2085589262.2065406,1918819002.4721363,1987716477.8213642,2032490125.5126095,2027308341.580001,2027308341.580001,2027308341.580001,2027308341.580001,2027308341.580001,2027308341.580001,2027308341.580001,2175916800.660829,1.0997009427816673
4,4,1.0,0,2006,190,1982005795.96,2027308341.580001,2037579441.9600008,10271100.38000074,2111449515.884672,59989980.86429319,51619151.52824698,0.9410868439924658,7653758.197786802,3.318907385829048,36916.26663164042,9.797011578999175,44.53104356492483,4.314808527150035,0.0,0.0,0.0,0.0,0.0,0.0,5598070.787679876,10082024.061600616,23350125.55340504,25074421.32141453,22670853.326227106,-1525514.2877553985,-19862488.235452347,-2147363.8358005816,0.0,0.0,0.0,0.0,0.0,0.0,63240128.69131885,63271256.07457158,-53000155.69457085,0.0,10271100.38000074,59376477.69450105,13276859.635363238,74548398.03258654,-78143408.86199147,133563760.42927916,62262717.08486408,-6707298.220364003,-2147363.8358005816,0.0,0.0,0.0,0.0,0.0,0.0,-201608614.77539945,1978202964.2655,2024302582.324638,1963031043.927415,2115722850.8219926,1904015681.530722,1975316724.875137,2044286740.1803653,2039726805.7958016,2037579441.9600008,2037579441.9600008,2037579441.9600008,2037579441.9600008,2037579441.9600008,2037579441.9600008,2239188056.7354007,0.5066373066858976
5,5,1.0,0,2007,190,1982005795.96,2037579441.9600008,2058514380.3499987,20934938.38999729,2131304168.7593448,19854652.87467308,52714217.3251709,0.9756367138201032,7724917.105625993,3.4904721082377685,37453.02394448021,9.613729678851527,43.88194091852001,4.424572034110733,0.0,0.0,0.0,0.0,0.0,0.0,39707341.84719135,-20385941.443401486,7751177.775634684,13959297.741871307,-8104038.106476405,-2592116.0127329226,-7098774.9855081625,-731707.9485652363,0.0,0.0,0.0,0.0,0.0,0.0,22505238.868013114,21864377.636230946,-929439.2462336551,0.0,20934938.38999729,99083819.5416924,-7109081.808038248,82299575.80822122,-85242183.84749962,147523058.17115045,54158678.97838768,-9299414.233096927,-2879071.784365818,0.0,0.0,0.0,0.0,0.0,0.0,-202538054.02163312,1959430560.8083067,2065623462.1580372,1976214804.5417774,2143756564.1974983,1910991322.1788485,2004355701.3716109,2067813794.583096,2061393452.1343648,2058514380.3499987,2058514380.3499987,2058514380.3499987,2058514380.3499987,2058514380.3499987,2058514380.3499987,2261052434.371632,1.0274415789089497
6,6,1.0,0,2008,190,1982005795.96,2058514380.3499987,2159213508.43,100699128.08000116,2233299313.5462546,101995144.7869103,53373827.41888002,0.933870791840573,7772765.29083784,3.916402236479847,37497.45987448023,9.79154267614249,43.09595139375685,4.500207363275041,0.0,0.0,0.0,0.0,0.07649624739193236,0.0,35569324.878848195,25255273.60714328,5683929.518882763,33276852.58120925,-675166.989168596,2466795.8584225625,-8704013.400386192,-505423.5357293539,0.0,0.0,0.0,0.0,2734634.305400402,0.0,95102206.82462232,98944884.74414554,1754243.3358556218,0.0,100699128.08000116,134653144.4205406,18146191.799105033,87983505.32710399,-93946197.24788582,180799910.7523597,53483511.98921908,-6832618.374674365,-3384495.3200951717,0.0,0.0,0.0,0.0,2734634.305400402,0.0,-200783810.68577743,2024560364.0094593,2141067316.630895,2071230003.102896,2253159705.677885,1978413597.67764,2105729996.4407809,2166046126.8046737,2162598003.750095,2159213508.43,2159213508.43,2159213508.43,2159213508.43,2156478874.1245995,2159213508.43,2359997319.115777,4.891835055477234
7,7,1.0,0,2009,190,1982005795.96,2159213508.43,2073487038.28,-85726470.14999983,2090791533.1921644,-142507780.35409075,53288697.1024242,1.031745283638297,7745481.2321152175,2.8613463106181007,35760.62639454724,9.937766445282687,42.158846073139074,4.690485467492357,0.0,0.0,0.0,0.0,0.07649624739193236,0.0,-4782853.418307005,-63621596.39208855,-1473131.0837824002,-90147911.71434282,29211014.58272729,2238488.214825728,-11280334.259414207,-1204891.4289271988,0.0,0.0,0.0,0.0,0.0,0.0,-141061215.49930918,-139331018.16473734,53604548.01473754,0.0,-85726470.14999983,129870291.0022336,-45475404.59298352,86510374.24332158,-105226531.50730003,90651999.03801689,82694526.57194637,-4594130.159848637,-4589386.74902237,0.0,0.0,0.0,0.0,2734634.305400402,0.0,-147179262.6710399,1943616747.2777665,2118962442.8729837,1986976664.0366786,2178713569.7873,1982835039.2419832,1990792511.7080536,2078081168.439849,2078076425.0290227,2073487038.28,2073487038.28,2073487038.28,2073487038.28,2070752403.9746,2073487038.28,2220666300.95104,-3.970263700894172
8,8,1.0,0,2010,190,1982005795.96,2073487038.28,2006777276.870001,-66709761.40999908,2052079946.480089,-38711586.71207492,50477491.03234956,1.0627702627404718,7755004.461786322,3.3160361555710054,34836.138545565555,10.140694895141936,41.684893621935366,4.927627384882333,0.1634957296091278,0.0,0.0,0.0,0.14858457201804445,0.0,-71064888.0412221,-17824527.549885668,2002182.049267648,41136548.14747401,15500007.41895851,2916828.8596050465,-5563187.445922444,-1451770.729163214,-3861484.522840364,0.0,0.0,0.0,2278562.353298053,0.0,-35931729.46043052,-36059625.76673488,-30650135.643264204,0.0,-66709761.40999908,58805402.9610115,-63299932.14286918,88512556.29258923,-110789718.95322248,131788547.18549088,98194533.99090488,-1677301.3002435903,-6041157.478185585,-3861484.522840364,0.0,0.0,0.0,5013196.658698455,0.0,-177829398.3143041,1947971873.9089894,2070077209.0128703,1918264720.5774121,2117566995.8232238,1874988729.6845105,1908582742.8790965,2008454578.170245,2012818434.3481867,2010638761.3928413,2006777276.870001,2006777276.870001,2006777276.870001,2001764080.2113023,2006777276.870001,2184606675.184305,-3.2172740980978554
9,9,1.0,0,2011,190,1982005795.96,2006777276.870001,2038141150.56,31363873.68999898,2084090855.4311414,32010908.95105201,49319062.15535711,1.0427420216150414,7835845.19026255,4.054467268971648,34275.85754414828,10.405778644450157,40.918324264493705,4.864915058047892,0.6329214027814667,0.0,0.0,0.0,0.2035540354384222,0.0,-40181533.3553512,15322710.39947036,8497432.322752673,56740870.44683709,8606390.516923353,3860938.6203019004,-8375600.4785643825,414833.6296166483,-12057002.69891044,0.0,0.0,0.0,1698305.5275426244,0.0,34527344.93061863,33561714.23095409,-2197840.540955108,0.0,31363873.68999898,18623869.605660293,-47977221.74339882,97009988.6153419,-119165319.43178686,188529417.632328,106800924.50782824,2183637.320058311,-5626323.848568937,-15918487.221750805,0.0,0.0,0.0,6711502.186241079,0.0,-180027238.85525918,2019517280.9543397,2086118372.3033988,1941131161.9446578,2157306469.991787,1849611732.927672,1931340226.052172,2035957513.2399414,2043767474.4085689,2054059637.7817507,2038141150.56,2038141150.56,2038141150.56,2031429648.3737586,2038141150.56,2218168389.4152594,1.5628975896576636
