CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,TSD_POP_PCT,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS2_HINY,YEARS_SINCE_TNC_BUS2_MIDLOW,YEARS_SINCE_TNC_RAIL2_HINY,YEARS_SINCE_TNC_RAIL2_MIDLOW,BIKE_SHARE,MDBF_Mechanical,scooter_flag,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS2_HINY_FAC,YEARS_SINCE_TNC_BUS2_MIDLOW_FAC,YEARS_SINCE_TNC_RAIL2_HINY_FAC,YEARS_SINCE_TNC_RAIL2_MIDLOW_FAC,BIKE_SHARE_FAC,MDBF_Mechanical_log_FAC,scooter_flag_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change
1.0,0,2002,190,2497672306.26,0.0,2497672306.26,0.0,2355396268.1428504,0.0,69723134.71059467,0.9252190126246609,9249772.974982817,1.9951416855690693,40030.69718372347,10.006563305418538,59.62888679843566,3.9793650293992426,0.0,0.0,0.0,0.0,0.0,7629.669804582411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2497672306.26,2497672306.26
1.0,0,2003,190,2497672306.26,2497672306.26,2466681381.020001,-30990925.239999644,2473204127.339757,117807859.19690657,71161818.64782515,0.9114636396781252,9392039.884905066,2.3031859761067905,39239.3127992996,9.87664111521953,57.76002960737798,3.9793650293992426,0.0,0.0,0.0,0.0,0.0,179316.64392834838,0.0,70186351.39593966,13680495.589297183,17996837.217359845,42490101.27957746,13616338.515897088,-1930970.8401922812,-26434818.029494777,0.0,0.0,0.0,0.0,0.0,0.0,2418017.4267667225,0.0,132022352.55515088,134700596.02823997,-165691521.26823962,0.0,-30990925.239999644
1.0,0,2004,190,2497672306.26,2466681381.020001,2544005547.66,77324166.63999872,2585629231.628062,112425104.28830375,73815053.43145554,0.8965680971437892,9574226.320603654,2.617504212062651,38123.993669493524,9.750173441531349,55.977465468373694,3.9793650293992426,0.0,0.0,0.0,0.0,0.0,129029.53635817315,0.0,45702535.2573059,10738476.029112142,21816751.03677038,39641203.88472405,19439134.285888612,-1931447.548791703,-24925391.637114584,0.0,0.0,0.0,0.0,0.0,0.0,1105209.6772604086,0.0,111586470.98515521,114174178.0866761,-36850011.44667739,0.0,77324166.63999872
1.0,0,2005,190,2497672306.26,2544005547.66,2579274411.5800004,35268863.9200004,2606124501.1909056,20495269.562844574,73470374.51874462,0.9134660575457284,9765001.11992334,3.0632468834319857,37139.235192691056,9.617878829258299,54.38235941677837,3.9793650293992426,0.0,0.0,0.0,0.0,0.0,135474.8053082995,0.0,-26085037.85193324,-16993704.72829419,22737500.619299117,52192495.89674107,18224492.997498877,-2147003.012039695,-22809681.12597518,0.0,0.0,0.0,0.0,0.0,0.0,-1367032.5932832628,0.0,23752030.2020135,21906023.984814595,13362839.935185801,0.0,35268863.9200004
1.0,0,2006,190,2497672306.26,2579274411.5800004,2615619775.060002,36345363.480001,2684379031.8076344,78254530.61672856,73545438.69139086,0.8944128437887955,10010982.650311355,3.3562955556688583,35631.31503418075,9.502392433302653,52.540306099361004,4.291105292582491,0.0,0.0,0.0,0.0,0.0,85400.7906137958,0.0,6064752.806895408,16319662.742488336,28648808.007532757,31412850.10439623,29565083.189461764,-1914100.2581654363,-26666663.43038054,-1615105.1137369843,0.0,0.0,0.0,0.0,0.0,-244073.1236357885,0.0,81571214.92485574,81773928.80086227,-45428565.32086125,0.0,36345363.480001
1.0,0,2007,190,2497672306.26,2615619775.060002,2630735806.749999,15116031.689998198,2707165866.89595,22786835.088315837,74781986.76339634,0.9285086677341688,10059790.672155151,3.531769633397164,36133.02238568025,9.330111052095148,52.0681752055385,4.419498920616584,0.0,0.0,0.0,0.0,0.0,214344.25338311557,0.0,45230780.023007505,-26522358.964174055,7821492.917404013,17951812.81946757,-10199753.614528889,-2694423.423337467,-6724750.57379434,-753020.6711221554,0.0,0.0,0.0,0.0,0.0,1228080.7989491154,0.0,25337859.311871294,24665083.552720852,-9549051.862722656,0.0,15116031.689998198
1.0,0,2008,190,2497672306.26,2630735806.749999,2738294587.3299994,107558780.5800002,2810658138.853672,103492271.95772249,75241285.87366499,0.9002913748320304,10081967.279780982,3.9556908907145867,36106.06569141482,9.500117222082086,51.391534142412304,4.500164551295208,0.0,0.0,0.0,0.0,0.060702921404060764,23813.93879480037,0.0,34721054.283895366,20510680.838424295,5141394.620696028,41344310.08370755,881227.7231507327,2613927.396906457,-9921963.251779018,-472808.56741711724,0.0,0.0,0.0,0.0,2314216.2592909564,-662617.3278330691,0.0,96469422.05904219,100082809.53056961,7475971.049430596,0.0,107558780.5800002
1.0,0,2009,190,2497672306.26,2738294587.3299994,2612321908.1799994,-125972679.15000007,2631319362.25576,-179338776.59791258,74519831.6809363,0.9894223286813114,10001288.47189613,2.9107217023057315,34405.58000754606,9.605828860781141,50.588605995634076,4.713095710102571,0.0,0.0,0.0,0.0,0.060702921404060764,8768.960868369506,0.0,-14416926.057016661,-73495011.77098718,-5098070.66515932,-110633283.62624462,38360714.65041309,1765956.6460164157,-12722912.286146926,-1204987.7995811144,0.0,0.0,0.0,0.0,0.0,-1273370.002195296,0.0,-178717890.9109016,-176297765.6378671,50325086.48786703,0.0,-125972679.15000007
1.0,0,2010,190,2497672306.26,2612321908.1799994,2530219242.570001,-82102665.6099984,2585221524.4757686,-46097837.77999149,70727223.9122485,1.0079550570959797,9981475.074110301,3.3626883872583373,33577.22720560244,9.822604824629636,50.189640755705966,4.942569350561929,0.12974059202555283,0.0,0.0,0.0,0.11790797463378047,8687.219021812281,0.0,-93086050.58451909,-12520508.389030684,597205.8563297603,50241045.76900856,18228249.53171105,3393471.736610091,-6147333.022876401,-1239272.286389669,-4164479.5149850724,0.0,0.0,0.0,1928260.036596937,59517.87722184794,0.0,-42709892.99032268,-43357616.55857463,-38745049.05142379,0.0,-82102665.6099984
1.0,0,2011,190,2497672306.26,2530219242.570001,2562636993.1600013,32417750.589999672,2605262385.5738316,20040861.098062575,68201559.99417551,0.9990467118810247,10074538.221575987,4.093763142557334,32909.162512427385,10.103155695650408,49.3988749771812,4.892804537558849,0.5022491883967007,0.0,0.0,0.0,0.1615285067696157,9649.067329857276,0.0,-63245279.02077599,9496527.990020722,10655982.797385834,69222094.0507561,14463453.104560131,4405571.920357607,-11373886.28408077,289447.4398196597,-13003066.68451925,0.0,0.0,0.0,1437210.912377326,1025837.6337388342,0.0,23373893.859640226,21724871.693263676,10692878.896735994,0.0,32417750.589999672
1.0,0,2012,190,2497672306.26,2562636993.1600013,2596650602.8999996,34013609.73999916,2552141307.910641,-53121077.663189806,67286627.28154048,1.027800392101261,10194457.015898604,4.141425414669634,32756.58559961783,9.999690297512105,49.33804990568375,4.978582250885386,1.3088799988759185,0.0,0.0,0.0,0.1990143842265336,10251.245753585767,0.0,-20969718.27861305,-21205087.644722395,13445266.98234895,3984901.132184297,4348385.6103576515,-1678852.8834934544,-785699.0216424703,-560397.3321212782,-28931826.574517295,0.0,0.0,0.0,837042.0261835837,316066.3189150273,0.0,-51199919.66512044,-51087615.558416784,85101225.29841596,0.0,34013609.73999916
1.0,0,2013,190,2497672306.26,2596650602.8999996,2597156245.59,505642.6900003031,2529937278.269894,-22204029.640747808,68115287.07690418,1.0464282723861642,10306824.148238305,3.96644836873863,32965.31597621093,9.73289787327471,49.32282902676828,4.981712399077926,2.1766221683542506,0.0,0.0,0.0,0.1990143842265336,10463.17811062051,0.0,32911294.60419046,-11725088.326522704,12589749.738964858,-15400809.295504618,-4281241.533550596,-3927772.1286231913,-224220.01395715043,-5306.088283017965,-31540875.71784934,0.0,0.0,0.0,0.0,160559.16096892007,0.0,-21443709.60016638,-21709476.061544124,22215118.75154442,0.0,505642.6900003026
1.0,0,2014,190,2497672306.26,2597156245.59,2573979444.93,-23176800.659999836,2496867353.7434106,-33069924.52648216,68164273.35414915,1.046533786150843,10447986.734741904,3.7584926852228793,33251.277074742145,9.685858870358343,49.30752392854819,5.130132318842376,3.1766221683542506,0.0,0.0,0.0,0.4619668431835864,10069.910103373375,0.0,7677729.060118263,-1437942.370319941,14951941.665020894,-19211542.641141802,-6106700.801952428,-990755.6346255488,-14063.43550220973,-877639.2758483408,-36015095.27557627,0.0,0.0,0.0,9035413.588432968,-510306.20179647015,0.0,-33498961.32319088,-33793433.79433273,10616633.134332899,0.0,-23176800.659999836
