,CBSA,Mode,Year,Mechanical_Failures,Other_Failures,Total_Failures
0,10180,Bus,2002,1,29,30
1,10180,Bus,2003,10,23,33
2,10180,Bus,2004,7,22,29
3,10180,Bus,2005,9,23,32
4,10180,Bus,2006,12,43,55
5,10180,Bus,2007,9,25,34
6,10180,Bus,2012,0,0,0
7,10180,Bus,2013,0,0,0
8,10180,Bus,2014,0,0,0
9,10180,Bus,2015,0,0,0
10,10180,Bus,2016,0,0,0
11,10180,Bus,2017,0,0,0
12,10180,Bus,2018,0,0,0
13,10420,Bus,2002,76,1279,1355
14,10420,Bus,2003,19,1409,1428
15,10420,Bus,2004,67,1254,1321
16,10420,Bus,2005,169,2369,2538
17,10420,Bus,2006,166,2236,2402
18,10420,Bus,2007,144,1230,1374
19,10420,Bus,2012,128,878,1006
20,10420,Bus,2013,1061,53,1114
21,10420,Bus,2014,1014,56,1070
22,10420,Bus,2015,893,60,953
23,10420,Bus,2016,788,41,829
24,10420,Bus,2017,232,519,751
25,10420,Bus,2018,195,644,839
26,10500,Bus,2002,107,35,142
27,10500,Bus,2003,77,45,122
28,10500,Bus,2004,72,23,95
29,10500,Bus,2005,68,24,92
30,10500,Bus,2006,59,21,80
31,10500,Bus,2007,51,11,62
32,10500,Bus,2012,40,15,55
33,10500,Bus,2013,45,6,51
34,10500,Bus,2014,69,32,101
35,10500,Bus,2015,33,232,265
36,10500,Bus,2016,35,291,326
37,10500,Bus,2017,58,349,407
38,10500,Bus,2018,70,273,343
39,10580,Bus,2002,1016,2466,3482
40,10580,Bus,2003,1095,2247,3342
41,10580,Bus,2004,12,18,30
42,10580,Bus,2005,12,18,30
43,10580,Bus,2006,353,139,492
44,10580,Bus,2007,176,293,469
45,10580,Bus,2012,223,442,665
46,10580,Bus,2013,289,107,396
47,10580,Bus,2014,441,15,456
48,10580,Bus,2015,428,1559,1987
49,10580,Bus,2016,358,1236,1594
50,10580,Bus,2017,454,1234,1688
51,10580,Bus,2018,517,1156,1673
52,10740,Bus,2002,1368,813,2181
53,10740,Bus,2003,718,1541,2259
54,10740,Bus,2004,45,314,359
55,10740,Bus,2005,129,73,202
56,10740,Bus,2006,879,1644,2523
57,10740,Bus,2007,882,1299,2181
58,10740,Bus,2012,255,420,675
59,10740,Bus,2013,258,409,667
60,10740,Bus,2014,183,321,504
61,10740,Bus,2015,161,338,499
62,10740,Bus,2016,161,321,482
63,10740,Bus,2017,234,120,354
64,10740,Bus,2018,166,134,300
65,10740,Rail,2002,0,0,0
66,10740,Rail,2003,0,0,0
