CLUSTER_APTA4,RAIL_FLAG,Year,CLUSTER_APTA,UPT_ADJ_first_year,UPT_ADJ_base,UPT_ADJ,UPT_ADJ_diff,fitted_exp,fitted_exp_diff,VRM_ADJ,FARE_per_UPT_2018,POP_EMP,GAS_PRICE_2018,TOTAL_MED_INC_INDIV_2018,PCT_HH_NO_VEH,TSD_POP_PCT,JTW_HOME_PCT,YEARS_SINCE_TNC_BUS,YEARS_SINCE_TNC_RAIL,BIKE_SHARE_BUS,scooter_flag_BUS,BIKE_SHARE_RAIL,scooter_flag_RAIL,VRM_ADJ_log_FAC,FARE_per_UPT_2018_log_FAC,POP_EMP_log_FAC,GAS_PRICE_2018_log_FAC,TOTAL_MED_INC_INDIV_2018_log_FAC,PCT_HH_NO_VEH_FAC,TSD_POP_PCT_FAC,JTW_HOME_PCT_FAC,YEARS_SINCE_TNC_BUS_FAC,YEARS_SINCE_TNC_RAIL_FAC,BIKE_SHARE_BUS_FAC,scooter_flag_BUS_FAC,BIKE_SHARE_RAIL_FAC,scooter_flag_RAIL_FAC,FAC_Sum,Known_FAC,Unknown_FAC,New_Reporter_FAC,Total_Change,YEARS_SINCE_TNC,BIKE_SHARE,scooter_flag,YEARS_SINCE_TNC_FAC,BIKE_SHARE_FAC,scooter_flag_FAC
1.0,0,2002,190,2013178760.8600004,0.0,2013178760.8600004,0.0,1842524060.3222523,0.0,50252460.01144157,5.788745403437603,6929390.480675029,1.9690220715358633,41482.007324744736,10.205314338210993,0.5197991683968752,3.954057944506384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2013178760.8600004,2013178760.8600004,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,2003,190,2013178760.8600004,2013178760.8600004,2013821311.8699994,642551.0099996328,1966961266.8010523,124437206.47880006,52483905.454952925,5.35066785186388,7061254.271372743,2.255925627644666,40665.69953605673,10.087487836964096,0.5002240753933533,3.954057944506384,0.0,0.0,0.0,0.0,0.0,0.0,53637230.61211213,38654747.66089656,20352686.271305,32196868.107738305,13296213.977580423,-1734066.7114176569,-14252316.56970716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,142151363.34850758,151040006.61860526,-150397455.6086056,0.0,642551.0099996328,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,2004,190,2013178760.8600004,2013821311.8699994,2041332579.5800004,27511267.710000124,2029857670.4004443,62896403.599392086,53057025.94472642,5.470156423763941,7225314.795831735,2.5740197098985265,39513.17203872235,9.973867269673097,0.48172394139972124,3.954057944506384,0.0,0.0,0.0,0.0,0.0,0.0,16897251.80335254,-12787253.429126613,24375827.712142505,33063828.55239299,19402583.35465251,-1745208.2628567233,-13426279.585889345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65780750.144667864,66532251.804366216,-39020984.0943661,0.0,27511267.710000124,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,2005,190,2013178760.8600004,2041332579.5800004,2063004732.430001,21672152.850000918,2073392297.9992583,43534627.598814,51833448.33824144,5.485861164580924,7395392.777738352,3.029648096865957,38496.98210137974,9.850938484150305,0.4651361026886136,3.954057944506384,0.0,0.0,0.0,0.0,0.0,0.0,-25663212.993269026,-1576903.2739835966,25120503.10670901,43172950.88586339,17820581.918649618,-1978113.494958641,-12128363.151231911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44767442.997778855,44253469.79253585,-22581316.94253493,0.0,21672152.850000918,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,2006,190,2013178760.8600004,2063004732.430001,2071799487.9699998,8794755.539999403,2140524286.7134206,67131988.714162,51879339.29591778,5.468751008772059,7622582.670327063,3.3207181919357005,36933.56293993879,9.75190491805157,0.44669337220438465,4.333983520585015,0.0,0.0,0.0,0.0,0.0,0.0,4084012.9997774814,900463.4411580974,31888067.11876092,25106382.639706843,29047323.280588184,-1620132.2231755815,-13565687.73521612,-5916548.172325036,0.0,0.0,0.0,0.0,0.0,0.0,69923881.3492748,70215284.99531904,-61420529.45531966,0.0,8794755.539999403,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,2007,190,2013178760.8600004,2071799487.9699998,2090532280.4199991,18732792.449998964,2166104519.1375804,25580232.42416063,53032062.41632403,5.567264351624281,7693737.318949165,3.4923973314307295,37471.333420229385,9.578229961816763,0.4401076229587186,4.441572926484803,0.0,0.0,0.0,0.0,0.0,0.0,28490379.838344224,-7437733.564682498,10625220.256783834,13978210.708646594,-10341655.701340817,-2654856.022711078,-4874204.580759468,-1875327.9706001359,0.0,0.0,0.0,0.0,0.0,0.0,25910032.96368066,25824345.9790786,-7091553.52907963,0.0,18732792.449998964,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0,2008,190,2013178760.8600004,2090532280.4199991,2172421239.8199997,81888959.40000081,2242865651.3015914,76761132.16401082,53624514.62357047,5.4310785852701615,7741716.88231785,3.918415287154642,37501.19780763627,9.74667288814728,0.4321897540837282,4.513241484572195,0.0,0.0,0.07889134322684455,0.0,0.0,0.0,18975511.39844401,16119954.014897883,7725910.22886524,33240713.372534595,-587896.6242881191,2528219.333391054,-5917577.984551532,-1264879.2549625246,0.0,0.0,1405982.7569447146,0.0,0.0,0.0,72225937.24127533,73165042.96212064,8723916.43788018,0.0,81888959.40000081,0.0,0.07889134322684455,0.0,0.0,1405982.7569447146,0.0
1.0,0,2009,190,2013178760.8600004,2172421239.8199997,2087736682.3600006,-84684557.45999914,2127743287.4488142,-115122363.85277784,53571373.49930797,6.020500281117134,7715146.336057816,2.8637730897154268,35770.910242909355,9.894518524635544,0.42272836206290776,4.708472223617496,0.0,0.0,0.07889134322684455,0.0,0.0,0.0,-1547750.2826104844,-48808024.25598537,-1969350.3460664637,-89290614.10373156,36921862.12139636,2439086.935684131,-7542001.763957189,-3149556.39877448,0.0,0.0,0.0,0.0,0.0,0.0,-112946348.09404507,-112770766.88985236,28086209.42985325,0.0,-84684557.45999914,0.0,0.07889134322684455,0.0,0.0,0.0,0.0
1.0,0,2010,190,2013178760.8600004,2087736682.3600006,2019401363.6500006,-68335318.71000014,2118460650.1053758,-9282637.343438186,50809833.07382773,6.206251984870209,7724647.269875041,3.3182843138140266,34842.49411633017,10.094147226556936,0.41788728370368466,4.939152830983737,0.0,0.0,0.1498634198292045,0.0,0.0,0.0,-51855962.21851933,-15585292.219215646,2503640.888509446,40751800.108285174,19619270.869528394,3126961.107222223,-3664782.571775512,-3824152.0408372916,0.0,0.0,1171498.2778625544,0.0,0.0,0.0,-7757017.798939984,-8334549.245173009,-60000769.46482712,0.0,-68335318.71000014,0.0,0.1498634198292045,0.0,0.0,1171498.2778625544,0.0
1.0,0,2011,190,2013178760.8600004,2019401363.6500006,2050937950.3099985,31536586.659997907,2152820503.783025,34359853.67764934,49708185.72779532,6.36345228262713,7805329.92940329,4.056324000293803,34279.544136873905,10.360847478725969,0.41016159827828247,4.8793065666199436,0.16096408823703817,0.0,0.20398171136803353,0.0,0.0,0.0,-29031758.853822675,-9061757.236692289,11385527.775048522,56175901.04521983,10876523.008334814,4125388.233801623,-5597370.57978818,1095842.0597676805,-6224107.857155137,0.0,881517.0112180467,0.0,0.0,0.0,34625704.605932236,33719784.615548514,-2183197.955550611,0.0,31536586.659997907,0.16096408823703817,0.20398171136803353,0.0,-6224107.857155137,881517.0112180467,0.0
1.0,0,2012,190,2013178760.8600004,2050937950.3099985,2080704081.9599996,29766131.65000101,2122608247.7854605,-30212255.997564618,48770632.93288171,6.404065700399019,7906486.563130583,4.089934197561287,34148.65795838907,10.268109797144005,0.40978139121030865,4.963668948193773,0.6268656962488993,0.0,0.2504889763065945,0.0,0.0,0.0,-23121490.386011634,-1442659.5319323353,14197496.41564748,2213301.574201163,3675085.0425453875,-1508434.453780495,-240026.36828631608,-1662348.4769540387,-21775657.29720567,0.0,509061.5023864768,0.0,0.0,0.0,-29155671.97938998,-29049494.184281543,58815625.83428256,0.0,29766131.65000101,0.6268656962488993,0.2504889763065945,0.0,-21775657.29720567,509061.5023864768,0.0
1.0,0,2013,190,2013178760.8600004,2080704081.9599996,2076740891.8499997,-3963190.1099996045,2080298559.403344,-42309688.38211636,49477217.46629152,6.562821333721859,7994607.988092658,3.924332568037197,34441.356718014045,10.00107146245879,0.4095146788107845,4.966618862811622,1.386960090775652,0.0,0.2504889763065945,0.0,0.0,0.0,17167578.039281912,-12917033.470695557,12926611.012920862,-11748056.313513536,-6011923.539451513,-3826664.5405172557,-205050.17156781757,-38600.84167963796,-36528513.186673224,0.0,0.0,0.0,0.0,0.0,-41181653.01189575,-41044233.622822165,37081043.51282256,0.0,-3963190.1099996045,1.386960090775652,0.2504889763065945,0.0,-36528513.186673224,0.0,0.0
