,NTD_ID,4 digit NTDID,Legacy NTD ID,Agency_x,HQ City,HQ State,UZA Name,UZA,UZA Area SQ Miles,UZA Population,MODE,SERVICE_ID,RailBus,Service Area SQ Miles,Service Area Population,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
92,1,1,1,King County Department of Transportation - Metro Transit Division,Seattle,WA,"Seattle, WA",14,"1,010","3,059,393",SR,DO,Rail,"2,134","2,117,125",0.0,0.0,0.0,0.0,0.0,0.0,402342.0,505039.0,761610.0,423340.0,465698.0,1250080.0,1368135.0
99,1,0,0,0,Seattle,WA,"Seattle, WA",14,"1,010","3,059,393",FB,DO,Other,"2,134","2,117,125",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2477371.0,2620614.0
101,1,0,0,0,Seattle,WA,"Seattle, WA",14,"1,010","3,059,393",FB,DO,Other,"2,134","2,117,125",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2477371.0,2620614.0
108,2,2,2,Spokane Transit Authority,Spokane,WA,"Spokane, WA",96,164,"387,847",DR,DO,DemandResponse,248,"409,271",140569.0,149026.0,154149.0,156606.0,148645.0,321332.0,422060.0,494167.0,444397.0,470539.0,472560.0,455855.0,510050.0
112,2,2,2,Spokane Transit Authority,Spokane,WA,"Spokane, WA",96,164,"387,847",DR,PT,DemandResponse,248,"409,271",50562.0,52066.0,50935.0,54436.0,57433.0,82792.0,123194.0,170674.0,190595.0,157919.0,170357.0,192427.0,200174.0
116,2,2,2,Spokane Transit Authority,Spokane,WA,"Spokane, WA",96,164,"387,847",MB,DO,Bus,248,"409,271",5411522.0,5801631.0,6082747.0,7112748.0,7127521.0,8382949.0,8988852.0,8922422.0,9019785.0,8475543.0,7988366.0,7517135.0,8314345.0
120,2,2,2,Spokane Transit Authority,Spokane,WA,"Spokane, WA",96,164,"387,847",VP,DO,DemandResponse,248,"409,271",244850.0,335041.0,378692.0,538393.0,534002.0,556453.0,617643.0,727380.0,709604.0,746614.0,590762.0,569848.0,528460.0
124,3,3,3,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,"1,010","3,059,393",DR,DO,DemandResponse,292,"547,975",91973.0,71197.0,90107.0,93699.0,109704.0,103634.0,108311.0,67844.0,95710.0,72523.0,72326.0,97116.0,125212.0
128,3,3,3,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,"1,010","3,059,393",DR,PT,DemandResponse,292,"547,975",158106.0,172859.0,225811.0,243302.0,295185.0,266697.0,270325.0,183144.0,169952.0,164470.0,162720.0,221644.0,225521.0
132,3,3,3,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,"1,010","3,059,393",MB,DO,Bus,292,"547,975",7203721.0,6490693.0,9983459.0,11554497.0,12796106.0,11619743.0,10496943.0,9324727.0,8952627.0,8858933.0,9366803.0,8576749.0,8716219.0
136,3,0,0,0,Tacoma,WA,"Seattle, WA",14,"1,010","3,059,393",MB,PT,Bus,292,"547,975",3113140.0,2642817.0,2922723.0,3610876.0,4072784.0,4601212.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,3,3,3,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,"1,010","3,059,393",VP,DO,DemandResponse,292,"547,975",1642478.0,2137441.0,2072788.0,2230211.0,2539666.0,2514731.0,2626805.0,2643525.0,3047890.0,3116822.0,3026565.0,3017326.0,3050834.0
144,3,3,3,Pierce County Transportation Benefit Area Authority,Tacoma,WA,"Seattle, WA",14,"1,010","3,059,393",CB,PT,Bus,292,"547,975",0.0,0.0,0.0,0.0,0.0,0.0,6898159.0,8770765.0,9514733.0,10256954.0,10442112.0,11065478.0,11185464.0
148,5,5,5,Everett Transit,Everett,WA,"Seattle, WA",14,"1,010","3,059,393",DR,DO,DemandResponse,34,"106,736",31865.0,33150.0,37626.0,41211.0,47157.0,104512.0,115440.0,106105.0,106263.0,110663.0,104641.0,103809.0,103668.0
