UZA Name,RailBus,NTD_ID,UZA,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Anchorage, AK",Other,41,149,1231778.0,1343905.0,1481165.0,1551649.0,1394379.0,1279438.0,1445703.0,14500525.0,15470981.0,16453864.0,19932525.0,21161796.0,23264241.0
"Anderson, IN",Bus,50041,330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,149342.0,145524.0,117266.0,108663.0
"Anderson, IN",DemandResponse,50041,330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39983.0,50207.0,0.0,0.0
"Ann Arbor, MI",Bus,200278,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7376968.0,5285565.0,5537524.0,6011021.0
"Ann Arbor, MI",DemandResponse,200160,500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,669082.0,1062847.0,1070903.0,751474.0
"Antioch, CA",Bus,90162,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2905847.0,2782688.0,2811588.0,2612164.0
"Antioch, CA",DemandResponse,90162,137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,453129.0,464002.0,461843.0,411050.0
"Appleton, WI",Bus,100002,330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,841274.0,814025.0,847420.0,788481.0
"Appleton, WI",DemandResponse,50001,165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,654735.0,672891.0,672185.0,781655.0
"Asheville, NC",Bus,80229,266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690292.0,684205.0,803967.0,663495.0
"Asheville, NC",DemandResponse,80229,266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81325.0,81304.0,1108298.0,969935.0
"Athens-Clarke County, GA",Bus,80227,498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8735897.0,9249440.0,9275847.0,9317080.0
"Athens-Clarke County, GA",DemandResponse,80227,498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39691.0,41180.0,34118.0,42337.0
"Atlanta, GA",Bus,320927,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77042802.0,78739795.0,74384097.0,70191945.0
"Atlanta, GA",DemandResponse,441214,99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6364243.0,5930050.0,5696599.0,7506320.0
"Atlanta, GA",Rail,80252,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74914218.0,78182100.0,75900115.0,76573624.0
"Atlantic City, NJ",Bus,20200,150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22728.0,31072.0,35048.0
"Atlantic City, NJ",DemandResponse,40399,300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16616.0,0.0,0.0,0.0
"Auburn, AL",Bus,40073,374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17019.0,14426.0,15622.0,14049.0
"Auburn, AL",DemandResponse,40073,374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168080.0,167428.0,123389.0,65407.0
"Augusta-Richmond County, GA-SC",Bus,40023,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733183.0,640724.0,615927.0,608380.0
"Augusta-Richmond County, GA-SC",DemandResponse,40023,98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52037.0,60107.0,68621.0,60831.0
"Austin, TX",Bus,120096,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18848902.0,19759548.0,19723038.0,19210197.0
