,CBSA_ID,cbsa_name,year,month,popestimate,pop_interpolated,unemployment,employment,labor_force,unemployment_rate,employment_rate,gasPrice
18,10020,"Abbeville, LA",2018,6.0,59830.0,59838.714570361146,1278.0,23008.090909090908,24286.090909090908,5.257561163636363,94.7424399090909,2.577
37,10100,"Aberdeen, SD",2018,6.0,43191.0,43194.583561643834,664.4545454545455,22422.454545454544,23086.90909090909,2.8774627545454545,97.1225370909091,2.7163636363636368
56,10140,"Aberdeen, WA",2018,6.0,73901.0,73791.21270236615,1869.7272727272727,26211.272727272728,28081.0,6.659413263636364,93.34058654545456,3.3958181818181816
75,10180,"Abilene, TX",2018,6.0,171451.0,171374.84931506848,2592.3636363636365,74145.18181818182,76737.54545454546,3.3788027090909094,96.62119709090908,2.577
94,10220,"Ada, OK",2018,6.0,38247.0,38255.714570361146,619.7272727272727,17952.909090909092,18572.636363636364,3.3353079,96.66469227272728,2.7163636363636368
113,10300,"Adrian, MI",2018,6.0,98266.0,98283.59202988794,2022.1818181818185,45412.63636363637,47434.81818181818,4.264750718181818,95.73524954545456,2.7163636363636368
132,10420,"Akron, OH",2018,6.0,704845.0,704806.0694894147,16322.636363636364,346362.9090909091,362685.54545454547,4.5008075454545455,95.4991919090909,2.7163636363636368
151,10460,"Alamogordo, NM",2018,6.0,66781.0,66733.51780821919,1180.8181818181818,23298.545454545456,24479.363636363636,4.821192790909091,95.17880727272728,2.577
170,10500,"Albany, GA",2018,6.0,153009.0,152869.24109589038,3192.6363636363635,65589.18181818182,68781.81818181818,4.639527963636363,95.36047154545456,2.7115454545454547
189,10540,"Albany-Lebanon, OR",2018,6.0,127335.0,127142.95367372352,2682.2727272727275,56027.727272727265,58710.0,4.567468118181818,95.43253190909093,3.3958181818181816
208,10580,"Albany-Schenectady-Troy, NY",2018,6.0,883169.0,883084.379078456,17906.090909090908,434209.45454545453,452115.54545454547,3.96436929090909,96.03563063636362,2.9223636363636363
227,10620,"Albemarle, NC",2018,6.0,62075.0,62024.17858032379,1069.090909090909,29056.636363636364,30125.727272727272,3.5497338454545453,96.450266,2.7115454545454547
246,10660,"Albert Lea, MN",2018,6.0,30444.0,30451.574346201738,514.3636363636364,15547.272727272728,16061.636363636364,3.196060290909091,96.8039398181818,2.7163636363636368
265,10700,"Albertville, AL",2018,6.0,96109.0,96068.27770859277,1462.7272727272727,41157.09090909091,42619.81818181818,3.431894154545454,96.56810527272728,2.577
284,10740,"Albuquerque, NM",2018,6.0,915927.0,915680.222914072,19825.090909090908,413695.90909090906,433521.0,4.573786318181818,95.4262141818182,2.577
303,10760,"Alexander City, AL",2018,6.0,51212.0,51224.868244084675,943.1818181818179,21541.727272727272,22484.90909090909,4.1924983727272735,95.80750072727274,2.577
322,10780,"Alexandria, LA",2018,6.0,153044.0,153089.60896637608,3430.5454545454545,61195.27272727273,64625.81818181818,5.306380736363637,94.69361818181818,2.577
341,10820,"Alexandria, MN",2018,6.0,37964.0,37930.770610211715,577.2727272727273,20532.636363636364,21109.90909090909,2.7399735909090905,97.26002654545456,2.7163636363636368
360,10860,"Alice, TX",2018,6.0,40822.0,40830.79601494397,947.1818181818179,15589.818181818182,16537.0,5.727262199999998,94.27273763636364,2.577
379,10880,"Allegan, MI",2018,6.0,117327.0,117254.18854296386,2133.909090909091,59525.72727272727,61659.63636363637,3.4614896272727265,96.53851118181818,2.7163636363636368
398,10900,"Allentown-Bethlehem-Easton, PA-NJ",2018,6.0,842913.0,842519.4597758405,19705.545454545456,415618.45454545453,435324.0,4.527555481818182,95.47244472727272,2.9223636363636363
417,10940,"Alma, MI",2018,6.0,40599.0,40632.55516811956,878.1818181818181,17031.363636363636,17909.545454545456,4.891225345454545,95.10877454545454,2.7163636363636368
436,10980,"Alpena, MI",2018,6.0,28360.0,28366.35267745953,725.4545454545455,12796.545454545454,13522.0,5.353034627272726,94.64696500000001,2.7163636363636368
455,11020,"Altoona, PA",2018,6.0,122492.0,122547.62665006224,2521.6363636363635,57147.72727272727,59669.36363636363,4.225688836363636,95.77431072727272,2.9223636363636363
474,11060,"Altus, OK",2018,6.0,24949.0,24970.501369863006,353.54545454545456,10428.454545454546,10782.0,3.2794590909090915,96.72054081818182,2.7163636363636368
493,11100,"Amarillo, TX",2018,6.0,263816.0,263736.6729763387,3659.4545454545455,128579.45454545454,132238.9090909091,2.767754145454546,97.23224718181818,2.577
512,11140,"Americus, GA",2018,6.0,34969.0,34977.30734744708,862.2727272727273,14299.181818181818,15161.454545454546,5.685591490909092,94.31440863636364,2.7115454545454547
531,11180,"Ames, IA",2018,6.0,98105.0,98036.1793275218,930.0,57322.545454545456,58252.545454545456,1.6028852636363635,98.39711472727276,2.7163636363636368
550,11220,"Amsterdam, NY",2018,6.0,49455.0,49435.53474470735,1219.2727272727273,21468.18181818182,22687.454545454544,5.378561281818183,94.62143854545457,2.9223636363636363
569,11260,"Anchorage, AK",2018,6.0,399148.0,399270.0854296389,12369.272727272728,187928.18181818182,200297.45454545453,6.169227854545454,93.83077245454548,3.3958181818181816
588,11300,"Anderson, IN",2018,6.0,129641.0,129626.25853051055,2310.818181818182,57966.0,60276.81818181818,3.8348229636363635,96.16517709090908,2.7163636363636368
607,11340,"Anderson, SC",2018,6.0,200482.0,200301.68169364886,3084.5454545454545,86599.18181818182,89683.72727272726,3.436980272727273,96.56302090909092,2.7115454545454547
626,11380,"Andrews, TX",2018,6.0,18128.0,18087.522042341217,228.1818181818182,9012.0,9240.181818181818,2.4699691727272723,97.5300308181818,2.577
645,11420,"Angola, IN",2018,6.0,34586.0,34572.561643835616,540.1818181818181,19476.90909090909,20017.090909090908,2.6976433727272733,97.30235636363636,2.7163636363636368
664,11460,"Ann Arbor, MI",2018,6.0,370963.0,370820.0647571607,6248.363636363636,189005.18181818182,195253.54545454547,3.201960327272727,96.79803954545454,2.7163636363636368
683,11500,"Anniston-Oxford, AL",2018,6.0,114277.0,114308.5190535492,2175.6363636363635,44020.09090909091,46195.727272727265,4.7075182363636365,95.29248190909092,2.577
702,11540,"Appleton, WI",2018,6.0,237524.0,237404.602241594,3575.4545454545455,130249.72727272726,133825.18181818182,2.6697184818181814,97.3302828181818,2.7163636363636368
721,11580,"Arcadia, FL",2018,6.0,37489.0,37469.697633872966,521.4545454545455,13499.363636363636,14020.818181818182,3.725652454545454,96.27434599999998,2.7115454545454547
740,11620,"Ardmore, OK",2018,6.0,58311.0,58313.932004981325,986.0909090909092,27929.454545454544,28915.545454545456,3.4065119454545454,96.59348854545456,2.7163636363636368
759,11660,"Arkadelphia, AR",2018,6.0,22061.0,22070.69190535492,368.1818181818182,9170.181818181818,9538.363636363636,3.864578809090909,96.13542090909093,2.577
778,11700,"Asheville, NC",2018,6.0,459585.0,459232.34495641344,7314.0,224238.45454545453,231552.45454545453,3.157961672727273,96.842039,2.7115454545454547
797,11740,"Ashland, OH",2018,6.0,53745.0,53740.11332503113,1157.5454545454545,24936.0,26093.545454545456,4.4371941090909095,95.5628058181818,2.7163636363636368
816,11780,"Ashtabula, OH",2018,6.0,97493.0,97509.20747198006,2287.909090909091,41897.545454545456,44185.454545454544,5.181368954545454,94.81863136363636,2.7163636363636368
835,11820,"Astoria, OR",2018,6.0,39764.0,39711.46824408469,764.4545454545455,18520.090909090908,19284.545454545456,3.971022636363636,96.02897790909093,3.3958181818181816
854,11860,"Atchison, KS",2018,6.0,16193.0,16201.79601494396,323.1818181818182,6644.454545454545,6967.636363636364,4.638344554545454,95.36165554545455,2.7163636363636368
873,11900,"Athens, OH",2018,6.0,65818.0,65886.90211706104,1584.2727272727273,26947.90909090909,28532.181818181816,5.599826727272727,94.400173,2.7163636363636368
892,11940,"Athens, TN",2018,6.0,53285.0,53253.23661270236,953.6363636363636,21890.636363636364,22844.272727272728,4.174249199999998,95.82575081818182,2.7163636363636368
911,11980,"Athens, TX",2018,6.0,82299.0,82198.17160647572,1375.3636363636365,34857.09090909091,36232.454545454544,3.7966827909090903,96.20331845454544,2.577
