,NTD_ID,4 digit NTDID,Legacy NTD ID,Agency_x,MODE,SERVICE_ID,RailBus,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,NTD_ID_STR_x,NTD_5_Digit,NTD_ID_INT,5 digit NTD ID,4 digit NTD ID,Agency_y,HQ City,HQ State,UZA,UZA Name,UZA Area SQ Miles,UZA Population,Service Area SQ Miles,Service Area Population,NTD_ID_STR_y,_merge
1588,51,51,51,Asotin County PTBA,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28286.0,30058.0,36306.0,33365.0,32835.0,30862.0,0051,51,51,,,,,,,,,,,,,left_only
1595,1114,0,0,Biddeford-Saco-Old Orchard Beach Transit Committee Shuttle Bus,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,318250.0,336567.0,396484.0,0.0,0.0,0.0,0.0,1114,10114,10114,,,,,,,,,,,,,left_only
1598,1123,0,0,Greater Derry Salem Cooperative Alliance for Regional Transportation,DR,PT,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38315.0,28426.0,0.0,0.0,0.0,0.0,1123,10123,10123,,,,,,,,,,,,,left_only
1599,1125,0,0,Berkshire Regional Transit Authority Council on Aging,DR,PT,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,183324.0,185271.0,188276.0,0.0,0.0,0.0,0.0,1125,10125,10125,,,,,,,,,,,,,left_only
1606,2143,0,0,Town of Newburgh,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,2852.0,3337.0,2723.0,0.0,0.0,0.0,0.0,2143,20143,20143,,,,,,,,,,,,,left_only
1608,2176,0,0,Kaser Bus Service,MB,PT,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,270060.0,278401.0,0.0,0.0,0.0,0.0,2176,20176,20176,,,,,,,,,,,,,left_only
1610,2191,0,0,City of Kingston Citibus,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89967.0,12848.0,0.0,0.0,0.0,0.0,2191,20191,20191,,,,,,,,,,,,,left_only
1611,2191,0,0,City of Kingston Citibus,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9166.0,81520.0,0.0,0.0,0.0,0.0,2191,20191,20191,,,,,,,,,,,,,left_only
1612,2191,0,0,0,TB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2191,20191,20191,,,,,,,,,,,,,left_only
1613,2194,0,0,East Windsor Township,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,1070.0,1257.0,974.0,0.0,0.0,0.0,0.0,2194,20194,20194,,,,,,,,,,,,,left_only
1614,2194,0,0,East Windsor Township,MB,PT,Bus,0.0,0.0,0.0,0.0,0.0,0.0,11907.0,8068.0,9443.0,0.0,0.0,0.0,0.0,2194,20194,20194,,,,,,,,,,,,,left_only
1627,3053,0,0,Bristol Virginia Transit,DR,DO,DemandResponse,0.0,0.0,0.0,0.0,0.0,0.0,2054.0,2154.0,2320.0,0.0,0.0,0.0,0.0,3053,30053,30053,,,,,,,,,,,,,left_only
1628,3053,0,0,Bristol Virginia Transit,MB,DO,Bus,0.0,0.0,0.0,0.0,0.0,0.0,28877.0,33839.0,25594.0,0.0,0.0,0.0,0.0,3053,30053,30053,,,,,,,,,,,,,left_only
